date,open,high,low,close,volume
2019-11-08,22.3800,22.9500,22.2500,22.5300,3538131
2019-11-07,22.4000,23.0650,22.3000,22.5600,2963600
2019-11-06,22.4100,22.6200,21.8900,21.9000,2274000
2019-11-05,23.2000,23.4650,22.5500,22.5900,5205300
2019-11-04,22.2800,22.9850,22.0200,22.9100,3741000
2019-11-01,21.0300,22.0600,21.0000,21.8700,5474100
2019-10-31,20.9400,21.3000,20.3600,20.7900,5468700
2019-10-30,21.3000,21.3450,20.7750,21.2900,3718500
2019-10-29,21.4500,21.7300,21.0500,21.6000,2443600
2019-10-28,21.2200,21.7700,21.1900,21.5200,2825800
2019-10-25,20.6800,21.2000,20.6000,21.0200,5924400
2019-10-24,21.3400,21.5700,20.4450,20.7400,4190300
2019-10-23,20.8100,21.3900,20.8100,21.2800,3167000
2019-10-22,20.4500,21.0300,19.9200,20.7300,4071100
2019-10-21,21.5700,21.6600,20.4500,20.4700,6187000
2019-10-18,20.6600,21.6400,20.3400,21.5400,6030900
2019-10-17,20.5500,21.6300,20.0300,20.3000,9109900
2019-10-16,19.2500,19.9600,19.1600,19.1600,7168000
2019-10-15,19.1100,19.8130,18.9610,19.4600,7569500
2019-10-14,19.0200,19.4400,18.7800,19.1700,5806700
2019-10-11,19.1600,19.5000,18.9700,19.2800,5999800
2019-10-10,18.6400,18.9940,18.4200,18.6900,3313500
2019-10-09,18.7500,18.8200,18.1860,18.4100,3000400
2019-10-08,18.9000,19.0100,18.4700,18.4900,3526900
2019-10-07,19.4100,19.7750,19.1900,19.2500,2624400
2019-10-04,19.1000,19.4900,18.9400,19.4500,2750900
2019-10-03,19.1300,19.3400,18.6800,19.0500,3504800
2019-10-02,19.4200,19.5500,18.8200,19.3000,3069500
2019-10-01,20.1900,20.8700,19.7000,19.8600,3241700
2019-09-30,20.5300,20.5500,19.9500,20.0700,3276600
2019-09-27,21.0800,21.2300,20.4300,20.6100,3087400
2019-09-26,21.1900,21.2300,20.5900,20.9900,2260200
2019-09-25,20.4800,21.5600,20.3800,21.5000,3352100
2019-09-24,21.0700,21.4400,20.4200,20.6200,3718000
2019-09-23,20.6600,21.7070,20.4400,21.3000,3529200
2019-09-20,22.0400,22.0960,21.5000,21.7000,5090200
2019-09-19,21.3000,22.2100,21.3000,21.9400,2990600
2019-09-18,21.7900,22.0000,21.3690,21.6700,4159200
2019-09-17,22.0000,22.3500,21.5500,22.0300,3653900
2019-09-16,22.5600,22.8700,22.3800,22.5600,2866100
2019-09-13,22.9500,23.3250,22.7000,22.8900,4218900
2019-09-12,22.0300,22.8200,21.3800,22.5600,5143800
2019-09-11,21.3500,22.2800,20.7000,22.1800,6270100
2019-09-10,20.3900,20.8900,19.8500,20.8300,3213800
2019-09-09,19.2700,20.4200,19.2700,20.3000,4241600
2019-09-06,19.5200,19.6400,18.9800,19.1100,2970600
2019-09-05,18.7100,19.7650,18.7000,19.6200,5547200
2019-09-04,18.0200,18.3900,17.9600,18.2800,2573200
2019-09-03,17.6300,17.7000,17.0900,17.6100,2604500
2019-08-30,17.9400,18.1700,17.7100,17.9300,2095400
2019-08-29,17.3200,17.9800,17.2630,17.8000,3069400
2019-08-28,16.5800,17.2800,16.4600,17.0100,2915700
2019-08-27,17.3100,17.3700,16.6800,16.7300,2376000
2019-08-26,17.7300,17.7300,17.0900,17.1700,3108700
2019-08-23,17.8300,18.0000,17.3100,17.4800,3217300
2019-08-22,18.4600,18.5450,17.9050,18.0500,2999300
2019-08-21,18.6700,19.0100,18.4600,18.4700,3383100
2019-08-20,18.1200,18.4000,18.0640,18.3100,2954100
2019-08-19,17.8400,18.3700,17.8100,18.2300,3505000
2019-08-16,17.0400,17.7400,16.6810,17.5200,4273200
2019-08-15,17.6000,17.7400,16.6810,16.9200,3973300
2019-08-14,18.3500,18.4100,17.5000,17.5000,5541500
2019-08-13,18.5000,19.5200,18.3300,19.1100,4426600
2019-08-12,19.0300,19.0499,18.3900,18.5200,3104400
2019-08-09,19.8500,19.9600,19.1600,19.2100,3068400
2019-08-08,19.7900,20.2398,19.6800,20.1200,2980800
2019-08-07,19.5300,19.6308,19.1500,19.5800,2949000
