date,open,high,low,close,volume
2019-06-07,1.3100,1.3100,1.3100,1.3100,85000
2019-06-06,1.3100,1.3800,1.3100,1.3800,16000
2019-06-04,1.3100,1.3800,1.3100,1.3300,38000
2019-06-03,1.3200,1.3300,1.3100,1.3100,95000
2019-05-31,1.4200,1.4200,1.4200,1.4200,0
2019-05-30,1.4200,1.4200,1.4200,1.4200,0
2019-05-29,1.4200,1.4500,1.3500,1.4200,236000
2019-05-28,1.3800,1.4400,1.3800,1.4300,363000
2019-05-24,1.3100,1.4000,1.3100,1.3800,102000
2019-05-23,1.3100,1.3100,1.3100,1.3100,0
2019-05-22,1.3300,1.4000,1.3100,1.3100,105000
2019-05-21,1.3600,1.3600,1.3600,1.3600,6000
2019-05-20,1.3200,1.3600,1.3200,1.3600,49000
2019-05-17,1.2700,1.2700,1.2700,1.2700,34000
2019-05-16,1.2600,1.2600,1.2600,1.2600,0
2019-05-15,1.2600,1.2600,1.2600,1.2600,22000
2019-05-14,1.2700,1.2700,1.2700,1.2700,0
2019-05-13,1.2700,1.2700,1.2700,1.2700,0
2019-05-10,1.2700,1.2700,1.2700,1.2700,0
2019-05-09,1.2700,1.2700,1.2700,1.2700,7000
2019-05-08,1.2600,1.2600,1.2600,1.2600,5000
2019-05-07,1.2600,1.2600,1.2600,1.2600,39000
2019-05-06,1.3700,1.3700,1.3700,1.3700,0
2019-05-03,1.3700,1.3700,1.3700,1.3700,0
2019-05-02,1.3500,1.3700,1.3500,1.3700,30000
2019-05-01,1.3000,1.3000,1.3000,1.3000,0
2019-04-30,1.3000,1.3000,1.3000,1.3000,19000
2019-04-29,1.3000,1.3000,1.3000,1.3000,0
2019-04-26,1.3000,1.3000,1.3000,1.3000,0
2019-04-25,1.3000,1.3000,1.3000,1.3000,0
2019-04-24,1.3000,1.3000,1.3000,1.3000,0
2019-04-23,1.2600,1.3000,1.2600,1.3000,25000
2019-04-22,1.2900,1.2900,1.2500,1.2500,48000
2019-04-18,1.2900,1.2900,1.2900,1.2900,0
2019-04-17,1.2900,1.2900,1.2900,1.2900,0
2019-04-16,1.3200,1.3200,1.2900,1.2900,43000
2019-04-15,1.3100,1.3600,1.3100,1.3600,6000
2019-04-12,1.2900,1.3400,1.2900,1.3400,25000
2019-04-11,1.3400,1.3400,1.3400,1.3400,0
2019-04-10,1.3400,1.3400,1.3400,1.3400,1000
2019-04-09,1.2800,1.2800,1.2800,1.2800,0
2019-04-08,1.2800,1.2800,1.2800,1.2800,0
2019-04-05,1.2800,1.2800,1.2800,1.2800,0
2019-04-04,1.2800,1.2800,1.2800,1.2800,0
2019-04-03,1.2800,1.2800,1.2800,1.2800,0
2019-04-02,1.2800,1.2800,1.2800,1.2800,0
2019-04-01,1.2800,1.2800,1.2800,1.2800,0
2019-03-29,1.2800,1.2800,1.2800,1.2800,0
2019-03-28,1.2800,1.2800,1.2800,1.2800,0
2019-03-27,1.2800,1.2800,1.2800,1.2800,0
