date,open,high,low,close,volume
2018-11-28,212.5700,213.3600,211.7900,212.7000,11862705
2018-11-27,209.6200,212.0000,208.7200,212.0000,10341300
2018-11-26,208.9400,211.0300,208.9300,210.1000,7545901
2018-11-23,204.0600,205.8400,203.7000,205.3600,910863
2018-11-21,204.8100,206.3300,204.1200,204.3000,3893474
2018-11-20,207.1300,207.2200,204.0000,204.0000,5670493
2018-11-19,209.2900,209.8200,207.1000,207.4900,3387023
2018-11-16,208.9500,209.9800,208.9100,209.0100,2722997
2018-11-15,207.2800,209.8500,206.6500,209.3600,3287544
2018-11-14,209.8900,210.9000,207.6800,208.0500,2568920
2018-11-13,209.9100,210.6700,209.0000,209.5200,1755091
2018-11-12,209.1600,210.6100,209.0200,209.3300,1526797
2018-11-09,209.4200,210.1160,208.5600,209.3600,1980801
2018-11-08,208.6200,209.7000,207.8710,209.2300,3498370
2018-11-07,207.9100,209.7500,207.7100,208.8400,3392595
2018-11-06,202.6200,207.1300,202.1500,207.0500,4648657
2018-11-05,198.6800,200.3000,198.6800,199.3300,1094841
2018-11-02,200.9700,201.5400,197.8100,198.2100,1853113
2018-11-01,199.0200,200.6600,198.4200,200.1400,1820597
2018-10-31,198.0100,199.3800,197.1850,198.4000,2597000
2018-10-30,197.2600,197.6500,194.7600,197.6500,1351330
2018-10-29,196.4400,197.3200,194.3900,195.1300,1728848
2018-10-26,195.3900,196.3550,194.2700,195.2900,2298520
2018-10-25,195.6400,197.2900,195.1300,196.0700,4080682
2018-10-24,198.8000,199.4300,195.2700,195.2700,3301962
2018-10-23,197.6400,199.9700,197.0000,199.3400,1386369
2018-10-22,200.1900,201.4000,199.0000,199.4900,1108271
2018-10-19,201.3900,202.4700,200.1700,200.1900,2063881
2018-10-18,201.2700,202.1000,200.5600,201.4900,1756786
2018-10-17,200.6000,201.6600,200.3300,201.2900,1615124
2018-10-16,199.7700,200.5500,198.7800,200.4900,2509102
2018-10-15,200.7700,201.1350,198.9400,198.9400,1839599
2018-10-12,199.7700,201.3600,199.2200,201.0100,1919580
2018-10-11,202.7800,203.2100,198.6400,198.9500,4309923
2018-10-10,205.5000,206.6500,203.4100,203.4100,5793144
2018-10-09,204.2500,204.6400,203.2400,203.7200,964232
2018-10-08,203.7400,204.6200,203.2000,204.1100,1544692
2018-10-05,204.5500,204.7500,203.2700,203.7200,898587
2018-10-04,203.4600,204.5190,203.3400,204.3000,1247476
2018-10-03,202.6300,204.1400,202.6300,203.5500,1296661
2018-10-02,203.6100,203.9800,202.9000,203.1500,1890249
2018-10-01,203.2900,204.7000,202.6000,203.6000,1256088
2018-09-28,202.9100,203.3900,201.7900,202.8500,2453952
2018-09-27,202.7700,203.5100,201.8700,202.6800,2241098
2018-09-26,201.9400,203.0000,201.2600,201.7600,978389
2018-09-25,203.7800,204.2700,199.9500,201.6300,3438418
2018-09-24,203.6400,204.6500,202.6800,203.4000,1209003
2018-09-21,205.6600,206.0000,203.7000,204.2700,4885421
2018-09-20,205.6300,206.3300,205.2000,205.2000,2066794
2018-09-19,205.5100,206.6600,204.9700,205.6700,1230077
2018-09-18,204.5000,206.2800,204.1700,205.4400,1846199
2018-09-17,203.0100,205.5800,202.7400,204.7700,3436352
2018-09-14,203.3400,203.8600,202.7500,202.7500,1877847
2018-09-13,203.9800,204.2000,203.0300,203.0300,2067287
