date,open,high,low,close,volume
2019-11-08,17.9500,18.0500,17.3000,17.6800,1317596
2019-11-07,18.1400,18.2900,17.9700,18.1200,1651700
2019-11-06,17.9800,18.0600,17.6700,17.8300,1833200
2019-11-05,17.6800,18.0800,17.6000,18.0100,2155700
2019-11-04,17.1800,17.5500,16.9600,17.5100,1998400
2019-11-01,16.3600,17.1800,16.2500,17.0200,1658800
2019-10-31,16.7000,16.7000,16.0400,16.1900,1933400
2019-10-30,17.4400,17.5600,16.6100,16.7600,1558600
2019-10-29,17.3400,17.5500,17.1100,17.4400,1628200
2019-10-28,16.9200,17.3600,16.6200,17.3400,3830500
2019-10-25,16.0500,16.8600,16.0400,16.8500,1802600
2019-10-24,16.2600,16.3400,15.7200,16.2800,1144300
2019-10-23,16.4700,16.4700,16.1200,16.2500,1181300
2019-10-22,16.1700,16.4300,15.8600,16.3400,1538300
2019-10-21,16.1500,16.5900,16.1300,16.1500,1995600
2019-10-18,15.5300,16.0200,15.4900,15.9200,2290400
2019-10-17,15.8600,16.1400,15.7800,16.1300,1496700
2019-10-16,15.3000,15.8700,15.2900,15.7600,2181000
2019-10-15,15.2200,15.6600,15.0200,15.3200,1680500
2019-10-14,15.1200,15.2700,14.7000,15.1600,2054500
2019-10-11,14.9600,15.5600,14.9600,15.2200,3040300
2019-10-10,14.5600,15.0200,14.5400,14.6100,2041300
2019-10-09,14.1300,14.7600,13.9800,14.5500,3518300
2019-10-08,14.1000,14.2300,13.8800,14.0700,2610000
2019-10-07,14.3900,14.5200,14.1800,14.3100,2051400
2019-10-04,14.7600,14.8000,14.3200,14.3700,1611600
2019-10-03,14.4200,14.7600,14.0100,14.7200,2431800
2019-10-02,14.9600,15.0000,14.5000,14.5100,2024100
2019-10-01,15.7200,15.9200,15.1100,15.1300,2054400
2019-09-30,15.5200,15.7200,15.2600,15.6000,2701100
2019-09-27,15.3800,15.8100,15.2300,15.4900,2123100
2019-09-26,15.6100,15.7600,15.1700,15.3800,1445200
