date,open,high,low,close,volume
2019-11-08,77.9100,78.6900,77.8100,78.4700,245547
2019-11-07,78.6100,78.6800,77.6500,77.9100,426700
2019-11-06,78.0100,78.4300,77.3800,77.9600,389900
2019-11-05,77.3000,78.7800,77.1500,78.1400,538100
2019-11-04,78.5600,78.5600,77.1400,77.2900,712000
2019-11-01,77.9400,78.7100,77.6700,78.0100,740400
2019-10-31,77.9900,78.0300,77.0100,77.3700,359900
2019-10-30,78.1400,78.3500,77.4400,78.1300,358400
2019-10-29,77.3200,78.6900,76.9500,78.4100,339500
2019-10-28,77.1200,78.1300,77.0900,77.6700,402900
2019-10-25,75.9400,77.3300,75.7500,76.7500,499600
2019-10-24,76.8700,76.9900,76.1200,76.1300,215400
2019-10-23,76.4800,76.7500,76.0000,76.4100,244900
2019-10-22,76.9600,76.9600,76.1100,76.3500,395000
2019-10-21,77.2400,77.7700,76.9000,77.0500,289600
2019-10-18,77.1200,77.2500,76.3000,76.5800,518800
2019-10-17,78.0400,78.1400,77.0300,77.2500,212200
2019-10-16,77.8000,78.0800,77.2300,77.5900,207600
2019-10-15,77.3600,77.8600,76.7900,77.4900,328600
2019-10-14,77.6300,77.7300,75.9500,76.9200,329900
2019-10-11,76.0800,77.7400,76.0800,76.7700,587500
2019-10-10,75.2400,75.4600,74.4400,75.2300,577700
2019-10-09,76.7000,76.9600,74.0400,74.8100,600500
2019-10-08,74.9400,77.5400,74.5000,75.9700,1024400
2019-10-07,75.2000,76.0600,74.7300,75.5500,359400
2019-10-04,74.6400,75.5800,74.6000,75.5300,217100
2019-10-03,74.4400,74.6000,73.0900,74.4400,523900
2019-10-02,74.7400,74.8700,73.7800,74.4400,387100
2019-10-01,77.3500,78.0400,75.2300,75.2700,244200
2019-09-30,76.7600,77.1900,76.2000,77.0500,379900
2019-09-27,77.0600,77.2600,76.1800,76.4800,289000
2019-09-26,76.9000,77.4700,76.2400,76.7800,250700
2019-09-25,76.6100,77.3200,76.0900,76.9800,320500
2019-09-24,77.4900,77.7500,76.4100,76.5400,381800
2019-09-23,77.1900,77.8100,76.8800,77.5000,310600
2019-09-20,77.0300,77.9800,77.0300,77.6500,1262000
2019-09-19,78.2800,78.5000,76.8100,76.9400,460800
2019-09-18,77.3200,78.0100,76.8700,77.8600,322000
2019-09-17,76.7300,77.6300,76.0700,77.4900,291900
2019-09-16,77.7600,78.0900,76.7700,77.0200,246400
2019-09-13,78.0300,78.6100,77.7200,78.3300,294400
2019-09-12,77.2000,77.8900,76.1100,77.6600,332100
2019-09-11,76.2400,77.1700,75.1400,77.1000,518300
2019-09-10,74.6000,75.9700,74.2200,75.9100,450600
2019-09-09,74.3900,74.8000,73.2800,74.5600,426800
2019-09-06,74.0600,74.3000,73.4900,73.9700,353800
2019-09-05,74.3400,74.7900,73.6500,74.0000,557000
2019-09-04,73.3000,73.7000,72.6600,73.5100,323500
2019-09-03,72.9100,73.0900,71.8400,72.4000,422700
2019-08-30,73.0100,73.4700,72.4400,73.2400,542900
2019-08-29,72.8600,73.9000,72.4900,72.5200,364300
2019-08-28,71.1600,72.8000,70.8800,72.3700,574400
2019-08-27,72.4000,72.4900,71.1100,71.3600,348200
2019-08-26,71.5900,71.9800,71.0100,71.8300,500900
2019-08-23,72.4000,72.6300,70.6300,70.8600,743900
2019-08-22,73.1100,73.5300,71.9900,72.7700,697600
2019-08-21,72.7900,73.0900,72.0000,72.9800,406300
2019-08-20,73.4000,73.4000,72.1200,72.2500,410000
2019-08-19,73.6200,73.9800,73.1200,73.4900,306500
2019-08-16,71.3900,73.0100,70.9000,72.7900,320800
2019-08-15,72.2400,72.5200,70.9000,71.0900,654100
2019-08-14,72.8800,72.9800,71.4100,71.8000,849200
2019-08-13,73.1200,74.9400,72.4000,74.0600,947800
2019-08-12,74.4100,74.4300,73.1900,73.3100,473600
2019-08-09,75.4400,75.6200,74.4000,74.7100,678600
2019-08-08,76.2700,77.0200,75.5400,75.8300,757600
2019-08-07,74.4073,75.8700,74.1000,75.6500,972900
2019-08-06,75.3200,75.7700,74.6100,75.1900,1288300
2019-08-05,75.3500,75.6100,74.3400,74.8700,910000
2019-08-02,76.7100,77.1300,75.7000,76.6600,929900
2019-08-01,79.4000,79.4900,77.0100,77.1800,988300
2019-07-31,80.1400,81.2000,78.3700,79.4800,1147200
2019-07-30,78.8600,80.6400,78.8600,80.4300,632100
2019-07-29,79.4800,79.7900,79.3200,79.4600,521300
2019-07-26,78.7800,79.7300,78.3300,79.6200,371900
2019-07-25,78.8900,79.0400,78.2200,78.7900,281900
2019-07-24,77.8000,79.3000,77.4400,79.0500,704200
2019-07-23,76.2900,77.9900,76.1800,77.6900,450800
2019-07-22,76.4200,76.9900,75.8600,76.0200,489100
2019-07-19,75.3997,76.6400,75.4000,76.1100,497000
2019-07-18,74.3200,76.2000,73.9000,75.5000,1605400
2019-07-17,78.3700,78.8200,77.6400,77.6700,325400
2019-07-16,77.5900,78.6500,77.3100,78.3800,298700
2019-07-15,78.0200,78.0200,77.0100,77.6600,455100
2019-07-12,76.5300,77.8400,76.2900,77.7800,489100
2019-07-11,76.8900,77.1800,75.6900,76.4100,342400
2019-07-10,76.6400,77.5100,76.4150,76.8600,568300
2019-07-09,76.7000,76.9000,75.2600,76.3900,1487200
2019-07-08,78.9400,78.9400,76.9100,76.9600,765900
2019-07-05,79.0400,79.3688,78.4000,79.1700,286600
2019-07-03,79.5800,79.7700,79.0000,79.5300,143600
2019-07-02,79.7700,79.7700,79.0150,79.4300,414000
2019-07-01,80.8000,81.1422,78.9300,79.8600,444300
2019-06-28,79.0100,79.9900,78.8600,79.9700,1238000
2019-06-27,78.1800,78.9400,78.1600,78.6600,594500
2019-06-26,78.6100,78.8960,77.8000,77.8100,337300
2019-06-25,78.3700,78.5550,77.9645,78.3100,436200
2019-06-24,77.6400,78.8300,77.6400,78.3100,398500
2019-06-21,77.7832,78.1800,77.2150,77.5000,563600
2019-06-20,79.1400,79.3700,77.8500,78.1800,368100
2019-06-19,77.9960,78.7500,77.6800,78.3100,532700
2019-06-18,77.7700,78.4000,77.3200,77.7900,469100
2019-06-17,78.3100,78.5100,77.2100,77.3500,623700
2019-06-14,79.5500,79.7100,78.2400,78.2500,779500
2019-06-13,79.9000,81.2200,79.7500,80.0900,1022100
2019-06-12,78.2400,79.7178,77.9100,79.4200,1064800
2019-06-11,79.4600,80.0971,78.1300,78.4000,529800
2019-06-10,77.7800,78.9700,77.5900,78.7300,1061900
2019-06-07,78.3200,78.4900,77.5700,77.7500,928600
2019-06-06,77.3600,78.2000,76.7300,77.8900,1090700
2019-06-05,77.7700,78.1107,76.3800,77.3600,479200
2019-06-04,75.5700,77.4600,75.3200,77.4400,740500
2019-06-03,74.7200,75.3500,74.2000,75.1400,1488800
2019-05-31,74.9311,76.2900,74.0400,74.8700,1500500
2019-05-30,75.3600,75.9800,74.7300,75.9200,1217700
2019-05-29,75.2500,75.6491,73.7600,75.0800,1663500
2019-05-28,73.4200,76.7400,72.9700,75.9200,2460600
2019-05-24,73.2500,74.0400,72.4900,73.5100,1157200
2019-05-23,71.7600,72.4800,71.1100,72.1700,822300
2019-05-22,72.1100,73.1400,72.0000,72.6300,737100
2019-05-21,71.8000,72.4300,71.5500,72.1100,693600
2019-05-20,71.9400,72.3900,71.0400,71.3100,1197200
2019-05-17,73.2200,73.7300,72.5600,72.6000,833700
2019-05-16,74.1100,74.8300,73.6950,73.9000,785600
2019-05-15,73.5000,74.0800,72.8000,73.7500,722200
2019-05-14,74.1500,74.5500,73.8000,73.8500,504600
2019-05-13,74.3300,74.6700,73.7100,74.0700,775000
2019-05-10,75.8800,76.1274,74.6100,75.9200,485600
2019-05-09,75.6500,76.1800,75.1000,76.0100,1137500
