date,open,high,low,close,volume
2019-11-08,4.7100,4.7900,4.5900,4.6400,7843263
2019-11-07,4.6000,4.7900,4.5800,4.7600,11348500
2019-11-06,4.1700,4.4000,4.1700,4.3200,10598600
2019-11-05,4.2100,4.2300,4.1400,4.1900,4604000
2019-11-04,4.4100,4.4400,4.2100,4.2300,6959700
2019-11-01,4.3400,4.4800,4.2700,4.3500,7860000
2019-10-31,4.3300,4.3400,4.1600,4.2900,5688000
2019-10-30,4.1700,4.2700,4.1200,4.2600,3746600
2019-10-29,4.2500,4.2500,4.1000,4.1300,3762900
2019-10-28,4.2500,4.3600,4.2100,4.2500,5102300
2019-10-25,4.1000,4.3100,4.1000,4.2900,6039800
2019-10-24,4.2400,4.2400,4.0900,4.1000,3116300
2019-10-23,4.3200,4.3300,4.1300,4.2400,6604400
2019-10-22,4.1700,4.3300,4.1500,4.2800,3432300
2019-10-21,4.1800,4.2400,4.1000,4.1800,3206800
2019-10-18,4.2300,4.2600,4.1400,4.1900,1520200
2019-10-17,4.1500,4.2500,4.1400,4.1700,4008700
2019-10-16,4.1500,4.1600,4.0600,4.1300,2580800
2019-10-15,4.1300,4.2200,4.0800,4.1400,8547800
2019-10-14,4.1900,4.2300,4.1300,4.1500,2278900
2019-10-11,4.2800,4.2800,4.1700,4.1900,6602700
2019-10-10,4.2100,4.2400,4.1400,4.2200,6110000
2019-10-09,4.2800,4.3300,4.1600,4.2300,4695000
2019-10-08,4.3800,4.3900,4.2200,4.2800,7738200
2019-10-07,4.4600,4.5300,4.3500,4.3900,5599900
2019-10-04,4.3600,4.5100,4.3000,4.5000,3766200
2019-10-03,4.2300,4.3700,4.1200,4.3200,9464400
2019-10-02,4.2700,4.2700,4.1500,4.2200,5723800
2019-10-01,4.3900,4.4200,4.2900,4.3200,5753000
2019-09-30,4.5300,4.5600,4.3300,4.4000,8201300
2019-09-27,4.5500,4.5700,4.4200,4.5600,6181800
2019-09-26,4.5600,4.6200,4.4900,4.5600,3626800
2019-09-25,4.5900,4.6400,4.4900,4.5500,4493800
2019-09-24,4.6200,4.6500,4.5200,4.6100,9257800
2019-09-23,4.6200,4.6800,4.4800,4.6100,5192200
2019-09-20,4.6800,4.7300,4.6200,4.6500,12499000
2019-09-19,4.7800,4.8300,4.6400,4.7300,3568800
2019-09-18,4.8200,4.8800,4.6700,4.7700,10854100
2019-09-17,4.7000,4.8000,4.6500,4.7800,5411800
2019-09-16,4.5400,4.7000,4.5000,4.7000,7459000
2019-09-13,4.6000,4.6600,4.4800,4.5800,9854100
2019-09-12,4.5500,4.6200,4.5000,4.5900,13244700
2019-09-11,4.2500,4.5100,4.2200,4.5000,11359200
2019-09-10,4.2800,4.2800,4.1600,4.2300,5608800
2019-09-09,4.2900,4.3200,4.2100,4.3000,5340100
2019-09-06,4.2900,4.3100,4.2300,4.2800,4575300
2019-09-05,4.2500,4.3000,4.2000,4.2700,11087500
2019-09-04,4.2500,4.2700,4.1800,4.2400,3449100
2019-09-03,4.2900,4.3500,4.1200,4.1900,8929800
2019-08-30,4.3000,4.3500,4.2300,4.3500,5204800
2019-08-29,4.2800,4.3200,4.1900,4.2900,8102700
2019-08-28,4.1000,4.2700,4.0500,4.2600,6484700
2019-08-27,3.9600,4.1300,3.9500,4.1200,11708400
2019-08-26,3.9300,3.9800,3.8500,3.9300,5798600
2019-08-23,4.0000,4.0400,3.9000,3.9300,8528300
2019-08-22,4.0900,4.1200,4.0000,4.0100,4391800
2019-08-21,4.1300,4.1600,4.0800,4.1100,4725600
2019-08-20,4.1400,4.1600,4.0500,4.0800,4387900
2019-08-19,4.1800,4.2900,4.1500,4.1800,4700100
2019-08-16,4.2500,4.3600,4.1300,4.1600,5578900
2019-08-15,4.2300,4.3600,4.2000,4.2400,14532900
2019-08-14,4.2400,4.2800,4.1300,4.1800,6046600
2019-08-13,4.2700,4.3601,4.2100,4.3500,5771100
2019-08-12,4.3000,4.3400,4.2000,4.2400,3887200
2019-08-09,4.4200,4.4700,4.3100,4.4000,5095500
2019-08-08,4.3500,4.4500,4.3000,4.4000,8206200
2019-08-07,4.3500,4.3700,4.2000,4.3400,10687600
2019-08-06,4.2800,4.4200,4.2400,4.4000,7216100
2019-08-05,4.2700,4.3000,4.1700,4.2800,8356500
2019-08-02,4.3300,4.3800,4.2000,4.3400,8923500
2019-08-01,4.2900,4.4400,4.2200,4.3300,13935900
2019-07-31,4.1200,4.2900,4.1200,4.2500,15086800
2019-07-30,3.9600,4.1700,3.9299,4.1300,6451700
2019-07-29,4.0400,4.0600,3.9600,3.9700,8095400
2019-07-26,3.8600,4.0800,3.8600,4.0500,12079000
2019-07-25,3.8400,3.8800,3.8000,3.8400,5410100
2019-07-24,3.8600,3.8900,3.8200,3.8400,2509500
2019-07-23,3.9200,3.9300,3.8400,3.8600,8455900
2019-07-22,3.9900,4.0100,3.9000,3.9200,6742300
2019-07-19,3.9500,4.0000,3.9200,3.9700,5515400
2019-07-18,3.9500,3.9800,3.8900,3.9500,10896100
2019-07-17,3.9100,4.0100,3.8900,3.9500,5408600
2019-07-16,3.8900,4.0000,3.8700,3.9200,24487100
2019-07-15,3.8900,3.9200,3.8100,3.8800,5492100
2019-07-12,3.9500,3.9700,3.8400,3.8900,9680700
2019-07-11,4.0900,4.1000,3.9100,3.9300,11252600
2019-07-10,3.9200,4.1000,3.9100,4.1000,8633700
2019-07-09,3.9700,3.9800,3.8700,3.9200,5521800
2019-07-08,4.0200,4.0400,3.9401,3.9800,7597600
2019-07-05,3.8600,4.0800,3.8200,4.0400,11355600
2019-07-03,3.9000,3.9400,3.8500,3.9000,6254600
2019-07-02,3.8900,3.9300,3.8400,3.9000,3161000
2019-07-01,3.9300,3.9500,3.8600,3.9000,7117000
2019-06-28,3.8600,3.9250,3.8300,3.8800,5240100
2019-06-27,3.8000,3.9000,3.7200,3.8700,7620000
2019-06-26,3.8500,3.8900,3.7200,3.8300,7212300
2019-06-25,3.9400,3.9500,3.8200,3.8400,3625500
2019-06-24,3.9300,4.0000,3.9100,3.9500,3261700
2019-06-21,3.9900,4.0000,3.9400,3.9500,10089200
2019-06-20,3.9700,4.0250,3.9200,3.9800,12235000
2019-06-19,3.8600,4.0800,3.8050,4.0300,16593600
2019-06-18,3.8800,3.9200,3.8200,3.8500,10375200
2019-06-17,3.8300,3.8800,3.7600,3.8500,5035200
2019-06-14,3.8700,3.8800,3.7700,3.8200,7273400
2019-06-13,3.8900,3.9200,3.8400,3.8900,7242300
2019-06-12,3.8600,3.9150,3.7900,3.8300,11925600
2019-06-11,3.7900,3.9200,3.7850,3.9000,9856600
2019-06-10,3.8300,3.8300,3.7300,3.7800,13098700
2019-06-07,3.7600,3.8600,3.7500,3.8400,8356300
2019-06-06,3.6100,3.7700,3.5900,3.7500,9019600
2019-06-05,3.6500,3.6800,3.5952,3.6200,7873000
2019-06-04,3.6500,3.7200,3.5900,3.6600,25237900
2019-06-03,3.7503,3.7900,3.6300,3.6400,12001800
2019-05-31,3.7800,3.8000,3.6500,3.7600,13581900
2019-05-30,3.8600,3.9050,3.7600,3.8100,18784500
2019-05-29,3.8300,3.8600,3.7500,3.8600,15827600
2019-05-28,3.7600,3.8900,3.7299,3.8600,23336300
2019-05-24,3.6100,3.7200,3.5200,3.7000,29155900
2019-05-23,3.9400,3.9800,3.5000,3.6000,112120800
2019-05-22,3.6450,3.7200,3.4150,3.4900,55149400
2019-05-21,3.1400,3.2000,3.1130,3.2000,4710100
2019-05-20,3.0100,3.1700,2.9600,3.1400,4142400
2019-05-17,3.0900,3.1400,3.0200,3.1000,4402600
2019-05-16,3.2200,3.2700,3.0800,3.1400,6609200
2019-05-15,3.1500,3.2800,3.1400,3.2300,5941600
2019-05-14,3.2300,3.2500,3.0900,3.1900,8754300
2019-05-13,3.1200,3.2500,3.0000,3.1200,12934800
2019-05-10,2.8800,3.2400,2.8700,3.2100,16570100
2019-05-09,2.9000,2.9400,2.7200,2.9000,6839700
2019-05-08,3.0500,3.0500,2.9201,2.9300,5255000
2019-05-07,2.9800,3.0650,2.9400,3.0500,4776500
2019-05-06,2.8000,3.0600,2.7800,3.0200,9080500
2019-05-03,2.8400,2.8847,2.8000,2.8600,4329000
2019-05-02,2.9200,2.9900,2.8200,2.8200,6983500
2019-05-01,3.1600,3.2300,3.1150,3.1500,8633400
2019-04-30,3.2200,3.3100,3.0400,3.1800,8470400
2019-04-29,3.1500,3.2700,3.0800,3.2200,7708700
2019-04-26,3.0500,3.1950,2.9400,3.1900,7338800
2019-04-25,2.9600,3.2000,2.9000,3.0600,11596400
2019-04-24,2.8900,2.9700,2.7300,2.9600,6058700
2019-04-23,2.6100,2.9400,2.5600,2.9100,11488600
2019-04-22,2.6400,2.6900,2.5600,2.6000,3918500
2019-04-18,2.6800,2.7098,2.6100,2.6400,2149500
2019-04-17,2.7200,2.7300,2.6100,2.6800,3952700
2019-04-16,2.8100,2.8150,2.6800,2.7100,2804100
