date,open,high,low,close,volume
2019-11-08,42.0600,42.0900,40.6000,41.0200,2014255
2019-11-07,42.0100,42.5500,41.7100,42.0200,1198900
2019-11-06,40.6800,41.4200,40.2200,41.3200,1293800
2019-11-05,40.7500,42.4500,40.5800,41.0500,2228500
2019-11-04,39.6300,40.2150,39.4800,40.0700,1773600
2019-11-01,38.1500,39.1300,37.8100,39.0500,914800
2019-10-31,38.2200,38.2200,36.8300,37.7600,1012400
2019-10-30,39.3000,39.3000,38.2250,38.4900,986100
2019-10-29,38.9900,39.8900,38.1100,39.4600,1707300
2019-10-28,38.1600,39.3400,37.7000,39.0500,677000
2019-10-25,38.1300,38.6100,37.8800,38.2100,1370600
2019-10-24,38.3500,38.7100,37.8200,38.3700,853300
2019-10-23,38.0900,38.3800,37.7900,38.1600,653200
2019-10-22,37.6800,38.3900,37.2400,38.1700,1146800
2019-10-21,37.3500,38.2000,37.3500,37.6900,834800
2019-10-18,36.8800,37.3400,36.7700,36.9550,1071700
2019-10-17,37.6100,37.8800,36.9700,37.0000,678900
2019-10-16,37.2500,37.9400,36.9900,37.3100,792400
2019-10-15,36.7300,37.9200,36.3600,37.2900,966000
2019-10-14,36.2400,36.8600,36.1100,36.5000,1086200
2019-10-11,36.7500,37.6300,36.6000,36.6600,1045900
2019-10-10,35.6100,36.2600,35.4600,35.7300,758000
2019-10-09,35.6400,35.7480,35.1150,35.2500,688300
2019-10-08,36.3800,36.3800,35.1300,35.1600,925500
2019-10-07,36.9300,37.3850,36.8100,36.9200,725200
2019-10-04,36.3700,37.2000,36.1700,37.1750,1044400
2019-10-03,36.6700,37.0390,35.7000,36.4900,1481100
2019-10-02,38.4300,38.5400,36.7800,36.9900,1220600
2019-10-01,40.8400,40.9600,39.0000,39.0200,948000
2019-09-30,40.9400,40.9400,40.3450,40.4700,686400
2019-09-27,40.9500,41.1800,40.3000,40.5200,1360700
2019-09-26,40.2100,40.8100,39.9000,40.7000,1087800
2019-09-25,40.0100,40.7000,39.9250,40.3600,1023200
2019-09-24,40.6200,40.9500,39.8300,39.9700,941100
2019-09-23,39.8900,40.8950,39.5300,40.6200,818100
2019-09-20,40.7800,41.1500,40.2500,40.3100,2116200
2019-09-19,40.2400,41.3300,39.9760,40.7500,1200500
2019-09-18,39.6700,40.1400,38.6700,40.0500,1227500
2019-09-17,39.4700,40.0600,38.8600,40.0400,973800
2019-09-16,40.3000,40.6950,39.7500,39.8200,1019200
2019-09-13,39.9900,41.0700,39.5600,40.6300,1376900
2019-09-12,38.7200,39.6100,36.3560,39.4900,860300
2019-09-11,39.2600,39.7200,38.5400,39.3000,1053300
2019-09-10,38.0500,39.3200,37.9400,39.1000,2107600
2019-09-09,36.8100,37.9700,36.4900,37.8300,1823200
2019-09-06,36.4700,37.1100,36.1200,36.4800,968100
2019-09-05,35.9300,37.1100,35.3700,36.3900,817500
2019-09-04,35.1000,35.3100,34.6400,35.0700,756800
2019-09-03,34.6700,35.1600,33.6600,34.5700,964100
2019-08-30,35.1300,35.5600,34.9700,35.2600,946100
2019-08-29,35.2200,35.4100,34.6300,34.7500,1045400
2019-08-28,34.5000,35.0400,33.9340,34.6500,883100
2019-08-27,35.6100,35.7000,34.2500,34.6200,752300
2019-08-26,35.3500,35.3500,34.6000,35.2500,686300
2019-08-23,35.1400,35.7800,34.0700,34.2800,764100
2019-08-22,35.7600,36.0000,35.3100,35.6000,610400
2019-08-21,35.4000,35.5500,35.1600,35.3900,605000
2019-08-20,35.0800,35.5550,34.7000,34.8500,1100600
2019-08-19,36.0600,36.2100,35.5600,35.6000,1077300
2019-08-16,34.4000,35.7200,34.3650,35.2400,859000
2019-08-15,34.3800,34.5800,33.5300,33.8200,1104600
2019-08-14,34.4100,34.5000,33.8500,34.2200,1241400
2019-08-13,33.4600,35.4500,33.4000,35.1500,1470500
2019-08-12,34.1200,34.4000,33.7000,33.7400,515500
2019-08-09,35.6500,35.6789,34.5150,34.7600,707500
2019-08-08,35.3800,35.9500,35.2200,35.9200,969900
2019-08-07,34.5000,35.0800,33.1510,34.9300,1429800
2019-08-06,36.8000,37.6300,34.5600,35.7800,1606500
2019-08-05,33.4800,34.0200,33.1600,33.8400,1522700
2019-08-02,35.7300,35.7440,34.0300,34.6000,1008600
2019-08-01,39.0400,39.0400,35.7300,35.7700,1165600
2019-07-31,39.2100,39.5400,38.7600,39.1700,1050100
2019-07-30,38.4500,39.2500,38.0400,39.2400,560900
2019-07-29,39.2500,39.4800,38.5200,38.8600,736800
2019-07-26,38.6000,39.4000,38.4100,39.3000,653800
2019-07-25,39.3700,39.4594,38.4700,38.5600,822500
2019-07-24,38.1468,39.2000,37.9820,39.1000,793100
2019-07-23,37.4800,38.5900,37.2000,38.3500,860400
2019-07-22,37.5600,37.7503,37.0100,37.2000,612800
2019-07-19,37.5400,38.1269,36.9000,37.5600,985400
2019-07-18,37.0800,37.5950,36.7400,37.2900,1207000
2019-07-17,37.6800,37.7100,37.0711,37.2300,474200
2019-07-16,38.0300,38.3400,37.7400,37.9500,635100
2019-07-15,38.5200,38.5200,37.6800,38.0600,894600
2019-07-12,38.0200,38.4900,37.7600,38.3400,614200
2019-07-11,37.5100,38.0100,37.3900,37.8100,630700
2019-07-10,37.4100,37.9616,37.0600,37.3200,676800
2019-07-09,36.7400,37.7400,36.7416,37.5700,832500
2019-07-08,36.7000,37.3200,36.4050,37.0400,722100
2019-07-05,36.9600,37.5200,36.2500,37.1000,579800
2019-07-03,36.2800,36.9385,36.0300,36.6200,571100
2019-07-02,36.8000,36.8390,35.8900,36.1500,941500
2019-07-01,37.3300,38.0250,36.7500,37.0100,1225800
2019-06-28,35.7900,36.6900,35.6450,36.6900,1573400
2019-06-27,34.6500,35.1500,34.3000,35.0300,1529200
2019-06-26,33.9800,34.4818,33.6100,34.3600,1621200
2019-06-25,34.0900,36.0577,32.5300,33.6600,7467700
2019-06-24,37.9400,38.6500,37.8000,38.1200,659100
2019-06-21,38.4900,38.6400,37.9200,38.1100,1821800
2019-06-20,38.5000,38.5800,37.6900,38.4500,1276700
2019-06-19,38.5100,38.9800,37.8600,38.0000,1197500
2019-06-18,37.7800,38.9602,37.6100,38.2400,1169800
2019-06-17,38.2000,38.8300,37.5600,37.6500,953400
2019-06-14,38.4389,38.5900,37.8500,38.4500,495700
2019-06-13,38.6900,38.9400,38.1800,38.4600,1275700
2019-06-12,39.1800,39.2000,38.2600,38.4200,1223700
2019-06-11,39.1200,39.5600,39.0300,39.1900,1656000
2019-06-10,38.2900,39.3300,38.2900,38.5400,1426700
2019-06-07,37.2600,38.0650,37.1800,37.9600,1546600
2019-06-06,36.8200,37.4500,36.6200,37.4300,1226100
2019-06-05,37.8600,38.0500,36.3700,36.6900,1395900
2019-06-04,36.7300,38.0000,36.7200,37.9900,1130500
2019-06-03,35.3900,36.2191,35.1400,35.8900,1874400
2019-05-31,36.3100,36.3150,35.3100,35.4900,982600
2019-05-30,37.5800,38.3776,36.9500,37.1500,672800
2019-05-29,36.7800,37.5300,36.4900,37.3700,866700
2019-05-28,37.6900,38.0300,37.3300,37.3800,1313400
2019-05-24,36.9400,37.8000,36.9000,37.7600,778500
2019-05-23,37.4800,38.3000,36.2000,36.5600,1202200
2019-05-22,38.2985,38.6100,38.0100,38.2300,678400
2019-05-21,37.7300,39.0200,37.5600,38.7400,839200
2019-05-20,37.1100,38.0100,37.1087,37.4200,873000
2019-05-17,37.7600,38.2500,37.3750,37.4100,1018900
2019-05-16,38.2800,39.0000,38.0100,38.3700,1409600
2019-05-15,37.1008,37.8100,36.6500,37.7100,1048000
2019-05-14,36.7700,38.0200,36.5200,37.8300,1508900
2019-05-13,38.0800,38.5200,36.2600,36.5000,1775200
2019-05-10,39.3100,39.7200,38.6800,39.3500,1202900
2019-05-09,39.6200,40.1650,39.1150,39.7100,1086900
2019-05-08,40.1000,41.3700,39.7391,40.2000,1285100
2019-05-07,39.0100,41.6200,38.2200,40.1600,1907800
2019-05-06,41.0700,43.2400,41.0200,42.8300,2043700
2019-05-03,42.2500,42.7600,41.9300,42.2200,1721700
2019-05-02,41.9400,42.5700,41.1000,41.8500,1717700
2019-05-01,41.8500,42.6200,41.0450,41.9500,2210600
2019-04-30,41.7900,42.0500,40.9700,41.7900,876700
2019-04-29,41.1100,42.1450,40.8000,41.7900,1359900
2019-04-26,40.1700,41.1200,40.0300,40.9700,1176800
2019-04-25,40.0100,40.7989,39.8600,40.2900,931000
2019-04-24,40.9000,40.9000,40.2100,40.2500,1365600
2019-04-23,41.0100,41.4350,40.6000,41.1300,1179300
2019-04-22,41.0000,41.2800,40.6600,41.0100,620500
2019-04-18,41.3501,41.4900,40.8800,41.1900,1649300
2019-04-17,41.9100,42.0750,41.1100,41.2200,1385900
2019-04-16,40.5500,41.8000,40.5500,41.5700,1634600
2019-04-15,39.9600,40.4350,39.7017,40.2700,2570100
2019-04-12,40.2400,41.1300,39.5800,39.9800,1832200
2019-04-11,38.9600,40.0100,38.9060,39.5300,1119100
2019-04-10,38.2300,38.8000,37.9900,38.7300,1116400
2019-04-09,38.3400,38.5000,37.5700,37.9800,1370500
2019-04-08,37.7300,38.7300,37.7300,38.7100,1569500
2019-04-05,37.7100,38.1400,37.5500,37.8200,1400900
2019-04-04,36.6000,37.9200,36.3200,37.4800,1938400
2019-04-03,37.3800,38.0950,36.9600,37.3000,4041500
2019-04-02,37.9500,38.6900,36.6800,37.0700,28621700
2019-04-01,36.9600,38.7000,36.8200,38.2400,2654800
2019-03-29,35.9400,36.4806,35.9250,36.2900,1621400
2019-03-28,35.3400,35.7300,35.0100,35.5600,1743200
2019-03-27,36.1000,36.6014,34.6900,35.2800,2671500
2019-03-26,35.3400,36.2800,35.3050,35.9900,1515800
2019-03-25,35.5100,35.8460,34.7000,34.9200,1551700
2019-03-22,37.7400,37.8490,35.5000,35.5400,1948700
2019-03-21,37.8200,38.2300,36.7700,38.1500,2144000
2019-03-20,40.1300,40.6600,37.9528,38.0300,1496600
2019-03-19,40.8400,41.0000,40.0300,40.1300,1116400
2019-03-18,39.6800,41.0500,39.6800,40.5800,1252200
2019-03-15,38.7700,39.7200,38.6600,39.5700,3907100
2019-03-14,38.5900,38.9900,38.0900,38.7700,1016600
2019-03-13,38.8300,38.8300,38.4400,38.5900,2214800
2019-03-12,37.9500,38.6700,37.7100,38.6200,2078500
2019-03-11,37.8800,38.4700,37.5700,37.7600,2256600
2019-03-08,37.1000,37.7400,36.8450,37.6200,874900
2019-03-07,38.3600,38.3600,37.3000,37.5300,1973200
2019-03-06,39.4300,39.8300,38.6700,38.8000,895300
2019-03-05,39.5700,39.6500,38.6300,39.4700,1200800
2019-03-04,39.0800,40.2199,38.8000,39.4400,1960600
2019-03-01,39.0500,39.6000,38.6900,38.9700,1681500
2019-02-28,39.5300,39.9100,38.1100,38.7200,2528400
2019-02-27,42.3200,42.5280,40.1898,40.9500,2617300
2019-02-26,43.0800,43.8300,42.5900,42.6200,1150000
2019-02-25,43.3536,44.1200,43.2500,43.4300,1199100
2019-02-22,43.0925,43.4100,42.8200,43.0800,823000
2019-02-21,43.4100,44.0100,42.9710,43.1600,1276300
2019-02-20,42.8500,43.3850,42.3100,43.3400,999900
2019-02-19,41.7500,42.9700,41.7500,42.7600,1038100
2019-02-15,41.3600,41.9800,41.0800,41.9500,1093800
2019-02-14,40.9800,41.3900,40.6200,40.9400,1188900
2019-02-13,40.9700,41.5800,40.1700,41.3800,1557600
2019-02-12,38.1900,40.7700,37.1400,40.6800,3428600
2019-02-11,35.3500,35.8800,35.0200,35.7000,1092300
2019-02-08,35.6800,35.9550,34.4516,35.2700,913800
2019-02-07,36.9800,37.0700,35.3200,35.8500,1032300
2019-02-06,37.3799,38.1300,37.1700,37.3500,861500
2019-02-05,37.1900,37.6200,36.8900,37.4800,721200
2019-02-04,37.4600,37.6100,36.9900,37.1200,775400
2019-02-01,37.4900,37.7600,36.9900,37.4300,971400
2019-01-31,36.7200,37.3800,36.6700,37.3400,677300
2019-01-30,36.7700,37.1000,36.2900,37.0500,682200
2019-01-29,37.2200,37.2700,36.5200,36.5300,748600
2019-01-28,37.1100,37.7750,36.9600,37.2800,1035800
2019-01-25,36.8300,37.8000,36.7782,37.6700,917100
2019-01-24,35.2700,36.5200,35.2710,36.4300,808600
2019-01-23,35.8562,35.9500,34.6300,35.5800,1044000
2019-01-22,35.9600,36.3200,35.3900,35.5800,1299500
2019-01-18,35.8500,36.4500,35.6200,36.4300,1271300
2019-01-17,34.9400,35.5993,34.7100,35.5200,1052900
2019-01-16,34.4300,35.2500,34.1700,35.0300,1281600
2019-01-15,33.7000,34.4350,33.7000,34.2400,1309000
2019-01-14,33.0300,34.1150,33.0300,33.8100,1190500
2019-01-11,33.1600,33.9450,32.9141,33.5600,1265700
2019-01-10,33.2300,34.5000,33.0300,33.5300,1697100
2019-01-09,32.7300,33.9500,32.4600,33.4000,1345300
2019-01-08,32.9600,33.4900,32.1700,32.7400,1047400
2019-01-07,32.5600,33.2100,32.1300,32.6300,1090100
2019-01-04,32.0500,33.0100,31.8504,32.8100,990200
2019-01-03,31.4200,32.0150,30.9800,31.3000,919100
2019-01-02,30.0200,32.0600,29.7400,31.7200,1230600
2018-12-31,31.2600,31.7300,30.1400,30.4800,1682100
2018-12-28,31.9500,32.2990,31.0100,31.1100,1705300
2018-12-27,30.3100,31.6200,30.2200,31.5900,1347200
2018-12-26,29.1600,31.1500,28.5200,31.1300,1458000
2018-12-24,29.3501,29.9700,28.7100,29.0700,767700
2018-12-21,31.2200,31.6000,29.3500,29.7000,3272300
2018-12-20,31.7900,32.4310,30.9100,31.3200,1971900
2018-12-19,32.1700,33.5200,31.7669,31.9500,2193800
2018-12-18,32.1700,33.5700,32.1700,32.4200,2806400
2018-12-17,31.7800,32.9900,31.4600,32.0400,2042700
2018-12-14,32.5000,33.0300,31.3400,31.9300,2152500
2018-12-13,33.3400,33.4990,32.5300,33.0500,1972200
2018-12-12,32.9600,33.7600,32.5800,33.1900,1495400
2018-12-11,33.6200,34.0200,32.4000,32.4300,2604900
2018-12-10,34.2900,34.9600,32.7900,33.0500,3206600
2018-12-07,35.8100,36.6300,34.2700,34.4700,2092700
2018-12-06,37.8900,38.1500,35.2600,35.8200,3500800
2018-12-04,40.6200,40.7400,38.6800,38.8100,2583500
2018-12-03,40.8700,41.8600,40.3500,40.7100,1243500
2018-11-30,39.8700,40.4000,39.5800,40.2600,1065900
2018-11-29,40.1400,40.8900,39.9700,40.0400,1106600
2018-11-28,39.1700,40.4600,38.4000,40.4600,1409200
2018-11-27,39.3300,39.7600,39.2100,39.3500,986500
2018-11-26,38.7300,39.5700,38.6600,39.4900,864400
2018-11-23,38.3100,38.5800,37.9200,38.0200,382600
2018-11-21,38.4000,39.5300,38.0300,38.5800,937200
2018-11-20,39.3100,39.5400,38.2300,38.2700,869000
2018-11-19,39.4800,39.8600,39.0400,39.5900,1030500
2018-11-16,40.1800,40.4600,38.5600,39.5800,1349300
2018-11-15,40.1200,40.9600,39.7811,40.4600,997400
2018-11-14,41.7300,42.2750,40.0400,40.6600,1353900
2018-11-13,41.2200,42.2000,40.7900,41.1900,1018800
2018-11-12,41.3900,41.8150,40.8500,41.0300,803500
2018-11-09,43.1600,43.1600,41.4900,41.5700,1084200
2018-11-08,43.1500,43.9600,42.7200,43.3700,824500
2018-11-07,44.5400,44.5400,42.2200,43.1900,1863800
2018-11-06,43.4000,45.4232,43.4000,44.0300,3482300
2018-11-05,41.1500,42.6900,40.9219,42.6100,2653900
2018-11-02,41.0800,41.9919,40.2800,40.9200,1918100
2018-11-01,39.8700,41.0160,39.8500,40.5700,1012400
2018-10-31,39.0400,40.2900,39.0000,39.6300,1111600
2018-10-30,38.4700,39.1000,37.6800,38.9100,1250400
2018-10-29,38.9100,39.6400,37.7200,38.1900,974300
2018-10-26,39.5100,39.6600,38.3000,38.4600,1035900
2018-10-25,39.5700,40.6200,39.3300,40.1000,1375000
2018-10-24,40.5000,40.5000,39.1100,39.2500,2531200
2018-10-23,40.1700,40.8600,39.6500,40.5600,1694300
2018-10-22,42.0300,42.4800,40.8100,41.0600,1556900
2018-10-19,41.3600,42.5800,40.9391,41.9800,1418000
2018-10-18,43.8900,43.9700,41.2900,41.7000,1157200
2018-10-17,43.7400,45.0000,43.7300,44.0600,1262500
2018-10-16,43.5600,43.9400,42.8291,43.9000,1000300
2018-10-15,42.8898,43.9810,42.7240,43.4800,1447800
2018-10-12,43.9300,44.2700,41.8450,42.9900,2321500
2018-10-11,44.4700,44.8400,42.8300,43.2000,4754000
2018-10-10,45.9100,46.0702,44.7700,44.9500,2092100
2018-10-09,46.2100,46.4500,45.5000,45.7700,664100
2018-10-08,45.6261,46.7300,45.6200,46.3200,758500
2018-10-05,46.5000,47.3300,45.8600,46.0700,702200
2018-10-04,45.4300,46.6600,45.2700,46.3400,1144900
2018-10-03,44.4000,46.2218,44.0600,45.3300,1313000
2018-10-02,44.1000,44.7900,43.7100,44.1800,750000
2018-10-01,44.4800,45.0200,43.8200,44.2900,725900
2018-09-28,43.6100,44.5950,42.6500,44.2400,1064000
2018-09-27,44.1700,44.7100,43.4100,44.1800,715300
2018-09-26,44.9700,45.2600,43.9800,44.0700,666800
2018-09-25,45.2300,45.5500,44.6450,44.8300,640600
2018-09-24,46.3700,46.3700,44.4200,45.1600,1234100
2018-09-21,46.4200,46.4900,45.7400,46.4500,2013000
2018-09-20,44.6469,46.4300,44.6100,46.2400,1749800
2018-09-19,43.3000,44.8550,43.3000,44.2900,1408700
2018-09-18,41.5700,43.3000,41.5700,43.2600,1086700
2018-09-17,42.1834,42.8900,41.4000,41.5900,786500
2018-09-14,40.9700,41.9800,40.9300,41.9700,748400
2018-09-13,40.1700,41.1600,40.1700,40.7900,762000
2018-09-12,40.5800,40.7200,40.0500,40.2000,466400
2018-09-11,39.8100,40.8814,39.5500,40.5400,1016800
2018-09-10,40.2300,40.4150,39.8500,40.0000,787800
2018-09-07,40.2000,40.4300,39.7900,40.1400,864300
2018-09-06,41.3900,41.5309,40.1900,40.2100,730800
2018-09-05,40.6400,41.8400,40.5700,41.3600,1140100
2018-09-04,41.3200,41.3500,40.3592,40.7500,895300
2018-08-31,41.2100,41.7500,41.0600,41.5100,605200
2018-08-30,41.9500,41.9500,41.1300,41.4100,672500
2018-08-29,42.2600,42.3800,41.1600,42.0600,580800
2018-08-28,42.0900,42.6300,41.9700,42.3700,647700
2018-08-27,41.6200,42.5000,41.5850,42.0300,573400
2018-08-24,41.3700,41.7200,41.2500,41.3700,346100
2018-08-23,41.5800,41.5800,40.9550,41.2100,729500
2018-08-22,42.0600,42.1000,41.0564,41.8000,929900
2018-08-21,41.2900,42.5500,40.9200,42.1700,707700
2018-08-20,41.4800,41.7287,41.0100,41.3800,657800
2018-08-17,41.5400,42.1900,41.4200,41.4800,1009900
2018-08-16,40.8700,41.9300,40.6518,41.7600,1050700
2018-08-15,40.9000,41.0700,40.2500,40.6300,952400
2018-08-14,39.9500,41.2200,39.9100,41.0900,1140200
2018-08-13,39.9800,40.3400,39.5000,39.7500,1512300
2018-08-10,41.7600,42.0700,39.6200,39.9600,2440400
2018-08-09,43.5600,43.6500,42.5700,42.6400,801900
2018-08-08,43.7400,43.8400,42.9200,43.5600,1066200
2018-08-07,43.7800,45.6715,43.2700,43.5100,2365000
2018-08-06,43.7700,44.4200,43.6200,44.1800,1054300
2018-08-03,43.1900,43.8700,43.1200,43.7900,827800
2018-08-02,42.9800,43.5912,42.1900,43.2300,1002900
2018-08-01,43.3500,44.3800,43.2400,43.3100,1487600
2018-07-31,43.2500,43.4688,42.8700,43.4300,723800
2018-07-30,42.3200,43.4400,42.1100,42.9700,783000
2018-07-27,42.7000,43.2600,42.0900,42.2500,676800
2018-07-26,42.1300,42.9550,41.9250,42.6100,740600
2018-07-25,42.3500,42.4550,41.2356,42.0300,906900
2018-07-24,42.3000,43.0200,42.2270,42.5500,927500
2018-07-23,40.9600,42.7400,40.8500,42.2000,1200700
2018-07-20,40.6900,41.0942,40.1800,41.0500,934200
2018-07-19,41.3500,41.5700,40.5400,40.8800,763400
2018-07-18,41.2200,41.8000,41.0450,41.5400,763800
2018-07-17,41.0900,41.3900,40.8900,41.2800,795400
2018-07-16,40.6600,41.2800,40.6100,41.1600,982600
2018-07-13,40.9900,41.1100,40.3200,40.5300,1830500
2018-07-12,41.3500,41.4900,40.6700,41.2000,1399000
2018-07-11,41.9000,43.2400,41.0200,41.1900,1215900
2018-07-10,43.1400,43.4100,42.0900,42.1300,2043600
2018-07-09,41.7600,43.7100,41.6700,43.2900,1997500
2018-07-06,41.0800,41.8600,40.8100,41.7100,1216300
2018-07-05,40.8106,41.4800,40.2400,41.4300,1497700
2018-07-03,40.8800,41.0700,40.2300,40.6000,685000
2018-07-02,40.0513,40.8300,39.2400,40.7800,2140000
2018-06-29,41.1500,42.2900,40.0600,40.0700,1928600
2018-06-28,40.2100,40.4500,39.5200,40.1900,2176700
2018-06-27,42.3800,42.3800,40.2200,40.2300,2469400
2018-06-26,43.3000,43.3780,42.0100,42.4800,1829300
2018-06-25,44.2500,44.7500,43.1100,43.2300,1213100
2018-06-22,45.4100,45.5000,44.2600,44.4900,7755400
2018-06-21,45.8000,45.8000,44.6300,45.0100,2006000
2018-06-20,45.8900,46.1900,45.2900,45.6100,1599200
2018-06-19,45.4800,46.3200,45.2200,45.6700,3397700
2018-06-18,44.7500,46.1800,44.6100,46.0200,3048900
2018-06-15,45.0000,46.0000,44.6200,45.0500,11277800
2018-06-14,45.9995,46.8400,44.9500,45.2600,1677300
2018-06-13,44.9300,47.9000,44.7200,46.1800,2266000
2018-06-12,46.9100,46.9100,45.8600,46.0400,919700
2018-06-11,46.9100,47.2300,46.6510,46.7400,794600
2018-06-08,46.6700,46.7750,46.1500,46.7000,772000
2018-06-07,47.0200,47.0200,46.3200,46.7000,621600
2018-06-06,46.9700,47.1400,46.4800,46.8100,649100
2018-06-05,46.8900,46.8900,46.1800,46.7700,855900
2018-06-04,47.3900,47.8300,46.5750,46.8900,936900
2018-06-01,47.6100,48.3900,47.2100,47.2800,903300
2018-05-31,47.9900,47.9900,46.1400,47.1100,1796500
2018-05-30,46.5300,48.4200,46.4800,48.2600,787200
2018-05-29,47.5600,48.1825,46.3000,46.4000,1058800
2018-05-25,48.0200,48.4900,47.9290,48.2800,420600
2018-05-24,47.9800,48.3619,47.8100,48.3200,515800
2018-05-23,47.3300,48.3600,47.3100,48.1000,819300
2018-05-22,47.5700,47.9800,47.2800,47.7000,1095000
2018-05-21,47.2900,48.0400,47.0700,47.5900,869600
2018-05-18,47.8500,47.8455,46.7600,47.1800,1178400
2018-05-17,47.5600,48.3400,47.5600,47.9700,1511100
2018-05-16,48.2600,48.3700,46.8500,47.5800,1527500
2018-05-15,48.5400,49.4100,48.2800,48.4200,870000
2018-05-14,48.1100,49.2600,48.0600,48.8000,954300
2018-05-11,48.8769,49.2400,48.0300,48.1100,740600
2018-05-10,49.1200,49.8104,48.0700,48.6700,1769900
2018-05-09,50.6300,50.6500,48.6300,49.0100,1953500
2018-05-08,50.1000,52.7700,50.0000,50.2600,1816300
2018-05-07,49.7300,50.5100,49.0900,50.3000,1001100
2018-05-04,47.7042,50.1200,47.6300,49.7300,739400
2018-05-03,48.0000,48.4400,46.6200,48.0600,1293700
2018-05-02,50.6300,50.8600,48.1000,48.2000,925000
2018-05-01,50.4900,51.0100,49.9900,50.8800,705100
2018-04-30,52.0500,52.2200,50.7500,50.7800,513400
2018-04-27,51.6100,51.9500,50.8700,51.8400,356200
2018-04-26,51.4300,52.2000,50.5200,51.6700,401100
2018-04-25,50.9800,51.3900,50.1700,51.3800,568200
2018-04-24,51.9300,52.4445,51.0800,51.4100,587800
2018-04-23,51.5900,51.8800,51.1000,51.6000,456300
2018-04-20,52.0849,52.0800,51.1100,51.5300,582000
2018-04-19,51.2404,52.0300,51.0400,51.9600,587600
2018-04-18,50.8500,51.5980,50.7200,51.5000,584600
2018-04-17,50.6300,51.0300,50.2400,50.8300,578200
2018-04-16,50.3100,50.8000,50.0200,50.5600,712300
2018-04-13,51.0500,51.3500,49.8900,50.2000,1003700
2018-04-12,49.6300,50.8583,49.6300,50.5600,561400
2018-04-11,50.7900,50.8650,49.8500,49.9200,915200
2018-04-10,50.4500,51.6400,50.3800,51.1500,854900
2018-04-09,50.5000,51.1900,50.0100,50.0800,598000
2018-04-06,51.1300,51.2400,49.9100,50.2400,558600
2018-04-05,51.0600,52.1800,50.6600,51.9200,760900
2018-04-04,49.7167,50.9300,49.2400,50.6700,653700
2018-04-03,50.0600,50.7900,49.5600,50.5100,613800
2018-04-02,50.8800,51.6000,49.0500,49.9300,1016700
2018-03-29,51.5000,51.9191,51.2350,51.4000,621100
2018-03-28,50.6300,51.6300,49.6200,51.0400,882500
2018-03-27,51.9900,52.2810,50.2900,50.6300,646300
2018-03-26,51.5800,52.8950,50.5600,52.1100,584700
2018-03-23,52.5400,52.7450,50.7300,50.7600,919700
2018-03-22,53.3800,54.0750,52.1000,52.4000,861700
2018-03-21,54.0000,54.6500,53.5350,53.8300,385500
2018-03-20,53.4000,54.2500,53.4000,54.0600,581100
2018-03-19,54.8700,54.8750,52.8000,53.2000,694200
2018-03-16,52.5100,54.9000,52.5100,54.7300,1671800
2018-03-15,52.7100,53.1100,52.1800,52.5100,522200
2018-03-14,53.8600,54.1903,52.6300,52.6800,550900
2018-03-13,54.0000,54.3200,53.2630,53.4600,510600
2018-03-12,54.0400,54.3200,53.4200,53.7800,583900
2018-03-09,52.2200,54.0445,52.1580,53.8600,790500
2018-03-08,52.3900,52.9650,51.3200,51.8500,655100
2018-03-07,52.1500,52.9400,51.8000,52.3800,884200
2018-03-06,52.9900,53.6300,52.2200,52.8600,552100
2018-03-05,51.8000,52.9226,50.7600,52.7400,908900
2018-03-02,53.1000,53.3000,50.9400,51.9500,1377200
2018-03-01,54.1600,55.0800,52.8600,53.4700,960800
2018-02-28,55.5800,56.5100,54.1500,54.2700,833900
2018-02-27,55.8700,56.9000,55.5900,55.6100,1060200
2018-02-26,55.6600,56.0900,55.4100,55.9900,491200
2018-02-23,55.3700,55.6500,54.5000,55.3400,803200
2018-02-22,57.4900,58.2200,55.1400,55.1700,892900
2018-02-21,57.6900,59.0100,57.4300,57.4400,750600
2018-02-20,56.7600,57.8200,56.3100,57.6600,1010900
2018-02-16,56.0100,57.0100,56.0100,56.8200,938000
2018-02-15,56.7000,58.1600,55.7500,56.0800,1396700
