date,open,high,low,close,volume
2019-06-07,0.0570,0.0590,0.0560,0.0580,20140000
2019-06-06,0.0600,0.0600,0.0560,0.0570,59740000
2019-06-04,0.0590,0.0600,0.0580,0.0600,14300000
2019-06-03,0.0580,0.0600,0.0580,0.0600,21240000
2019-05-31,0.0590,0.0590,0.0580,0.0590,9410000
2019-05-30,0.0600,0.0610,0.0580,0.0590,29790000
2019-05-29,0.0600,0.0610,0.0600,0.0610,2350000
2019-05-28,0.0620,0.0620,0.0590,0.0600,13180000
2019-05-24,0.0600,0.0610,0.0580,0.0610,66640000
2019-05-23,0.0610,0.0630,0.0600,0.0600,26850000
2019-05-22,0.0620,0.0620,0.0600,0.0610,39990000
2019-05-21,0.0620,0.0650,0.0610,0.0610,24750000
2019-05-20,0.0660,0.0660,0.0630,0.0630,20180000
2019-05-17,0.0650,0.0670,0.0650,0.0660,1830000
2019-05-16,0.0650,0.0660,0.0650,0.0660,3810000
2019-05-15,0.0660,0.0660,0.0650,0.0660,5690000
2019-05-14,0.0660,0.0670,0.0650,0.0650,13290000
2019-05-13,0.0670,0.0670,0.0670,0.0670,0
2019-05-10,0.0670,0.0680,0.0660,0.0670,26030000
2019-05-09,0.0680,0.0680,0.0670,0.0670,22190000
2019-05-08,0.0690,0.0700,0.0680,0.0700,25690000
2019-05-07,0.0710,0.0710,0.0690,0.0700,13500000
2019-05-06,0.0700,0.0740,0.0690,0.0710,77480000
2019-05-03,0.0700,0.0710,0.0700,0.0700,9700000
2019-05-02,0.0700,0.0730,0.0700,0.0700,24630000
2019-05-01,0.0690,0.0690,0.0690,0.0690,0
2019-04-30,0.0690,0.0690,0.0680,0.0690,8230000
2019-04-29,0.0690,0.0700,0.0680,0.0680,16960000
2019-04-26,0.0700,0.0710,0.0690,0.0700,21710000
2019-04-25,0.0700,0.0710,0.0700,0.0700,7990000
2019-04-24,0.0720,0.0720,0.0700,0.0710,18480000
2019-04-23,0.0730,0.0730,0.0710,0.0720,17290000
2019-04-22,0.0730,0.0740,0.0730,0.0730,13960000
2019-04-18,0.0730,0.0730,0.0730,0.0730,0
2019-04-17,0.0730,0.0750,0.0730,0.0730,26200000
2019-04-16,0.0740,0.0750,0.0720,0.0730,28990000
2019-04-15,0.0720,0.0760,0.0720,0.0740,100860000
2019-04-12,0.0720,0.0720,0.0710,0.0720,11340000
2019-04-11,0.0700,0.0720,0.0700,0.0710,30470000
2019-04-10,0.0720,0.0720,0.0700,0.0710,30390000
2019-04-09,0.0720,0.0720,0.0720,0.0720,0
2019-04-08,0.0710,0.0730,0.0710,0.0720,13380000
2019-04-05,0.0710,0.0720,0.0700,0.0710,19760000
2019-04-04,0.0710,0.0740,0.0710,0.0720,42260000
2019-04-03,0.0710,0.0730,0.0690,0.0720,64060000
2019-04-02,0.0690,0.0710,0.0690,0.0690,52330000
2019-04-01,0.0670,0.0690,0.0670,0.0680,34760000
2019-03-29,0.0700,0.0700,0.0660,0.0680,166180000
2019-03-28,0.0730,0.0740,0.0720,0.0730,14720000
2019-03-27,0.0740,0.0740,0.0720,0.0730,35110000
2019-03-26,0.0730,0.0740,0.0720,0.0730,50190000
2019-03-25,0.0740,0.0750,0.0720,0.0730,50240000
2019-03-22,0.0730,0.0750,0.0730,0.0730,42260000
2019-03-21,0.0740,0.0750,0.0720,0.0730,60760000
2019-03-20,0.0760,0.0760,0.0730,0.0750,24110000
2019-03-19,0.0740,0.0760,0.0730,0.0760,85260000
2019-03-18,0.0770,0.0770,0.0730,0.0740,149400000
2019-03-15,0.0750,0.0780,0.0740,0.0760,61940000
2019-03-14,0.0790,0.0800,0.0740,0.0750,222500000
2019-03-13,0.0770,0.0810,0.0770,0.0790,338850000
2019-03-12,0.0730,0.0740,0.0720,0.0740,100620000
2019-03-11,0.0710,0.0730,0.0710,0.0720,39610000
2019-03-08,0.0760,0.0780,0.0710,0.0710,532300000
