date,open,high,low,close,volume
2019-11-08,78.3400,78.5100,78.0400,78.4800,1051127
2019-11-07,78.7100,78.8100,77.9000,78.3800,1237800
2019-11-06,79.5100,79.6600,79.1100,79.3300,916900
2019-11-05,79.4500,79.5800,78.7900,79.1000,1993800
2019-11-04,79.5200,79.5400,78.7700,79.4200,2009000
2019-11-01,80.3400,80.5200,79.2700,79.3600,1862200
2019-10-31,80.7900,80.9800,80.3300,80.7700,2402600
2019-10-30,80.4100,81.4400,80.1400,80.9500,2220600
2019-10-29,80.7000,80.7700,79.9600,80.3300,1643500
2019-10-28,81.6200,81.8100,80.7500,80.9800,1756600
2019-10-25,84.0000,84.3600,81.5600,81.8300,5812500
2019-10-24,92.0100,92.0500,91.4500,91.6000,749100
2019-10-23,90.9500,91.7400,90.5900,91.4600,889700
2019-10-22,92.1300,92.6000,91.8400,91.8900,869400
2019-10-21,93.6000,93.7000,93.1000,93.4300,707800
2019-10-18,92.8600,93.3200,92.7600,93.0300,583900
2019-10-17,93.4900,93.5600,92.8300,93.2800,1068300
2019-10-16,92.5400,92.5400,92.0000,92.2800,631500
2019-10-15,92.0800,92.8600,91.6900,92.0800,1467400
2019-10-14,91.8900,92.1000,91.2500,91.2800,1055100
2019-10-11,92.5400,92.6800,92.0500,92.3100,756000
2019-10-10,91.4600,92.2800,91.3100,91.5600,917600
2019-10-09,92.9100,93.0600,92.3100,92.5300,646400
2019-10-08,92.7600,92.7800,91.7100,91.9500,792900
2019-10-07,93.5100,93.9600,92.9900,93.0000,904500
2019-10-04,91.4000,93.3900,91.3100,93.3300,1232100
2019-10-03,90.5600,92.2400,89.8700,91.9000,2054700
2019-10-02,92.5700,92.7800,90.6100,91.0600,1161300
2019-10-01,94.5900,94.7500,92.8700,93.3400,1351600
2019-09-30,94.9700,95.7200,94.9300,95.1500,1212100
2019-09-27,95.3300,95.3300,94.1000,94.4200,807300
2019-09-26,94.4000,95.4800,94.4000,94.9800,588400
2019-09-25,94.4300,94.8500,94.0000,94.6100,765200
2019-09-24,94.6500,94.7300,93.2400,93.8300,1036500
2019-09-23,95.9400,96.5100,95.8900,96.3400,903100
2019-09-20,96.4300,96.8200,96.1300,96.3200,1167200
2019-09-19,95.9800,96.0900,94.9000,94.9800,864200
2019-09-18,96.3900,97.0500,96.3100,96.9000,1043000
2019-09-17,96.2200,97.2700,96.1800,96.9700,1443000
2019-09-16,95.9300,96.0600,95.6000,95.7400,598300
2019-09-13,96.3400,97.0100,96.0200,96.4000,1142000
2019-09-12,96.0700,98.3400,95.7400,97.4700,2552000
2019-09-11,92.2300,94.4300,92.1000,94.2700,1459600
2019-09-10,95.5200,95.5500,93.8000,94.2000,1453400
2019-09-09,93.1300,95.8400,93.1300,95.7800,2399400
2019-09-06,92.8400,93.6000,92.7900,93.5700,1121900
2019-09-05,94.1500,94.3800,93.0600,93.2500,1341000
2019-09-04,94.6300,95.0400,94.3700,94.7300,632200
2019-09-03,93.6800,94.1600,93.5000,93.9600,680000
2019-08-30,95.5000,95.5400,94.3200,94.5000,583800
2019-08-29,95.3100,95.5700,94.5400,95.2600,750400
2019-08-28,92.5600,93.7900,92.1400,93.6400,788100
2019-08-27,95.1500,95.3100,92.2800,92.9900,1521000
2019-08-26,94.7200,94.9900,94.2900,94.8000,1058900
2019-08-23,96.0100,96.3800,93.8600,94.1900,1018500
2019-08-22,96.2000,96.2700,95.0400,95.5800,953900
2019-08-21,96.1100,96.4100,95.6700,95.8700,785400
2019-08-20,95.4200,95.6500,94.8400,94.9500,969800
2019-08-19,96.2700,96.3600,93.0400,95.9200,946400
2019-08-16,94.5000,95.4600,93.0400,95.2900,929100
2019-08-15,93.2100,94.0700,93.0365,93.6300,1024600
2019-08-14,94.2700,94.3700,92.6393,93.3600,1945700
2019-08-13,95.2200,96.9800,95.0600,95.6700,1655400
2019-08-12,97.1400,97.3600,96.0000,96.2700,1420900
2019-08-09,98.4200,98.7900,97.3220,98.2200,1075900
2019-08-08,99.2063,99.2000,96.9100,98.5100,1463700
2019-08-07,96.8400,98.5400,96.4250,98.1700,1200400
2019-08-06,97.4000,98.1700,97.1300,97.7000,1181900
2019-08-05,97.7300,98.4400,97.2600,98.1900,1543900
2019-08-02,100.3100,100.6700,99.3800,100.1900,925800
2019-08-01,101.4900,102.5960,100.1900,100.4600,1583900
2019-07-31,101.1100,101.9900,99.7000,100.9800,1428000
2019-07-30,101.0000,101.6900,100.9100,101.5800,1393300
2019-07-29,101.9200,102.1300,101.2200,101.6700,2566200
2019-07-26,99.9422,100.8400,99.7000,100.4900,2464400
2019-07-25,100.7800,102.7000,98.3300,99.4900,6144600
2019-07-24,95.9000,96.2400,95.0600,95.5600,1708600
2019-07-23,95.5200,95.9100,95.2300,95.8300,2138800
2019-07-22,94.6300,95.2600,94.3900,94.9700,2205900
2019-07-19,94.4100,94.5400,93.0200,94.2800,5054900
2019-07-18,88.8700,90.3800,88.4200,89.3400,2210200
2019-07-17,89.4000,89.4000,88.1300,88.4200,1432000
2019-07-16,88.2800,88.3700,87.6400,88.0100,1523700
2019-07-15,87.7761,88.5800,87.6600,88.5600,2553100
2019-07-12,88.4900,88.8500,85.2500,86.9400,5686600
2019-07-11,90.4500,90.7900,89.2000,89.6600,2838000
2019-07-10,91.8800,91.8800,90.6100,91.3500,1657300
2019-07-09,91.9100,92.1100,91.2500,91.5100,1717700
2019-07-08,92.4800,92.6300,91.5600,91.6800,936300
2019-07-05,92.8300,92.8900,91.9600,92.7100,1112800
2019-07-03,93.4300,94.1600,92.8700,93.9300,1552500
2019-07-02,89.5700,90.8200,89.4667,90.6500,1459900
2019-07-01,88.5600,88.8200,87.8500,88.4300,1024900
2019-06-28,88.2200,88.6900,88.1200,88.5100,890500
2019-06-27,87.1800,87.2900,86.4000,87.2000,1107200
2019-06-26,88.7100,88.7100,87.3100,87.3700,897600
2019-06-25,89.5700,89.7000,88.3600,88.4000,1098100
2019-06-24,89.9300,90.5900,89.8280,90.0800,877500
2019-06-21,89.6400,90.4798,89.4300,90.0800,1226000
2019-06-20,89.7200,89.8300,89.0600,89.7400,1871700
2019-06-19,87.2100,88.2560,87.0700,87.9200,944400
2019-06-18,85.5700,87.2600,85.4900,86.8700,2427100
2019-06-17,83.9900,84.4400,83.8500,84.3200,779000
2019-06-14,84.3702,84.8300,84.0700,84.1800,814600
2019-06-13,86.3300,86.5700,85.5200,85.9300,725100
2019-06-12,86.6500,87.0000,86.5600,86.8000,701400
2019-06-11,85.8700,86.1900,85.3600,85.8100,885800
2019-06-10,85.6500,85.7000,85.1600,85.3300,1029700
2019-06-07,85.4100,85.7550,84.9548,85.3200,1174300
2019-06-06,83.6900,84.1400,83.4500,84.1000,953600
2019-06-05,84.0000,84.0600,83.2300,83.2700,1340200
2019-06-04,83.6600,83.9600,83.1650,83.9400,896000
2019-06-03,81.3900,82.3900,81.0100,82.2800,1409400
2019-05-31,80.3400,81.6249,80.0800,81.4000,1819700
2019-05-30,81.8900,82.6900,81.8700,82.3800,1169800
2019-05-29,81.3500,81.4800,80.5700,81.3000,1500800
2019-05-28,82.8700,83.1153,82.2500,82.3500,1122400
2019-05-24,82.8600,83.0900,82.2800,82.7600,828200
2019-05-23,82.1200,82.6100,81.9650,82.3000,1379900
2019-05-22,81.3200,82.8700,81.1600,82.6200,1200000
2019-05-21,81.1900,81.3600,80.8000,81.0000,1406500
2019-05-20,81.8000,81.9800,80.7900,81.0100,990100
2019-05-17,83.2800,83.4500,82.4800,82.6400,1147800
2019-05-16,83.0300,84.5900,83.0000,83.8800,1233100
2019-05-15,82.2500,84.1100,82.2300,83.8300,1637400
2019-05-14,82.4600,83.5200,82.4500,83.0100,879900
2019-05-13,81.8500,82.8300,81.8400,82.7300,1321400
2019-05-10,84.0700,84.4400,83.2950,84.1400,825800
2019-05-09,83.5200,84.2200,83.0400,83.9400,1033400
2019-05-08,84.6500,85.5030,84.4700,84.9400,1058500
2019-05-07,85.0700,85.6700,83.7700,84.2600,2062800
2019-05-06,87.0000,88.1900,86.8700,87.7700,1137500
2019-05-03,88.1000,88.5792,87.6900,88.1000,1070700
2019-05-02,88.4000,88.5200,87.1810,87.5400,1363800
2019-05-01,88.5600,89.3700,87.6000,87.8100,1667500
2019-04-30,88.3200,89.2000,88.2200,88.9400,625700
2019-04-29,87.3500,88.3700,87.2700,88.0100,840400
2019-04-26,87.3800,87.6250,86.8300,87.5800,920400
2019-04-25,86.8900,87.0200,86.0000,86.6400,1341700
2019-04-24,89.0200,89.1300,87.8200,88.2100,1038400
2019-04-23,88.5600,89.7900,88.5000,89.2500,755500
2019-04-22,89.6930,90.4700,89.5800,89.6000,970800
2019-04-18,89.4700,90.0200,89.2200,89.9600,1409200
2019-04-17,88.6500,88.7000,88.0800,88.3300,1071800
2019-04-16,89.0958,89.3000,88.6500,88.7200,803200
2019-04-15,89.0300,89.1810,88.7500,89.1100,680700
2019-04-12,88.4300,88.6900,88.1500,88.5400,1608300
2019-04-11,87.7600,88.0900,87.5000,87.9700,856300
2019-04-10,87.3000,87.3700,86.7600,87.2300,965300
2019-04-09,86.1500,86.5000,86.0000,86.4300,990400
2019-04-08,86.5700,86.5700,85.8200,86.0600,721500
2019-04-05,86.4100,86.9150,86.0700,86.3200,1495700
2019-04-04,84.4000,85.1300,84.1000,84.9900,1089000
2019-04-03,83.8257,84.1200,83.5000,83.8500,602400
2019-04-02,84.0500,84.5000,83.7100,84.1800,600900
2019-04-01,83.5600,83.8800,83.3700,83.6400,617200
2019-03-29,83.7400,84.2700,83.5450,83.9700,1094700
2019-03-28,82.2779,82.9500,82.1000,82.7000,1065600
2019-03-27,83.1200,83.3900,81.8800,82.4600,1770000
2019-03-26,82.0650,82.2500,81.7500,82.0300,915200
2019-03-25,80.0000,80.8000,79.9200,80.3500,813600
2019-03-22,82.1000,82.7400,80.7400,80.7400,1554800
2019-03-21,83.4800,83.9700,83.0300,83.9200,842500
2019-03-20,83.6300,84.0000,82.8600,83.4300,1578400
2019-03-19,84.7900,84.9630,83.7600,83.8700,2000400
2019-03-18,81.9065,82.2150,81.6600,82.0700,680400
2019-03-15,81.1700,81.4900,80.8600,81.2500,1573900
2019-03-14,80.0600,80.5300,79.6300,79.6500,1247100
2019-03-13,80.5500,80.8700,80.1800,80.7300,841100
2019-03-12,81.2600,81.3400,80.6180,80.7000,963600
2019-03-11,80.8100,81.1800,80.4200,80.8000,1156700
2019-03-08,80.3600,80.8600,80.2000,80.5800,794500
2019-03-07,80.5800,80.7400,80.1400,80.3600,1454400
2019-03-06,82.0700,82.4500,81.4700,82.1300,1444300
2019-03-05,81.9600,82.5900,81.7000,82.2000,1469200
2019-03-04,82.6000,82.6300,80.6150,81.7800,2089000
2019-03-01,82.0200,82.9500,81.8132,81.9600,4456100
2019-02-28,78.6900,78.8900,77.0700,78.1600,3024800
2019-02-27,74.9000,75.0800,74.4000,74.7200,1556000
2019-02-26,74.5000,75.4200,74.4100,75.2000,1559000
2019-02-25,75.4800,75.6700,74.4960,74.8600,2066800
2019-02-22,74.6000,75.0979,73.5700,75.0400,3278700
2019-02-21,77.4700,77.8600,77.1600,77.5000,731900
2019-02-20,76.9200,78.6000,76.9100,77.6800,992400
2019-02-19,76.4600,77.3500,76.2500,77.1100,846600
2019-02-15,77.1500,77.8100,76.8840,77.6900,1243800
2019-02-14,76.7800,76.8100,75.2300,75.9000,2109800
2019-02-13,77.7900,78.6600,77.6800,77.7400,1646200
2019-02-12,75.4700,76.6600,75.4700,76.3500,1348300
2019-02-11,76.1900,76.5600,76.1100,76.3700,1175100
2019-02-08,75.5800,76.1700,75.4300,76.1500,1480900
2019-02-07,76.8700,77.2200,76.4800,76.9000,1479200
2019-02-06,78.8900,79.0000,78.2800,78.3000,968600
2019-02-05,78.1400,79.2100,78.0000,78.8600,1089800
2019-02-04,76.8927,77.5000,76.7000,77.4100,812400
2019-02-01,76.5000,77.3900,76.3600,76.8400,1400800
2019-01-31,75.4900,76.8300,75.2700,76.4400,1485300
2019-01-30,74.3207,75.2100,74.2400,74.9400,1042400
2019-01-29,73.7800,74.1100,73.6000,73.9900,1360500
