date,open,high,low,close,volume
2019-06-07,65.5000,65.5000,65.5000,65.5000,150
2019-06-06,65.5000,65.5000,65.5000,65.5000,0
2019-06-04,65.5000,65.5000,65.5000,65.5000,0
2019-06-03,65.5000,65.5000,65.5000,65.5000,20
2019-05-31,65.5000,65.5000,65.5000,65.5000,0
2019-05-30,69.9500,69.9500,65.5000,65.5000,440
2019-05-29,68.0000,68.0000,68.0000,68.0000,0
2019-05-28,65.7000,68.0000,65.6000,68.0000,160
2019-05-24,66.0000,66.0000,66.0000,66.0000,0
2019-05-23,66.0000,66.0000,66.0000,66.0000,150
2019-05-22,66.0000,66.0000,66.0000,66.0000,0
2019-05-21,66.0000,66.0000,66.0000,66.0000,0
2019-05-20,66.0000,66.0000,66.0000,66.0000,500
2019-05-17,66.2000,66.2000,66.2000,66.2000,10
2019-05-16,65.8000,65.8000,65.8000,65.8000,0
2019-05-15,66.1000,66.1000,65.8000,65.8000,130
2019-05-14,66.1000,66.1000,66.1000,66.1000,0
2019-05-13,66.1000,66.1000,66.1000,66.1000,0
2019-05-10,66.1000,66.1000,66.1000,66.1000,0
2019-05-09,66.1000,66.1000,66.1000,66.1000,0
2019-05-08,66.1000,66.1000,66.1000,66.1000,0
2019-05-07,66.1000,66.1000,66.1000,66.1000,10
2019-05-06,66.3000,66.3000,66.3000,66.3000,0
2019-05-03,66.5000,67.0000,66.0000,66.3000,450
2019-05-02,68.3000,68.3000,68.3000,68.3000,0
2019-05-01,68.3000,68.3000,68.3000,68.3000,0
2019-04-30,68.3000,68.3000,68.3000,68.3000,0
2019-04-29,68.3500,68.3500,66.0000,68.3000,1100
2019-04-26,68.4000,68.4500,68.4000,68.4000,1250
2019-04-25,70.0000,73.9000,68.4000,70.0000,350
2019-04-24,69.0000,69.0000,68.3500,68.3500,270
2019-04-23,74.3000,74.3000,74.3000,74.3000,0
2019-04-22,74.3000,74.3000,74.3000,74.3000,0
2019-04-18,74.3000,74.3000,74.3000,74.3000,0
2019-04-17,74.3000,74.3000,74.3000,74.3000,0
2019-04-16,74.3000,74.3000,74.3000,74.3000,0
2019-04-15,74.3000,74.3000,74.3000,74.3000,0
2019-04-12,74.3000,74.3000,74.3000,74.3000,0
2019-04-11,74.3000,74.3000,74.3000,74.3000,0
2019-04-10,74.3000,74.3000,74.3000,74.3000,0
2019-04-09,74.3000,74.3000,74.3000,74.3000,0
2019-04-08,74.3000,74.3000,74.3000,74.3000,10
2019-04-05,68.0500,72.9500,68.0500,72.9500,70
2019-04-04,68.0000,74.0000,68.0000,74.0000,50
2019-04-03,75.5000,75.5000,75.5000,75.5000,0
2019-04-02,75.5000,75.5000,75.5000,75.5000,0
2019-04-01,75.5000,75.5000,75.5000,75.5000,0
2019-03-29,75.5000,75.5000,75.5000,75.5000,0
2019-03-28,76.5000,76.5000,75.5000,75.5000,710
2019-03-27,71.9000,71.9000,71.9000,71.9000,0
2019-03-26,71.9000,71.9000,71.9000,71.9000,0
2019-03-25,71.9000,71.9000,71.9000,71.9000,0
2019-03-22,71.9000,71.9000,71.9000,71.9000,0
2019-03-21,71.9000,71.9000,71.9000,71.9000,0
2019-03-20,71.9000,71.9000,71.9000,71.9000,10
2019-03-19,71.5000,71.5000,71.5000,71.5000,0
2019-03-18,71.5000,71.5000,71.5000,71.5000,0
2019-03-15,71.5000,71.5000,71.5000,71.5000,0
2019-03-14,71.5000,71.5000,71.5000,71.5000,0
2019-03-13,71.5000,71.5000,71.5000,71.5000,0
2019-03-12,71.5000,71.5000,71.5000,71.5000,0
2019-03-11,71.5000,71.5000,71.5000,71.5000,0
2019-03-08,71.5000,71.5000,71.5000,71.5000,0
2019-03-07,71.5000,71.5000,71.5000,71.5000,0
2019-03-06,65.0500,71.5000,65.0500,71.5000,20
2019-03-05,71.9500,71.9500,71.9500,71.9500,0
2019-03-04,65.6000,71.9500,65.5000,71.9500,440
2019-03-01,71.0000,71.0000,71.0000,71.0000,0
2019-02-28,71.0000,71.0000,71.0000,71.0000,0
2019-02-27,71.0000,71.0000,71.0000,71.0000,0
2019-02-26,71.0000,71.0000,71.0000,71.0000,0
2019-02-25,71.0000,71.0000,71.0000,71.0000,0
2019-02-22,74.0000,74.0000,71.0000,71.0000,140
2019-02-21,70.0000,70.0000,70.0000,70.0000,0
2019-02-20,70.0000,70.0000,70.0000,70.0000,0
2019-02-19,71.4500,71.4500,70.0000,70.0000,1010
2019-02-15,63.9500,63.9500,63.9500,63.9500,20
2019-02-14,63.5000,63.5000,63.5000,63.5000,0
2019-02-13,64.0000,64.0000,63.5000,63.5000,420
2019-02-12,65.0500,65.0500,64.0000,64.0000,1400
2019-02-11,72.1000,72.1000,64.0000,70.0000,5190
2019-02-08,60.0500,88.0000,60.0500,71.1000,21420
2019-02-07,64.6000,64.6000,64.6000,64.6000,0
2019-02-06,64.6000,64.6000,64.6000,64.6000,0
2019-02-05,64.6000,64.6000,64.6000,64.6000,0
2019-02-04,64.6000,64.6000,64.6000,64.6000,0
2019-02-01,64.6000,64.6000,64.6000,64.6000,0
2019-01-31,64.6000,64.6000,64.6000,64.6000,0
2019-01-30,64.6000,64.6000,64.6000,64.6000,0
