date,open,high,low,close,volume
2019-06-07,1114.0800,1114.0800,1114.0800,1114.0800,0
2019-06-06,1107.3500,1107.3500,1107.3500,1107.3500,0
2019-06-05,1103.7200,1103.7200,1103.7200,1103.7200,0
2019-06-04,1103.0200,1103.0200,1103.0200,1103.0200,0
2019-06-03,1102.4800,1102.4800,1102.4800,1102.4800,0
2019-05-31,1097.7600,1097.7600,1097.7600,1097.7600,0
2019-05-30,1093.6600,1093.6600,1093.6600,1093.6600,0
2019-05-29,1081.9800,1081.9800,1081.9800,1081.9800,0
2019-05-28,1079.8800,1079.8800,1079.8800,1079.8800,0
2019-05-24,1076.1200,1076.1200,1076.1200,1076.1200,0
2019-05-23,1068.1100,1068.1100,1068.1100,1068.1100,0
2019-05-22,1078.0300,1078.0300,1078.0300,1078.0300,0
2019-05-21,1072.2400,1072.2400,1072.2400,1072.2400,0
2019-05-20,1073.7700,1073.7700,1073.7700,1073.7700,0
2019-05-17,1082.4100,1082.4100,1082.4100,1082.4100,0
2019-05-16,1088.4700,1088.4700,1088.4700,1088.4700,0
2019-05-15,1075.4100,1075.4100,1075.4100,1075.4100,0
2019-05-14,1073.1100,1073.1100,1073.1100,1073.1100,0
2019-05-13,1076.9900,1076.9900,1076.9900,1076.9900,0
2019-05-10,1088.1801,1088.1801,1088.1801,1088.1801,0
2019-05-09,1082.6400,1082.6400,1082.6400,1082.6400,0
2019-05-08,1101.6600,1101.6600,1101.6600,1101.6600,0
2019-05-07,1104.1200,1104.1200,1104.1200,1104.1200,0
2019-05-06,1120.4600,1120.4600,1120.4600,1120.4600,0
2019-05-03,1134.1600,1134.1600,1134.1600,1134.1600,0
2019-05-02,1140.5100,1140.5100,1140.5100,1140.5100,0
2019-05-01,1141.5000,1141.5000,1141.5000,1141.5000,0
2019-04-30,1141.5000,1141.5000,1141.5000,1141.5000,0
2019-04-29,1149.3600,1149.3600,1149.3600,1149.3600,0
2019-04-26,1156.3199,1156.3199,1156.3199,1156.3199,0
2019-04-25,1150.0601,1150.0601,1150.0601,1150.0601,0
2019-04-24,1157.1100,1157.1100,1157.1100,1157.1100,0
2019-04-23,1160.3600,1160.3600,1160.3600,1160.3600,0
2019-04-22,1159.9100,1159.9100,1159.9100,1159.9100,0
2019-04-18,1159.4600,1159.4600,1159.4600,1159.4600,0
2019-04-17,1165.5900,1165.5900,1165.5900,1165.5900,0
2019-04-16,1161.5300,1161.5300,1161.5300,1161.5300,0
2019-04-15,1159.2000,1159.2000,1159.2000,1159.2000,0
2019-04-12,1159.7100,1159.7100,1159.7100,1159.7100,0
2019-04-11,1153.1700,1153.1700,1153.1700,1153.1700,0
2019-04-10,1151.6700,1151.6700,1151.6700,1151.6700,0
2019-04-09,1142.3000,1142.3000,1142.3000,1142.3000,0
2019-04-08,1139.1000,1139.1000,1139.1000,1139.1000,0
2019-04-05,1138.1300,1138.1300,1138.1300,1138.1300,0
2019-04-04,1144.4200,1144.4200,1144.4200,1144.4200,0
2019-04-03,1151.5400,1151.5400,1151.5400,1151.5400,0
2019-04-02,1136.2400,1136.2400,1136.2400,1136.2400,0
2019-04-01,1130.2200,1130.2200,1130.2200,1130.2200,0
2019-03-29,1115.2700,1115.2700,1115.2700,1115.2700,0
2019-03-28,1116.2100,1116.2100,1116.2100,1116.2100,0
2019-03-27,1119.2400,1119.2400,1119.2400,1119.2400,0
2019-03-26,1121.6600,1121.6600,1121.6600,1121.6600,0
2019-03-25,1120.4399,1120.4399,1120.4399,1120.4399,0
2019-03-22,1123.2900,1123.2900,1123.2900,1123.2900,0
2019-03-21,1139.4100,1139.4100,1139.4100,1139.4100,0
2019-03-20,1135.9800,1135.9800,1135.9800,1135.9800,0
2019-03-19,1135.5900,1135.5900,1135.5900,1135.5900,0
2019-03-15,1126.5100,1126.5100,1126.5100,1126.5100,0
2019-03-14,1120.4900,1120.4900,1120.4900,1120.4900,0
2019-03-13,1114.3101,1114.3101,1114.3101,1114.3101,0
2019-03-12,1108.9200,1108.9200,1108.9200,1108.9200,0
2019-03-11,1108.1300,1108.1300,1108.1300,1108.1300,0
2019-03-08,1105.1600,1105.1600,1105.1600,1105.1600,0
2019-03-07,1110.1500,1110.1500,1110.1500,1110.1500,0
2019-03-06,1124.4600,1124.4600,1124.4600,1124.4600,0
2019-03-05,1122.2300,1122.2300,1122.2300,1122.2300,0
2019-03-04,1120.7200,1120.7200,1120.7200,1120.7200,0
2019-03-01,1117.4600,1117.4600,1117.4600,1117.4600,0
2019-02-28,1117.2500,1117.2500,1117.2500,1117.2500,0
2019-02-27,1112.0100,1112.0100,1112.0100,1112.0100,0
