date,open,high,low,close,volume
2019-11-08,0.9250,0.9466,0.9000,0.9000,66861910
2019-11-07,0.9700,0.9800,0.8900,0.9100,120012600
2019-11-06,1.2900,1.3000,0.7900,0.9100,347922000
2019-11-05,1.3200,1.4100,1.2800,1.2800,144148600
2019-11-04,1.4800,1.5900,1.4700,1.5600,108704700
2019-11-01,1.3500,1.5000,1.3500,1.4400,78532600
2019-10-31,1.4100,1.4200,1.3300,1.3400,47738100
2019-10-30,1.4900,1.5000,1.4000,1.4000,37946800
2019-10-29,1.4500,1.5200,1.4000,1.4700,51792700
2019-10-28,1.5400,1.5900,1.4700,1.4700,60500200
2019-10-25,1.4600,1.5700,1.4400,1.5600,71043900
2019-10-24,1.4200,1.4800,1.3900,1.4800,46238900
2019-10-23,1.3400,1.4300,1.3200,1.4300,56990100
2019-10-22,1.3600,1.3700,1.3100,1.3500,38850400
2019-10-21,1.2700,1.3700,1.2600,1.3600,59542500
2019-10-18,1.2900,1.3200,1.2800,1.2900,34812300
2019-10-17,1.3300,1.3300,1.2800,1.3100,51637500
2019-10-16,1.3400,1.3800,1.3100,1.3100,49237200
2019-10-15,1.3400,1.3900,1.3100,1.3400,51129300
2019-10-14,1.3600,1.3600,1.3000,1.3400,36323900
2019-10-11,1.3200,1.4100,1.3100,1.3900,68011500
2019-10-10,1.2800,1.3100,1.2600,1.2900,45990800
2019-10-09,1.3100,1.3100,1.2700,1.2700,45136100
2019-10-08,1.3100,1.3200,1.2800,1.2800,67347300
2019-10-07,1.3500,1.3700,1.3100,1.3300,46886600
2019-10-04,1.3600,1.3900,1.3100,1.3600,43098300
2019-10-03,1.3100,1.3800,1.2800,1.3600,47723600
2019-10-02,1.3300,1.3600,1.2900,1.3200,66652600
2019-10-01,1.4300,1.4600,1.3300,1.3300,65633900
2019-09-30,1.3900,1.4200,1.3700,1.4100,38077800
2019-09-27,1.3800,1.4700,1.3700,1.4000,39516600
2019-09-26,1.4300,1.4300,1.3600,1.4100,49215200
2019-09-25,1.3900,1.4500,1.3800,1.4200,36835400
2019-09-24,1.5300,1.5300,1.4000,1.4300,58172600
2019-09-23,1.5800,1.6100,1.5200,1.5200,46748800
2019-09-20,1.6600,1.6600,1.5500,1.5800,86145500
2019-09-19,1.6500,1.6600,1.6200,1.6400,34202500
2019-09-18,1.7700,1.7800,1.5800,1.5900,94584300
2019-09-17,2.0300,2.0400,1.7700,1.7700,95121000
2019-09-16,2.0600,2.1500,1.9200,2.0600,262862600
2019-09-13,1.8200,1.8700,1.7400,1.7800,49224200
2019-09-12,1.7900,1.8100,1.7000,1.7900,49162000
2019-09-11,1.8700,1.9800,1.7500,1.8300,71901600
2019-09-10,1.8200,2.0000,1.7700,1.8300,120213600
2019-09-09,1.6100,1.9000,1.6000,1.8900,94586600
2019-09-06,1.5400,1.6000,1.5000,1.5800,39253000
2019-09-05,1.4900,1.6000,1.4800,1.6000,68530800
2019-09-04,1.4300,1.4700,1.4000,1.4700,37585300
2019-09-03,1.4000,1.4100,1.3300,1.3800,56030300
2019-08-30,1.5200,1.5300,1.4100,1.4400,30766100
2019-08-29,1.5000,1.5700,1.4800,1.5400,48189500
2019-08-28,1.4300,1.4700,1.4000,1.4700,29698900
2019-08-27,1.4900,1.5000,1.3300,1.3900,54460200
2019-08-26,1.5200,1.5300,1.4800,1.4900,18789600
2019-08-23,1.5400,1.5700,1.4400,1.4700,47440700
2019-08-22,1.6500,1.6600,1.5800,1.6100,32755300
2019-08-21,1.6400,1.7200,1.6000,1.6200,48157000
2019-08-20,1.5700,1.6000,1.5100,1.5900,34294700
2019-08-19,1.4200,1.6000,1.4100,1.6000,66583900
2019-08-16,1.3100,1.3900,1.2800,1.3900,32446900
2019-08-15,1.3800,1.3800,1.2800,1.2900,31696200
2019-08-14,1.4000,1.4000,1.3200,1.3500,40106500
2019-08-13,1.3800,1.5000,1.3700,1.4500,38499300
2019-08-12,1.4300,1.4350,1.3700,1.4000,30642000
2019-08-09,1.4600,1.4950,1.4100,1.4400,42325600
2019-08-08,1.4200,1.4800,1.3900,1.4700,87454400
2019-08-07,1.3600,1.4000,1.2600,1.3900,72131700
2019-08-06,1.6500,1.6600,1.3800,1.3900,93901700
2019-08-05,1.5900,1.6200,1.5100,1.5600,79462600
2019-08-02,1.6900,1.6900,1.6300,1.6400,20545600
2019-08-01,1.7800,1.7900,1.6200,1.6500,55688700
2019-07-31,1.8200,1.8700,1.7700,1.8100,59981300
2019-07-30,1.6300,1.8000,1.5900,1.8000,62120400
2019-07-29,1.6500,1.6800,1.5900,1.6400,37244500
2019-07-26,1.6900,1.7100,1.6200,1.6500,38567500
2019-07-25,1.7600,1.7800,1.6800,1.6800,55856400
2019-07-24,1.6700,1.7600,1.6700,1.7300,44547500
2019-07-23,1.6500,1.6800,1.6200,1.6800,37356900
2019-07-22,1.6400,1.7000,1.6000,1.6400,40991400
2019-07-19,1.6100,1.6400,1.5700,1.6200,42778200
2019-07-18,1.7100,1.7100,1.5700,1.5800,79188200
2019-07-17,1.7900,1.8000,1.7000,1.7000,54306700
2019-07-16,1.8300,1.8400,1.7600,1.7700,58215800
2019-07-15,1.9300,1.9300,1.8300,1.8300,55407200
