date,open,high,low,close,volume
2019-11-06,56.2600,56.2600,56.2600,56.2600,0
2019-10-22,58.0000,60.0000,58.0000,60.0000,50
2019-09-30,58.6500,58.6500,58.5500,58.5500,50
2019-09-26,60.0000,60.0000,60.0000,60.0000,0
2019-09-09,61.0000,61.0000,61.0000,61.0000,0
2019-09-06,61.0000,61.0000,61.0000,61.0000,480
2019-08-06,61.3000,61.3000,61.0000,61.0000,59
2019-07-09,62.9900,62.9900,62.9900,62.9900,5
2019-07-01,55.0000,55.0012,55.0000,55.0000,0
2019-06-26,64.5000,64.5000,64.5000,64.5000,0
2019-06-07,64.9800,64.9800,61.1043,61.5000,20
2019-06-06,61.5000,61.5000,61.5000,61.5000,0
2019-06-05,61.5000,61.5011,61.5000,61.5000,0
2019-06-04,64.9800,64.9800,61.1000,61.5000,20
2019-06-03,65.0000,65.0035,65.0000,65.0000,9
2019-05-31,61.5000,61.5000,61.5000,61.5000,145
2019-05-30,62.8500,66.9000,62.8500,66.9000,33
2019-05-29,18.8000,18.8005,18.8000,18.8000,1600
2019-05-28,61.5000,61.5000,61.5000,61.5000,5
2019-05-24,62.9017,62.9000,61.5000,61.5000,302215
2019-05-23,63.0000,63.0000,63.0000,63.0000,0
2019-05-22,63.0000,63.0000,63.0000,63.0000,0
2019-05-21,60.0000,63.0000,60.0000,63.0000,260
2019-05-20,61.2971,61.3000,61.3000,61.3000,0
2019-05-17,61.3000,61.3000,61.3000,61.3000,0
2019-05-16,61.3000,61.2993,61.3000,61.3000,0
2019-05-15,61.3000,61.3000,61.3000,61.3000,0
2019-05-14,57.2100,61.3000,57.2100,61.3000,146
2019-05-13,61.5000,61.5000,61.5000,61.5000,3
2019-05-10,61.6700,61.6700,61.6700,61.6700,0
2019-05-09,61.6700,61.6700,61.6700,61.6700,0
2019-05-08,61.6700,61.6700,61.6700,61.6700,0
2019-05-07,61.6700,61.6707,61.6700,61.6700,3
2019-05-06,60.0000,61.6900,56.3800,61.6900,23
2019-05-03,61.7500,61.7500,61.7500,61.7500,10
2019-05-02,61.7400,61.7400,61.7400,61.7400,2
2019-05-01,61.7700,61.7700,61.7700,61.7700,0
2019-04-30,61.8000,61.8000,61.7700,61.7700,10
2019-04-29,61.8900,61.8900,61.8800,61.8800,2
2019-04-26,61.9400,61.9400,61.9400,61.9400,0
2019-04-25,61.9400,61.9400,61.9400,61.9400,0
2019-04-24,61.9500,61.9500,61.9391,61.9400,6191
2019-04-23,61.9800,61.9800,60.0000,60.0000,3878
2019-04-22,60.5000,60.5000,60.5000,60.5000,1
2019-04-18,62.9400,62.9343,62.9400,62.9400,0
2019-04-17,60.0000,62.9400,60.0000,62.9400,160
2019-04-16,60.5200,60.5151,60.5200,60.5200,8
2019-04-15,61.9454,61.9500,60.5300,60.5300,74
2019-04-12,61.0500,61.0500,60.5500,60.5500,67
2019-04-11,61.0900,61.0900,61.0000,61.0000,28
2019-04-10,61.0100,61.0100,61.0100,61.0100,0
2019-04-09,62.5000,62.5000,61.0100,61.0100,335
2019-04-08,62.0000,61.9993,62.0000,62.0000,1
2019-04-05,19.1400,19.2000,19.1400,19.1400,23500
2019-04-04,63.0000,63.0000,63.0000,63.0000,0
2019-04-03,61.0000,63.0000,61.0036,63.0000,91
2019-04-02,63.0000,63.0000,63.0000,63.0000,0
2019-04-01,63.0000,63.0000,63.0000,63.0000,0
2019-03-29,61.0500,63.0000,61.0000,63.0000,1410
2019-03-28,61.0100,61.0100,61.0100,61.0100,133
2019-03-27,61.0000,63.9887,61.0000,63.9900,142
2019-03-26,64.0000,64.0000,64.0000,64.0000,0
2019-03-25,64.0000,64.0000,60.9937,64.0000,799
2019-03-22,63.0000,63.0000,61.0000,61.0000,4228
2019-03-21,19.1600,19.1800,18.9000,18.9000,14200
2019-03-20,62.0000,62.0000,62.0000,62.0000,300
2019-03-19,62.8000,62.8000,62.8000,62.8000,100
2019-03-18,64.0000,64.0000,64.0000,64.0000,0
2019-03-15,64.0000,64.0000,64.0002,64.0000,0
2019-03-14,64.0000,64.0000,64.0000,64.0000,0
2019-03-13,64.0000,63.9996,64.0000,64.0000,0
2019-03-12,64.0000,64.0000,64.0000,64.0000,5
2019-03-11,63.7000,63.7000,63.7000,63.7000,10
2019-03-08,63.0000,63.0000,63.0000,63.0000,25
2019-03-07,63.0000,63.4500,63.0000,63.4500,170
2019-03-06,63.0000,63.0000,63.0000,63.0000,0
2019-03-05,63.0000,63.0000,63.0000,63.0000,5
2019-03-04,61.0021,61.0000,61.0000,61.0000,0
2019-03-01,63.7000,63.7000,61.0000,61.0000,476
2019-02-28,63.7000,63.7000,63.7000,63.7000,0
2019-02-27,63.7000,63.7000,63.7045,63.7000,2
