date,open,high,low,close,volume
2019-11-08,14.9200,15.0100,14.7600,14.7700,635100
2019-11-07,15.2600,15.3500,14.8100,14.9600,1505100
2019-11-06,15.4000,15.5700,15.3500,15.3800,487100
2019-11-05,15.4900,15.5400,15.2900,15.3800,1290800
2019-11-04,15.7600,15.8200,15.5300,15.5400,1650500
2019-11-01,15.6000,15.7400,15.5800,15.7100,1880300
2019-10-31,15.8000,15.8500,15.5300,15.5300,1029300
2019-10-30,15.2300,15.7800,15.1100,15.7500,1330200
2019-10-29,15.3900,15.5300,15.3600,15.4600,1072000
2019-10-28,15.4100,15.4900,15.3200,15.3900,1490700
2019-10-25,15.4000,15.4600,15.2800,15.4300,1301500
2019-10-24,15.5200,15.5200,15.3500,15.4400,1021600
2019-10-23,15.6300,15.7500,15.3800,15.4700,2284000
2019-10-22,15.1500,15.5900,15.0500,15.5700,8465600
2019-10-21,15.1300,15.2800,15.1300,15.2800,910300
2019-10-18,15.0200,15.1500,14.9800,15.0900,1346200
2019-10-17,15.0800,15.1100,14.9500,15.0300,541000
2019-10-16,14.9500,15.0600,14.8900,15.0600,589900
2019-10-15,15.0000,15.1000,14.8600,14.9400,1022700
2019-10-14,14.9400,14.9900,14.7900,14.9900,308800
2019-10-11,14.8700,15.1400,14.8700,14.9500,842600
2019-10-10,14.7200,14.8400,14.6800,14.8100,735800
2019-10-09,14.8700,14.9200,14.6500,14.6900,487900
2019-10-08,14.8800,14.9100,14.7800,14.7900,712500
2019-10-07,14.8100,14.9900,14.7300,14.9000,751000
2019-10-04,14.7600,14.8800,14.6600,14.7900,839000
2019-10-03,14.8700,14.9900,14.6600,14.7600,1172700
2019-10-02,14.7600,14.9400,14.6900,14.9000,864000
2019-10-01,15.0900,15.1300,14.8100,14.8200,809800
2019-09-30,15.1700,15.2200,15.1000,15.1100,873400
2019-09-27,15.1900,15.2100,14.9900,15.1500,688800
2019-09-26,14.8600,15.1500,14.7800,15.1400,728400
2019-09-25,14.6900,14.9000,14.6800,14.7900,774900
2019-09-24,14.7200,14.8000,14.6400,14.6900,780000
2019-09-23,14.5200,14.7800,14.5000,14.6900,667000
2019-09-20,14.5500,14.7600,14.5000,14.6200,1388500
2019-09-19,14.7800,14.8800,14.7200,14.7300,653000
2019-09-18,14.7500,14.7900,14.6100,14.7400,820800
2019-09-17,14.6200,14.7100,14.5100,14.7100,746100
2019-09-16,14.7400,14.7500,14.5800,14.6700,869100
2019-09-13,14.8100,15.0500,14.6400,14.7000,1248200
2019-09-12,15.2100,15.2300,14.8900,15.0000,1400200
2019-09-11,15.0500,15.1800,14.9100,15.1500,936200
2019-09-10,14.6400,15.0500,14.6300,15.0500,1651600
2019-09-09,14.2500,14.7000,14.2100,14.7000,804900
2019-09-06,14.2700,14.5400,14.2400,14.2700,1382700
2019-09-05,14.1400,14.2400,14.0300,14.2400,756900
2019-09-04,14.0100,14.2000,13.9200,14.1700,703400
2019-09-03,13.7900,14.0100,13.7900,13.9400,791000
2019-08-30,13.8700,14.0000,13.8100,13.8600,1330800
2019-08-29,13.7200,13.9200,13.6400,13.8500,807900
2019-08-28,13.4600,13.6900,13.4000,13.6500,736100
