date,open,high,low,close,volume
2019-11-08,71.3700,71.3700,67.7100,69.5100,281698
2019-11-07,71.7000,72.9300,70.9200,71.5000,164200
2019-11-06,72.8900,72.8900,70.6000,70.8100,126400
2019-11-05,71.6700,74.0400,71.6700,72.0800,223400
2019-11-04,72.1800,72.3000,70.8600,71.7400,160000
2019-11-01,69.5200,71.6700,69.5200,71.2700,194200
2019-10-31,70.6100,70.8300,68.3000,68.9800,234000
2019-10-30,74.2800,75.2000,71.3100,71.3900,271500
2019-10-29,74.0700,75.2300,73.6100,74.7600,160500
2019-10-28,74.0700,74.8200,73.5500,74.1800,271100
2019-10-25,70.0000,73.9600,69.3200,73.7500,267000
2019-10-24,70.8100,71.0600,69.8300,70.4800,103900
2019-10-23,69.6600,70.8500,68.1600,70.7700,189300
2019-10-22,66.4200,69.9300,65.6100,69.8100,260100
2019-10-21,66.5200,68.5400,66.3300,66.3500,378700
2019-10-18,70.5000,71.5000,65.9100,65.9900,311800
2019-10-17,70.0000,71.9600,70.0000,71.3100,348600
2019-10-16,69.3600,71.6900,69.1600,69.4200,232300
2019-10-15,70.5300,71.8000,69.6000,69.9300,217100
2019-10-14,71.9100,72.2300,69.6900,70.3000,215600
2019-10-11,71.5500,73.6700,71.1600,72.0300,318900
2019-10-10,69.6200,71.2600,69.3300,70.7100,291100
2019-10-09,67.8200,70.3200,67.2200,69.5300,231500
2019-10-08,67.5000,68.6800,66.9600,67.4200,251900
2019-10-07,67.8200,69.6300,67.3500,68.4000,258200
2019-10-04,69.1800,69.4900,65.8100,68.1600,390600
2019-10-03,65.3200,69.9700,65.3200,69.3600,509700
2019-10-02,67.5800,68.2500,65.3500,65.8200,572100
2019-10-01,66.3500,68.4500,64.3100,68.0600,546800
2019-09-30,62.4500,66.2100,62.0000,66.1100,457900
2019-09-27,59.9400,66.0000,59.9400,62.4500,902500
2019-09-26,59.8900,60.1600,57.5300,59.7300,345700
2019-09-25,58.5800,59.9900,58.0400,59.5800,250800
2019-09-24,59.7200,60.6600,57.3500,58.2000,361100
2019-09-23,60.1300,60.9300,58.9000,59.5800,355300
2019-09-20,60.8000,62.3700,59.5100,60.0800,1651300
2019-09-19,59.8400,61.2900,59.3700,60.6000,648700
2019-09-18,59.7700,60.4700,58.9700,59.6300,450900
2019-09-17,65.1100,65.1100,59.1700,59.8300,704000
2019-09-16,66.3500,67.7500,63.0100,65.1200,545600
2019-09-13,67.4500,69.4900,66.6700,67.3000,813300
2019-09-12,69.1700,70.7000,65.7100,66.1300,616500
2019-09-11,70.9800,71.6900,67.5000,69.5700,779900
2019-09-10,61.4800,70.4500,60.8800,69.2900,1349500
2019-09-09,62.3500,63.5700,60.1500,61.4900,669000
2019-09-06,61.5100,63.2500,61.0800,62.2100,362400
2019-09-05,61.0500,63.4800,60.5900,61.5400,545800
2019-09-04,59.1700,60.9700,58.1700,60.2400,544900
2019-09-03,58.3500,59.7500,57.2800,58.7700,600500
2019-08-30,59.4500,60.8500,58.1200,58.5200,355100
2019-08-29,58.2000,61.0700,56.9400,59.2300,1101500
2019-08-28,54.6600,58.9100,54.6600,57.9800,974900
2019-08-27,55.0500,55.6100,53.6500,54.9800,607300
2019-08-26,55.3200,55.7000,54.6700,54.9500,337500
2019-08-23,56.0000,56.0300,53.4900,55.0800,514200
2019-08-22,56.9500,58.4900,55.5000,56.2000,436300
2019-08-21,58.0900,59.1600,56.3900,56.4900,689900
2019-08-20,56.9600,57.8200,55.5400,56.7500,746100
2019-08-19,55.1000,58.4900,55.1000,57.3000,714900
2019-08-16,47.9500,59.1000,47.9500,55.3100,2022700
2019-08-15,59.1000,59.1000,54.0798,56.5900,617500
2019-08-14,57.6300,59.0100,56.0200,58.7600,1200600
2019-08-13,59.4400,62.5600,58.5800,59.8700,593700
2019-08-12,61.6900,61.7300,59.5700,59.9700,715400
2019-08-09,66.3400,66.3400,61.4580,61.6900,826100
2019-08-08,70.2200,70.5000,67.3800,67.6200,414200
2019-08-07,69.6400,70.3600,67.9000,69.6200,315000
2019-08-06,70.0900,71.0800,68.0200,70.0000,300100
2019-08-05,69.6500,70.5800,68.1800,69.9700,257800
2019-08-02,68.7700,73.1000,68.0200,70.4200,401900
2019-08-01,72.5800,73.4500,66.8400,68.3700,347500
2019-07-31,71.6400,73.9000,70.9100,72.7800,537200
2019-07-30,76.5105,76.5100,71.0400,71.9300,561200
2019-07-29,77.9200,77.9200,75.0200,75.7400,313400
2019-07-26,78.3700,78.4900,75.9000,77.3700,364300
2019-07-25,78.6500,84.1600,76.6900,77.6000,722200
2019-07-24,77.0200,79.7900,75.0400,78.9300,435400
2019-07-23,78.5000,79.0700,75.8662,76.6000,368200
2019-07-22,78.8000,86.7100,76.6200,77.9300,1135200
2019-07-19,64.3500,80.9900,63.8100,79.3500,1269100
2019-07-18,64.3400,66.2000,63.9300,64.0000,278700
2019-07-17,66.6800,67.4300,64.2500,64.2800,457200
2019-07-16,65.5500,68.0000,65.5500,67.2000,370700
2019-07-15,65.7600,66.5700,64.7700,65.5400,252800
2019-07-12,62.8900,66.0000,62.8300,65.5200,353300
2019-07-11,61.8700,65.6500,61.3200,62.8500,627100
2019-07-10,62.7300,62.9000,60.4000,60.4100,302700
2019-07-09,63.5400,64.5600,61.9800,62.2300,233500
2019-07-08,65.1900,65.9400,63.5361,63.9000,416100
2019-07-05,61.5000,65.7700,61.4500,65.1700,418700
2019-07-03,59.6300,63.2800,59.6300,61.8700,365600
2019-07-02,59.3600,60.1540,58.7800,59.4700,263100
2019-07-01,63.7100,64.1350,58.9700,59.4400,406400
2019-06-28,62.1700,62.6100,61.6159,62.2800,419800
2019-06-27,62.6700,63.2700,60.2590,61.5000,263300
2019-06-26,62.1800,64.3550,62.1800,62.5100,554400
2019-06-25,59.7800,62.2100,59.3000,62.0600,592500
2019-06-24,60.2900,60.9000,57.8494,58.9700,749700
2019-06-21,59.5700,60.6200,58.8400,60.2600,452800
2019-06-20,59.3900,59.7195,58.5600,59.5600,264300
2019-06-19,59.3600,59.9900,58.4500,58.6900,226800
2019-06-18,57.6400,59.3900,57.2400,59.2500,372400
2019-06-17,57.0500,58.8284,56.5900,57.3300,345100
2019-06-14,58.4100,58.7000,56.2400,57.2400,465300
2019-06-13,57.1600,59.2600,57.1200,58.3200,360800
2019-06-12,59.2300,59.4800,57.1100,57.1900,279300
2019-06-11,57.6600,60.1200,57.3033,59.2300,420000
2019-06-10,56.9500,58.8250,56.9200,57.1000,254300
2019-06-07,56.5493,57.1000,56.0900,56.7200,345000
2019-06-06,57.7443,58.1600,55.5000,56.3700,1100500
2019-06-05,59.3200,60.1100,57.2500,57.9600,269400
2019-06-04,57.7500,60.0200,57.7500,58.9700,393700
2019-06-03,56.3100,58.2300,55.9500,57.5000,677800
2019-05-31,55.8200,56.7500,53.9600,56.6600,1188600
2019-05-30,56.5700,57.1500,56.1000,56.3500,512500
2019-05-29,55.7800,56.5300,55.5900,56.2400,557800
2019-05-28,56.5300,57.3100,56.1700,56.3500,397800
2019-05-24,56.5500,57.1400,55.8100,56.6100,363100
2019-05-23,56.3400,57.0350,55.8200,56.3100,491500
2019-05-22,58.2600,58.5700,56.5521,56.7200,373500
2019-05-21,56.8900,58.4800,55.2587,57.9800,564200
2019-05-20,57.5800,57.7000,56.4200,57.4000,578600
2019-05-17,56.5700,58.5000,56.4200,57.7600,794100
2019-05-16,58.1000,59.3200,55.0100,56.7400,1701200
2019-05-15,63.8400,64.1800,62.1500,63.3900,413300
2019-05-14,63.3800,64.3300,61.9750,64.0100,463900
