date,open,high,low,close,volume
2019-11-08,0.8551,0.8972,0.7800,0.7821,5209957
2019-11-07,0.9500,0.9600,0.6900,0.8400,5680800
2019-11-06,1.0500,1.0600,0.8900,0.8900,7354100
2019-11-05,1.0100,1.0800,1.0100,1.0700,3471800
2019-11-04,1.0000,1.0400,0.9800,1.0300,2528300
2019-11-01,1.0100,1.0300,0.9600,0.9800,1870300
2019-10-31,1.0600,1.0600,0.9300,0.9800,6596500
2019-10-30,1.0900,1.0900,1.0000,1.0400,2999000
2019-10-29,1.0900,1.1400,1.0100,1.0900,2815000
2019-10-28,1.1400,1.1400,1.0900,1.1100,1057300
2019-10-25,1.1200,1.1600,1.1000,1.1300,1042400
2019-10-24,1.1600,1.1700,1.1200,1.1300,917500
2019-10-23,1.1400,1.2000,1.1000,1.1600,1104100
2019-10-22,1.1900,1.2000,1.1200,1.1400,1507100
2019-10-21,1.2000,1.2200,1.1500,1.1900,1458100
2019-10-18,1.2100,1.2300,1.1800,1.2000,540600
2019-10-17,1.2100,1.2400,1.1800,1.2200,953700
2019-10-16,1.2000,1.2500,1.1800,1.1900,790600
2019-10-15,1.1300,1.1900,1.1200,1.1800,1164200
2019-10-14,1.2100,1.2400,1.1100,1.1300,1677900
2019-10-11,1.2100,1.2500,1.1700,1.2100,983600
2019-10-10,1.2000,1.2400,1.1300,1.2100,1538500
2019-10-09,1.2700,1.2900,1.1900,1.2100,1106400
2019-10-08,1.2700,1.3400,1.2100,1.2700,1416900
2019-10-07,1.1400,1.2900,1.1100,1.2700,2433100
2019-10-04,1.1200,1.1400,1.0900,1.1300,901900
2019-10-03,1.1100,1.1800,1.1000,1.1200,1897900
2019-10-02,1.0800,1.1400,1.0600,1.1200,1665400
2019-10-01,1.1600,1.1900,1.0500,1.1000,2087900
2019-09-30,1.1900,1.2100,1.1400,1.1600,1878200
2019-09-27,1.1900,1.2200,1.1500,1.1800,2249800
2019-09-26,1.2100,1.2500,1.1600,1.2000,1675900
2019-09-25,1.3100,1.3200,1.1700,1.2100,2722200
2019-09-24,1.3900,1.4200,1.2700,1.3300,2053000
