date,open,high,low,close,volume
2019-11-08,1.0400,1.1200,1.0300,1.1200,12491210
2019-11-07,1.0700,1.0800,1.0400,1.0700,10737900
2019-11-06,1.0400,1.0800,1.0000,1.0000,13320600
2019-11-05,1.0700,1.0900,1.0300,1.0500,11515000
2019-11-04,1.0900,1.1200,1.0400,1.0500,18536200
2019-11-01,1.0100,1.0800,1.0100,1.0700,12121700
2019-10-31,1.0400,1.0400,0.9700,1.0000,19569600
2019-10-30,1.0800,1.1000,1.0300,1.0300,10598700
2019-10-29,1.0700,1.1100,1.0600,1.0900,8758700
2019-10-28,1.0800,1.1100,1.0600,1.0900,10859500
2019-10-25,1.0500,1.0900,1.0300,1.0800,9077600
2019-10-24,1.0900,1.1000,1.0200,1.0600,13826200
2019-10-23,1.0400,1.1100,1.0200,1.0800,10981200
2019-10-22,1.0200,1.0800,1.0000,1.0500,10802000
2019-10-21,1.0100,1.0300,0.9900,1.0000,6291000
2019-10-18,1.0300,1.0500,1.0000,1.0100,7894000
2019-10-17,1.0400,1.0500,1.0000,1.0300,13141600
2019-10-16,1.0800,1.1200,1.0400,1.0500,13514800
2019-10-15,1.0800,1.1200,1.0600,1.0800,13422800
2019-10-14,1.1000,1.1100,1.0500,1.0800,8360700
2019-10-11,1.1100,1.1400,1.0900,1.1200,12899800
2019-10-10,1.0900,1.1000,1.0600,1.0800,8151700
2019-10-09,1.0700,1.1100,1.0400,1.0600,9022300
2019-10-08,1.0700,1.1100,1.0500,1.0500,11084100
2019-10-07,1.0800,1.1500,1.0600,1.0900,17840900
2019-10-04,1.0600,1.1000,1.0400,1.0900,8843900
2019-10-03,1.0400,1.0800,1.0000,1.0600,12613600
2019-10-02,1.1400,1.1500,1.0300,1.0400,24856200
2019-10-01,1.1900,1.2300,1.1000,1.1300,10758300
2019-09-30,1.2000,1.2200,1.1500,1.1900,9654600
2019-09-27,1.1500,1.2500,1.1400,1.2200,10263100
2019-09-26,1.1800,1.2300,1.1500,1.1700,10119200
2019-09-25,1.1500,1.2700,1.1300,1.1900,11436000
2019-09-24,1.3000,1.3300,1.1800,1.1900,15432100
2019-09-23,1.2800,1.3500,1.2600,1.3000,17155400
2019-09-20,1.3300,1.3700,1.2800,1.2900,26619700
2019-09-19,1.4100,1.4100,1.2800,1.3200,16194100
2019-09-18,1.3000,1.3600,1.2800,1.3600,12779000
2019-09-17,1.5100,1.5200,1.3500,1.3900,24151800
2019-09-16,1.5000,1.6100,1.4500,1.5600,53426700
2019-09-13,1.3300,1.3600,1.2100,1.2200,14503100
2019-09-12,1.2700,1.3200,1.2300,1.2900,10215000
2019-09-11,1.4400,1.5300,1.2200,1.3300,24058600
2019-09-10,1.2800,1.5100,1.2800,1.3600,30053200
2019-09-09,1.1500,1.3000,1.1400,1.2900,24557000
2019-09-06,1.1000,1.1400,1.0500,1.1300,8485500
2019-09-05,1.0800,1.1700,1.0600,1.1100,15764400
2019-09-04,1.0600,1.0700,1.0200,1.0600,10591000
2019-09-03,1.0400,1.0500,1.0200,1.0300,6085900
2019-08-30,1.1800,1.1900,1.0500,1.0800,8629000
2019-08-29,1.0900,1.1900,1.0800,1.1700,15630000
2019-08-28,1.0500,1.1000,1.0300,1.0700,10496100
2019-08-27,1.0400,1.0500,0.9800,1.0400,7037700
2019-08-26,1.0700,1.0800,1.0200,1.0300,5210500
2019-08-23,1.0900,1.1100,1.0000,1.0200,15336100
2019-08-22,1.1800,1.1800,1.1000,1.1200,6969700
2019-08-21,1.1600,1.2100,1.1200,1.1600,12367600
2019-08-20,1.0900,1.1500,1.0500,1.1300,10873100
2019-08-19,1.0900,1.1100,1.0400,1.1100,12538300
2019-08-16,1.0100,1.0700,0.9600,1.0600,10494600
2019-08-15,0.9700,1.0000,0.9600,1.0000,7019100
2019-08-14,0.9600,1.0600,0.9300,0.9700,18450300
2019-08-13,1.0300,1.1000,1.0000,1.0200,15087400
2019-08-12,1.0100,1.0699,0.9840,1.0400,10216800
2019-08-09,1.0800,1.1100,1.0100,1.0300,13187200
2019-08-08,0.9600,1.0800,0.9600,1.0800,15149600
2019-08-07,0.9700,0.9870,0.8650,0.9500,18717000
2019-08-06,0.9900,1.0000,0.9300,0.9500,13862300
2019-08-05,1.0000,1.0000,0.9100,0.9700,13590400
