date,open,high,low,close,volume
2019-11-08,6.1000,6.1700,5.9200,6.0400,1780557
2019-11-07,6.1800,6.3400,6.1800,6.2200,1939000
2019-11-06,6.1500,6.3500,5.9500,6.0100,1870900
2019-11-05,6.4100,6.4100,6.1600,6.2000,2325700
2019-11-04,6.0500,6.5000,6.0400,6.3700,4461100
2019-11-01,5.3500,5.9500,5.2800,5.9000,3697300
2019-10-31,5.6300,5.6700,5.2100,5.2900,3539900
2019-10-30,6.0100,6.1400,5.6200,5.7000,2305400
2019-10-29,5.4900,6.1600,5.4000,6.0000,4117300
2019-10-28,5.8300,6.0800,5.5200,5.5800,3543400
2019-10-25,5.6100,5.8900,5.5600,5.8700,2210000
2019-10-24,5.9000,5.9000,5.5000,5.6400,2080400
2019-10-23,5.6800,6.0300,5.4900,5.8300,2515100
2019-10-22,5.5000,5.7800,5.3600,5.7300,2114000
2019-10-21,5.2100,5.5800,5.2100,5.4800,2218900
2019-10-18,5.4400,5.6100,5.3300,5.3900,1698500
2019-10-17,5.5400,5.6200,5.3300,5.4600,1828700
2019-10-16,5.4400,5.7600,5.4400,5.5700,2008200
2019-10-15,5.5900,5.8500,5.4500,5.4900,2764800
2019-10-14,5.4500,5.6600,5.3600,5.6200,2933800
2019-10-11,5.1600,5.7300,5.1600,5.6300,4393600
2019-10-10,5.1100,5.2100,4.9900,5.0600,2453100
2019-10-09,5.0800,5.1400,4.8700,5.0600,2561100
2019-10-08,4.9200,5.0900,4.7700,4.9900,2962500
2019-10-07,5.1900,5.3900,5.0400,5.0600,2489100
2019-10-04,5.1700,5.2400,4.9600,5.1600,2986600
2019-10-03,5.0800,5.2000,4.9500,5.1400,3236100
2019-10-02,5.1600,5.2700,4.9700,5.1400,4294200
2019-10-01,5.5800,5.6800,5.1700,5.2200,4082800
2019-09-30,5.5800,5.6300,5.4500,5.5600,3934200
2019-09-27,5.6800,5.9700,5.6200,5.6500,3114800
2019-09-26,6.3000,6.3600,5.7500,5.8300,4030500
2019-09-25,6.7300,6.9900,6.3800,6.3900,3932500
2019-09-24,7.3700,7.4300,6.9100,6.9100,1815100
2019-09-23,7.2400,7.5100,7.1200,7.4100,1980600
2019-09-20,7.4800,7.5700,7.2900,7.3600,3807800
2019-09-19,8.0000,8.0500,7.4600,7.4700,2124600
2019-09-18,7.8800,8.1100,7.7300,7.8500,1164200
2019-09-17,8.3100,8.3800,7.8300,8.0600,2597600
2019-09-16,8.5000,8.7900,8.2300,8.7100,3497800
2019-09-13,7.8600,8.0800,7.5700,7.6900,1340200
2019-09-12,7.3200,7.8200,7.1700,7.7800,2560900
2019-09-11,7.7200,7.8800,7.3900,7.7100,3018600
2019-09-10,7.7800,8.1000,7.6400,7.6600,3237100
2019-09-09,7.2600,7.7200,7.1400,7.7100,3236300
2019-09-06,7.2700,7.6500,6.8500,7.3600,3120600
2019-09-05,6.9200,7.4100,6.9200,7.3600,3037000
2019-09-04,6.6900,6.8900,6.6100,6.7900,2282000
2019-09-03,6.2500,6.4500,6.0900,6.4400,3317400
2019-08-30,6.5400,6.7000,6.2200,6.4900,2539200
2019-08-29,6.3800,6.7200,6.3800,6.5400,2540700
2019-08-28,5.9500,6.3800,5.8000,6.2700,2294700
2019-08-27,5.9200,6.0700,5.7500,5.9000,2002500
2019-08-26,5.6400,5.9400,5.5800,5.8300,3183000
2019-08-23,5.9500,6.1700,5.5300,5.5500,3654200
2019-08-22,6.2800,6.4900,6.0800,6.1000,3001300
2019-08-21,6.4100,6.6200,6.2300,6.2400,2792800
2019-08-20,6.1900,6.3600,6.0200,6.2800,2952000
2019-08-19,6.0100,6.2900,6.0000,6.2500,3087600
2019-08-16,5.3800,5.8602,5.2500,5.8300,3417000
2019-08-15,5.5900,5.6000,5.2500,5.3600,4049700
2019-08-14,5.7600,5.7600,5.4800,5.6300,2801600
2019-08-13,5.6700,6.2250,5.6101,6.0000,2930800
2019-08-12,5.8500,5.9100,5.5300,5.7200,2975100
2019-08-09,6.1400,6.1900,5.7150,5.9100,3322600
2019-08-08,6.2900,6.3600,5.7700,6.0900,4244800
2019-08-07,6.1100,6.2800,5.7650,6.2000,4320200
2019-08-06,6.2404,6.3900,5.5800,6.3600,4930300
2019-08-05,6.0500,6.4800,5.3300,6.1700,8618400
2019-08-02,8.2098,8.2900,7.3100,7.4100,2841300
2019-08-01,8.9000,8.9700,7.9100,8.1800,2978600
2019-07-31,8.9200,9.3800,8.8900,9.0400,3301800
2019-07-30,7.5300,8.8700,7.5300,8.8500,3823000
2019-07-29,7.9200,7.9900,7.5300,7.6300,1926900
2019-07-26,7.9400,8.0500,7.7400,7.9100,1411700
2019-07-25,8.5000,8.5100,7.8503,7.9900,1716100
2019-07-24,8.3300,8.7000,8.3100,8.3900,1382000
2019-07-23,8.1100,8.3700,8.0200,8.3400,1661300
2019-07-22,8.0500,8.3600,7.9100,8.0700,1928800
2019-07-19,7.6700,8.0100,7.6100,7.9400,1689100
2019-07-18,7.8100,7.9504,7.4500,7.6700,2411400
2019-07-17,8.3700,8.4100,7.9300,7.9300,1967200
2019-07-16,8.8800,9.0400,8.3500,8.3600,2557400
2019-07-15,9.2600,9.3300,8.9200,8.9800,1378400
2019-07-12,9.1000,9.3400,9.0700,9.2900,1109500
2019-07-11,9.3205,9.3900,8.9300,9.0500,1460300
2019-07-10,9.1400,9.3700,9.0400,9.3200,1444400
2019-07-09,8.8900,9.0200,8.7100,8.9700,1122200
2019-07-08,8.7200,9.1800,8.6800,8.9100,1711900
2019-07-05,8.5000,8.8300,8.5000,8.7900,826500
2019-07-03,8.7200,8.7543,8.4900,8.5900,854300
2019-07-02,8.7800,8.9350,8.5600,8.6800,2345200
2019-07-01,9.1300,9.4300,9.0200,9.0300,2491300
2019-06-28,8.5600,8.8800,8.5000,8.8700,2394200
