date,open,high,low,close,volume
2019-09-30,58.0800,58.0800,57.5700,58.0100,261900
2019-09-27,58.0400,58.1000,57.2500,57.6100,53900
2019-09-26,58.3600,58.3600,57.8200,58.0400,242900
2019-09-25,57.9300,58.2300,57.9300,58.2300,457400
2019-09-24,57.4200,58.2900,57.3200,58.1400,34200
2019-09-23,57.8100,57.8100,57.0400,57.1600,2173700
2019-09-20,57.5400,57.6200,57.3800,57.5400,16100
2019-09-19,57.5500,57.5500,57.1500,57.3400,260200
2019-09-18,56.5800,57.2200,56.5800,57.2200,9900
2019-09-17,56.4100,57.3560,56.4100,56.8500,1478000
2019-09-16,55.8000,56.5900,55.8000,56.5640,119900
2019-09-13,55.4000,56.0060,55.3700,55.7000,115600
2019-09-12,56.0400,56.9300,55.4140,55.7900,2544900
2019-09-11,56.0900,56.6700,56.0900,56.5700,186400
2019-09-10,56.0200,56.2900,55.9200,56.2600,332800
2019-09-09,56.5300,56.5300,55.7300,56.0200,93000
2019-09-06,56.6600,57.0600,56.1300,56.4400,80700
2019-09-05,57.6200,57.6200,56.8400,56.8400,789500
2019-09-04,57.9500,57.9500,57.3900,57.8300,304100
2019-09-03,56.9900,57.7800,56.7500,57.7800,415500
2019-08-30,56.9100,56.9500,56.7200,56.8600,417100
2019-08-29,56.7900,56.9600,56.5900,56.9600,108700
2019-08-28,57.1300,57.1410,56.5800,56.7800,9900
2019-08-27,56.8600,57.6250,56.8600,57.1400,184700
2019-08-26,56.3200,56.9900,56.3200,56.9800,123200
2019-08-23,57.1500,57.1500,56.4500,56.5000,6400
2019-08-22,57.4900,57.4900,56.8200,56.9500,80500
2019-08-21,56.6700,57.1700,56.6200,57.0700,15900
2019-08-20,56.7400,56.7800,56.5700,56.6000,54600
2019-08-19,56.6200,57.4000,56.5800,57.2630,991600
2019-08-16,56.2700,56.6100,55.2800,56.6000,6800
2019-08-15,55.4800,56.5100,55.2800,56.3900,57500
2019-08-14,56.3587,56.4400,55.2500,55.3100,942600
2019-08-13,56.0730,56.2618,55.7700,56.1400,347300
2019-08-12,56.2900,56.6500,55.9900,56.0400,59100
2019-08-09,56.6600,56.8320,56.6000,56.6300,204900
2019-08-08,56.6130,56.8200,56.5800,56.6800,208800
2019-08-07,56.2200,56.3500,55.7660,56.2200,97400
2019-08-06,55.4900,56.2000,54.8600,56.0300,100700
2019-08-05,56.2200,56.4600,55.3600,55.6900,53500
2019-08-02,56.9010,57.0260,56.2200,56.3000,16800
2019-08-01,55.9497,56.7000,55.5800,56.5000,53200
2019-07-31,55.8800,56.3100,55.4500,55.8000,168000
2019-07-30,56.6100,56.7000,55.7600,56.0300,185000
2019-07-29,56.3800,56.7600,56.0684,56.4200,238500
2019-07-26,56.3100,56.6900,56.1105,56.5700,306900
2019-07-25,55.9900,56.2400,55.8800,56.0700,160000
2019-07-24,56.4100,56.4100,55.7600,55.9900,59100
2019-07-23,56.3800,56.3800,56.0500,56.2800,136700
2019-07-22,56.6300,56.6300,56.0700,56.3000,35500
2019-07-19,57.4700,57.5100,56.3200,56.3200,10900
2019-07-18,56.8322,57.5200,56.6500,57.5200,36300
2019-07-17,56.8300,57.1352,56.8300,56.9000,188100
2019-07-16,56.8200,56.9300,56.3500,56.6800,96000
2019-07-15,56.9400,57.1300,56.9300,57.0080,608000
2019-07-12,57.4100,57.4100,56.9500,57.1000,143000
2019-07-11,57.7114,57.7920,57.1670,57.5900,13600
2019-07-10,57.5000,57.7000,57.4100,57.6070,60100
2019-07-09,57.1700,57.4200,57.0500,57.4200,564900
2019-07-08,57.1500,57.4500,57.0300,57.3400,51400
2019-07-05,57.3600,57.3600,56.6500,57.2900,3700
2019-07-03,57.1800,57.4400,57.1800,57.3700,204900
2019-07-02,55.9700,56.8400,55.9700,56.8400,23400
2019-07-01,56.1000,56.2400,55.5100,56.1100,183300
2019-06-28,56.2400,56.2400,55.8200,56.2000,178500
2019-06-27,56.0000,56.0010,55.7350,55.8900,82400
2019-06-26,56.8600,56.9000,55.9000,55.9000,11900
2019-06-25,57.5400,57.6500,56.9100,57.0600,389100
