date,open,high,low,close,volume
2018-04-06,13.1200,13.1800,12.7600,12.8100,22175203
2018-04-05,13.4200,13.6600,13.0500,13.1400,8887741
2018-04-04,13.4100,13.4600,13.2550,13.3700,1866479
2018-04-03,13.2900,13.5650,13.0850,13.4900,2901733
2018-04-02,13.5500,13.5900,13.0200,13.2300,2674327
2018-03-29,13.7400,13.7800,13.4600,13.5200,2980861
2018-03-28,13.6600,13.9200,13.5300,13.7200,1433660
2018-03-27,13.5300,13.7550,13.3800,13.5400,1988027
2018-03-26,13.1600,13.5500,13.0900,13.4700,1581337
2018-03-23,13.2600,13.3600,13.0500,13.0900,1382353
2018-03-22,13.0200,13.3500,12.9500,13.2200,2508854
2018-03-21,12.8700,13.1800,12.8500,13.1100,1923838
2018-03-20,12.9800,13.0600,12.8000,12.8800,2469782
2018-03-19,13.2200,13.2200,12.8550,12.9400,2235067
2018-03-16,13.4600,13.4600,13.1900,13.2500,5126775
2018-03-15,13.2000,13.4650,13.2000,13.4000,2828480
2018-03-14,13.3300,13.3900,13.0800,13.1500,6057488
2018-03-13,13.2700,13.3800,13.1200,13.2800,6152294
2018-03-05,12.6600,12.9700,12.6204,12.8900,3049194
2018-01-04,11.8900,12.2300,11.7800,11.7800,4066573
