date,open,high,low,close,volume
2019-08-29,11200.0000,11200.0000,11200.0000,11200.0000,0
2019-06-07,12500.0000,12500.0000,12500.0000,12500.0000,53510
2019-06-06,12500.0000,12500.0000,12500.0000,12500.0000,39000
2019-06-05,12100.0000,12800.0000,12100.0000,12500.0000,20620
2019-06-04,12000.0000,12000.0000,12000.0000,12000.0000,10
2019-06-03,12500.0000,12500.0000,12500.0000,12500.0000,540
2019-05-31,12500.0000,13150.0000,12500.0000,12650.0000,3140
2019-05-30,12300.0000,12300.0000,12300.0000,12300.0000,1310
2019-05-29,12400.0000,13200.0000,12400.0000,13200.0000,60
2019-05-28,12400.0000,12400.0000,12400.0000,12400.0000,20
2019-05-24,10950.0000,10950.0000,10950.0000,10950.0000,0
2019-05-23,11650.0000,11700.0000,10950.0000,10950.0000,220
2019-05-22,11000.0000,11000.0000,11000.0000,11000.0000,0
2019-05-21,11000.0000,11000.0000,11000.0000,11000.0000,20
2019-05-20,11000.0000,11000.0000,11000.0000,11000.0000,500
2019-05-17,12200.0000,12200.0000,11000.0000,11000.0000,630
2019-05-16,11600.0000,11600.0000,11600.0000,11600.0000,500
2019-05-15,12450.0000,12450.0000,12450.0000,12450.0000,0
2019-05-14,11900.0000,12500.0000,11900.0000,12450.0000,150
2019-05-13,10850.0000,11900.0000,10850.0000,11900.0000,2020
2019-05-10,11500.0000,11500.0000,11500.0000,11500.0000,750
2019-05-09,11600.0000,12350.0000,11600.0000,12350.0000,400
2019-05-08,12450.0000,12950.0000,11650.0000,12450.0000,1450
2019-05-07,12500.0000,12500.0000,12500.0000,12500.0000,0
2019-05-06,11750.0000,12500.0000,10950.0000,12500.0000,1500
2019-05-03,11000.0000,11750.0000,10600.0000,11750.0000,130
2019-05-02,11200.0000,11200.0000,11200.0000,11200.0000,10
2019-05-01,11900.0000,11900.0000,11900.0000,11900.0000,0
2019-04-30,11900.0000,11900.0000,11900.0000,11900.0000,0
2019-04-29,11900.0000,11900.0000,11900.0000,11900.0000,0
2019-04-26,13450.0000,13450.0000,11900.0000,11900.0000,890
2019-04-25,12800.0000,12800.0000,12750.0000,12750.0000,150
2019-04-24,12800.0000,13700.0000,12800.0000,13700.0000,100
2019-04-23,13050.0000,13950.0000,13050.0000,13750.0000,50
2019-04-22,13600.0000,14000.0000,13600.0000,14000.0000,20
2019-04-18,12850.0000,12850.0000,12850.0000,12850.0000,0
2019-04-17,12850.0000,12850.0000,12850.0000,12850.0000,20
2019-04-16,13800.0000,13800.0000,13800.0000,13800.0000,0
2019-04-15,13800.0000,13800.0000,13800.0000,13800.0000,0
2019-04-12,13800.0000,13800.0000,13700.0000,13800.0000,370
2019-04-11,12925.0000,12925.0000,12925.0000,12925.0000,108
2019-04-10,12088.0996,12088.0996,10832.7998,12088.0996,731
2019-04-09,11902.2002,11902.2002,11297.7998,11297.7998,43
2019-04-08,11902.2002,11902.2002,11902.2002,11902.2002,11
2019-04-05,12367.0996,12785.5000,12367.0996,12785.5000,54
