date,open,high,low,close,volume
2019-11-08,3.1800,3.4100,3.1800,3.3300,8213
2019-11-07,3.4000,3.4400,3.1800,3.2000,3100
2019-11-06,3.3000,3.3000,3.2000,3.3000,6800
2019-11-05,3.5200,3.5200,3.2100,3.2700,10000
2019-11-04,3.5000,3.7000,3.1900,3.7000,7900
2019-11-01,3.4400,3.9100,3.4000,3.4500,24100
2019-10-31,3.2500,3.5800,3.2500,3.5700,4600
2019-10-30,2.9800,3.5000,2.9800,3.1800,5100
2019-10-29,3.3000,3.5000,2.8300,3.3400,6600
2019-10-28,3.4000,3.4500,3.0800,3.1900,7200
2019-10-25,3.0600,3.4300,2.5600,3.2500,12800
2019-10-24,3.2500,3.5000,2.8700,3.0000,25500
2019-10-23,3.4200,3.6200,3.2400,3.5100,1100
2019-10-22,3.4600,3.6800,3.4600,3.4700,2700
2019-10-21,3.2300,3.6100,3.2300,3.5000,2000
2019-10-18,3.6200,3.6500,3.2500,3.2900,6600
2019-10-17,3.6100,3.7400,3.5000,3.5000,1009700
2019-10-16,3.7800,3.7800,3.3700,3.5400,14100
2019-10-15,3.6400,3.9200,3.5900,3.6300,40600
2019-10-14,3.6300,3.7100,3.6100,3.6600,4600
2019-10-11,4.0800,4.1200,3.6500,3.6500,33800
2019-10-10,4.9700,4.9700,4.0000,4.0700,25500
2019-10-09,4.1500,4.5100,4.1500,4.2600,15700
2019-10-08,4.2100,4.2800,4.0100,4.0300,7600
2019-10-07,4.1900,4.3300,4.0100,4.0200,4300
2019-10-04,3.7600,4.3000,3.7600,4.1100,33500
2019-10-03,3.6900,3.8600,3.6600,3.6600,1900
2019-10-02,3.6600,3.9200,3.6500,3.7000,31000
2019-10-01,3.8000,3.9700,3.6500,3.6500,37700
2019-09-30,3.7500,3.9300,3.6600,3.8000,34700
2019-09-27,3.8100,3.9400,3.6900,3.7300,34700
2019-09-26,3.7500,3.9900,3.7500,3.9100,15900
2019-09-25,3.8600,3.8900,3.7400,3.7400,12900
2019-09-24,3.9200,3.9800,3.7200,3.8400,15200
2019-09-23,3.7800,4.0400,3.7400,3.8600,32400
2019-09-20,3.7700,3.9100,3.7500,3.8300,7900
2019-09-19,3.7800,3.9200,3.6700,3.6700,5400
2019-09-18,3.9500,4.0000,3.6700,3.6800,25800
2019-09-17,4.1100,4.1100,3.8400,3.8600,2200
2019-09-16,3.8100,4.2300,3.8100,4.0800,6500
2019-09-13,3.9300,4.0000,3.8100,3.8100,3400
2019-09-12,4.0000,4.0400,3.7600,3.7700,68100
2019-09-11,3.9600,3.9900,3.7600,3.7600,92800
2019-09-10,3.6800,3.9900,3.6700,3.6700,102700
2019-09-09,3.8600,3.9900,3.6800,3.7000,1200
2019-09-06,3.9900,3.9900,3.6800,3.9500,3600
2019-09-05,4.0500,4.0500,3.6700,4.0300,900
2019-09-04,3.8000,3.8000,3.5800,3.6400,2700
2019-09-03,3.7000,3.8000,3.5500,3.5700,18500
2019-08-30,3.9100,3.9100,3.8500,3.8600,4400
2019-08-29,3.9400,4.0600,3.7200,4.0200,4200
2019-08-28,3.7900,4.0000,3.6600,3.7100,5400
2019-08-27,3.8800,3.8800,3.5500,3.6200,7700
2019-08-26,3.9800,4.0800,3.8800,3.8900,5200
2019-08-23,4.0400,4.1300,3.8400,4.0500,13100
2019-08-22,4.0500,4.1300,4.0000,4.0500,3900
2019-08-21,4.0200,4.1300,4.0000,4.0000,10100
2019-08-20,3.9500,4.0600,3.9100,4.0500,2800
2019-08-19,4.1100,4.1100,3.7800,4.1000,7200
2019-08-16,3.8900,4.0500,3.8800,4.0500,8100
2019-08-15,3.9300,4.1800,3.5300,3.9100,19500
2019-08-14,3.7300,4.1900,3.4700,3.6100,13500
2019-08-13,3.8000,4.1800,3.6100,3.7600,22300
2019-08-12,3.7400,3.8500,3.5600,3.5600,6200
2019-08-09,3.7700,4.2800,3.5500,3.7800,28700
2019-08-08,3.5000,3.9400,3.5000,3.7400,8200
2019-08-07,3.4000,3.5400,3.0998,3.4500,23600
2019-08-06,4.0700,4.0700,3.3100,3.3100,39600
2019-08-05,4.2000,4.8800,3.7900,4.0000,48200
2019-08-02,4.0500,4.1900,4.0500,4.1600,30200
2019-08-01,4.2500,4.2500,3.8500,3.9500,99900
2019-07-31,4.2900,4.3500,4.1000,4.1000,12400
2019-07-30,4.3102,4.5000,4.2500,4.2500,112900
2019-07-29,4.4900,4.8898,4.3000,4.3000,177900
2019-07-26,4.7900,4.8800,4.5500,4.5600,7700
2019-07-25,4.9800,5.1000,4.6100,4.6500,134700
2019-07-24,5.2000,5.3000,4.9900,4.9900,19500
2019-07-23,5.4100,5.5300,5.1500,5.1900,8200
2019-07-22,5.4900,5.5195,5.4400,5.4400,15900
2019-07-19,5.5000,5.5800,5.4100,5.5100,15200
2019-07-18,5.5400,5.5800,5.4500,5.4500,8000
2019-07-17,5.5900,5.5900,5.4800,5.5000,12200
2019-07-16,5.5500,5.5900,5.4500,5.5000,12400
2019-07-15,5.6000,5.7900,5.4700,5.4700,3900
2019-07-12,5.5300,5.6000,5.4800,5.5000,8300
2019-07-11,5.4900,5.7100,5.4600,5.5000,8800
2019-07-10,5.5900,6.1400,5.4900,5.5100,14300
2019-07-09,5.5100,5.5500,5.4500,5.5000,7200
2019-07-08,5.5000,5.7500,5.4300,5.5000,9600
2019-07-05,5.3100,5.6500,5.3100,5.5000,6700
2019-07-03,5.6000,5.8500,5.5000,5.5100,33500
2019-07-02,6.5300,7.4500,5.6000,5.6000,57900
2019-07-01,5.7200,5.7400,5.4000,5.4400,30600
2019-06-28,5.7200,5.8500,5.5200,5.6600,476100
2019-06-27,5.7800,5.8700,5.7000,5.7500,18300
2019-06-26,5.9797,5.9800,5.7000,5.7000,29700
2019-06-25,5.6900,6.0400,5.6900,5.9200,21900
2019-06-24,6.0000,6.2100,5.6300,5.6300,40300
2019-06-21,6.0500,6.2000,5.9200,6.0000,24000
2019-06-20,6.0000,6.4000,5.9000,6.1000,32400
2019-06-19,6.0000,6.2300,5.9100,6.0100,45100
2019-06-18,6.0000,6.1500,5.9600,6.0600,25000
2019-06-17,5.9700,6.2200,5.9100,6.0100,30400
2019-06-14,5.9000,6.0700,5.8704,6.0000,31900
2019-06-13,5.9600,6.1300,5.8100,6.0300,37700
2019-06-12,5.9800,6.4200,5.7500,6.0000,44700
2019-06-11,6.2800,6.5800,5.9199,6.0100,17500
2019-06-10,6.0400,6.4900,5.9600,6.1800,21600
2019-06-07,5.9798,6.2600,5.7400,6.0100,18900
2019-06-06,6.3000,6.3000,5.7900,6.0000,14400
2019-06-05,6.1900,6.6200,6.0500,6.2500,14000
2019-06-04,6.4000,6.7800,6.2501,6.3400,7600
2019-06-03,6.3200,6.5900,6.1000,6.3900,35200
2019-05-31,6.4500,6.7800,6.2500,6.4500,24000
2019-05-30,6.2000,6.9000,6.0100,6.6000,35200
2019-05-29,6.4200,6.4200,6.1100,6.1700,14300
2019-05-28,6.1900,6.3900,6.0500,6.2000,7500
2019-05-24,6.1100,6.2500,6.0000,6.0700,11300
2019-05-23,6.6800,7.3500,6.0200,6.1100,15200
2019-05-22,7.0100,7.7100,6.5900,6.5900,11100
2019-05-21,6.5200,7.7600,6.3700,7.7300,36200
2019-05-20,6.1400,6.6200,6.1100,6.5700,15600
2019-05-17,6.1000,6.3000,6.0700,6.1300,2600
2019-05-16,6.0500,6.3800,6.0500,6.1200,5300
2019-05-15,6.1000,6.3700,6.0001,6.0500,13400
2019-05-14,6.1000,6.5500,6.0000,6.1000,56600
2019-05-13,5.9800,6.6200,5.9800,6.0800,18300
2019-05-10,6.0700,6.2100,5.8800,5.9800,16700
2019-05-09,6.0900,6.2700,5.7300,6.0400,10400
2019-05-08,7.8200,8.0300,5.9700,6.0800,105700
2019-05-07,6.2600,8.0003,6.0000,7.7100,27500
2019-05-06,6.2000,7.2800,6.0000,6.9200,7100
2019-05-03,6.3900,6.7500,6.3400,6.7500,6700
2019-05-02,6.3700,6.5800,6.0500,6.3300,93000
2019-05-01,5.5000,6.4400,5.5000,6.3900,17200
2019-04-30,6.2300,6.2400,6.2300,6.2400,5500
2019-04-29,6.0000,6.4700,5.9800,6.1400,57600
2019-04-26,5.3700,6.2600,5.3300,5.9900,10400
2019-04-25,5.4600,5.5300,5.3500,5.3800,17800
2019-04-24,5.6500,5.6500,5.2800,5.2800,8400
2019-04-23,5.7296,6.2900,5.3000,5.4200,22600
2019-04-22,5.4900,6.3400,5.4900,5.5100,32400
2019-04-18,5.4400,6.0500,5.1200,5.3500,36400
2019-04-17,6.0998,6.1000,5.4800,5.4800,54200
2019-04-16,6.2200,6.4500,5.6500,5.6500,31000
2019-04-15,6.8200,6.9500,6.0300,6.0600,30600
2019-04-12,6.8000,7.1900,6.6000,6.6100,12400
2019-04-11,7.1800,7.2600,6.6100,6.6500,19900
2019-04-10,6.9000,7.3100,6.9000,7.2300,10800
2019-04-09,7.5000,7.8300,6.8600,6.8700,8800
2019-04-08,7.5200,8.5200,7.3800,7.5100,14400
2019-04-05,7.8700,7.8700,7.1100,7.4600,8500
2019-04-04,7.5495,7.5600,7.0000,7.1500,6500
2019-04-03,7.4000,7.8000,7.0100,7.1800,7800
2019-04-02,7.9000,8.6600,7.2400,7.4100,22700
2019-04-01,8.0500,8.6300,8.0400,8.2000,24700
2019-03-29,8.1200,8.4400,7.5500,8.0000,25000
2019-03-28,7.5000,8.1000,7.5000,7.9700,11900
2019-03-27,7.1000,7.7000,7.1000,7.5400,8700
2019-03-26,7.3000,7.5100,6.9200,7.5100,31900
2019-03-25,7.4000,7.4000,6.7000,7.0000,11000
2019-03-22,6.9200,7.3500,6.7400,6.8100,10800
2019-03-21,7.2400,7.2800,6.9000,6.9100,12500
2019-03-20,7.0000,7.4700,7.0000,7.3100,4800
2019-03-19,7.0900,7.4101,7.0900,7.3500,10400
2019-03-18,7.3200,7.5100,7.0000,7.0000,10500
2019-03-15,6.9700,7.3704,6.8900,7.3700,20400
2019-03-14,7.2200,7.6400,6.5200,7.1500,46500
2019-03-13,7.8300,7.8600,7.1400,7.7800,29800
2019-03-12,7.5700,8.0000,7.2500,7.7300,14400
2019-03-11,8.1800,8.1800,7.3200,7.6200,7800
2019-03-08,7.4900,7.7500,7.1000,7.4500,13200
2019-03-07,7.5100,7.6500,7.3300,7.4600,9000
2019-03-06,7.5400,7.8401,7.2000,7.3700,34400
2019-03-05,7.2000,8.0000,7.1500,7.4800,15200
2019-03-04,7.5400,7.6900,7.5000,7.5300,17000
2019-03-01,7.8700,8.3400,7.3000,7.5500,21100
2019-02-28,7.7000,8.2000,7.2000,7.8700,20500
2019-02-27,7.5700,7.7100,7.0700,7.6200,19200
2019-02-26,6.6600,7.6100,6.3500,7.3800,29400
2019-02-25,6.3000,6.8000,5.9000,6.6100,29600
2019-02-22,5.9100,6.0000,5.6300,6.0000,62500
2019-02-21,6.0400,6.2600,5.7600,5.8400,75800
2019-02-20,6.8899,6.9100,6.0300,6.0400,30800
2019-02-19,6.6800,6.9897,6.4500,6.9000,31100
2019-02-15,6.6500,6.8700,5.9100,6.5100,23700
2019-02-14,7.1100,7.4900,6.4000,6.5300,8500
2019-02-13,7.0800,7.1600,6.5300,7.1600,50700
2019-02-12,7.2400,8.0000,7.0000,7.1900,20500
2019-02-11,7.8100,7.8997,7.1000,7.1000,52600
2019-02-08,8.2900,8.2900,7.6800,7.6900,11800
2019-02-07,8.5900,8.7400,8.2500,8.2500,15600
2019-02-06,8.7200,8.8600,8.3005,8.5000,13900
2019-02-05,8.6000,9.2300,8.4800,8.8000,40100
2019-02-04,8.7000,9.2195,8.6000,8.6200,8600
2019-02-01,8.8000,9.6005,8.5000,8.6800,7100
2019-01-31,8.6000,8.7900,8.0000,8.7900,52500
2019-01-30,8.6500,8.8400,8.0500,8.2500,11600
2019-01-29,8.8100,9.0200,8.6600,8.6600,7100
2019-01-28,9.6800,9.8000,8.7000,8.8200,25000
2019-01-25,10.9000,11.1697,9.3400,9.8700,19800
2019-01-24,10.7300,11.5000,9.9100,10.9100,25200
2019-01-23,11.5200,11.5200,10.1500,10.6100,10500
2019-01-22,12.1100,13.3200,11.0000,11.5300,116400
2019-01-18,11.3500,12.7500,10.6300,12.0200,33600
2019-01-17,10.4800,11.7300,10.1000,11.2800,24600
2019-01-16,11.0900,11.0900,9.9900,10.5700,29000
2019-01-15,10.2000,11.6300,9.9000,10.5700,76100
2019-01-14,10.5800,10.9600,9.9398,10.1900,16700
2019-01-11,10.4700,10.8800,10.2600,10.5700,31600
2019-01-10,10.5200,11.2600,10.4600,10.4800,5000
2019-01-09,10.8900,11.0300,10.0000,10.4800,20300
2019-01-08,10.3300,11.9001,10.0000,10.9000,24800
2019-01-07,8.0700,10.5000,7.9300,10.1200,44500
2019-01-04,7.9500,8.7400,7.2495,8.0700,76900
2019-01-03,7.4200,7.4200,7.0000,7.0600,36500
2019-01-02,8.1600,8.2600,7.0700,7.4300,165800
2018-12-31,9.9900,9.9894,8.0000,8.1600,42000
2018-12-28,7.6300,8.2400,7.4899,7.8100,8300
2018-12-27,8.3500,8.3800,6.0600,7.6200,67700
2018-12-26,8.9600,9.5000,7.9200,8.4600,73900
2018-12-24,7.5900,9.4000,7.1700,9.0000,19700
2018-12-21,6.4100,8.4000,5.5000,7.7500,551000
2018-12-20,9.9900,10.0400,5.8400,6.3200,134100
2018-12-19,11.0400,12.0500,9.6200,9.8900,55700
2018-12-18,11.0000,12.0900,11.0000,11.0400,49300
2018-12-17,11.8800,12.1500,10.2010,10.7500,34500
2018-12-14,12.0000,13.2000,11.2600,12.0000,24100
2018-12-13,13.9300,13.9300,11.4000,12.3700,20500
2018-12-12,14.4100,14.4100,13.0300,13.3000,11200
2018-12-11,14.3400,15.5000,13.6100,14.3900,13900
2018-12-10,15.0800,15.2500,12.7600,14.0800,19000
2018-12-07,14.4104,15.4100,12.5100,15.2800,41900
2018-12-06,15.5500,16.4000,13.9200,14.4100,21700
2018-12-04,16.2900,16.4000,15.2500,15.9000,40500
2018-12-03,16.7300,17.5000,15.6200,16.2000,30700
2018-11-30,14.7500,17.3000,14.7500,16.4000,36700
2018-11-29,15.5900,16.0000,14.9000,14.9000,29000
2018-11-28,16.1700,16.1700,14.9100,15.5800,17500
2018-11-27,16.6400,17.0000,15.9500,16.4700,19700
2018-11-26,19.3700,19.3687,16.5000,16.6700,39600
2018-11-23,14.5800,19.6900,14.5800,19.4400,18700
2018-11-21,14.1200,16.0000,14.1200,14.6000,20600
2018-11-20,14.8100,14.8500,14.0204,14.5000,19500
2018-11-19,16.8900,16.8900,14.8800,14.8800,34100
2018-11-16,14.3200,18.2900,13.5000,16.9000,78000
2018-11-15,12.6000,16.1900,12.6000,15.8500,48100
2018-11-14,15.5400,16.3100,14.2400,15.8900,6800
2018-11-13,15.3900,16.3600,14.0900,15.5500,10800
2018-11-12,16.4800,16.4800,14.1900,15.6000,13500
2018-11-09,16.7706,16.9900,15.0700,16.5000,8400
2018-11-08,16.9000,18.0000,16.3500,16.9900,66800
2018-11-07,16.9600,19.2700,16.9600,17.1000,48800
2018-11-06,15.1100,18.5000,15.1100,16.9800,34200
2018-11-05,15.3900,16.3400,12.8300,16.3400,3100
2018-11-02,14.9700,15.4000,13.4700,15.0400,6300
2018-11-01,14.2300,15.0500,11.7500,14.9800,11800
2018-10-31,14.3200,14.9100,13.8800,14.0000,14400
2018-10-30,14.4800,14.6400,13.6600,14.3200,12700
2018-10-29,15.0100,15.0100,14.2590,14.4700,5100
2018-10-26,13.8600,15.3700,13.8600,14.8500,8800
2018-10-25,14.0800,14.9700,13.0100,14.9700,153300
2018-10-24,13.9300,14.0000,13.9200,13.9900,23100
2018-10-23,13.2900,13.9600,9.2101,13.8500,39200
2018-10-22,13.9900,14.5300,13.9900,14.3100,13800
2018-10-19,13.9500,14.4400,13.8000,14.0000,117200
2018-10-18,14.0000,14.0000,13.0289,13.9200,59200
2018-10-17,14.0000,14.1500,13.9000,14.0000,11300
2018-10-16,13.8200,14.2001,13.8200,14.0000,29600
2018-10-15,14.0000,14.1808,14.0000,14.0000,47200
2018-10-12,14.3500,14.9500,13.7605,14.0000,913200
2018-01-30,0.5900,0.6000,0.5900,0.6000,70500
2018-01-29,0.6000,0.6000,0.6000,0.6000,0
2018-01-26,0.5900,0.6000,0.5900,0.6000,7000
2018-01-25,0.6000,0.6000,0.5900,0.6000,32400
2018-01-24,0.5900,0.6000,0.5900,0.6000,60812
2018-01-23,0.6000,0.6000,0.6000,0.6000,45000
2018-01-22,0.6000,0.6100,0.6000,0.6100,23050
2018-01-19,0.5900,0.5900,0.5800,0.5800,8700
2018-01-18,0.6000,0.6000,0.6000,0.6000,45500
2018-01-17,0.6000,0.6000,0.5800,0.6000,57500
2018-01-16,0.6000,0.6000,0.6000,0.6000,11280
2018-01-12,0.6200,0.6200,0.6100,0.6100,30500
2018-01-11,0.6200,0.6200,0.6100,0.6100,17500
2018-01-10,0.6200,0.6200,0.6200,0.6200,10000
2018-01-09,0.5900,0.5900,0.5900,0.5900,0
2018-01-08,0.5900,0.5900,0.5900,0.5900,0
2018-01-05,0.6000,0.6000,0.5900,0.5900,5500
2018-01-04,0.6100,0.6100,0.6000,0.6000,7500
2018-01-03,0.6000,0.6100,0.5800,0.5800,18443
2018-01-02,0.6000,0.6000,0.5800,0.5800,78200
2017-12-29,0.6500,0.6500,0.6400,0.6400,4000
2017-12-28,0.6000,0.6000,0.6000,0.6000,5000
2017-12-27,0.5800,0.5800,0.5800,0.5800,0
2017-12-26,0.5800,0.5800,0.5800,0.5800,0
2017-12-22,0.6300,0.6300,0.5800,0.5800,150152
2017-12-21,0.6200,0.6300,0.6200,0.6300,16500
2017-12-20,0.6100,0.6100,0.6100,0.6100,15000
2017-12-19,0.6000,0.6000,0.6000,0.6000,7240
2017-12-18,0.6000,0.6000,0.6000,0.6000,38500
2017-12-15,0.5800,0.6000,0.5800,0.5900,27312
2017-12-14,0.6000,0.6000,0.6000,0.6000,8000
2017-12-13,0.5600,0.6000,0.5600,0.6000,144500
2017-12-12,0.6300,0.6300,0.5200,0.5200,498926
2017-12-11,0.6900,0.6900,0.6200,0.6200,285437
2017-12-08,0.6900,0.7000,0.6700,0.7000,169750
2017-12-07,0.6900,0.6900,0.6900,0.6900,0
2017-12-06,0.7000,0.7000,0.6900,0.6900,45250
2017-12-05,0.6900,0.7000,0.6800,0.7000,47500
2017-12-04,0.7000,0.7000,0.7000,0.7000,10250
2017-12-01,0.6900,0.7000,0.6900,0.7000,17887
2017-11-30,0.6900,0.7000,0.6900,0.7000,61437
2017-11-29,0.6900,0.6900,0.6900,0.6900,24715
2017-11-28,0.6800,0.6900,0.6800,0.6900,60900
2017-11-27,0.6800,0.6800,0.6500,0.6800,24559
2017-11-24,0.6600,0.6800,0.6600,0.6700,45321
2017-11-22,0.6600,0.6700,0.6500,0.6600,43500
2017-11-21,0.6300,0.6700,0.6300,0.6600,63386
2017-11-20,0.6400,0.6600,0.6300,0.6600,45100
2017-11-17,0.5800,0.6500,0.5800,0.6300,120535
2017-11-16,0.5900,0.5900,0.5800,0.5800,53400
2017-11-15,0.5900,0.5900,0.5700,0.5700,40625
2017-11-14,0.5900,0.5900,0.5700,0.5900,32625
2017-11-13,0.5900,0.5900,0.5800,0.5800,33025
2017-11-10,0.5700,0.5900,0.5700,0.5900,104883
2017-11-09,0.5500,0.5700,0.5500,0.5600,144675
2017-11-08,0.5400,0.5600,0.5400,0.5500,123017
2017-11-07,0.5400,0.5400,0.5400,0.5400,79000
2017-11-06,0.5300,0.5400,0.5300,0.5400,22712
2017-11-03,0.5400,0.5400,0.5400,0.5400,0
2017-11-02,0.5300,0.5400,0.5300,0.5400,44320
2017-11-01,0.5300,0.5300,0.5300,0.5300,15500
2017-10-31,0.4800,0.5300,0.4800,0.5300,42408
2017-10-30,0.4750,0.4800,0.4750,0.4800,11000
2017-10-27,0.4700,0.4800,0.4700,0.4800,75437
2017-10-26,0.4500,0.4500,0.4500,0.4500,3575
2017-10-25,0.4700,0.4800,0.4700,0.4700,85500
2017-10-24,0.4700,0.4700,0.4700,0.4700,165400
2017-10-23,0.4500,0.4500,0.4500,0.4500,518
2017-10-20,0.4500,0.4500,0.4500,0.4500,50000
2017-10-19,0.4500,0.4500,0.4500,0.4500,0
2017-10-18,0.4500,0.4500,0.4500,0.4500,808
2017-10-17,0.4700,0.4700,0.4500,0.4500,129000
2017-10-16,0.4700,0.4700,0.4700,0.4700,45375
2017-10-13,0.4600,0.4700,0.4600,0.4700,25750
2017-10-12,0.4500,0.4700,0.4500,0.4500,126500
2017-10-11,0.4600,0.4600,0.4600,0.4600,0
2017-10-10,0.4600,0.4600,0.4600,0.4600,25200
2017-10-09,0.4600,0.4600,0.4600,0.4600,0
2017-10-06,0.4600,0.4600,0.4500,0.4600,30750
2017-10-04,0.4500,0.4600,0.4400,0.4600,89500
2017-10-03,0.4500,0.4500,0.4500,0.4500,13012
2017-10-02,0.4600,0.4600,0.4500,0.4500,29500
2017-09-29,0.4600,0.4600,0.4500,0.4500,158000
2017-09-28,0.4500,0.4500,0.4500,0.4500,133000
2017-09-27,0.4500,0.4500,0.4500,0.4500,0
2017-09-26,0.4500,0.4500,0.4500,0.4500,69000
2017-09-25,0.4200,0.4200,0.4200,0.4200,500
2017-09-22,0.4500,0.4500,0.4450,0.4500,28000
2017-09-21,0.4400,0.4500,0.4400,0.4500,90625
2017-09-20,0.4400,0.4400,0.4400,0.4400,80000
2017-09-19,0.4300,0.4400,0.4300,0.4400,90000
2017-09-18,0.4400,0.4500,0.4400,0.4400,153912
2017-09-15,0.4500,0.4500,0.4500,0.4500,0
2017-09-14,0.4400,0.4500,0.4400,0.4500,25000
2017-09-13,0.4250,0.4400,0.4250,0.4400,58818
2017-09-12,0.4250,0.4250,0.4250,0.4250,25000
2017-09-11,0.4200,0.4250,0.4000,0.4100,127500
2017-09-08,0.3850,0.4150,0.3850,0.4150,37500
2017-09-07,0.4000,0.4000,0.4000,0.4000,32000
2017-09-06,0.4000,0.4000,0.4000,0.4000,13000
2017-09-05,0.3700,0.4000,0.3700,0.4000,20275
2017-09-01,0.4000,0.4000,0.3750,0.3750,198000
2017-08-31,0.4000,0.4000,0.4000,0.4000,55125
2017-08-30,0.4000,0.4150,0.4000,0.4150,50000
2017-08-29,0.3900,0.4000,0.3900,0.4000,74875
2017-08-28,0.3900,0.3900,0.3900,0.3900,30000
2017-08-25,0.3900,0.3900,0.3900,0.3900,0
2017-08-24,0.3900,0.3900,0.3900,0.3900,1000
2017-08-23,0.3550,0.4000,0.3500,0.3800,70095
2017-08-22,0.3500,0.3850,0.3500,0.3750,11750
2017-08-21,0.3300,0.3300,0.3300,0.3300,0
2017-08-18,0.3300,0.3300,0.3300,0.3300,50000
2017-08-17,0.3000,0.3000,0.3000,0.3000,0
2017-08-16,0.3000,0.3000,0.3000,0.3000,0
2017-08-15,0.3100,0.3100,0.3000,0.3000,300500
2017-08-14,0.3200,0.3200,0.3200,0.3200,0
2017-08-11,0.3200,0.3200,0.3200,0.3200,0
2017-08-10,0.3150,0.3200,0.3150,0.3200,5687
2017-08-09,0.3100,0.3200,0.3100,0.3200,26000
2017-08-08,0.3100,0.3100,0.3100,0.3100,34000
