date,open,high,low,close,volume
2019-11-08,16.8700,17.0850,16.8500,17.0400,5063353
2019-11-07,17.3000,17.3900,16.8600,16.9300,5948900
2019-11-06,17.2100,17.3200,17.0800,17.1700,3851100
2019-11-05,17.1200,17.4200,17.0400,17.2800,6524300
2019-11-04,16.5000,16.9600,16.4400,16.8400,10077800
2019-11-01,16.1300,16.3200,16.0400,16.3100,2473100
2019-10-31,16.0800,16.0900,15.6500,15.9700,2999600
2019-10-30,16.2900,16.3600,16.0800,16.1800,2796600
2019-10-29,16.2300,16.3900,16.1500,16.3500,2573800
2019-10-28,16.2200,16.3800,16.1800,16.2500,2556600
2019-10-25,16.0000,16.2700,15.9800,16.1500,2299700
2019-10-24,16.0400,16.0600,15.8500,16.0300,2001900
2019-10-23,15.9300,16.1000,15.8500,16.0400,2734400
2019-10-22,15.7700,16.0600,15.5900,15.9500,2857200
2019-10-21,15.6800,15.8500,15.6600,15.7600,1790600
2019-10-18,15.4500,15.6000,15.3600,15.5500,3244300
2019-10-17,15.5600,15.5600,15.2800,15.4100,4450600
2019-10-16,15.5000,16.0900,15.3100,15.5700,4651600
2019-10-15,15.9200,16.1700,15.8700,16.1500,4183500
2019-10-14,15.8400,16.0000,15.7800,15.9100,1457800
2019-10-11,15.9700,16.0800,15.9100,15.9300,2188100
2019-10-10,15.6300,15.8100,15.5900,15.7800,2654300
2019-10-09,15.7200,15.7200,15.4900,15.5400,1834900
2019-10-08,15.7600,15.7600,15.5600,15.6000,2228200
2019-10-07,16.0100,16.1100,15.8800,15.8900,1772100
2019-10-04,15.8700,16.0900,15.6600,16.0600,2739800
2019-10-03,15.8500,15.9000,15.6200,15.8400,1990800
2019-10-02,15.8600,15.9200,15.7100,15.9000,2521600
2019-10-01,16.3400,16.4300,15.8600,15.9400,3386900
2019-09-30,16.3600,16.4200,16.1600,16.2000,1469200
2019-09-27,16.4300,16.5300,16.2000,16.2900,1968300
2019-09-26,16.2900,16.5100,16.2700,16.3300,4516300
2019-09-25,16.1900,16.4400,16.1800,16.3600,2082700
2019-09-24,16.2900,16.3600,16.0000,16.1500,3679100
2019-09-23,16.2000,16.4100,16.1700,16.3000,2525100
2019-09-20,16.3500,16.4500,16.2500,16.3200,5651900
2019-09-19,16.3500,16.4700,16.2700,16.3200,3075900
2019-09-18,16.1300,16.5000,16.1000,16.3600,2894500
2019-09-17,16.1400,16.2500,16.0500,16.2500,2091000
2019-09-16,16.2400,16.4300,16.1900,16.2400,2333100
2019-09-13,16.6300,16.7000,16.3600,16.4600,3733900
2019-09-12,16.2100,16.5700,16.1800,16.4600,3279600
2019-09-11,16.4000,16.5000,16.1500,16.5000,4443700
2019-09-10,16.4500,16.5700,16.2200,16.3600,4253500
2019-09-09,16.0700,16.3900,15.9900,16.3300,2704500
2019-09-06,15.9900,16.1000,15.8700,15.9400,2289500
2019-09-05,15.9000,16.1800,15.8100,15.9600,3234600
2019-09-04,15.5900,15.6400,15.4400,15.6300,1899000
2019-09-03,15.6900,15.7000,15.3700,15.4000,3655900
2019-08-30,15.9000,15.9600,15.7500,15.8300,2500800
2019-08-29,15.8500,15.9000,15.6700,15.8300,3765200
2019-08-28,15.2900,15.5900,15.2600,15.5000,2047700
2019-08-27,15.5700,15.6100,15.2500,15.3600,3170200
2019-08-26,15.4500,15.5700,15.3700,15.5000,3095000
2019-08-23,15.6700,15.8700,15.2500,15.3200,2500700
2019-08-22,15.8600,15.8900,15.6200,15.7500,2595800
2019-08-21,15.6900,15.7700,15.6400,15.7300,2748800
2019-08-20,15.7600,15.7600,15.5400,15.5600,2059400
2019-08-19,15.8400,15.8700,15.7000,15.7700,1008500
2019-08-16,15.3400,15.6100,15.2100,15.5900,1205900
2019-08-15,15.4100,15.4200,15.2100,15.2300,1955000
2019-08-14,15.5900,15.6400,15.2700,15.3300,5554800
