date,open,high,low,close,volume
2019-11-08,9.9600,10.0000,8.9200,8.9300,3063952
2019-11-07,9.5500,10.7100,9.3500,9.9100,5960100
2019-11-06,12.9300,12.9400,11.8400,12.5600,1687100
2019-11-05,11.9000,13.0800,11.8400,12.9300,2139400
2019-11-04,11.1600,11.7700,11.1400,11.7600,1175600
2019-11-01,11.0000,11.2200,10.8300,11.0300,1156000
2019-10-31,10.9900,11.0000,10.4300,10.8800,647500
2019-10-30,11.5800,11.7100,10.8900,10.9900,760900
2019-10-29,11.4600,11.6200,11.1800,11.5600,433800
2019-10-28,11.3100,11.6800,11.2200,11.4700,894800
2019-10-25,11.0500,11.8400,11.0100,11.2000,443300
2019-10-24,12.1300,12.1300,11.1100,11.1100,691300
2019-10-23,12.2800,12.3800,12.0800,12.1000,794900
2019-10-22,11.8600,12.3700,11.6700,12.3300,904700
2019-10-21,11.2100,11.9200,11.1600,11.7900,973400
2019-10-18,11.1300,11.2200,10.9600,11.0700,673600
2019-10-17,11.4800,11.8100,11.1500,11.3800,1599800
2019-10-16,11.0100,11.4800,10.9900,11.4100,751800
2019-10-15,10.9900,11.0900,10.8200,10.9700,521200
2019-10-14,11.0600,11.0800,10.7800,11.0000,837700
2019-10-11,10.8300,11.4800,10.7600,11.1300,1042300
2019-10-10,10.7300,11.0400,10.4800,10.6000,681400
2019-10-09,10.7700,10.7700,10.4200,10.6600,1201700
2019-10-08,11.1600,11.2000,10.3900,10.5700,1512100
2019-10-07,11.2400,11.6600,11.1800,11.2800,773800
2019-10-04,11.3500,11.5700,11.1300,11.3200,1125000
2019-10-03,11.2000,11.3600,10.9000,11.3500,938900
2019-10-02,12.0000,12.0400,11.1300,11.2300,1564500
2019-10-01,12.5500,12.7100,12.1200,12.1600,1123800
2019-09-30,12.4700,12.5900,12.0000,12.5100,1285800
2019-09-27,11.8100,12.3600,11.8100,12.2900,1048500
2019-09-26,11.9900,12.0300,11.6000,11.9700,859800
2019-09-25,11.6200,12.0200,11.5700,11.9700,996700
2019-09-24,12.1700,12.2500,11.5100,11.6200,994600
2019-09-23,12.2100,12.4200,12.0100,12.1200,873200
2019-09-20,12.1400,12.7600,12.1100,12.3400,1592200
2019-09-19,12.1200,12.2700,11.7300,12.2100,1380000
2019-09-18,12.3800,12.4400,11.6400,12.0000,1297500
2019-09-17,12.9200,12.9200,12.4700,12.5100,1031100
2019-09-16,12.9500,13.4700,12.8600,13.0100,2374900
2019-09-13,13.4700,13.8100,12.9900,13.1300,936300
2019-09-12,13.6500,13.8700,13.1600,13.3900,1459600
2019-09-11,13.9000,14.1200,13.3500,13.6500,1819500
2019-09-10,13.7200,13.9700,13.5700,13.8000,1347500
2019-09-09,13.7700,13.9900,13.5100,13.7500,1460500
2019-09-06,13.6900,13.9100,13.3900,13.7300,1339400
2019-09-05,13.5100,13.7500,13.3100,13.5700,3620300
2019-09-04,12.5500,13.3900,12.5100,13.1800,2137500
2019-09-03,12.7100,12.8900,12.3100,12.4200,1419600
2019-08-30,12.6900,13.1200,12.6300,12.8000,1381800
2019-08-29,12.1800,12.8000,12.0900,12.6000,1249900
2019-08-28,11.8300,12.1300,11.6600,12.0200,1463100
2019-08-27,11.5800,12.2300,11.4700,12.0000,1882900
2019-08-26,10.8000,11.6700,10.7300,11.4900,2851500
2019-08-23,10.3900,10.5000,10.1200,10.4000,1671100
2019-08-22,9.7800,10.6000,9.7800,10.5500,1503200
2019-08-21,9.9400,9.9400,9.6900,9.8400,1418300
2019-08-20,9.7400,9.8300,9.4800,9.7400,875800
2019-08-19,9.5200,9.8700,9.5100,9.7900,892900
2019-08-16,9.2300,9.5200,9.0900,9.4200,885900
2019-08-15,9.7200,9.7400,9.0000,9.1100,1802300
2019-08-14,9.6792,9.8000,9.5200,9.7300,1164700
2019-08-13,9.7400,10.3500,9.6500,9.9800,908500
2019-08-12,10.3900,10.3900,9.4900,9.7500,2041300
2019-08-09,11.1300,11.1300,10.1649,10.4200,1971600
2019-08-08,9.7300,11.2150,9.7300,11.1300,3206400
2019-08-07,10.0200,10.4800,10.0000,10.4000,2298000
2019-08-06,9.9300,10.2400,9.7300,10.2000,1123300
2019-08-05,9.6800,10.0395,9.4000,9.7900,1728300
2019-08-02,10.4000,10.4300,9.8500,9.9100,1268700
