date,open,high,low,close,volume
2019-11-08,0.8443,0.8487,0.7950,0.8073,1608205
2019-11-07,0.8600,0.9000,0.8100,0.8100,1629700
2019-11-06,0.9000,0.9100,0.7600,0.7800,3001400
2019-11-05,0.9800,0.9800,0.8800,0.9200,1266000
2019-11-04,0.9900,1.0000,0.9500,0.9800,887000
2019-11-01,0.9200,0.9900,0.9100,0.9800,900900
2019-10-31,1.0300,1.0300,0.9000,0.9100,2039300
2019-10-30,1.0200,1.0500,1.0000,1.0100,839700
2019-10-29,1.0400,1.0800,1.0100,1.0200,916500
2019-10-28,1.0300,1.0800,1.0300,1.0400,618800
2019-10-25,1.0500,1.0700,1.0300,1.0300,457500
2019-10-24,1.0500,1.0800,1.0500,1.0500,350600
2019-10-23,1.0600,1.0900,1.0400,1.0500,1002900
2019-10-22,1.0100,1.0700,1.0000,1.0500,1249400
2019-10-21,1.0100,1.0300,1.0000,1.0200,958200
2019-10-18,0.9800,1.0200,0.9700,1.0100,465800
2019-10-17,1.0000,1.0300,0.9600,1.0100,842400
2019-10-16,1.0100,1.0400,1.0000,1.0000,1133900
2019-10-15,0.9800,1.0200,0.9800,0.9900,695700
2019-10-14,0.9900,1.0100,0.9900,0.9900,549300
2019-10-11,1.0000,1.0200,0.9900,0.9900,678500
2019-10-10,1.0200,1.0300,0.9800,0.9900,683500
2019-10-09,1.0500,1.0700,0.9800,1.0100,917000
2019-10-08,0.9900,1.1100,0.9700,1.0400,2277600
2019-10-07,0.8700,1.0500,0.8700,1.0200,2142500
2019-10-04,0.8900,0.9000,0.8500,0.8900,508500
2019-10-03,0.8500,0.9000,0.8300,0.8800,764800
2019-10-02,0.8400,0.8900,0.8000,0.8600,1386500
2019-10-01,0.8700,0.9000,0.8100,0.8500,953800
2019-09-30,0.8800,0.9200,0.8500,0.8700,1259500
2019-09-27,0.8700,0.9200,0.8600,0.8700,1453700
2019-09-26,0.9200,0.9300,0.8200,0.8600,2136100
2019-09-25,0.9500,0.9900,0.9200,0.9300,1966900
2019-09-24,1.0300,1.0400,0.9500,0.9700,1319900
2019-09-23,1.0000,1.0600,1.0000,1.0400,1747500
2019-09-20,1.0000,1.0800,0.9000,1.0100,7779300
2019-09-19,1.0900,1.1400,1.0000,1.0100,1985000
2019-09-18,1.1200,1.1600,1.0800,1.0900,1074100
2019-09-17,1.1600,1.1700,1.1000,1.1400,1125500
2019-09-16,1.0800,1.1500,1.0200,1.1400,1879000
2019-09-13,1.1400,1.1900,1.0000,1.0500,1871400
2019-09-12,1.2500,1.2500,1.0500,1.1500,2195500
2019-09-11,1.0500,1.2300,1.0500,1.1900,4201300
2019-09-10,0.8400,1.0300,0.8400,1.0200,5169500
2019-09-09,0.8200,0.8500,0.8100,0.8500,1640200
2019-09-06,0.7900,0.8500,0.7700,0.8100,1646600
2019-09-05,0.7600,0.8000,0.7500,0.7900,1081600
2019-09-04,0.7500,0.8000,0.7500,0.7600,559200
2019-09-03,0.8000,0.8100,0.7200,0.7400,1378700
2019-08-30,0.7800,0.8100,0.7600,0.8000,1074200
2019-08-29,0.7900,0.8000,0.7500,0.7700,679900
2019-08-28,0.7000,0.7800,0.7000,0.7700,876700
2019-08-27,0.8200,0.8200,0.7200,0.7300,1551200
2019-08-26,0.7800,0.8300,0.7400,0.8100,1220600
2019-08-23,0.8300,0.8400,0.7400,0.7400,1631400
2019-08-22,0.8400,0.8500,0.8100,0.8300,651300
2019-08-21,0.8600,0.8800,0.8100,0.8400,1288600
2019-08-20,0.8200,0.8800,0.8000,0.8600,1194400
2019-08-19,0.8000,0.8500,0.7800,0.8200,1893700
2019-08-16,0.7200,0.8100,0.7000,0.7800,2451300
2019-08-15,0.6900,0.7400,0.6700,0.7100,1756100
2019-08-14,0.7600,0.7700,0.6700,0.6760,4564900
2019-08-13,0.8000,0.8000,0.7500,0.7700,2008900
2019-08-12,0.8500,0.8500,0.7200,0.7900,2924700
2019-08-09,0.9300,0.9300,0.8300,0.8300,2834000
2019-08-08,0.9510,0.9640,0.8500,0.9300,4411500
2019-08-07,1.0000,1.0200,0.9200,0.9400,4577000
2019-08-06,1.1300,1.2500,1.0700,1.2300,3941000
2019-08-05,1.1600,1.2000,1.1200,1.1300,2118400
2019-08-02,1.2200,1.2700,1.1700,1.2100,2787800
