date,open,high,low,close,volume
2019-11-08,6.1700,6.2800,6.0500,6.0900,1956044
2019-11-07,6.1800,6.3200,6.0400,6.2200,3129300
2019-11-06,5.9000,6.1900,5.8200,6.0900,4128300
2019-11-05,5.8800,6.2000,5.8600,5.9100,3373300
2019-11-04,5.9000,6.0200,5.7700,5.8500,3610700
2019-11-01,5.4500,6.0000,5.4300,5.8400,5210400
2019-10-31,5.6300,5.6900,5.3100,5.4400,4358600
2019-10-30,5.7600,5.8300,5.5200,5.7300,3734800
2019-10-29,6.2100,6.2500,5.7900,5.8100,3917500
2019-10-28,6.3800,6.4900,6.1700,6.1900,2854700
2019-10-25,6.3200,6.4300,6.2500,6.3500,2645400
2019-10-24,6.5000,6.5500,6.0300,6.4200,4268200
2019-10-23,6.3300,6.6200,6.2300,6.4300,4071400
2019-10-22,5.9300,6.4400,5.9300,6.3900,4174500
2019-10-21,5.9800,6.1600,5.8200,5.9300,3611600
2019-10-18,6.0300,6.0500,5.7700,5.9400,3197100
2019-10-17,5.8900,6.0500,5.8000,6.0300,3606600
2019-10-16,5.5800,5.9100,5.5800,5.8800,3868700
2019-10-15,5.6000,5.9100,5.5900,5.6100,6350900
2019-10-14,5.3200,5.5900,5.2200,5.5800,5273900
2019-10-11,5.1400,5.4900,5.1400,5.3700,5909200
2019-10-10,5.0200,5.1500,4.9600,5.0500,5228000
2019-10-09,5.2500,5.3000,4.9600,4.9900,5809600
2019-10-08,5.4300,5.4400,5.1600,5.2300,4823100
2019-10-07,5.4800,5.5800,5.4100,5.4900,4154800
2019-10-04,5.4300,5.5600,5.3700,5.5500,4213100
2019-10-03,5.3000,5.4800,5.2300,5.4200,4346700
2019-10-02,5.5500,5.5500,5.2400,5.3200,8154900
2019-10-01,5.6400,5.8200,5.4900,5.5800,6592400
2019-09-30,5.4300,5.6400,5.4000,5.5200,8919800
2019-09-27,5.2500,5.4500,5.2200,5.3400,5548500
2019-09-26,5.1900,5.3400,5.0800,5.2800,6080900
2019-09-25,5.0900,5.5500,5.0800,5.2000,12164300
2019-09-24,5.1400,5.5000,4.9800,5.0100,13097900
2019-09-23,4.6800,5.2000,4.6100,5.0200,12474000
2019-09-20,4.5900,4.8000,4.5000,4.7000,11603800
2019-09-19,4.6400,4.6700,4.4200,4.4400,7860300
2019-09-18,4.3300,4.6900,4.3300,4.6000,9796200
2019-09-17,4.3000,4.3400,4.1300,4.3300,6406000
2019-09-16,4.3000,4.4700,4.2700,4.3500,6761300
2019-09-13,4.6200,4.7700,4.3700,4.4100,7662200
2019-09-12,4.6000,4.8100,4.4300,4.5800,8908700
2019-09-11,4.1900,4.9500,3.9700,4.5900,34005000
2019-09-10,4.8700,5.1000,4.5100,5.0900,16659200
2019-09-09,4.3500,4.9200,4.3500,4.7600,14578800
2019-09-06,4.2400,4.3600,4.1400,4.3100,6701500
2019-09-05,4.0800,4.2400,4.0700,4.2300,6892000
2019-09-04,3.8800,4.0000,3.8500,3.9800,4227100
2019-09-03,3.9700,4.0700,3.6600,3.8100,9044400
2019-08-30,4.2600,4.3600,3.9200,3.9700,10634600
2019-08-29,3.9300,4.2900,3.7500,4.2300,13363500
2019-08-28,3.7000,3.9700,3.6700,3.8800,6439200
2019-08-27,3.8700,3.9300,3.6800,3.7000,5701000
2019-08-26,3.7200,4.0400,3.6500,3.8200,10319400
2019-08-23,3.8400,3.9000,3.5600,3.6500,8660900
2019-08-22,3.9700,4.2500,3.7200,3.8700,29177300
2019-08-21,3.5000,3.6200,3.4400,3.5400,5910900
2019-08-20,3.3500,3.4600,3.2800,3.4200,4260000
2019-08-19,3.3700,3.4700,3.3400,3.3800,2887500
2019-08-16,3.2500,3.4100,3.1500,3.3200,3130700
2019-08-15,3.3200,3.4100,3.1500,3.2100,5888400
2019-08-14,3.3900,3.4200,3.1900,3.3200,6081900
2019-08-13,3.4800,3.7602,3.4700,3.4700,4504500
2019-08-12,3.5800,3.6200,3.4400,3.5100,2677600
2019-08-09,3.8300,3.8600,3.5900,3.5900,3079400
2019-08-08,3.8400,3.9100,3.7702,3.8900,2306700
2019-08-07,3.7400,3.8450,3.6600,3.8100,5856100
2019-08-06,3.7300,3.8200,3.6300,3.8100,5157400
2019-08-05,3.7200,3.7500,3.5800,3.7100,5681800
2019-08-02,3.8300,3.8900,3.7500,3.7800,3594700
2019-08-01,4.0200,4.0600,3.7800,3.8400,5596500
2019-07-31,4.0300,4.1800,4.0000,4.0200,5208900
