date,open,high,low,close,volume
2019-11-08,4.0500,4.1000,4.0200,4.0400,1484096
2019-11-07,4.0900,4.1000,4.0400,4.0500,1182400
2019-11-06,4.0300,4.0500,3.9500,4.0400,3072800
2019-11-05,4.1600,4.1600,3.8800,4.0000,6800000
2019-11-04,4.2700,4.2800,4.1100,4.1200,2492300
2019-11-01,4.3000,4.3400,4.2300,4.2300,2044000
2019-10-31,4.3200,4.3600,4.1800,4.2800,3433700
2019-10-30,4.1300,4.3800,4.0700,4.3800,3965100
2019-10-29,4.2100,4.2800,4.2100,4.2700,1962100
2019-10-28,4.2700,4.3000,4.2100,4.2300,1579400
2019-10-25,4.2000,4.2600,4.1200,4.2500,3427200
2019-10-24,4.0100,4.2400,3.9800,4.1900,8410200
2019-10-23,3.9500,4.0500,3.9400,4.0100,2423600
2019-10-22,4.3000,4.3100,3.8400,3.9500,16359300
2019-10-21,4.3200,4.4100,4.3000,4.3000,1454000
2019-10-18,4.3300,4.4200,4.3000,4.3100,1635500
2019-10-17,4.4100,4.4200,4.3300,4.3600,1351900
2019-10-16,4.3800,4.4200,4.3700,4.4000,895000
2019-10-15,4.3900,4.4400,4.3200,4.3800,2511900
2019-10-14,4.3000,4.4000,4.2600,4.3500,1112500
2019-10-11,4.3300,4.3700,4.2900,4.3500,1676100
2019-10-10,4.3400,4.3600,4.2200,4.2500,1284500
2019-10-09,4.3300,4.3400,4.2800,4.3000,1322900
2019-10-08,4.3100,4.3100,4.2600,4.2700,2919100
2019-10-07,4.2100,4.3200,4.2000,4.3100,1721500
2019-10-04,4.2300,4.2800,4.1900,4.2400,1146200
2019-10-03,4.1900,4.2500,4.1900,4.2300,1382400
2019-10-02,4.2600,4.2900,4.1200,4.2100,3424900
2019-10-01,4.4300,4.4300,4.2600,4.2800,3552800
2019-09-30,4.3600,4.4300,4.3000,4.4000,2545200
2019-09-27,4.4600,4.4800,4.3300,4.3600,3253200
2019-09-26,4.3900,4.4700,4.3700,4.4600,1944100
2019-09-25,4.4000,4.4400,4.3700,4.3900,1897000
2019-09-24,4.4400,4.4700,4.3600,4.3700,2987400
2019-09-23,4.4500,4.4800,4.4300,4.4500,1148600
2019-09-20,4.4400,4.4800,4.4200,4.4700,5637700
2019-09-19,4.4200,4.4600,4.3900,4.4300,2863300
2019-09-18,4.4400,4.4400,4.3800,4.4100,1632200
2019-09-17,4.4400,4.4600,4.4000,4.4500,2473200
2019-09-16,4.4100,4.4800,4.3400,4.4700,5085300
2019-09-13,4.5300,4.5900,4.3800,4.4200,4606900
2019-09-12,4.5000,4.5300,4.4600,4.5000,3896400
2019-09-11,4.4700,4.5100,4.4200,4.5100,2830500
