date,open,high,low,close,volume
2019-08-29,3730.0000,3800.0000,3700.0000,3730.0000,209700
2019-06-07,4300.0000,4420.0000,4200.0000,4260.0000,501680
2019-06-06,4290.0000,4450.0000,4210.0000,4210.0000,990930
2019-06-05,3970.0000,4170.0000,3970.0000,4170.0000,887280
2019-06-04,3830.0000,3940.0000,3830.0000,3900.0000,747300
2019-06-03,3970.0000,3980.0000,3840.0000,3880.0000,657030
2019-05-31,4050.0000,4160.0000,3970.0000,3970.0000,551770
2019-05-30,3800.0000,4190.0000,3800.0000,4120.0000,817330
2019-05-29,4300.0000,4300.0000,3910.0000,3960.0000,1054670
2019-05-28,4000.0000,4230.0000,4000.0000,4200.0000,1914600
2019-05-24,3440.0000,3710.0000,3400.0000,3710.0000,1390230
2019-05-23,3280.0000,3470.0000,3220.0000,3470.0000,1439400
2019-05-22,3100.0000,3310.0000,3070.0000,3250.0000,1033220
2019-05-21,3020.0000,3100.0000,2980.0000,3100.0000,686580
2019-05-20,2980.0000,3020.0000,2950.0000,3020.0000,496740
2019-05-17,2960.0000,2990.0000,2950.0000,2980.0000,405940
2019-05-16,3000.0000,3000.0000,2920.0000,2990.0000,832830
2019-05-15,2980.0000,3000.0000,2940.0000,3000.0000,522410
2019-05-14,2930.0000,2990.0000,2920.0000,2990.0000,658550
2019-05-13,3000.0000,3000.0000,2930.0000,3000.0000,301190
2019-05-10,3010.0000,3020.0000,2930.0000,3000.0000,452720
2019-05-09,3030.0000,3060.0000,2920.0000,3020.0000,815560
2019-05-08,3110.0000,3110.0000,2900.0000,3030.0000,572980
2019-05-07,3150.0000,3230.0000,3040.0000,3060.0000,285330
2019-05-06,3370.0000,3370.0000,3170.0000,3170.0000,761420
2019-05-03,3500.0000,3510.0000,3360.0000,3400.0000,242960
2019-05-02,3620.0000,3620.0000,3500.0000,3500.0000,563580
2019-05-01,3640.0000,3640.0000,3640.0000,3640.0000,0
2019-04-30,3640.0000,3640.0000,3640.0000,3640.0000,0
2019-04-29,3640.0000,3640.0000,3640.0000,3640.0000,0
2019-04-26,3550.0000,3670.0000,3550.0000,3640.0000,661480
2019-04-25,3680.0000,3680.0000,3560.0000,3600.0000,329970
2019-04-24,3630.0000,3660.0000,3620.0000,3640.0000,688420
2019-04-23,3600.0000,3670.0000,3600.0000,3600.0000,875320
2019-04-22,3770.0000,3770.0000,3600.0000,3600.0000,886330
2019-04-18,3700.0000,3700.0000,3540.0000,3600.0000,632490
2019-04-17,3750.0000,3750.0000,3670.0000,3680.0000,317700
2019-04-16,3800.0000,3800.0000,3660.0000,3680.0000,519720
2019-04-15,3790.0000,3790.0000,3790.0000,3790.0000,0
