date,open,high,low,close,volume
2018-01-03,18.6800,18.7500,18.6800,18.7500,600
2018-01-02,18.6800,18.6900,18.6800,18.6900,1500
2017-12-29,18.6800,18.6800,18.6800,18.6800,500
2017-12-28,18.6800,18.6800,18.6800,18.6800,1400
2017-12-27,18.6700,18.6800,18.6700,18.6800,2070
2017-12-26,18.6800,18.6800,18.6800,18.6800,0
2017-12-22,18.7000,18.7000,18.6800,18.6800,5316
2017-12-21,18.6600,18.7000,18.6600,18.7000,4700
2017-12-20,18.6200,18.6800,18.6200,18.6700,21500
2017-12-19,18.6400,18.6600,18.6200,18.6500,11054
2017-12-18,18.6200,18.7000,18.6200,18.6350,16180
2017-12-15,18.6100,18.6400,18.6100,18.6400,18816
2017-12-14,18.6000,18.6000,18.5900,18.6000,119000
2017-12-13,18.6300,18.6300,18.5900,18.6000,10800
2017-12-12,18.6000,18.6000,18.6000,18.6000,10490
2017-12-11,18.6000,18.6100,18.6000,18.6000,10326
2017-12-08,18.6100,18.6100,18.6000,18.6100,1675
2017-12-07,18.6000,18.6500,18.5900,18.6000,18350
2017-12-06,18.6000,18.6000,18.6000,18.6000,8627
2017-12-05,18.5800,18.6100,18.5800,18.6000,15270
2017-12-04,18.5900,18.6000,18.5900,18.6000,6211
2017-12-01,18.5700,18.5800,18.5700,18.5800,7825
2017-11-30,18.5500,18.5950,18.5500,18.5900,17706
2017-11-29,18.5900,18.6000,18.5800,18.5800,3500
2017-11-28,18.5800,18.5850,18.5800,18.5800,1530
2017-11-27,18.5700,18.6300,18.5700,18.5700,5600
2017-11-24,18.5500,18.6600,18.5500,18.5700,5400
2017-11-22,18.5900,18.6500,18.5300,18.5500,6700
2017-11-21,18.6300,18.6500,18.5700,18.5700,6843
2017-11-20,18.5900,18.6200,18.5400,18.5500,8592
2017-11-17,18.5900,18.5900,18.5200,18.5900,13800
2017-11-16,18.5600,18.6100,18.5100,18.6000,208061
2017-11-15,18.5100,18.5700,18.5100,18.5700,3325
2017-11-14,18.5500,18.5500,18.5100,18.5200,21900
2017-11-13,18.5500,18.6000,18.5100,18.5200,4183
2017-11-10,18.4800,18.5500,18.4650,18.5100,21800
2017-11-09,18.5100,18.5200,18.4500,18.4800,65225
2017-11-08,18.5200,18.5500,18.5200,18.5500,7224
2017-11-07,18.5100,18.5500,18.5000,18.5500,179625
2017-11-06,18.5400,18.5500,18.5400,18.5400,80289
