date,open,high,low,close,volume
2019-11-08,13.4600,13.6800,13.2600,13.5500,1414841
2019-11-07,13.4900,13.7300,13.2800,13.4700,1617000
2019-11-06,14.3000,14.3000,13.3000,13.3200,2591900
2019-11-05,14.1400,14.4000,13.9700,14.2900,2676800
2019-11-04,13.7800,14.2300,13.7600,14.1200,1872200
2019-11-01,13.3700,13.6200,13.3100,13.6100,1380400
2019-10-31,13.3400,13.4000,13.0000,13.2400,960600
2019-10-30,13.4600,13.5100,13.0800,13.4800,1180600
2019-10-29,13.4100,13.6200,13.3200,13.4700,1022700
2019-10-28,13.3900,13.6700,13.3900,13.4400,1036500
2019-10-25,13.1900,13.4100,13.1800,13.3100,1669900
2019-10-24,13.5500,13.6200,13.0600,13.3100,1556400
2019-10-23,14.0900,14.1500,13.5000,13.5300,1813700
2019-10-22,13.7900,14.3600,13.7100,14.1100,3519000
2019-10-21,13.2300,13.8600,13.1700,13.7700,3065900
2019-10-18,13.3900,13.6700,13.0100,13.1300,3564000
2019-10-17,14.4700,14.7900,13.2900,13.4000,5478600
2019-10-16,14.0100,14.3800,14.0100,14.3600,1866400
2019-10-15,13.9700,14.0400,13.0000,14.0300,3866200
2019-10-14,14.0400,14.2000,13.8700,14.0200,1495500
2019-10-11,13.8200,14.3700,13.8100,14.1400,1499800
2019-10-10,13.5800,13.8400,13.4800,13.5700,3582500
2019-10-09,13.6800,13.7300,13.4000,13.5900,1136600
2019-10-08,13.8500,13.9300,13.4500,13.5700,2407800
2019-10-07,13.8200,14.1000,13.7600,13.9900,1764300
2019-10-04,14.0500,14.1200,13.8200,13.9000,898000
2019-10-03,14.0200,14.1900,13.8300,14.0500,1276600
2019-10-02,13.8000,14.1600,13.6900,14.0800,1293100
2019-10-01,14.2500,14.7200,13.8100,13.9000,2823900
2019-09-30,14.1200,14.3100,13.9100,14.2100,1658100
2019-09-27,14.3000,14.6000,14.0700,14.1100,2952600
2019-09-26,13.9600,14.2800,13.8700,14.1800,2756700
2019-09-25,14.2500,14.3100,14.0300,14.1500,1137400
2019-09-24,14.6000,14.7200,14.2400,14.3200,1564100
2019-09-23,14.1800,14.5900,14.1600,14.5200,1663700
2019-09-20,14.3400,14.5100,14.2100,14.3400,1522500
2019-09-19,14.5200,14.6700,14.2400,14.3200,1319100
2019-09-18,14.4300,14.6800,14.2400,14.5200,3527700
2019-09-17,13.9800,14.5400,13.6600,14.4900,3772700
2019-09-16,14.5500,14.6000,13.9100,14.1300,5623200
2019-09-13,13.8700,14.8800,13.8500,14.7900,6522800
2019-09-12,13.8200,14.0300,13.4800,13.8100,1718200
2019-09-11,13.8500,14.1000,13.6300,13.8400,1964600
2019-09-10,13.6200,13.9800,13.4100,13.8900,2067500
2019-09-09,12.9700,13.7400,12.9700,13.6600,2731600
2019-09-06,13.0000,13.1200,12.7500,12.9200,3278700
2019-09-05,12.2500,12.9900,12.2100,12.9500,2278900
2019-09-04,11.6000,12.1800,11.5900,12.1100,3384700
2019-09-03,11.8500,11.8500,11.3900,11.4300,1966100
2019-08-30,12.0600,12.2300,11.8800,11.9800,1010200
2019-08-29,12.0200,12.2500,11.8800,11.9900,2055900
2019-08-28,11.6100,11.9900,11.5000,11.8500,1758700
2019-08-27,12.2100,12.2400,11.6600,11.6900,962200
2019-08-26,12.1400,12.1800,11.8500,12.1400,1218500
2019-08-23,12.3700,12.5100,11.9900,11.9900,1048500
2019-08-22,12.5000,12.6300,12.3700,12.5400,847900
2019-08-21,12.4000,12.4800,12.3100,12.4700,1090800
2019-08-20,12.0800,12.3300,11.9300,12.3000,1223200
2019-08-19,11.8200,12.2500,11.7200,12.1600,3748200
2019-08-16,11.4100,12.0900,11.3200,11.6800,1485200
2019-08-15,11.8000,12.0900,11.3200,11.3700,4461300
2019-08-14,12.7300,12.8000,11.7700,11.7700,6607700
2019-08-13,13.1400,13.4200,13.0000,13.0600,2276700
2019-08-12,13.1300,13.2600,12.9998,13.1900,2194000
2019-08-09,13.1200,13.2200,12.8050,13.2000,1975900
2019-08-08,13.2100,13.3600,13.0300,13.2000,4924500
2019-08-07,13.5900,13.6800,13.1400,13.1700,2442200
2019-08-06,13.8600,14.0002,13.4200,13.7800,2138300
2019-08-05,13.6600,13.9600,13.3100,13.7000,2811200
2019-08-02,13.8600,14.1700,13.5700,14.1300,2801200
2019-08-01,14.6500,14.6500,13.3800,14.1200,6921200
2019-07-31,13.8594,13.9000,13.2200,13.3500,3416600
2019-07-30,13.7500,13.9200,13.5200,13.9200,1431300
2019-07-29,13.8400,13.9300,13.6802,13.8600,2153000
2019-07-26,13.4498,14.0600,13.4500,13.8300,5308600
2019-07-25,13.3800,13.5700,13.2000,13.3400,1155000
2019-07-24,13.1600,13.4300,13.1400,13.4100,1259500
2019-07-23,12.9700,13.2600,12.9700,13.2000,1532900
2019-07-22,13.0600,13.1200,12.7900,12.9200,1882200
2019-07-19,13.3200,13.3600,12.9400,13.0300,1550500
2019-07-18,13.5200,13.6300,13.2500,13.2800,1072000
2019-07-17,13.8300,13.9200,13.5904,13.6400,981700
