date,open,high,low,close,volume
2019-11-08,68.8000,69.1500,68.1900,68.3500,353752
2019-11-07,69.3900,69.7000,68.7500,68.9300,406700
2019-11-06,67.7000,68.7800,66.8500,68.6700,639400
2019-11-05,69.5100,69.8800,67.7900,67.9900,857000
2019-11-04,66.0000,70.4300,65.7800,69.8000,1560500
2019-11-01,62.8500,66.0000,62.8500,64.5700,2559700
2019-10-31,60.2700,60.2700,58.9200,59.4500,1041700
2019-10-30,61.0700,61.1500,59.9000,60.4100,502000
2019-10-29,60.4100,61.2900,60.0700,61.1200,433800
2019-10-28,61.4500,61.9400,60.8200,60.8500,427100
2019-10-25,59.9300,61.1900,59.9300,61.0400,464800
2019-10-24,60.5600,60.6500,59.3300,59.7000,611300
2019-10-23,60.5900,60.8100,60.0900,60.4600,373200
2019-10-22,60.3300,61.2100,59.6600,60.6100,277000
2019-10-21,60.3100,61.0600,60.1400,60.2200,318400
2019-10-18,59.1600,59.8600,58.9200,59.7200,258100
2019-10-17,59.0600,59.9700,58.9700,59.3500,303800
2019-10-16,58.7800,59.6300,58.5600,58.6000,358000
2019-10-15,58.1500,59.4100,57.8300,59.0300,442100
2019-10-14,58.7100,59.0400,58.0400,58.1500,369600
2019-10-11,57.8400,60.3600,57.8400,59.3500,559800
2019-10-10,55.8600,57.0900,55.8000,56.7500,481700
2019-10-09,55.9200,56.1700,55.3800,55.8800,317400
2019-10-08,56.1200,56.2500,55.1700,55.2000,626900
2019-10-07,57.4300,57.5800,56.6200,56.8700,697500
2019-10-04,57.4400,57.9200,57.3000,57.7800,255900
2019-10-03,57.0100,57.6400,56.0400,57.6100,484400
2019-10-02,58.2200,58.3900,56.7100,57.3000,548300
2019-10-01,61.5700,61.9900,58.5800,58.9000,666200
2019-09-30,61.3900,61.5600,61.1500,61.1900,310600
2019-09-27,61.5000,61.8000,60.8600,61.3900,454300
2019-09-26,61.3400,61.7000,60.9900,61.2300,520000
2019-09-25,59.4300,61.6200,59.4300,61.5300,600200
2019-09-24,59.9100,60.2800,59.0700,59.4300,610200
2019-09-23,59.1300,60.1100,58.8900,59.9200,386000
2019-09-20,60.7300,61.0000,59.5400,59.5700,775800
2019-09-19,61.4300,61.6200,60.4600,60.6500,753200
2019-09-18,61.1000,61.4700,60.5600,61.2200,359700
2019-09-17,61.6300,61.6300,60.8000,61.4100,434500
2019-09-16,62.0000,62.5200,61.7000,61.9600,667200
2019-09-13,61.6800,62.1100,61.0800,61.6900,791200
2019-09-12,61.8000,61.8000,60.5400,61.0400,526600
2019-09-11,62.0700,62.1400,60.8700,61.8000,804300
2019-09-10,60.2500,61.8700,59.8200,61.8600,633100
2019-09-09,59.0700,60.3700,58.6700,60.2700,577400
2019-09-06,58.5100,59.2200,58.0800,58.8500,524600
2019-09-05,56.8500,58.8000,56.8500,58.3900,435600
