date,open,high,low,close,volume
2019-11-08,39.1100,39.2700,38.8582,39.2600,808197
2019-11-07,39.4300,39.4300,39.0400,39.1800,1975400
2019-11-06,38.9900,39.2400,38.6900,39.1200,1401600
2019-11-05,38.5000,39.1400,38.4100,38.9300,1560500
2019-11-04,37.6500,38.4600,37.5700,38.4500,1653900
2019-11-01,37.0400,37.4300,36.9700,37.2200,1015000
2019-10-31,37.5000,37.5000,36.6400,36.8200,1046200
2019-10-30,37.6000,37.6000,37.1200,37.5100,1040100
2019-10-29,36.8300,37.8700,36.6500,37.6100,1543200
2019-10-28,36.9600,37.5800,36.9300,37.0400,1266500
2019-10-25,36.2800,36.9200,36.2800,36.7100,781500
2019-10-24,36.5500,36.6900,36.2100,36.4500,1178500
2019-10-23,36.3500,36.6800,36.1100,36.2900,1333800
2019-10-22,36.7700,36.9000,36.3800,36.6000,1180200
2019-10-21,36.5000,37.0200,36.5000,36.8100,1791500
2019-10-18,36.2300,36.5500,36.0800,36.2000,1258300
2019-10-17,36.0800,36.5600,36.0600,36.4100,1333300
2019-10-16,36.4600,36.6800,35.8700,36.0400,1201100
2019-10-15,35.7000,36.5000,35.6100,36.4900,1919200
2019-10-14,35.3300,35.7400,35.1400,35.6400,1064700
2019-10-11,35.4300,36.1000,35.3200,35.4400,1262500
2019-10-10,35.0900,35.4800,34.6900,34.8500,1478600
2019-10-09,34.8000,35.3900,34.7800,35.1800,1317600
2019-10-08,35.4100,35.4300,34.5600,34.6200,2571500
2019-10-07,35.3900,36.1400,35.3100,35.6100,2970200
2019-10-04,35.1700,35.5700,34.7100,35.5100,1425600
2019-10-03,34.6100,34.7500,34.1200,34.6500,1719600
2019-10-02,34.6500,35.1600,34.5600,34.6300,1540500
2019-10-01,35.9300,36.1200,34.6400,34.9600,1984800
2019-09-30,35.5000,36.1000,35.4400,35.7700,2185000
2019-09-27,35.5000,35.9600,34.9600,35.2300,2585800
2019-09-26,35.5000,35.8600,34.8000,35.3600,2982400
2019-09-25,33.2000,35.5600,33.1300,35.4300,5642600
2019-09-24,32.4700,33.7900,32.4400,32.8500,4940100
2019-09-23,30.5000,31.5900,30.3600,31.3300,2903200
2019-09-20,31.3100,31.3800,30.5100,30.6800,1967400
2019-09-19,31.0100,31.4000,30.9300,31.1600,774400
2019-09-18,31.2000,31.2200,30.6100,30.9500,851100
2019-09-17,31.3100,31.3100,30.7800,31.1900,970100
2019-09-16,31.3200,31.6000,31.0500,31.5500,876000
2019-09-13,31.9200,31.9700,31.3300,31.4500,1013800
2019-09-12,32.3000,32.3300,31.4900,31.8200,891600
2019-09-11,31.6300,32.4000,31.1000,32.3600,1031200
2019-09-10,30.9200,31.6500,30.7700,31.6400,1884000
2019-09-09,30.2700,30.9100,30.0700,30.8800,1159200
2019-09-06,30.0000,30.3500,29.7800,30.0100,1049500
2019-09-05,29.2900,30.0200,29.2900,29.9100,984200
2019-09-04,29.2000,29.2700,28.8800,29.0100,713900
2019-09-03,28.4800,28.8700,28.0700,28.7400,1453200
2019-08-30,28.6800,29.2900,28.5400,28.8100,1232500
2019-08-29,28.0600,28.3300,27.7300,28.2300,2528200
2019-08-28,25.7600,26.4700,25.6500,26.1800,984200
2019-08-27,26.8400,26.8400,25.9100,25.9200,644200
2019-08-26,27.0600,27.0600,26.5300,26.6500,523900
2019-08-23,27.5400,27.7900,26.6100,26.6600,1019800
2019-08-22,27.6600,27.9400,27.5300,27.8200,1023500
2019-08-21,27.6000,27.6700,27.3800,27.5600,810700
2019-08-20,27.8100,27.8200,27.2700,27.3200,568000
2019-08-19,27.9300,27.9900,27.6400,27.7500,1041900
2019-08-16,27.1300,27.6900,26.6600,27.4600,974500
2019-08-15,27.5100,27.6900,26.6600,26.8300,744300
2019-08-14,28.0100,28.0900,27.3500,27.4400,836200
2019-08-13,27.9400,28.8800,27.7000,28.7500,856600
2019-08-12,27.8400,28.1200,27.7100,27.9000,617400
2019-08-09,28.4900,28.4900,27.9900,28.1600,345900
2019-08-08,28.3500,28.7900,28.3100,28.7200,830500
2019-08-07,27.3800,28.1200,27.3500,28.0700,710400
2019-08-06,28.2100,28.3400,27.5683,27.8300,787900
2019-08-05,28.3500,28.5400,27.8400,27.8900,1142000
2019-08-02,29.8000,29.8100,28.9300,29.1400,967800
2019-08-01,30.8700,31.3700,29.9200,30.0900,1353700
2019-07-31,31.4500,31.6300,30.7818,30.8800,1169300
2019-07-30,30.9300,31.4600,30.8100,31.4100,762200
2019-07-29,31.0908,31.3500,30.8500,31.2300,801900
2019-07-26,31.0000,31.2100,30.7800,31.1200,781700
2019-07-25,30.8600,31.0300,30.6400,30.8500,875000
2019-07-24,30.7282,31.1800,30.7300,30.9500,1040400
2019-07-23,30.6400,30.8700,30.5000,30.8200,786600
2019-07-22,30.4600,30.8100,30.4200,30.4700,761100
2019-07-19,30.7300,30.7600,30.2300,30.2500,913000
2019-07-18,30.4100,30.4200,30.0700,30.3600,927800
2019-07-17,30.5500,30.8400,30.4196,30.4200,789500
2019-07-16,30.4800,30.7700,30.2800,30.5400,617800
2019-07-15,30.7900,30.9900,30.5100,30.6900,701000
