date,open,high,low,close,volume
2019-11-08,1.0300,1.0500,1.0200,1.0300,2884127
2019-11-07,1.0200,1.0500,1.0200,1.0400,3321300
2019-11-06,1.0500,1.0600,1.0000,1.0200,5534000
2019-11-05,1.0100,1.0600,1.0100,1.0500,6988000
2019-11-04,1.0300,1.0600,1.0100,1.0100,5960500
2019-11-01,1.0100,1.0400,1.0000,1.0300,4643200
2019-10-31,1.0000,1.0100,0.9500,1.0000,5553200
2019-10-30,1.0100,1.0300,1.0000,1.0100,4332200
2019-10-29,1.0100,1.0400,1.0000,1.0300,3129700
2019-10-28,1.0200,1.0500,1.0100,1.0200,2771300
2019-10-25,1.0500,1.0600,1.0000,1.0100,6972300
2019-10-24,1.0600,1.0800,1.0500,1.0600,4069800
2019-10-23,1.0400,1.1000,1.0400,1.0600,7421300
2019-10-22,1.0100,1.0800,0.9900,1.0700,6848100
2019-10-21,1.0100,1.0200,0.9800,1.0200,3361600
2019-10-18,1.0100,1.0200,0.9800,1.0000,5177000
2019-10-17,1.0300,1.0600,0.9900,1.0100,6506000
2019-10-16,1.0100,1.0300,1.0000,1.0200,2929900
2019-10-15,0.9900,1.0400,0.9900,1.0100,3872400
2019-10-14,1.0000,1.0200,0.9800,0.9900,3448100
2019-10-11,0.9800,1.0300,0.9800,1.0000,7158600
2019-10-10,0.9900,1.0100,0.9600,0.9700,2687100
2019-10-09,1.0000,1.0100,0.9600,0.9900,4555700
2019-10-08,0.9800,1.0000,0.9500,0.9600,7133100
2019-10-07,0.9300,1.0300,0.9300,1.0100,9953100
2019-10-04,0.9400,0.9600,0.9000,0.9200,4975200
2019-10-03,0.8600,0.9500,0.8600,0.9400,6426000
2019-10-02,0.8800,0.8900,0.8500,0.8900,5513900
2019-10-01,0.9100,0.9300,0.8600,0.8600,8795600
2019-09-30,0.9000,0.9100,0.8800,0.8900,4915600
2019-09-27,0.8800,0.9100,0.8600,0.9000,7208300
2019-09-26,0.9000,0.9000,0.8400,0.8600,6257700
2019-09-25,0.8500,0.8800,0.8300,0.8800,7636400
2019-09-24,0.9000,0.9200,0.8400,0.8400,10170500
2019-09-23,0.9400,0.9500,0.8600,0.9000,10247800
2019-09-20,0.8400,0.9600,0.8100,0.9500,27281800
2019-09-19,0.8500,0.8600,0.8000,0.8100,14523000
2019-09-18,0.8700,0.8900,0.8300,0.8400,13151600
2019-09-17,0.9700,0.9700,0.8400,0.8900,18019400
2019-09-16,0.9800,0.9800,0.9100,0.9400,12353300
2019-09-13,1.1000,1.1000,0.9600,0.9700,18232300
2019-09-12,1.2500,1.2500,1.0400,1.1100,30089300
2019-09-11,1.0600,1.2600,1.0300,1.2500,39040100
2019-09-10,0.8700,1.0200,0.8600,1.0100,27899400
2019-09-09,0.7900,0.8500,0.7800,0.8500,11900200
2019-09-06,0.7800,0.8000,0.7600,0.7700,7262900
2019-09-05,0.7400,0.7800,0.7200,0.7500,10022500
2019-09-04,0.7300,0.7500,0.7100,0.7200,7187400
2019-09-03,0.7600,0.7600,0.6900,0.7100,6816200
2019-08-30,0.7700,0.8200,0.7100,0.7400,14627900
2019-08-29,0.6800,0.8300,0.6800,0.7300,36794900
2019-08-28,0.5700,0.6500,0.5700,0.6400,12038900
2019-08-27,0.5900,0.6000,0.5600,0.5800,10301200
2019-08-26,0.5700,0.6000,0.5500,0.5700,9755100
2019-08-23,0.5900,0.5900,0.5500,0.5500,12378600
2019-08-22,0.6200,0.6400,0.5800,0.5800,10079900
2019-08-21,0.6500,0.6500,0.6000,0.6000,9616200
2019-08-20,0.6400,0.6800,0.6000,0.6100,11504600
2019-08-19,0.6100,0.6200,0.5900,0.5900,7217700
2019-08-16,0.5800,0.6500,0.5400,0.6100,9208300
2019-08-15,0.6400,0.6500,0.5600,0.5800,14444500
2019-08-14,0.5700,0.5800,0.5500,0.5700,12618400
2019-08-13,0.5900,0.6400,0.5300,0.6000,15121200
2019-08-12,0.6060,0.6100,0.5800,0.5900,5511100
2019-08-09,0.6660,0.6660,0.6000,0.6000,8356000
2019-08-08,0.6480,0.6950,0.6310,0.6940,8413200
2019-08-07,0.6400,0.6460,0.6200,0.6360,5735700
2019-08-06,0.6800,0.6800,0.6100,0.6500,8161900
2019-08-05,0.7200,0.7300,0.6500,0.6800,12803100
2019-08-02,0.7300,0.7400,0.7100,0.7200,8646900
2019-08-01,0.8000,0.8000,0.7200,0.7200,16010600
2019-07-31,0.8000,0.8200,0.7900,0.8000,7579900
2019-07-30,0.7500,0.8000,0.7200,0.7900,8702500
2019-07-29,0.8100,0.8100,0.7500,0.7500,13316300
2019-07-26,0.8300,0.8400,0.7700,0.7900,11245400
2019-07-25,0.8500,0.8700,0.8100,0.8200,14274200
2019-07-24,0.7900,0.8500,0.7600,0.8400,17862000
2019-07-23,0.8300,0.8400,0.7800,0.7900,18205100
2019-07-22,0.9400,0.9400,0.8100,0.8200,19709900
2019-07-19,0.9800,1.0000,0.8800,0.9000,22407500
2019-07-18,1.1200,1.1300,1.0700,1.0800,3684700
2019-07-17,1.1300,1.1500,1.1300,1.1400,1436200
2019-07-16,1.1400,1.1700,1.1300,1.1400,2838300
2019-07-15,1.1600,1.1800,1.1400,1.1500,2362800
2019-07-12,1.1500,1.1800,1.1500,1.1600,2736800
2019-07-11,1.1300,1.1700,1.1200,1.1500,4840000
2019-07-10,1.1300,1.1500,1.1100,1.1300,3467200
2019-07-09,1.1300,1.1600,1.1200,1.1300,2487200
2019-07-08,1.1500,1.1800,1.1300,1.1500,2833600
2019-07-05,1.0900,1.1600,1.0800,1.1600,5624700
2019-07-03,1.1000,1.1400,1.0800,1.1100,3007900
2019-07-02,1.1500,1.1600,1.0900,1.1100,3897200
2019-07-01,1.1700,1.1900,1.1500,1.1700,4166300
2019-06-28,1.1100,1.1400,1.0950,1.1400,8807300
2019-06-27,1.1300,1.1300,1.0800,1.1000,4736300
2019-06-26,1.0700,1.1500,1.0500,1.1400,6494200
2019-06-25,1.0900,1.1000,1.0500,1.0700,4916900
2019-06-24,1.2100,1.2200,1.0800,1.0900,7206200
2019-06-21,1.2200,1.2400,1.1800,1.2000,15316100
2019-06-20,1.2300,1.2500,1.1800,1.2200,8593500
