date,open,high,low,close,volume
2016-01-27,1.8400,1.8400,1.8400,1.8400,0
2014-04-08,14.9900,15.0000,14.9800,14.9900,2745395
2014-04-07,14.9700,14.9700,14.9600,14.9600,1792892
2014-04-04,14.9700,14.9800,14.9600,14.9600,1540408
2014-04-03,14.9900,14.9900,14.9600,14.9600,1010383
2014-04-02,14.9800,14.9900,14.9700,14.9900,447510
2014-04-01,14.9700,14.9900,14.9700,14.9800,572681
2014-03-31,14.9700,14.9800,14.9600,14.9700,732588
2014-03-28,14.9700,14.9800,14.9600,14.9800,490829
2014-03-27,14.9800,14.9800,14.9600,14.9700,898647
2014-03-26,14.9800,14.9800,14.9700,14.9700,1081719
2014-03-25,14.9700,14.9800,14.9700,14.9800,736058
2014-03-24,14.9700,14.9800,14.9500,14.9700,1320492
2014-03-21,14.9600,14.9800,14.9500,14.9700,806157
2014-03-20,14.9700,14.9700,14.9500,14.9600,243216
2014-03-19,14.9600,14.9700,14.9600,14.9600,496779
2014-03-18,14.9700,14.9800,14.9500,14.9500,659210
2014-03-17,14.9700,14.9700,14.9600,14.9600,572263
2014-03-14,14.9500,14.9700,14.9400,14.9700,1386830
2014-03-13,14.9800,14.9800,14.9500,14.9500,927535
2014-03-12,14.9600,14.9800,14.9600,14.9800,604990
2014-03-11,14.9700,14.9800,14.9600,14.9600,437599
2014-03-10,14.9500,14.9800,14.9400,14.9800,316680
2014-03-07,14.9500,14.9800,14.9400,14.9500,915243
2014-03-06,14.9500,14.9600,14.9400,14.9500,843796
2014-03-05,14.9400,14.9600,14.9400,14.9500,1137838
2014-03-04,14.9300,14.9500,14.9200,14.9400,1677020
2014-03-03,14.9300,14.9400,14.9100,14.9200,1522670
2014-02-28,14.9500,14.9500,14.9300,14.9400,450424
2014-02-27,14.9200,14.9500,14.9100,14.9500,497338
2014-02-26,14.9400,14.9600,14.9100,14.9100,694256
2014-02-25,14.9300,14.9500,14.9300,14.9400,464926
2014-02-24,14.9600,14.9650,14.9200,14.9300,1125636
2014-02-21,14.9700,14.9700,14.9300,14.9600,1369677
2014-02-20,14.9500,14.9700,14.9200,14.9700,853135
2014-02-19,14.9200,14.9600,14.9100,14.9600,1008754
2014-02-18,14.9200,14.9300,14.9000,14.9300,474415
2014-02-14,14.8900,14.9200,14.8900,14.9200,655652
2014-02-13,14.8900,14.9300,14.8800,14.9300,575336
2014-02-12,14.9100,14.9400,14.8799,14.9100,2042583
2014-02-11,14.8700,14.9200,14.8700,14.9200,2514588
2014-02-10,14.8200,14.8900,14.8200,14.8700,1880343
2014-02-07,14.8000,14.8400,14.7800,14.8100,1217994
2014-02-06,14.8100,14.8450,14.7300,14.7900,5556387
2014-02-05,14.7500,14.8200,14.7300,14.8000,1397625
2014-02-04,14.7800,14.8000,14.7400,14.7500,1001824
2014-02-03,14.7600,14.7900,14.7200,14.7300,1989327
2014-01-31,14.7500,14.8000,14.7500,14.7500,1258244
2014-01-30,14.8400,14.8400,14.7700,14.7800,1717042
2014-01-29,14.8200,14.8500,14.7700,14.7800,2652759
2014-01-28,14.8200,14.8400,14.8100,14.8300,1798102
2014-01-27,14.8400,14.8700,14.8000,14.8200,2941808
2014-01-24,14.8300,14.8700,14.8100,14.8600,3578130
2014-01-23,14.8400,14.8500,14.8200,14.8400,1885123
2014-01-22,14.8400,14.8600,14.8400,14.8600,1059019
2014-01-21,14.8600,14.8700,14.8300,14.8600,1336976
2014-01-17,14.8100,14.8600,14.8100,14.8600,1507328
