date,open,high,low,close,volume
2019-11-08,32.6500,33.1500,32.4148,32.6100,1319244
2019-11-07,34.2000,34.2400,32.2600,32.5400,2841300
2019-11-06,33.7000,34.2600,33.2400,34.1700,2002000
2019-11-05,34.4600,34.7000,33.3900,33.5800,2547700
2019-11-04,36.0000,36.1100,34.1400,34.4600,3220900
2019-11-01,35.9400,36.4000,35.7300,36.3200,1619900
2019-10-31,35.8800,35.9700,35.3800,35.6900,1217900
2019-10-30,35.3700,35.9300,34.5500,35.9300,2219100
2019-10-29,35.4100,36.0600,35.2400,35.4200,1673200
2019-10-28,36.5300,36.8200,35.4700,35.4800,2303700
2019-10-25,36.8000,37.4000,36.5700,36.5800,2156500
2019-10-24,36.1000,36.8400,35.8800,36.8000,1322400
2019-10-23,36.2900,36.3800,35.6300,36.0700,1873900
2019-10-22,36.5100,36.5800,35.8400,36.3100,1253200
2019-10-21,36.7500,36.9400,36.1500,36.2400,1591100
2019-10-18,36.0700,36.6300,35.9700,36.4800,1553100
2019-10-17,35.8100,36.5400,35.8100,36.1400,2585100
2019-10-16,34.8000,35.7200,34.6900,35.6900,2057400
2019-10-15,34.2600,34.7800,34.2200,34.7500,2191200
2019-10-14,33.8800,34.2800,33.7700,34.0600,1542300
2019-10-11,34.5300,34.6700,33.8500,33.9200,1739300
2019-10-10,34.0100,34.2300,33.6300,34.0700,2532400
2019-10-09,34.1700,34.5000,33.9500,33.9600,2045700
2019-10-08,33.5300,34.2900,33.4600,33.8900,1489900
2019-10-07,33.5200,34.0100,33.5000,33.8200,1298500
2019-10-04,33.2800,33.9400,33.1300,33.7300,2347600
2019-10-03,33.4400,33.6800,32.7100,33.1000,2227600
2019-10-02,33.8800,34.0300,33.0300,33.4900,2136000
2019-10-01,33.9900,34.2200,33.3200,33.7800,2861300
2019-09-30,32.6500,34.3200,32.6500,34.0000,4930400
2019-09-27,32.8800,33.1100,32.5200,32.5300,2495300
2019-09-26,33.0000,33.0900,31.7300,32.7300,5478100
2019-09-25,32.0600,32.4800,31.4600,32.3800,5456100
2019-09-24,31.8200,32.0500,31.3800,31.4400,1974200
2019-09-23,31.3700,31.8700,31.3700,31.6200,1502900
2019-09-20,31.2200,31.6000,31.0200,31.4700,1807700
2019-09-19,31.4800,31.5600,31.1500,31.2200,1620000
2019-09-18,31.1000,31.4500,30.8300,31.3900,2390900
2019-09-17,30.2800,31.3600,30.2800,31.2400,2145300
2019-09-16,30.2100,30.5500,29.9900,30.3400,1446700
2019-09-13,30.8500,30.8800,29.8500,30.2200,1786800
