date,open,high,low,close,volume
2019-11-08,3.7200,3.8000,3.6601,3.7900,3205
2019-11-07,3.6100,3.7800,3.5000,3.7100,33500
2019-11-06,3.8700,3.9000,3.3100,3.4000,52200
2019-11-05,4.0000,4.1000,3.7000,3.7000,74100
2019-11-04,3.8400,3.8400,3.6700,3.8200,9000
2019-11-01,3.6680,3.7900,3.6680,3.7900,4400
2019-10-31,3.6400,3.6900,3.5800,3.6100,2700
2019-10-30,3.6000,3.6880,3.4800,3.5600,15000
2019-10-29,3.7910,3.8200,3.4610,3.5900,28300
2019-10-28,3.7710,3.8900,3.7700,3.8350,11700
2019-10-25,3.6400,3.9300,3.6400,3.8200,44600
2019-10-24,3.5700,3.6640,3.5700,3.5800,20600
2019-10-23,3.6000,3.9200,3.4700,3.5600,25400
2019-10-22,3.7400,3.7400,3.4200,3.5200,49300
2019-10-21,3.4200,3.8000,3.4200,3.4800,27900
2019-10-18,3.4380,3.4870,3.4100,3.4100,9200
2019-10-17,3.5900,3.5930,3.3800,3.4400,47900
2019-10-16,3.1700,3.9890,3.1500,3.7900,123500
2019-10-15,3.1500,3.4200,3.1000,3.1200,21500
2019-10-14,3.1500,3.3000,3.0300,3.0300,11900
2019-10-11,3.2320,3.2650,3.0980,3.1200,16300
2019-10-10,3.3600,3.3600,3.2200,3.2300,10500
2019-10-09,3.2500,3.3040,3.2500,3.2600,2600
2019-10-08,3.3400,3.3900,3.2000,3.2000,13000
2019-10-07,3.3000,3.4300,3.3000,3.4200,9300
2019-10-04,3.4770,3.4770,3.2800,3.2800,7000
2019-10-03,3.2700,3.4100,3.2700,3.3300,2200
2019-10-02,3.3910,3.4800,3.2600,3.2800,16200
2019-10-01,3.5800,3.7030,3.3200,3.6300,24500
2019-09-30,3.7100,3.7800,3.5000,3.5000,16700
2019-09-27,3.7280,3.7700,3.6600,3.7630,6900
2019-09-26,3.8310,3.8310,3.6400,3.7350,13400
2019-09-25,3.9900,3.9900,3.6600,3.7300,23400
2019-09-24,3.9000,4.0000,3.8000,3.9100,15800
2019-09-23,3.9500,3.9800,3.8500,3.9100,11100
2019-09-20,3.8700,3.9300,3.8100,3.9300,5700
2019-09-19,3.9790,3.9790,3.7200,3.7200,21900
2019-09-18,3.8600,3.9800,3.8200,3.8600,22300
2019-09-17,4.1900,4.2300,3.8100,3.9300,44800
2019-09-16,3.6700,4.2300,3.6000,4.1500,132400
2019-09-13,3.6900,3.8700,3.5590,3.7100,50200
2019-09-12,3.3600,3.7650,3.3600,3.6700,98800
2019-09-11,3.3900,3.4100,2.9900,3.3500,27800
2019-09-10,3.0200,3.4000,2.9660,3.3900,93500
2019-09-09,3.0500,3.1000,3.0200,3.0670,11400
2019-09-06,3.1000,3.1000,2.9850,3.0400,33600
2019-09-05,2.9500,3.1200,2.8840,3.0700,53500
2019-09-04,2.9350,3.0600,2.8000,2.8500,22100
2019-09-03,2.9900,3.0130,2.8750,2.9200,16900
2019-08-30,3.1100,3.1100,2.9400,2.9400,28800
2019-08-29,3.0900,3.1500,3.0530,3.1400,9500
2019-08-28,3.0000,3.1500,2.9600,3.0800,13300
2019-08-27,3.0000,3.1500,2.9100,3.1000,37600
2019-08-26,3.0500,3.1300,3.0100,3.0600,15700
2019-08-23,3.2600,3.3400,2.9500,3.0100,46700
2019-08-22,3.1100,3.4500,3.0840,3.2500,54900
2019-08-21,2.8600,3.1850,2.8600,3.0800,70200
2019-08-20,3.0800,3.1260,2.8500,2.8500,35600
2019-08-19,2.9900,3.6000,2.9650,3.1100,352300
2019-08-16,2.7999,3.0900,2.7600,2.9200,82400
2019-08-15,2.8640,2.9000,2.8000,2.8000,27200
2019-08-14,2.9700,3.1000,2.8000,2.8000,75500
2019-08-13,2.9760,3.0800,2.8900,2.9700,35700
2019-08-12,3.1800,3.1800,2.8600,2.9370,42100
