date,open,high,low,close,volume
2019-11-08,10.3000,10.4500,10.1288,10.2000,850008
2019-11-07,10.5900,10.6700,10.1700,10.3400,1243100
2019-11-06,10.0000,10.9000,9.9600,10.5000,3985500
2019-11-05,9.5200,9.6200,9.3300,9.4800,618300
2019-11-04,9.6000,9.6500,9.4400,9.5000,516700
2019-11-01,9.3400,9.7100,9.3300,9.5000,1995200
2019-10-31,9.4000,9.4300,9.2700,9.2900,1107200
2019-10-30,9.4100,9.4700,9.3500,9.4100,1090000
2019-10-29,9.3900,9.4400,9.3000,9.4100,547700
2019-10-28,9.4700,9.5200,9.3700,9.3900,430800
2019-10-25,9.4200,9.4600,9.3400,9.4200,430700
2019-10-24,9.5800,9.6100,9.3700,9.4300,565300
2019-10-23,9.5800,9.6300,9.5100,9.5700,406600
2019-10-22,9.7900,9.8000,9.5800,9.5900,414100
2019-10-21,9.8500,9.9100,9.7300,9.7900,362400
2019-10-18,9.7400,9.8500,9.7100,9.7400,367000
2019-10-17,9.8200,9.8500,9.7400,9.7800,345600
2019-10-16,9.8200,9.9000,9.7100,9.8000,639800
2019-10-15,9.7000,9.8900,9.6400,9.8300,687000
2019-10-14,9.6900,9.7000,9.5800,9.6600,362100
2019-10-11,9.8000,9.9300,9.6700,9.6900,1152200
2019-10-10,9.5000,9.8600,9.4700,9.6700,1218500
2019-10-09,9.3800,9.4600,9.2700,9.4400,576200
2019-10-08,9.4500,9.4700,9.2700,9.2900,559900
2019-10-07,9.4600,9.5300,9.4200,9.5100,651500
2019-10-04,9.4300,9.5100,9.2800,9.5000,537500
2019-10-03,9.2000,9.3700,9.1900,9.3500,519600
2019-10-02,9.1400,9.3100,9.1400,9.2400,835800
2019-10-01,9.2600,9.3700,9.1500,9.2100,906400
2019-09-30,9.2800,9.3500,9.2000,9.2300,1106400
2019-09-27,9.2800,9.4000,9.1700,9.2700,1978000
2019-09-26,9.2500,9.3200,9.2200,9.2800,603200
2019-09-25,9.2400,9.3700,9.1800,9.2900,911500
2019-09-24,9.6300,9.6800,9.2400,9.2700,829500
2019-09-23,9.8100,9.8800,9.6500,9.6600,788100
2019-09-20,9.7800,9.9000,9.7600,9.8700,1605400
2019-09-19,9.7700,9.8500,9.7200,9.7800,660800
2019-09-18,9.7600,9.8200,9.6700,9.7700,480200
2019-09-17,9.6900,9.8000,9.5600,9.7700,522200
2019-09-16,9.7600,9.8600,9.6800,9.7600,413400
2019-09-13,9.9200,9.9800,9.8100,9.8100,472400
2019-09-12,9.8900,9.9600,9.7700,9.8900,465400
2019-09-11,9.9500,10.0900,9.8500,9.9100,826000
2019-09-10,9.6800,9.9300,9.4700,9.9100,767400
2019-09-09,9.3500,9.7100,9.2800,9.6700,829900
2019-09-06,9.2800,9.3700,9.2100,9.3100,666900
2019-09-05,9.1600,9.2700,9.0800,9.2500,981400
2019-09-04,9.0400,9.1800,9.0200,9.0900,793000
2019-09-03,8.9300,9.0700,8.8700,8.9500,879000
2019-08-30,9.0400,9.0700,8.8800,9.0000,675300
2019-08-29,9.1000,9.2000,8.9800,8.9900,796500
2019-08-28,8.7900,9.1000,8.7400,9.0200,595900
2019-08-27,9.0300,9.0300,8.6900,8.8100,892200
2019-08-26,9.0800,9.2300,8.9800,9.0000,900900
2019-08-23,9.1700,9.2900,8.9700,8.9900,927500
2019-08-22,9.2600,9.3000,9.1500,9.2100,576000
2019-08-21,9.3400,9.3500,9.2100,9.2400,627900
2019-08-20,9.2700,9.3400,9.2100,9.2500,499400
2019-08-19,9.3400,9.3400,9.2100,9.2700,579500
2019-08-16,9.1200,9.2909,8.9700,9.2500,544600
2019-08-15,9.0200,9.1000,8.9700,9.0600,641000
2019-08-14,8.9800,9.1400,8.9600,8.9800,943800
2019-08-13,8.9800,9.2600,8.9600,9.1100,1069000
2019-08-12,9.0000,9.0900,8.9099,9.0000,528800
2019-08-09,9.1500,9.2200,8.8600,9.0800,866600
2019-08-08,8.7400,9.3650,8.6200,9.2200,1174800
2019-08-07,8.7100,8.9000,8.4100,8.6600,1907800
2019-08-06,9.0900,9.3600,9.0800,9.3500,906200
2019-08-05,9.2300,9.2500,9.0100,9.0800,897800
2019-08-02,9.2500,9.3800,9.1900,9.3800,627500
2019-08-01,9.3200,9.4300,9.2300,9.3000,642700
2019-07-31,9.4500,9.5500,9.2700,9.3300,920500
2019-07-30,9.4100,9.5400,9.3500,9.4500,584200
2019-07-29,9.5000,9.5500,9.4500,9.4800,280100
2019-07-26,9.4700,9.5300,9.3800,9.5100,353300
2019-07-25,9.4800,9.5500,9.3800,9.4600,363400
2019-07-24,9.4400,9.5300,9.3900,9.5200,808900
2019-07-23,9.4200,9.5100,9.3800,9.4800,925700
2019-07-22,9.5700,9.6100,9.4000,9.4200,814800
2019-07-19,9.5600,9.6300,9.5100,9.5500,636400
2019-07-18,9.5400,9.5700,9.4000,9.5400,489000
2019-07-17,9.5000,9.5700,9.4000,9.5400,636500
2019-07-16,9.5000,9.6200,9.4500,9.5200,588300
2019-07-15,9.5500,9.6200,9.4400,9.5100,601400
2019-07-12,9.4000,9.5900,9.3400,9.5500,959300
2019-07-11,9.3000,9.5400,9.3000,9.4000,1060300
2019-07-10,9.3300,9.4700,9.2900,9.3100,539100
2019-07-09,9.2400,9.3800,9.2400,9.3100,722100
2019-07-08,9.2700,9.3500,9.2499,9.3000,838100
2019-07-05,9.2800,9.3600,9.2200,9.3100,384500
2019-07-03,9.3507,9.4200,9.3000,9.3000,198400
2019-07-02,9.3100,9.3800,9.2300,9.3000,369800
2019-07-01,9.3900,9.4699,9.2500,9.3100,603900
2019-06-28,9.3000,9.3901,9.2000,9.3100,1055600
2019-06-27,9.1600,9.3000,9.1597,9.2900,856800
2019-06-26,9.2600,9.2900,9.1392,9.1600,904400
2019-06-25,9.2500,9.3200,9.2000,9.2500,686900
2019-06-24,9.2100,9.3400,9.1700,9.2600,762600
2019-06-21,9.1300,9.3100,9.1109,9.2000,1434400
2019-06-20,9.2000,9.2800,9.1000,9.2000,798300
2019-06-19,9.3700,9.4200,9.1300,9.1700,1068000
2019-06-18,9.3300,9.3800,9.2300,9.3700,484900
2019-06-17,9.1600,9.3400,9.1600,9.2700,716600
2019-06-14,9.1600,9.2700,9.0800,9.1600,649500
2019-06-13,9.1500,9.2400,9.0800,9.1800,673300
2019-06-12,9.0800,9.1600,8.9700,9.1100,526900
2019-06-11,9.0600,9.1000,8.9350,9.0600,629900
2019-06-10,9.0700,9.1403,8.9900,9.0400,672000
2019-06-07,9.2600,9.3100,9.0500,9.0700,636400
