date,open,high,low,close,volume
2019-11-11,0.0000,0.0000,0.0000,37.8700,55
2019-11-08,37.1900,37.8700,36.1300,37.8700,565784
2019-11-07,39.7000,39.8400,36.8700,37.1300,747100
2019-11-06,39.1800,39.3100,37.8000,38.7000,815500
2019-11-05,37.5500,39.3500,37.5500,39.3300,544800
2019-11-04,38.1900,38.4200,37.2800,37.5500,564200
2019-11-01,38.0400,38.6500,37.7300,38.0400,712000
2019-10-31,37.9200,38.0000,37.1700,37.7000,5404400
2019-10-30,37.8800,38.5000,37.5400,37.9900,642600
2019-10-29,37.6900,38.2700,37.5900,38.2000,559000
2019-10-28,37.3600,38.0200,37.2700,37.7400,774300
2019-10-25,36.9400,37.5500,36.4000,37.2000,1201700
2019-10-24,37.7000,37.8100,36.1200,36.8100,396800
2019-10-23,37.7700,37.8200,36.8700,37.6000,727200
2019-10-22,37.0800,38.1400,36.5500,37.6400,650200
2019-10-21,37.1200,37.6800,36.8100,37.0600,755800
2019-10-18,35.5900,36.8000,35.2700,36.7500,775200
2019-10-17,35.4300,35.9100,35.1500,35.5800,421500
2019-10-16,35.4500,35.9400,35.3100,35.4800,454300
2019-10-15,34.9900,35.4100,34.5800,35.3300,768100
2019-10-14,33.9300,34.8500,33.4500,34.6900,513300
2019-10-11,33.0100,34.7600,32.9700,34.2600,1024600
2019-10-10,33.0000,33.0900,32.2600,32.5000,741300
2019-10-09,32.4900,32.7800,30.6900,32.6900,969600
2019-10-08,34.4200,34.4400,32.4200,32.6100,615800
2019-10-07,34.9700,35.2600,34.3200,34.7400,877100
2019-10-04,35.5600,35.8300,34.8100,35.3000,492900
2019-10-03,34.9400,35.6100,34.0600,35.4300,794200
2019-10-02,36.7500,37.0100,34.3800,34.7300,1063600
2019-10-01,37.0500,37.4500,36.7600,36.7900,393500
2019-09-30,36.1500,36.7500,36.1100,36.6600,428300
2019-09-27,36.7200,37.4200,35.8200,36.0300,456800
2019-09-26,36.4600,36.6900,36.1000,36.4400,353800
2019-09-25,36.1800,36.8600,35.9100,36.5300,548400
2019-09-24,37.4200,37.5200,35.7800,36.1700,604500
2019-09-23,36.4000,37.4200,36.2800,37.1800,617900
2019-09-20,35.8800,36.5400,35.8800,36.4600,1081100
2019-09-19,36.3500,36.6700,35.8100,35.8200,631400
2019-09-18,36.5200,36.7400,36.2500,36.6100,558500
2019-09-17,36.9200,37.0100,35.9300,36.1800,843100
2019-09-16,37.4900,37.7000,36.8100,37.0000,705400
2019-09-13,37.7200,38.2700,37.2500,37.4900,538800
2019-09-12,37.9900,39.1200,36.9000,37.9200,962000
2019-09-11,36.0300,38.5800,36.0000,38.3200,1151000
2019-09-10,35.0000,36.9200,34.9300,35.2400,1377900
2019-09-09,34.7400,35.9200,34.5500,34.9000,1782400
2019-09-06,34.0000,35.3800,33.6900,34.4000,1732500
2019-09-05,36.5800,37.4600,31.4300,33.6800,5637100
2019-09-04,43.3500,43.8400,43.1400,43.8200,382600
2019-09-03,43.3000,43.5200,42.5600,42.8600,401100
2019-08-30,43.1300,44.4300,43.1100,43.7800,233200
2019-08-29,43.1100,44.1200,43.1100,43.6600,234100
2019-08-28,43.5000,44.3800,43.3000,43.3800,250300
2019-08-27,44.5800,44.6400,43.6000,43.6300,493300
2019-08-26,42.8400,44.3100,42.2500,44.0700,779700
2019-08-23,43.5000,44.4900,42.3300,42.4600,501100
2019-08-22,43.7600,43.9700,43.2900,43.4700,726700
2019-08-21,44.8800,44.8800,43.5200,43.6200,396700
2019-08-20,44.4400,44.9300,44.0500,44.4200,291000
2019-08-19,45.2900,45.2900,44.0700,44.4500,386000
2019-08-16,44.4300,45.6976,44.1500,44.7200,407400
2019-08-15,45.4300,45.7000,44.1500,44.3900,287500
2019-08-14,46.9600,47.4650,45.1900,45.2100,615000
2019-08-13,47.0100,48.9984,46.7600,47.5400,445900
2019-08-12,48.0600,48.0600,46.3279,47.1100,596100
2019-08-09,49.2300,49.4700,47.9000,48.0600,581700
2019-08-08,52.1200,53.0896,48.9400,49.3300,950900
2019-08-07,53.5100,53.5700,51.4400,51.5100,528000
2019-08-06,52.7000,54.4200,52.4500,54.1800,338900
2019-08-05,52.9800,53.0400,51.8400,52.4400,320600
2019-08-02,54.0400,54.1700,53.0500,53.7200,241600
2019-08-01,55.1000,55.9200,54.2200,54.6200,318400
