date,open,high,low,close,volume
2019-11-11,1.2700,1.3400,1.2500,1.2600,3098157
2019-11-08,1.3000,1.3500,1.2700,1.3000,2770222
2019-11-07,1.3800,1.4100,1.3000,1.3100,2699600
2019-11-06,1.4000,1.4700,1.3100,1.3300,3536900
2019-11-05,1.5400,1.5500,1.4200,1.4300,3791000
2019-11-04,1.3700,1.5400,1.3600,1.5100,5751600
2019-11-01,1.2300,1.3500,1.1800,1.3300,7100700
2019-10-31,1.3300,1.3500,1.2200,1.2300,5544600
2019-10-30,1.4000,1.4400,1.2900,1.2900,4553500
2019-10-29,1.3500,1.4500,1.3100,1.3900,5118500
2019-10-28,1.4000,1.4400,1.3600,1.3700,3200200
2019-10-25,1.3800,1.4100,1.3400,1.3900,3089900
2019-10-24,1.4300,1.4600,1.3700,1.3900,3592700
2019-10-23,1.3800,1.4500,1.3400,1.4300,4092800
2019-10-22,1.3400,1.4200,1.2700,1.4000,3882900
2019-10-21,1.2500,1.3500,1.2500,1.3200,3384000
2019-10-18,1.2900,1.3300,1.2500,1.3000,2865700
2019-10-17,1.3300,1.3600,1.2600,1.3000,2342100
2019-10-16,1.3300,1.4300,1.3200,1.3400,4578300
2019-10-15,1.3400,1.4300,1.3200,1.3400,3372300
2019-10-14,1.3100,1.3700,1.2300,1.3500,2380900
2019-10-11,1.2300,1.3500,1.2200,1.3300,6121900
2019-10-10,1.2000,1.2200,1.1500,1.1900,3009700
2019-10-09,1.1900,1.2100,1.1400,1.1700,2827000
2019-10-08,1.1300,1.2100,1.1000,1.1500,3427000
2019-10-07,1.1900,1.2700,1.1500,1.1600,4072500
2019-10-04,1.1900,1.2300,1.1500,1.1800,2399800
2019-10-03,1.1500,1.2200,1.1200,1.1800,4793300
2019-10-02,1.1900,1.2200,1.1300,1.1600,3788900
2019-10-01,1.2800,1.3500,1.1800,1.1900,2877800
2019-09-30,1.3000,1.3300,1.1800,1.2700,5634100
2019-09-27,1.3400,1.3900,1.3100,1.3200,3740200
2019-09-26,1.5000,1.5000,1.3500,1.3700,5218600
2019-09-25,1.5700,1.6500,1.5000,1.5100,3758000
2019-09-24,1.8600,1.8600,1.6300,1.6300,4904200
2019-09-23,1.8000,1.9300,1.7700,1.8900,4997500
2019-09-20,1.8900,1.9200,1.8300,1.8700,8902400
2019-09-19,1.8400,1.9100,1.7500,1.8600,5524200
2019-09-18,1.7800,1.8600,1.7300,1.8000,4675900
2019-09-17,1.8600,1.9200,1.7100,1.8200,7456800
2019-09-16,2.0800,2.1500,1.8400,1.8700,13990700
2019-09-13,1.9500,2.0400,1.8600,1.8900,3714100
2019-09-12,1.9500,1.9700,1.7700,1.9600,6178500
2019-09-11,1.9900,2.1300,1.8900,2.0300,7864100
2019-09-10,2.0000,2.0800,1.9300,1.9600,10433700
2019-09-09,1.7900,2.0000,1.7500,1.9800,6520900
2019-09-06,1.8300,1.9400,1.7000,1.7500,8919700
2019-09-05,1.6900,1.9000,1.6600,1.8900,7151000
2019-09-04,1.5900,1.6600,1.5500,1.6500,4332000
2019-09-03,1.5400,1.5800,1.4400,1.5500,4615300
2019-08-30,1.4700,1.6000,1.4300,1.6000,5297900
2019-08-29,1.4400,1.5600,1.4200,1.4700,5985900
2019-08-28,1.2900,1.4800,1.2700,1.4100,5995500
2019-08-27,1.3200,1.3400,1.2200,1.2900,6219700
2019-08-26,1.3000,1.3600,1.2700,1.3100,4764600
2019-08-23,1.3300,1.4000,1.2500,1.2900,5964800
2019-08-22,1.3500,1.4400,1.3300,1.3800,3611900
2019-08-21,1.4100,1.4400,1.3500,1.3500,4658400
2019-08-20,1.3200,1.4000,1.2400,1.3600,5476900
2019-08-19,1.2400,1.3500,1.2000,1.3200,6076700
2019-08-16,1.0500,1.2500,0.9900,1.2200,5435500
2019-08-15,1.2400,1.2500,0.9900,1.0200,10329100
2019-08-14,1.3700,1.3750,1.2000,1.2100,6300900
2019-08-13,1.4500,1.5000,1.3800,1.4100,12439400
2019-08-12,1.4900,1.4900,1.3700,1.4600,4841800
2019-08-09,1.6600,1.6600,1.4800,1.5100,6387000
2019-08-08,1.6100,1.6500,1.5500,1.6500,3660100
2019-08-07,1.7000,1.7100,1.5100,1.5700,6964300
