date,open,high,low,close,volume
2019-11-11,9.1800,9.3500,9.1500,9.3000,1224915
2019-11-08,8.9200,9.2700,8.8600,9.1800,1961262
2019-11-07,9.1900,9.3100,8.9300,8.9700,1708100
2019-11-06,9.2800,9.2800,8.9100,9.0500,2751500
2019-11-05,8.9800,9.5300,8.9000,9.2900,2681300
2019-11-04,8.8100,9.0800,8.7800,8.9800,3310600
2019-11-01,8.5300,8.8000,8.3800,8.7400,2704400
2019-10-31,8.5700,8.6000,8.2600,8.5000,4641000
2019-10-30,8.7200,8.9100,8.3400,8.6500,5395500
2019-10-29,9.8500,9.8500,8.5100,8.6800,8407100
2019-10-28,10.8200,10.9600,10.7300,10.8700,2638100
2019-10-25,10.4300,10.7300,10.3800,10.7000,1572100
2019-10-24,10.4400,10.5200,10.3900,10.4600,2428400
2019-10-23,10.1800,10.4300,10.0700,10.4100,1371800
2019-10-22,9.9800,10.3100,9.8700,10.1900,1584000
2019-10-21,9.9600,10.1200,9.9400,9.9900,1953900
2019-10-18,9.6800,9.8800,9.6500,9.8400,1118300
2019-10-17,9.5700,9.8700,9.5100,9.7000,1289300
2019-10-16,9.4700,9.8100,9.4500,9.5600,1384600
2019-10-15,9.4700,9.7100,9.3900,9.4900,1766300
2019-10-14,9.5000,9.5600,9.2900,9.5400,1630100
2019-10-11,9.4600,9.7400,9.4200,9.6000,1751600
2019-10-10,9.1900,9.4600,9.1500,9.2100,1281700
2019-10-09,9.0800,9.2300,9.0000,9.1900,1683700
2019-10-08,9.1100,9.1400,8.9100,8.9200,2777500
2019-10-07,9.2900,9.4100,9.1700,9.2500,1696900
2019-10-04,9.3500,9.4200,9.0900,9.3600,2208300
2019-10-03,9.2700,9.3900,9.1300,9.3500,1459800
2019-10-02,9.5700,9.5700,9.2400,9.3100,2192300
2019-10-01,10.3600,10.5000,9.5300,9.7000,2376600
2019-09-30,10.0500,10.3100,9.9200,10.2700,2252900
2019-09-27,9.8600,10.1000,9.8100,10.0300,1540800
2019-09-26,9.9500,9.9700,9.6300,9.7800,1694800
2019-09-25,9.7000,10.0100,9.6500,9.9500,1921900
2019-09-24,10.1700,10.2100,9.6900,9.7800,2043800
2019-09-23,9.8300,10.2500,9.6000,10.0900,1999800
2019-09-20,9.9300,10.1700,9.8800,9.9200,2553600
2019-09-19,10.2100,10.2700,9.8600,9.8900,3070000
2019-09-18,10.4000,10.4400,10.1000,10.2100,2657500
2019-09-17,10.8200,10.9500,10.3100,10.4300,2544100
2019-09-16,10.9400,11.0600,10.7900,10.9000,2329000
2019-09-13,10.5300,11.0800,10.5300,10.7800,3099200
2019-09-12,10.9300,10.9500,10.1600,10.4400,3391200
2019-09-11,11.0300,11.1400,10.6500,10.9600,2818700
2019-09-10,10.8600,11.0900,10.7100,10.9500,3241900
2019-09-09,10.2000,10.9300,10.2000,10.8900,1946300
2019-09-06,10.2000,10.3000,10.0100,10.1600,1623000
2019-09-05,10.0800,10.4000,10.0700,10.1800,2691600
2019-09-04,9.7500,9.9600,9.7000,9.9200,1576000
2019-09-03,10.0400,10.1700,9.5800,9.6100,2053100
2019-08-30,10.0500,10.2000,10.0300,10.1700,1657300
2019-08-29,9.9700,10.1100,9.9200,9.9500,1691600
2019-08-28,9.8100,9.9900,9.7500,9.9600,1883900
2019-08-27,9.9700,10.0500,9.7800,9.7900,2085100
2019-08-26,9.8500,9.9800,9.7100,9.9700,1907400
2019-08-23,10.2600,10.2900,9.7300,9.7600,2077700
2019-08-22,10.3400,10.4800,10.1900,10.3600,1959400
2019-08-21,10.5800,10.6100,10.3300,10.3300,2051800
2019-08-20,10.6200,10.7900,10.5200,10.5400,1900100
2019-08-19,10.7900,10.8800,10.5600,10.7300,2489500
2019-08-16,10.5500,10.9800,10.3000,10.6400,2042100
2019-08-15,10.9000,10.9800,10.3000,10.4800,2093000
2019-08-14,11.3200,11.3200,10.8100,10.8600,3041100
2019-08-13,11.3600,11.8400,11.2500,11.5400,1912500
2019-08-12,11.5000,11.5000,11.2300,11.3300,2314200
2019-08-09,12.2600,12.2700,11.5500,11.6200,1787300
2019-08-08,12.1400,12.3900,12.1350,12.2800,1979400
2019-08-07,11.8800,12.1000,11.6800,12.0400,2283100
2019-08-06,12.0500,12.1100,11.5500,11.7500,2986300
2019-08-05,12.4600,12.6500,11.8000,11.9500,2984100
2019-08-02,12.5400,12.7400,12.3500,12.3800,4663500
2019-08-01,14.7300,14.7300,12.8200,12.8600,7954000
2019-07-31,17.2804,17.4000,16.7800,16.9700,1190300
2019-07-30,17.4100,17.4300,17.1000,17.3200,1368500
2019-07-29,17.7200,17.7703,17.4900,17.5200,570100
2019-07-26,17.4900,17.7300,17.4200,17.7000,710900
2019-07-25,17.7400,17.8600,17.4800,17.5200,533500
2019-07-24,17.5200,17.8200,17.5200,17.7200,576100
2019-07-23,17.2800,17.6304,17.2800,17.6200,849600
2019-07-22,17.1000,17.2600,17.0100,17.1800,469000
2019-07-19,17.0000,17.1993,16.9200,17.0800,688100
2019-07-18,16.7900,17.0300,16.7200,16.9200,545700
2019-07-17,16.9900,17.1200,16.8191,16.9000,596400
2019-07-16,16.9400,17.1200,16.8396,16.9600,711700
2019-07-15,16.8600,16.9500,16.6600,16.9000,509500
2019-07-12,16.9100,17.1200,16.8100,16.9000,705900
2019-07-11,16.6500,16.9900,16.5500,16.9200,1032300
2019-07-10,16.9900,17.0500,16.5200,16.6500,888200
2019-07-09,17.1100,17.1100,16.8800,16.9600,752900
2019-07-08,17.4400,17.4900,17.1600,17.2100,840500
2019-07-05,17.4600,17.5050,17.2400,17.4700,720800
2019-07-03,17.4500,17.6700,17.3700,17.5400,450700
2019-07-02,17.7200,17.7800,17.3150,17.4200,1013800
2019-07-01,17.5300,17.8200,17.5000,17.7000,1593000
2019-06-28,16.7800,17.3700,16.7800,17.2700,1802100
2019-06-27,16.3600,16.6900,16.3000,16.6900,749400
2019-06-26,16.8100,16.8100,16.2100,16.2700,1159900
2019-06-25,16.8500,16.8800,16.4100,16.7700,2496200
2019-06-24,16.9900,17.2100,16.7600,16.8000,1624600
2019-06-21,17.1800,17.2100,16.9000,16.9600,2066200
2019-06-20,17.5400,17.7600,17.2200,17.2500,2030900
2019-06-19,17.1800,17.4000,16.9600,17.2800,1456900
2019-06-18,17.0700,17.4400,16.9900,17.1000,807600
2019-06-17,17.0200,17.1000,16.9200,16.9400,826600
2019-06-14,16.9600,17.0900,16.8700,17.0400,692200
2019-06-13,17.0200,17.2000,16.9400,17.0900,764000
2019-06-12,17.0200,17.0200,16.7850,16.9600,1021900
2019-06-11,17.3000,17.6100,17.0100,17.1000,953300
2019-06-10,17.0400,17.2600,16.9450,17.1000,646800
2019-06-07,17.0300,17.1900,16.8300,16.9300,861600
2019-06-06,16.7900,17.0200,16.7300,16.9600,1037400
2019-06-05,17.1000,17.1500,16.4600,16.7200,987900
2019-06-04,16.3500,17.0300,16.3400,17.0000,1209600
2019-06-03,15.9700,16.3849,15.8700,16.2100,1359500
2019-05-31,16.0900,16.1250,15.8600,16.0000,1557500
2019-05-30,16.4517,16.5250,16.1600,16.3400,973800
2019-05-29,16.5200,16.7700,16.3900,16.5400,1123000
2019-05-28,16.7506,16.8800,16.5500,16.5900,725300
2019-05-24,16.8300,16.8700,16.7200,16.8400,472800
2019-05-23,16.6700,16.7850,16.5100,16.7500,1289400
2019-05-22,17.2000,17.2000,16.7600,16.8800,961100
2019-05-21,17.1400,17.3150,17.0700,17.2200,712500
2019-05-20,17.1300,17.2900,17.0200,17.0200,801000
2019-05-17,17.3300,17.5700,17.2450,17.3600,703300
2019-05-16,17.6500,17.7403,17.5100,17.5100,756700
2019-05-15,17.2100,17.8800,17.0900,17.5800,1327900
2019-05-14,16.9600,17.3000,16.9600,17.2100,1314200
2019-05-13,16.9800,17.0500,16.6956,17.0200,917600
2019-05-10,17.2100,17.3900,17.0000,17.3600,1114800
2019-05-09,17.2100,17.3850,16.9600,17.2500,1536100
2019-05-08,17.6900,17.8700,17.3700,17.3900,1136400
2019-05-07,17.8100,18.0900,17.6770,17.7700,1494600
2019-05-06,17.9500,18.3611,17.9400,18.0600,1353900
2019-05-03,17.9300,18.2500,17.7700,18.2300,1904000
2019-05-02,18.5600,18.5600,17.7450,17.9100,4212500
2019-05-01,19.8576,19.9700,19.5700,19.5700,1120200
2019-04-30,20.0100,20.0850,19.4200,19.7600,1219500
2019-04-29,19.4300,19.5300,19.2400,19.4500,545700
2019-04-26,19.0600,19.5400,18.9096,19.4100,791100
2019-04-25,19.1400,19.1500,18.9100,19.0000,864900
2019-04-24,19.4600,19.6500,19.1300,19.2100,968200
2019-04-23,19.2300,19.6600,19.1800,19.5700,745100
2019-04-22,19.0000,19.3200,18.9400,19.2400,760200
2019-04-18,19.0800,19.2600,18.9100,18.9400,756700
2019-04-17,19.2000,19.4400,19.0450,19.0800,765500
2019-04-16,19.6700,19.6750,19.0200,19.1700,1540000
2019-04-15,19.5700,19.8200,19.4800,19.6700,919000
2019-04-12,19.4600,19.6500,19.3100,19.5200,1104400
2019-04-11,19.1900,19.4300,19.1000,19.3200,776500
2019-04-10,19.1000,19.3200,18.9900,19.1900,692400
2019-04-09,19.2000,19.3400,18.8700,19.0100,954400
2019-04-08,19.1600,19.4300,18.9094,19.3100,1036200
2019-04-05,19.1600,19.4797,19.1400,19.2300,787900
2019-04-04,18.8700,19.2700,18.8000,19.2700,912700
2019-04-03,19.1900,19.1900,18.7700,18.8700,1511900
2019-04-02,19.4900,19.5000,19.0400,19.0500,1027600
2019-04-01,19.1500,19.4800,19.1100,19.3500,1129000
2019-03-29,19.2100,19.2912,18.9700,18.9800,1144700
2019-03-28,19.2100,19.3400,18.9800,19.0800,783100
2019-03-27,19.2400,19.3750,19.1400,19.2000,662000
2019-03-26,19.1600,19.2800,19.1200,19.2000,722600
2019-03-25,19.1100,19.3000,18.9900,19.0200,783000
2019-03-22,19.6600,19.7100,19.1700,19.1900,791800
2019-03-21,19.4800,19.8700,19.4800,19.7900,1078300
2019-03-20,19.7500,19.8350,19.3800,19.5600,1007100
2019-03-19,20.0100,20.1400,19.8200,19.8800,823500
2019-03-18,19.7600,20.0300,19.7600,19.9500,1180700
2019-03-15,19.6600,19.8500,19.6000,19.7000,2180200
2019-03-14,19.6000,19.6900,19.4500,19.6600,1142500
2019-03-13,19.8400,19.8600,19.5300,19.6000,1758400
2019-03-12,19.8000,19.8650,19.4950,19.8000,989300
2019-03-11,19.6000,19.8350,19.5000,19.8000,1000500
2019-03-08,19.3981,19.5850,19.2500,19.5800,917100
2019-03-07,20.2100,20.2600,19.4400,19.5700,1904300
2019-03-06,20.4500,20.7800,20.2950,20.3400,1520400
2019-03-05,19.8600,20.4600,19.8100,20.4000,1933200
2019-03-04,19.9900,19.9900,19.6085,19.8800,1297900
2019-03-01,20.0200,20.0895,19.8150,19.9400,1142500
2019-02-28,20.0700,20.1100,19.7500,19.9200,1691000
