date,open,high,low,close,volume
2014-08-19,0.0000,0.0000,0.0000,0.0000,0
2013-11-05,15.1900,15.4400,14.8000,15.2600,12857607
2013-11-04,15.7300,15.7300,15.1000,15.3000,2215897
2013-11-01,15.7400,15.7500,15.3500,15.5000,2689999
2013-10-31,14.8200,15.1200,14.7000,14.9800,1239963
2013-10-30,15.1600,15.2699,14.7000,14.8000,1420236
2013-10-29,15.0900,15.2100,15.0000,15.1500,1097480
2013-10-28,15.1900,15.2800,15.0000,15.0400,752531
2013-10-25,15.2400,15.3200,14.9600,15.1400,919826
2013-10-24,15.0000,15.1900,14.9800,15.1700,976606
2013-10-23,14.8500,15.0800,14.8100,14.9900,1192575
2013-10-22,14.9700,15.1500,14.7800,14.9200,1274250
2013-10-21,14.8200,14.9500,14.6500,14.9200,3212782
2013-10-18,14.5100,14.6800,14.3300,14.6500,1293292
2013-10-17,14.3800,14.4600,14.2400,14.4400,1305455
2013-10-16,13.2700,14.6300,13.2400,14.4300,4004370
2013-10-15,13.3000,13.3200,13.0400,13.2300,1476837
2013-10-14,13.1800,13.3400,13.0200,13.2900,2695766
2013-10-11,13.2500,13.3900,13.0950,13.2400,1717994
2013-10-10,12.8500,13.3500,12.8000,13.2600,4515475
2013-10-09,12.1000,12.4100,11.8917,12.3100,1389347
2013-10-08,12.4300,12.4550,12.0400,12.0800,2314042
2013-10-07,12.4900,12.5600,12.3300,12.3700,913982
2013-10-04,12.4700,12.6600,12.4300,12.6000,913254
2013-10-03,12.8200,12.9600,12.3900,12.5200,1372286
2013-10-02,12.9300,12.9700,12.6400,12.8600,1632067
2013-10-01,12.7100,13.2200,12.6400,12.9700,4319227
2013-09-30,12.4100,12.7900,12.3000,12.7900,2472785
2013-09-27,12.4400,12.6100,12.3400,12.5500,841127
2013-09-26,12.4900,12.6400,12.2300,12.5000,3202055
2013-09-25,12.2600,12.5700,12.0500,12.4300,2312444
2013-09-24,11.7300,12.4700,11.6600,12.2400,5140073
2013-09-23,11.2400,11.7500,11.1200,11.7200,2796044
2013-09-20,11.4300,11.5250,11.2700,11.2800,3582956
2013-09-19,11.4400,11.5800,11.3300,11.3600,1010721
2013-09-18,11.2500,11.5000,11.1100,11.4000,1174514
2013-09-17,11.1700,11.3300,11.0800,11.2400,622161
2013-09-16,11.4900,11.5500,11.0900,11.1500,2834812
2013-09-13,11.4200,11.5500,11.2700,11.3100,1818808
2013-09-12,11.4300,11.6600,11.3600,11.3800,786770
2013-09-11,11.4500,11.6200,11.3300,11.5200,1273082
2013-09-10,11.3000,11.4900,11.2500,11.4900,1209525
2013-09-09,10.9800,11.2500,10.9500,11.2400,764929
2013-09-06,11.2600,11.2600,10.9100,10.9800,727141
2013-09-05,11.2300,11.3600,11.1700,11.2000,1092540
2013-09-04,10.9100,11.3800,10.8700,11.2500,2307927
2013-09-03,11.0400,11.1300,10.8600,10.9100,1818688
2013-08-30,10.9500,11.0200,10.7300,10.8700,1296415
2013-08-29,10.9200,11.1300,10.8800,10.9400,1018094
2013-08-28,10.6700,10.9500,10.6300,10.9000,1512636
2013-08-27,10.7700,10.8800,10.6000,10.6300,1982899
2013-08-26,10.5600,10.9800,10.4900,10.8500,1796312
2013-08-23,10.7900,10.8199,10.4900,10.5900,1177736
2013-08-22,10.7300,10.8600,10.6900,10.8100,1686512
2013-08-21,10.7000,10.7800,10.1550,10.7200,2768418
2013-08-20,10.8000,10.9800,10.7100,10.9400,1230990
2013-08-19,11.1600,11.1600,10.7400,10.7500,1166996
2013-08-16,11.3100,11.3900,11.1100,11.1300,1459951
2013-08-15,11.4700,11.4900,11.2420,11.3500,1236611
2013-08-14,11.3800,11.6000,11.3100,11.5900,1119746
2013-08-13,11.3000,11.6000,11.2500,11.4100,1478295
2013-08-12,10.9100,11.3100,10.8600,11.3100,1673250
2013-08-09,11.0200,11.1100,10.8500,10.9900,448605
2013-08-08,11.0400,11.1400,10.9800,11.0600,848446
2013-08-07,11.1600,11.2500,10.9500,11.0000,900245
2013-08-06,11.3500,11.3500,11.0800,11.2200,1105125
2013-08-05,11.4800,11.5700,11.2900,11.4400,1317853
2013-08-02,11.4700,11.5200,11.3750,11.5000,927729
2013-08-01,11.4700,11.5800,11.4150,11.5000,1203900
2013-07-31,11.5400,11.5700,11.2900,11.3900,1087651
2013-07-30,11.1200,11.6100,10.8000,11.5000,1136459
2013-07-29,11.7500,11.8050,11.2900,11.3100,940747
2013-07-26,11.6900,11.8300,11.5700,11.8300,1013563
2013-07-25,11.4100,11.7700,11.2500,11.7700,900135
2013-07-24,11.7300,11.7300,11.4000,11.4500,1122583
2013-07-23,11.6800,11.8000,11.5700,11.7000,788430
2013-07-22,11.5100,11.7750,11.4900,11.6600,1000432
2013-07-19,11.3300,11.5000,11.1700,11.4700,721684
2013-07-18,11.1900,11.4600,11.1900,11.3300,647349
2013-07-17,11.2500,11.3600,11.0800,11.1800,818359
2013-07-16,11.4400,11.4600,11.1200,11.1800,1245231
2013-07-15,11.3000,11.4900,11.2500,11.4100,792269
2013-07-12,11.2600,11.3100,11.1300,11.3000,934612
2013-07-11,11.1300,11.2600,11.1200,11.2600,800125
2013-07-10,11.1600,11.2600,10.8750,11.0200,791919
2013-07-09,11.1000,11.2900,11.0600,11.1900,1107000
2013-07-08,10.9300,11.1100,10.9300,11.0300,940184
