date,open,high,low,close,volume
2019-11-11,5.0300,5.0631,4.9200,4.9400,1030475
2019-11-08,4.9300,5.0950,4.9100,5.0900,1410870
2019-11-07,5.1200,5.2000,4.9600,5.0100,1836000
2019-11-06,5.2200,5.2600,4.9200,5.1000,5600600
2019-11-05,5.0900,5.5000,5.0500,5.2800,5782900
2019-11-04,4.5800,4.9700,4.5500,4.9300,2701400
2019-11-01,4.4300,4.6000,4.3700,4.5300,1848700
2019-10-31,4.7400,4.7500,4.3200,4.4000,3024500
2019-10-30,5.3400,5.3400,4.5700,4.7300,3412400
2019-10-29,5.2800,5.4000,5.2700,5.3700,2406400
2019-10-28,5.1900,5.3700,5.1500,5.3200,2349500
2019-10-25,5.1800,5.2400,5.0400,5.1700,2140900
2019-10-24,5.2200,5.2200,4.9900,5.1800,2975800
2019-10-23,5.0600,5.1600,4.9600,5.0600,2570400
2019-10-22,4.7900,5.1100,4.6700,5.0600,2600800
2019-10-21,4.6400,4.8500,4.5800,4.7900,2178700
2019-10-18,4.5900,4.6200,4.4800,4.5800,1308100
2019-10-17,4.5800,4.6700,4.5500,4.6300,1253100
2019-10-16,4.5000,4.7100,4.5000,4.5300,1328100
2019-10-15,4.4500,4.5600,4.4000,4.4900,1025700
2019-10-14,4.3700,4.5000,4.2800,4.4600,1156500
2019-10-11,4.3600,4.5200,4.3600,4.4000,1612600
2019-10-10,4.1200,4.3600,4.1100,4.3600,2860300
2019-10-09,4.3200,4.3200,4.0800,4.0900,1737700
2019-10-08,4.2000,4.3100,4.1100,4.2800,1569400
2019-10-07,4.2000,4.3400,4.1900,4.2600,1666400
2019-10-04,4.2600,4.2700,4.0900,4.2500,1250300
2019-10-03,4.2000,4.3000,4.0500,4.2500,2170700
2019-10-02,4.3800,4.4400,4.2100,4.2500,2615100
2019-10-01,4.5800,4.7100,4.4000,4.4400,1920700
2019-09-30,4.5400,4.5900,4.4800,4.5700,1626800
2019-09-27,4.5200,4.7000,4.4800,4.5100,1604500
2019-09-26,4.6000,4.6100,4.4500,4.5300,1679100
2019-09-25,4.3700,4.6400,4.3700,4.6100,2141100
2019-09-24,4.5800,4.5900,4.3300,4.4000,3417900
2019-09-23,4.3800,4.5500,4.3000,4.5500,2282100
2019-09-20,4.3500,4.4400,4.3300,4.4300,4275600
2019-09-19,4.3200,4.4700,4.2800,4.3600,3113400
2019-09-18,4.4200,4.4200,4.1700,4.3000,3638400
2019-09-17,4.4900,4.4900,4.3300,4.4400,1637900
2019-09-16,4.4700,4.5800,4.2000,4.5500,3871800
2019-09-13,4.5200,4.6600,4.4100,4.4900,3699900
2019-09-12,4.6100,4.6500,4.3800,4.4900,2840900
2019-09-11,4.5000,4.6800,4.2800,4.5900,3517500
2019-09-10,4.3000,4.4600,4.1900,4.4300,2990400
2019-09-09,4.0600,4.3900,4.0600,4.3200,2969500
2019-09-06,3.9800,4.1100,3.9200,4.0500,2249000
2019-09-05,3.8600,4.0100,3.8300,3.9700,3152400
2019-09-04,3.6300,3.8000,3.6100,3.7400,3453500
2019-09-03,3.5100,3.6300,3.4000,3.5900,3740400
2019-08-30,3.5700,3.6500,3.4500,3.5600,2640000
2019-08-29,3.5300,3.6300,3.5100,3.5500,1795600
2019-08-28,3.3100,3.5500,3.2600,3.5000,3004600
2019-08-27,3.2700,3.4100,3.2100,3.3300,4129100
2019-08-26,4.0300,4.3300,3.2000,3.3100,8951500
2019-08-23,3.6000,3.6200,3.5000,3.6100,3201300
2019-08-22,3.5400,3.6700,3.5300,3.6500,3055200
2019-08-21,3.5700,3.6300,3.4900,3.5700,2121200
2019-08-20,3.6300,3.6500,3.4500,3.4900,3378000
2019-08-19,3.5600,3.7200,3.5400,3.6500,2383700
2019-08-16,3.2600,3.4700,3.1400,3.4700,4577300
2019-08-15,3.3000,3.3100,3.1400,3.2300,3648700
2019-08-14,3.4500,3.4900,3.1850,3.2800,5383900
2019-08-13,3.6000,3.7300,3.4700,3.5400,3448700
2019-08-12,3.8000,3.8200,3.4800,3.6000,4255500
2019-08-09,4.0700,4.1000,3.8200,3.8300,2454000
2019-08-08,4.0000,4.2400,4.0000,4.1200,2546000
2019-08-07,4.0602,4.1800,3.8000,3.9900,5917300
2019-08-06,4.0299,4.5800,4.0000,4.1600,8426000
2019-08-05,3.6500,3.6600,3.2901,3.5500,3781700
2019-08-02,3.7200,3.7700,3.6500,3.7100,1283400
2019-08-01,4.1100,4.1200,3.6400,3.7600,3067000
2019-07-31,3.9600,4.2500,3.9400,4.0500,3255300
2019-07-30,3.8900,3.9698,3.7500,3.9500,1778300
2019-07-29,3.8900,3.9600,3.8600,3.9000,1404900
2019-07-26,3.8500,3.9800,3.8000,3.9200,1751100
2019-07-25,3.9400,4.0000,3.8300,3.8400,1439400
2019-07-24,3.9100,4.0200,3.9000,3.9600,2088400
2019-07-23,3.8798,3.9100,3.7500,3.9000,2133800
2019-07-22,3.9500,4.0100,3.8700,3.8700,1719600
2019-07-19,3.9400,4.0500,3.9400,3.9500,1501200
2019-07-18,3.9800,4.0200,3.8700,3.9500,2056300
2019-07-17,4.1400,4.2000,3.9800,4.0200,1728000
2019-07-16,4.1200,4.2900,4.1200,4.1600,988300
2019-07-15,4.2100,4.2800,4.0700,4.1300,1194000
2019-07-12,4.0800,4.2800,4.0801,4.2200,1422800
2019-07-11,4.1302,4.1900,4.0400,4.0700,1282900
2019-07-10,4.2900,4.3200,4.1300,4.1300,3439400
2019-07-09,4.2700,4.3104,4.1200,4.2700,2206700
2019-07-08,4.3600,4.4200,4.2500,4.3100,1598100
2019-07-05,4.3200,4.4700,4.3100,4.4000,1131500
2019-07-03,4.3900,4.4700,4.3400,4.3700,1020100
2019-07-02,4.3500,4.4200,4.2600,4.3700,2781900
2019-07-01,4.3500,4.3900,4.2500,4.3600,3532200
2019-06-28,4.2400,4.3100,4.1700,4.2800,2088300
2019-06-27,4.1100,4.2200,4.0450,4.2200,3742700
2019-06-26,3.9600,4.1100,3.9300,4.1000,3400600
2019-06-25,3.9300,3.9700,3.8300,3.9600,3408000
2019-06-24,4.0800,4.1000,3.9302,3.9400,2862400
2019-06-21,4.0300,4.1000,3.7500,4.0800,7855700
2019-06-20,4.2100,4.3000,4.0200,4.0600,2742400
2019-06-19,4.1200,4.2450,4.0800,4.1800,2538500
2019-06-18,4.2500,4.4400,4.0750,4.1200,3450400
2019-06-17,4.3400,4.3500,4.0900,4.2200,2466400
2019-06-14,4.4000,4.4100,4.2800,4.3200,1513700
2019-06-13,4.3100,4.4900,4.3100,4.4300,1618400
2019-06-12,4.3900,4.4000,4.2400,4.2800,1958100
2019-06-11,4.3700,4.4800,4.3100,4.4200,3529200
2019-06-10,4.1500,4.3600,4.1400,4.3000,2523900
2019-06-07,4.0800,4.2250,3.9700,4.1200,2454400
2019-06-06,4.1400,4.1500,3.9400,4.0600,2230700
2019-06-05,4.2200,4.3100,3.9900,4.1500,2894600
2019-06-04,3.9800,4.2800,3.9200,4.2100,3780300
2019-06-03,3.6400,4.0300,3.5298,3.9000,4974900
2019-05-31,3.9000,3.9000,3.4100,3.6500,12858300
2019-05-30,4.3200,4.3300,3.9100,4.0000,7108800
2019-05-29,4.6000,4.6300,4.1400,4.3100,6408900
2019-05-28,4.6300,4.7748,4.5900,4.6300,3359900
2019-05-24,4.5700,4.6400,4.5100,4.6300,1708700
2019-05-23,4.6300,4.6900,4.4600,4.5500,2754000
2019-05-22,4.8000,4.8600,4.6700,4.7400,2579300
2019-05-21,4.8100,4.9000,4.7900,4.8600,3238100
2019-05-20,4.9000,4.9300,4.7901,4.7900,2902200
2019-05-17,4.9000,5.0200,4.8800,4.9100,2139300
2019-05-16,5.0000,5.0500,4.9150,4.9800,2266100
2019-05-15,4.9900,5.0300,4.9200,4.9900,3007800
2019-05-14,4.9700,5.0800,4.9300,5.0400,3221200
2019-05-13,5.1400,5.1599,4.8200,4.9400,5359200
2019-05-10,5.3600,5.4200,5.1600,5.2300,4271300
