date,open,high,low,close,volume
2019-11-11,7.5400,7.8500,7.2200,7.8500,2282
2019-11-08,7.8000,7.8000,7.3100,7.8000,2659
2019-11-07,8.2400,8.2400,7.8500,7.8500,1200
2019-11-06,7.9000,8.0650,7.8480,7.9000,2500
2019-11-05,7.8600,7.8600,7.8600,7.8600,100
2019-11-04,7.9400,8.0650,7.8500,7.8600,2700
2019-11-01,8.1490,8.1750,7.9000,7.9100,3200
2019-10-31,8.2100,8.2400,8.1710,8.2010,2600
2019-10-30,8.6000,8.6000,8.0690,8.2000,5400
2019-10-29,8.7000,8.7000,8.4000,8.5500,3100
2019-10-28,8.5400,9.1300,8.4800,8.7900,7500
2019-10-25,8.3000,8.5500,8.3000,8.3580,3000
2019-10-24,8.0000,8.3000,7.8800,8.2900,8400
2019-10-23,7.8800,7.8800,7.8600,7.8700,1300
2019-10-22,7.8800,8.2000,7.8800,8.0770,2600
2019-10-21,7.7500,8.2500,7.7200,7.7700,3400
2019-10-18,8.2500,8.2500,7.6400,7.8630,3000
2019-10-17,7.0510,9.0100,7.0510,8.7370,5200
2019-10-16,6.5900,6.7810,6.5900,6.7800,2000
2019-10-15,6.4600,6.5000,6.4600,6.5000,400
2019-10-14,6.5000,6.5000,6.3000,6.4900,1800
2019-10-11,6.3000,6.8300,6.3000,6.5000,10200
2019-10-10,6.1800,6.2010,6.1760,6.2010,1900
2019-10-09,6.4600,6.7000,6.2100,6.2100,5200
2019-10-08,6.4010,6.5100,6.0500,6.3970,3800
2019-10-07,6.3500,6.5000,6.3480,6.5000,2300
2019-10-04,6.4700,6.4700,6.4000,6.4500,600
2019-10-03,6.6600,6.6600,6.0500,6.4580,5000
2019-10-02,6.8000,6.8800,6.7250,6.8800,3300
2019-10-01,6.5220,6.5590,6.5220,6.5590,800
2019-09-30,6.9400,6.9400,6.9000,6.9000,800
2019-09-27,6.5780,6.5780,6.5780,6.5780,200
2019-09-26,6.7800,6.7800,6.3600,6.4100,3500
2019-09-25,6.4100,6.5000,6.4100,6.5000,600
2019-09-24,6.4600,6.8710,6.4500,6.4500,4900
2019-09-23,6.8220,6.9220,6.8220,6.8770,1300
2019-09-20,6.9500,6.9800,6.7280,6.8400,9700
2019-09-19,7.1200,7.1200,6.7450,7.1000,11300
2019-09-18,7.3500,7.3500,7.1500,7.2110,1700
2019-09-17,7.4520,7.4640,7.2600,7.3000,3900
2019-09-16,7.2000,7.2500,7.0700,7.0800,2300
2019-09-13,7.2200,7.2200,7.2200,7.2200,100
2019-09-12,7.0600,7.2200,7.0600,7.2200,700
2019-09-11,7.0500,7.4500,7.0500,7.2500,3800
2019-09-10,7.1300,7.4100,7.0100,7.1300,5500
2019-09-09,7.2000,7.5500,7.2000,7.4650,2900
2019-09-06,7.3000,7.3200,7.1970,7.2000,2300
2019-09-05,7.4000,7.6030,7.0500,7.2000,9900
2019-09-04,7.6800,7.8660,7.6800,7.8300,2000
2019-09-03,8.2700,8.2700,7.4000,7.4000,12900
2019-08-30,8.6000,8.7020,8.3000,8.6590,5800
2019-08-29,8.6500,9.5000,8.6500,8.8500,3000
2019-08-28,8.6000,8.6490,8.6000,8.6230,1800
2019-08-27,8.7800,8.7800,8.6000,8.6000,1200
2019-08-26,9.0000,9.0700,8.5100,8.5100,12900
2019-08-23,8.7900,9.9700,8.5000,9.0700,11000
2019-08-22,8.5000,8.5000,8.2500,8.2500,600
2019-08-21,8.5380,8.7100,8.0530,8.2500,11500
2019-08-20,8.6700,8.6900,8.5500,8.6900,1800
2019-08-19,9.5000,9.5000,8.8000,8.9350,7300
2019-08-16,9.1000,9.2000,9.0800,9.1500,5500
2019-08-15,9.1100,9.4600,9.0800,9.2000,10300
2019-08-14,9.0800,9.1500,9.0800,9.1500,1900
2019-08-13,9.1000,9.3890,9.1000,9.2980,1400
2019-08-12,9.5640,9.5636,9.5640,9.5640,100
2019-08-09,9.3899,9.7000,9.3200,9.7000,1600
2019-08-08,9.3000,9.3000,9.3005,9.3000,500
2019-08-07,9.2000,9.3470,9.0800,9.3000,1800
2019-08-06,9.5700,9.5700,9.1150,9.4000,8600
2019-08-05,9.8500,9.8500,9.2000,9.6000,3800
2019-08-02,9.9710,9.9710,9.9710,9.9710,200
2019-08-01,10.1800,10.1800,10.0000,10.0000,400
2019-07-31,10.0000,10.5240,9.9730,9.9730,2700
2019-07-30,10.4000,10.3999,9.9300,9.9300,100
2019-07-29,10.4000,10.4000,9.9300,9.9300,3000
2019-07-26,10.2000,10.5000,10.0000,10.5000,900
2019-07-25,9.9400,9.9400,9.9400,9.9400,300
2019-07-24,10.1000,10.1500,10.1000,10.1500,700
2019-07-23,10.2000,10.2030,10.0600,10.0600,1100
2019-07-22,10.2000,10.2000,9.9898,10.0470,3000
2019-07-19,10.1100,10.2000,9.9200,10.0500,5100
2019-07-18,10.5600,10.5600,10.2120,10.2120,1100
2019-07-17,10.6300,10.6300,10.5000,10.5000,600
2019-07-16,10.2200,10.2200,9.9900,9.9900,600
2019-07-15,9.9600,10.2260,9.9290,10.2260,2000
2019-07-12,10.3000,10.3000,10.0000,10.0690,3100
2019-07-11,10.5000,10.8040,10.2500,10.3500,3500
2019-07-10,10.8600,10.8600,10.8500,10.8600,500
2019-07-09,10.9500,10.9600,10.0100,10.8700,4600
2019-07-08,11.2000,11.2700,10.9602,11.2700,2600
2019-07-05,11.5440,11.5440,11.2690,11.2690,300
2019-07-03,11.6800,11.7500,11.4640,11.6200,2400
2019-07-02,11.7400,11.7400,11.7400,11.7400,0
2019-07-01,11.7400,11.7400,11.7400,11.7400,0
2019-06-28,11.8440,11.9000,11.8440,11.8800,1800
2019-06-27,11.9500,11.9500,11.9500,11.9500,500
2019-06-26,11.8000,11.8600,11.7800,11.8500,2200
2019-06-25,11.6560,11.7000,11.4600,11.4600,2900
2019-06-24,11.7500,11.7500,11.2210,11.2210,1400
2019-06-21,11.9500,11.9500,11.9500,11.9500,300
2019-06-20,11.9400,11.9400,11.3860,11.5500,5100
2019-06-19,11.5000,11.7887,11.2500,11.2500,1700
2019-06-18,11.5300,11.6100,11.5000,11.5000,500
2019-06-17,11.9200,11.9200,11.5000,11.5000,700
2019-06-14,11.7000,11.7900,11.5000,11.7110,5700
2019-06-13,11.7100,11.7100,11.5000,11.6500,3700
2019-06-12,11.9200,11.9200,11.6800,11.9000,1400
2019-06-11,11.9200,11.9200,11.9200,11.9200,500
2019-06-10,11.9200,11.9200,11.6200,11.6480,1800
2019-06-07,11.9100,11.9100,11.5900,11.6000,1900
2019-06-06,11.6400,11.9140,11.5760,11.9140,5000
2019-06-05,11.7000,11.7000,11.6000,11.6000,1600
2019-06-04,11.8000,11.8000,11.6996,11.7000,3100
2019-06-03,11.9700,11.9700,11.9700,11.9700,400
2019-05-31,11.7440,11.8500,11.5100,11.8500,2300
2019-05-30,11.9500,11.9500,11.4800,11.9000,1000
2019-05-29,11.7450,11.7450,11.4600,11.5100,3700
2019-05-28,11.9900,11.9900,11.3300,11.5200,3200
2019-05-24,12.3800,12.3800,11.5000,12.1940,12200
2019-05-23,11.5200,11.8200,11.5000,11.5080,1900
2019-05-22,11.5000,12.1500,11.5000,12.0930,2000
2019-05-21,11.3000,11.3000,10.9997,11.2000,1400
2019-05-20,11.1000,11.1300,11.0700,11.1000,1400
2019-05-17,11.1090,11.3360,11.1090,11.3360,700
2019-05-16,11.4350,11.4350,10.9000,11.1500,1200
2019-05-15,11.3700,11.5000,11.3500,11.3500,1400
2019-05-14,11.7500,11.7500,11.2500,11.3570,4800
2019-05-13,11.8000,12.7270,11.6400,11.9000,3000
2019-05-10,12.1510,12.1510,12.1510,12.1510,400
2019-05-09,11.3005,11.5000,11.3000,11.4470,7300
2019-05-08,11.5910,11.5910,10.5200,10.5200,1800
2019-05-07,11.2900,11.6000,11.2170,11.4740,5700
2019-05-06,10.5522,10.5530,10.5340,10.5500,2200
2019-05-03,10.9600,11.0960,10.7700,11.0960,1900
2019-05-02,10.4970,10.5000,10.2500,10.3800,2500
2019-05-01,10.2410,10.2410,10.1000,10.1000,2300
2019-04-30,10.0300,10.9030,9.8989,10.1500,13800
2019-04-29,10.4600,10.5000,10.1320,10.1500,2500
2019-04-26,11.1700,11.1700,10.4500,10.5500,6800
2019-04-25,11.3900,12.0000,11.0100,11.5500,7500
2019-04-24,12.7600,12.7600,11.4000,11.5500,16500
2019-04-23,13.4000,13.4000,12.3500,12.9900,8700
2019-04-22,13.5700,13.5700,13.1500,13.2250,9200
2019-04-18,13.7500,13.7500,12.8500,13.5000,22700
2019-04-17,12.7500,14.0000,11.2940,12.7900,39200
2019-04-16,13.1000,13.1000,11.3740,11.4100,35900
2019-04-15,11.1250,11.5000,11.1250,11.3410,3400
2019-04-12,12.1600,12.1600,10.8600,11.3300,8000
2019-04-11,12.1800,12.1800,11.0300,12.1800,16400
2019-04-10,12.1240,12.2000,11.2760,11.6580,13100
2019-04-09,9.8200,11.2860,9.8200,11.2200,11600
2019-04-08,9.1400,9.7499,9.0000,9.7120,3400
2019-04-05,9.6700,9.6701,8.8480,8.9640,23600
2019-04-04,9.1060,9.7020,8.8300,9.5890,10100
2019-04-03,8.2800,9.0480,8.2800,8.9000,9300
2019-04-02,8.5400,8.5400,7.9110,8.2000,18400
2019-04-01,7.8420,8.8030,7.8420,8.3250,42900
2019-03-29,7.7500,7.8860,7.6500,7.7500,4400
2019-03-28,7.7050,7.8140,7.7050,7.7900,3400
2019-03-27,7.6700,7.9200,7.6700,7.8520,1400
2019-03-26,7.7270,7.8200,7.7270,7.7500,1300
2019-03-25,7.8315,7.8320,7.8300,7.8300,300
2019-03-22,7.6997,7.9000,7.6600,7.8500,1600
2019-03-21,7.8900,7.8900,7.6100,7.6100,3300
2019-03-20,7.8200,8.1500,7.6000,8.0000,13500
2019-03-19,7.6200,7.9890,7.5810,7.9510,4900
2019-03-18,7.7500,7.9810,7.5500,7.7100,8900
2019-03-15,8.1342,8.1340,7.6050,8.0500,5100
2019-03-14,7.6900,8.1870,7.5000,7.7000,15800
2019-03-13,8.1997,8.2000,7.6900,7.9250,3800
2019-03-12,8.3000,8.3500,7.9110,7.9500,5400
2019-03-11,7.8400,8.2050,7.7060,8.0500,6200
2019-03-08,7.8330,7.9000,7.3996,7.7600,24800
2019-03-07,8.1830,8.1830,7.4000,7.6800,10000
2019-03-06,7.4100,7.6905,7.4000,7.6900,3000
2019-03-05,7.7400,8.0500,7.2480,7.3570,12500
2019-03-04,7.8000,7.8710,7.6390,7.6600,7600
2019-03-01,7.7700,8.1499,7.7200,7.7200,4000
2019-02-28,7.7000,7.9000,7.5400,7.6300,9300
2019-02-27,7.7500,7.8500,7.6600,7.7400,6000
2019-02-26,7.5000,8.0650,7.5000,7.7700,14600
2019-02-25,7.7330,7.7330,7.2400,7.5200,12800
2019-02-22,7.2500,7.5997,7.2500,7.4800,5400
2019-02-21,7.0100,7.4000,7.0100,7.2000,7100
2019-02-20,7.3100,7.3100,7.3100,7.3100,0
2019-02-19,7.8900,7.8900,7.0000,7.3100,7500
2019-02-15,7.4800,7.5300,7.2900,7.2900,2200
2019-02-14,7.7600,7.7602,7.3410,7.3500,1900
2019-02-13,7.4930,7.5000,7.3930,7.3930,1300
2019-02-12,7.4570,7.5000,7.4000,7.4000,1200
2019-02-11,7.3000,8.3595,7.3000,7.6000,2400
2019-02-08,7.3560,7.4100,7.1500,7.3000,4600
2019-02-07,7.6830,7.9900,7.2360,7.4800,3800
2019-02-06,7.4900,7.4903,7.4900,7.4900,100
2019-02-05,7.3000,7.4900,7.3000,7.4900,3100
2019-02-04,7.3100,7.5000,7.0700,7.1700,2300
2019-02-01,7.4000,7.4980,7.2500,7.3000,5000
2019-01-31,7.5390,7.5390,7.4100,7.4100,1600
2019-01-30,7.5900,7.5900,7.3500,7.4100,5000
2019-01-29,7.1500,7.2030,6.1500,7.1030,10800
2019-01-28,7.5000,7.5000,7.5000,7.5000,3300
2019-01-25,7.3232,7.6000,7.0000,7.5000,8300
2019-01-24,7.3800,7.5097,7.3150,7.3150,6500
2019-01-23,7.6000,7.6000,7.3500,7.3500,8400
2019-01-22,7.5000,7.6000,7.5000,7.5540,4900
2019-01-18,7.4500,7.6200,7.3500,7.3500,1700
2019-01-17,7.6000,7.6800,7.5500,7.5500,3600
2019-01-16,7.5500,7.9900,7.5500,7.6000,3100
2019-01-15,7.4800,7.4792,7.4200,7.4200,3000
2019-01-14,7.3100,7.7190,7.3100,7.4280,1500
2019-01-11,6.9500,6.9502,6.9500,6.9500,100
2019-01-10,7.9900,8.7400,7.6700,7.7200,4400
2019-01-09,7.5000,8.0000,7.5000,7.9900,1800
2019-01-08,7.5000,7.5000,7.5000,7.5000,200
2019-01-07,7.8000,8.2100,7.3860,7.3860,1100
2019-01-04,6.4810,6.4840,6.4500,6.4500,1500
2019-01-03,6.1400,6.1400,6.0500,6.0500,700
2019-01-02,6.1300,6.1300,6.1300,6.1300,0
2018-12-31,6.7000,6.7000,6.0000,6.1300,37700
2018-12-28,5.8600,7.2000,5.8100,6.5500,2100
2018-12-27,7.4500,7.4500,6.9070,6.9070,1000
2018-12-26,6.3500,7.6900,6.3503,7.0800,1900
2018-12-24,6.1200,6.1200,6.1200,6.1200,0
2018-12-21,5.7601,6.1200,5.7600,6.1200,800
2018-12-20,7.2000,7.2000,7.2000,7.2000,200
2018-12-19,8.0000,8.0000,7.2000,7.2000,2700
2018-12-18,7.6100,7.7100,7.5100,7.5600,1800
2018-12-17,7.7500,7.7502,7.7500,7.7500,700
2018-12-14,8.0100,8.0100,7.7000,7.8000,1300
2018-12-13,8.1600,8.1600,8.0100,8.0100,800
2018-12-12,8.3598,8.3600,8.3600,8.3600,200
2018-12-11,8.5100,8.5100,8.5100,8.5100,400
2018-12-10,8.7000,9.2400,8.7000,9.2400,2100
2018-12-07,8.5100,8.9200,8.5100,8.6000,2800
2018-12-06,9.1500,9.1500,8.7600,8.7600,2900
2018-12-04,9.2230,9.2230,9.2230,9.2230,100
2018-12-03,9.1770,9.2230,9.1770,9.2230,700
2018-11-30,9.2340,9.2344,9.2340,9.2340,0
2018-11-29,9.2340,9.2340,9.2340,9.2340,0
2018-11-28,9.2400,9.2400,9.2341,9.2340,500
2018-11-27,9.2500,9.2500,9.1500,9.2400,2400
2018-11-26,9.6900,9.6897,9.3200,9.3200,2400
2018-11-23,9.4500,9.5620,9.3000,9.4000,3500
2018-11-21,9.5000,9.5000,9.2502,9.2500,1400
2018-11-20,9.6179,9.6170,9.6170,9.6170,100
2018-11-19,9.9700,9.9700,9.5000,9.6800,2200
2018-11-16,9.4600,9.7500,9.4600,9.7500,2100
2018-11-15,9.3810,9.3810,9.3810,9.3810,100
2018-11-14,9.0100,9.0100,9.0100,9.0100,0
2018-11-13,9.0100,9.0100,9.0100,9.0100,100
2018-11-12,9.0100,9.0100,9.0100,9.0100,0
2018-11-09,9.0700,9.0700,9.0100,9.0100,1600
2018-11-08,9.1300,9.1300,9.0700,9.0700,800
2018-11-07,9.5670,9.5670,9.5670,9.5670,100
2018-11-06,9.5670,9.5670,9.5670,9.5670,100
2018-11-05,9.3900,9.5670,9.3500,9.5670,1700
2018-11-02,9.0000,9.3620,9.0000,9.3620,1800
2018-11-01,9.4000,9.4000,9.0000,9.0100,2100
2018-10-31,9.3600,9.7310,9.3600,9.7310,300
2018-10-30,9.6000,9.6000,9.4000,9.5480,4000
2018-10-29,9.8400,9.8400,9.6000,9.6000,1500
2018-10-26,9.8130,9.8130,9.8100,9.8100,600
2018-10-25,10.0000,10.0002,9.6000,9.9340,5100
2018-10-24,10.0800,10.2000,10.0000,10.0500,3900
2018-10-23,10.1030,10.3000,10.1000,10.1100,5000
2018-10-22,10.0000,10.5000,10.0000,10.5000,900
2018-10-19,9.9600,9.9600,9.9606,9.9600,0
2018-10-18,10.5000,10.5000,9.9600,9.9600,500
2018-10-17,10.5000,10.5000,10.5000,10.5000,300
2018-10-16,10.2900,10.2900,10.0000,10.0160,1200
2018-10-15,10.2988,10.3000,10.3000,10.3000,0
2018-10-12,10.1300,11.2700,9.9800,10.3000,7600
2018-10-11,10.5000,10.5000,10.1400,10.1400,1500
2018-10-10,10.3150,10.3150,10.1496,10.1500,700
2018-10-09,10.6500,10.6500,10.6500,10.6500,300
2018-10-08,10.6600,10.6600,10.6600,10.6600,300
2018-10-05,10.7000,10.7640,10.3110,10.6900,8800
2018-10-04,10.2200,10.2200,10.2200,10.2200,0
2018-10-03,10.2400,10.2400,10.2200,10.2200,900
2018-10-02,11.0500,11.0500,11.0500,11.0500,0
2018-10-01,11.0900,11.0900,11.0500,11.0500,500
2018-09-28,10.6660,10.6660,10.6660,10.6660,200
2018-09-27,10.8000,10.8000,10.5500,10.5500,1000
2018-09-26,10.5530,10.8000,10.5470,10.8000,1100
2018-09-25,10.5490,10.5490,10.1500,10.2430,1200
2018-09-24,10.6200,10.9800,10.0001,10.1510,10900
2018-09-21,10.7000,10.7000,10.7000,10.7000,0
2018-09-20,10.5000,10.7000,10.5000,10.7000,1500
2018-09-19,11.0000,11.0000,10.0000,10.0100,1500
2018-09-18,11.2500,11.2500,11.2500,11.2500,200
2018-09-17,10.5200,11.0160,10.4510,11.0160,1300
2018-09-14,10.5100,10.5100,10.5100,10.5100,0
2018-09-13,10.5100,10.5100,10.5100,10.5100,300
2018-09-12,10.7200,10.7500,10.5000,10.5100,3600
2018-09-11,11.0970,11.0970,11.0970,11.0970,0
2018-09-10,11.3800,11.3800,10.7000,11.0970,2100
2018-09-07,11.4070,11.4070,11.3500,11.3500,200
2018-09-06,10.7000,11.6000,10.5653,11.3160,5500
2018-09-05,11.0000,11.1690,10.5530,11.1690,2100
2018-09-04,11.4300,11.4300,11.0500,11.1230,6600
2018-08-31,11.5030,11.5030,11.4300,11.4300,2100
2018-08-30,11.8000,11.8000,11.6900,11.6900,7200
2018-08-29,11.8600,11.8600,11.8500,11.8500,1200
2018-08-28,11.8600,12.0000,11.8600,12.0000,800
2018-08-27,12.0500,12.0500,11.8800,11.9060,2900
2018-08-24,12.4500,12.4500,11.8500,12.1000,3400
2018-08-23,12.5500,12.5500,12.5500,12.5500,100
2018-08-22,12.5420,12.6240,12.5000,12.5000,1500
2018-08-21,12.6000,12.6000,12.5004,12.5000,1000
2018-08-20,13.2000,13.2000,12.9800,13.0000,7800
2018-08-17,13.1020,13.1020,12.9000,12.9000,500
2018-08-16,12.9800,12.9800,11.7600,12.3030,4800
2018-08-15,12.3500,12.3500,11.7900,11.7900,3800
2018-08-14,12.2500,12.5630,12.0100,12.5000,2100
2018-08-13,12.5700,12.9340,12.1500,12.3170,2200
2018-08-10,12.5700,12.5700,12.5700,12.5700,600
2018-08-09,13.1000,13.1000,12.9300,12.9300,900
2018-08-08,13.0800,13.0800,12.9300,12.9300,4400
2018-08-07,13.3000,13.4330,13.0700,13.3100,6000
2018-08-06,13.4100,13.9430,13.4100,13.9430,700
2018-08-03,13.9500,13.9500,13.7500,13.7500,400
2018-08-02,14.2500,14.2500,13.1500,13.9240,4100
