date,open,high,low,close,volume
2019-11-11,3.5900,3.7100,3.5000,3.5400,5648927
2019-11-08,3.5600,3.7500,3.5200,3.7100,6087436
2019-11-07,3.7200,3.8000,3.5700,3.6300,7190100
2019-11-06,3.7500,3.8600,3.6000,3.6100,4945100
2019-11-05,3.7700,3.9200,3.6800,3.7900,6815600
2019-11-04,3.6100,3.7800,3.5700,3.7300,8228600
2019-11-01,3.3800,3.6300,3.3600,3.5200,5251800
2019-10-31,3.3700,3.4200,3.1500,3.3300,6078700
2019-10-30,3.7700,3.7900,3.3400,3.3600,6889100
2019-10-29,3.5400,3.7700,3.5000,3.7100,7442500
2019-10-28,3.8500,3.8800,3.5600,3.5900,8389900
2019-10-25,3.4600,3.7500,3.4100,3.6500,8792200
2019-10-24,3.5100,3.6900,3.4300,3.4500,20491800
2019-10-23,2.8300,3.2500,2.7500,3.1200,11273600
2019-10-22,2.8100,2.9800,2.5800,2.8300,11685500
2019-10-21,2.7300,2.8100,2.6700,2.7400,5760000
2019-10-18,2.9600,2.9700,2.7000,2.7100,5745300
2019-10-17,2.8500,3.0100,2.8100,2.9600,4553100
2019-10-16,2.9000,2.9800,2.8400,2.8600,6177700
2019-10-15,2.8700,3.0700,2.7900,2.9400,7477300
2019-10-14,3.1000,3.1300,2.8400,2.9000,7350100
2019-10-11,3.1000,3.2400,3.0500,3.2200,9520500
2019-10-10,3.1200,3.1500,2.9800,3.0700,5569300
2019-10-09,3.1900,3.2000,3.0300,3.1200,5016000
2019-10-08,3.0600,3.2500,3.0400,3.1400,4975200
2019-10-07,3.1400,3.2600,3.0300,3.1400,6435300
2019-10-04,3.2000,3.2200,2.9700,3.1500,7538100
2019-10-03,3.0600,3.1800,3.0200,3.1500,4529200
2019-10-02,3.3500,3.3500,3.0400,3.1000,8261100
2019-10-01,3.7100,3.7800,3.3700,3.3800,5591600
2019-09-30,3.7900,3.8600,3.6800,3.7000,5922200
2019-09-27,3.8600,3.9600,3.7900,3.8200,4496300
2019-09-26,4.0500,4.1200,3.8100,3.9500,3612100
2019-09-25,4.1300,4.2200,4.0500,4.1100,4649300
2019-09-24,4.3300,4.3600,4.1100,4.2200,5209200
2019-09-23,4.2500,4.4200,4.1900,4.3600,7537500
2019-09-20,4.1800,4.3300,4.1300,4.3000,46679500
2019-09-19,4.1800,4.1800,3.9400,4.1300,5657200
2019-09-18,4.1400,4.2900,4.1000,4.1200,5026600
2019-09-17,4.9400,4.9400,4.1900,4.2100,7228700
2019-09-16,4.6700,5.1100,4.2600,4.9800,20212200
2019-09-13,4.0900,4.1800,3.8500,4.0800,7586000
2019-09-12,3.9400,4.0900,3.8500,3.9900,4980200
2019-09-11,4.1900,4.3700,3.9500,4.1500,6170700
2019-09-10,4.2100,4.3400,4.0700,4.1400,7862600
2019-09-09,3.9100,4.1800,3.8400,4.1700,8254900
2019-09-06,3.9300,3.9600,3.7300,3.7900,3210700
2019-09-05,3.9000,4.1600,3.8700,3.9800,4958500
2019-09-04,3.6600,3.8900,3.5700,3.8400,5960700
2019-09-03,3.5100,3.5800,3.3400,3.5300,4387300
2019-08-30,3.9000,3.9200,3.4800,3.5600,3353900
2019-08-29,3.8200,3.9700,3.7900,3.9000,5812100
2019-08-28,3.5800,3.8400,3.5300,3.7800,4493400
2019-08-27,3.6800,3.7100,3.4600,3.5500,4348700
2019-08-26,3.7800,3.8200,3.6000,3.6500,8469500
2019-08-23,3.7500,3.7700,3.4700,3.5100,4320700
2019-08-22,3.9700,4.0300,3.8500,3.8500,3915700
2019-08-21,3.9700,4.0500,3.9000,3.9800,5769900
2019-08-20,4.0700,4.1000,3.8500,3.9100,4302500
2019-08-19,4.0300,4.2100,4.0300,4.1000,6255700
2019-08-16,3.8800,4.0300,3.7102,4.0100,6973300
2019-08-15,3.7500,3.8600,3.7100,3.7600,3942200
2019-08-14,4.0000,4.0000,3.7400,3.7800,5780600
2019-08-13,4.1600,4.3200,4.1000,4.1900,4698700
2019-08-12,4.2600,4.2597,4.0200,4.2000,4713500
2019-08-09,4.1200,4.2500,3.9550,4.1800,6593100
2019-08-08,3.9900,4.0900,3.8800,4.0900,7948800
2019-08-07,3.5000,4.1600,3.3900,4.0000,13814200
2019-08-06,4.2300,4.3400,4.0300,4.0300,7586800
2019-08-05,4.3700,4.4000,4.2000,4.2100,7129700
2019-08-02,4.6000,4.6300,4.3100,4.5400,6298300
2019-08-01,4.7798,4.8100,4.4700,4.6000,6289100
2019-07-31,5.0800,5.2200,4.9306,4.9500,5214000
2019-07-30,4.6600,5.1300,4.6100,5.0800,5338200
2019-07-29,4.8200,4.8600,4.6200,4.7200,6515300
2019-07-26,4.9200,4.9500,4.6900,4.8200,7513600
2019-07-25,5.2700,5.3500,4.8100,4.8400,10551400
2019-07-24,5.2000,5.3199,5.0900,5.2700,5372500
2019-07-23,5.1300,5.2700,5.0700,5.2100,8637400
2019-07-22,5.3000,5.3500,5.0500,5.1500,7761700
2019-07-19,5.7600,5.9500,5.0000,5.3200,19852200
2019-07-18,6.2400,6.3900,6.1600,6.3100,6522100
2019-07-17,6.4100,6.5200,6.3202,6.3200,5071800
2019-07-16,6.7300,6.7300,6.4200,6.5000,6889600
2019-07-15,7.0900,7.1300,6.6797,6.7600,5431900
2019-07-12,7.0600,7.1100,6.9500,7.0600,2934400
2019-07-11,7.2300,7.2300,7.0100,7.0600,2769100
2019-07-10,7.2403,7.2800,7.0600,7.2000,3978900
2019-07-09,7.1300,7.2106,6.9800,7.1900,3937600
2019-07-08,7.2398,7.3600,7.1800,7.2500,4056300
2019-07-05,7.1400,7.3900,7.1400,7.2900,4363800
2019-07-03,7.1900,7.3450,7.0850,7.1800,3024100
2019-07-02,7.0400,7.1700,6.9700,7.1200,6779100
2019-07-01,7.3900,7.4200,6.9600,7.0500,6288000
2019-06-28,7.0500,7.2500,6.9700,7.2300,31756300
2019-06-27,7.1100,7.1700,6.9000,6.9900,6693900
2019-06-26,6.2600,7.2300,6.1350,7.1100,8434000
2019-06-25,6.0300,6.1650,5.8800,6.1300,4056800
2019-06-24,6.1100,6.2200,5.9600,6.0100,3163400
