date,open,high,low,close,volume
2019-11-11,5.2500,5.3400,5.1300,5.2200,13750011
2019-11-08,5.3200,5.4000,5.2250,5.3900,13647982
2019-11-07,5.4700,5.6000,5.3700,5.4100,15044500
2019-11-06,5.5000,5.6900,5.3100,5.3500,19774100
2019-11-05,5.6400,5.7100,5.5100,5.5700,16052900
2019-11-04,5.3000,5.6700,5.2800,5.5900,24428100
2019-11-01,4.8200,5.1700,4.7300,5.1400,20739400
2019-10-31,4.8500,4.9800,4.6500,4.7500,17258100
2019-10-30,5.1700,5.2800,4.8100,4.8900,21246900
2019-10-29,4.7200,5.4000,4.5100,5.1100,32308900
2019-10-28,4.8200,4.8700,4.6400,4.7200,16117000
2019-10-25,4.6300,4.7400,4.5500,4.7000,11060900
2019-10-24,4.9000,4.9000,4.5600,4.6200,15970800
2019-10-23,4.7400,4.9600,4.5600,4.8500,15612500
2019-10-22,4.6300,4.8200,4.4500,4.7700,17330100
2019-10-21,4.4800,4.6500,4.4700,4.5800,13578100
2019-10-18,4.7000,4.7500,4.5000,4.5400,14412400
2019-10-17,4.7800,4.8100,4.6100,4.6700,14943900
2019-10-16,4.7000,4.9300,4.6000,4.7600,13082100
2019-10-15,4.6000,4.9200,4.5500,4.7200,22800000
2019-10-14,4.4500,4.6600,4.3200,4.6400,17928900
2019-10-11,4.3000,4.6400,4.3000,4.5700,20096400
2019-10-10,4.1700,4.2600,4.1300,4.2200,14020000
2019-10-09,4.1700,4.2200,4.0300,4.1200,18066500
2019-10-08,4.0500,4.2000,4.0200,4.0900,17530700
2019-10-07,4.2700,4.4200,4.1500,4.1700,16505500
2019-10-04,4.2500,4.3700,4.1100,4.2400,17444100
2019-10-03,4.1300,4.2600,3.9800,4.2400,21746600
2019-10-02,4.2600,4.4000,4.1200,4.1500,21399700
2019-10-01,4.4800,4.5900,4.1600,4.2800,22097000
2019-09-30,4.5100,4.5100,4.3600,4.4700,18212000
2019-09-27,4.6300,4.7600,4.5100,4.5300,19304500
2019-09-26,5.0800,5.0900,4.6800,4.7300,19865800
2019-09-25,5.1300,5.3500,5.0900,5.1100,19902000
2019-09-24,5.7600,5.7900,5.3600,5.4100,17634300
2019-09-23,5.7500,5.9000,5.6600,5.8300,15760200
2019-09-20,5.8500,5.9600,5.7600,5.8200,29775900
2019-09-19,6.0400,6.0800,5.8100,5.8500,16472000
2019-09-18,5.8800,6.0300,5.7900,5.9200,18605400
2019-09-17,6.4100,6.4100,5.8900,6.0200,34279400
2019-09-16,6.2400,6.6600,6.0700,6.5100,50577100
2019-09-13,5.6700,5.8400,5.5400,5.7300,18588600
2019-09-12,5.5700,5.6900,5.3800,5.6500,22963800
2019-09-11,5.5600,5.8100,5.4300,5.8000,30574600
2019-09-10,5.4800,5.7300,5.4500,5.4900,27827200
2019-09-09,5.1700,5.5200,5.0400,5.4800,23801700
2019-09-06,4.8600,5.1600,4.7400,5.0400,21077900
2019-09-05,4.7900,5.0100,4.7800,4.9500,19483600
2019-09-04,4.6100,4.7800,4.5500,4.6900,17027800
2019-09-03,4.4200,4.5100,4.2200,4.4800,16967500
2019-08-30,4.6100,4.7200,4.3800,4.5500,13729800
2019-08-29,4.4700,4.6900,4.4600,4.5800,15215700
2019-08-28,4.3000,4.5200,4.2100,4.4000,18253300
2019-08-27,4.3000,4.3400,4.1100,4.2300,13485800
2019-08-26,4.3200,4.4900,4.2200,4.2700,14814500
2019-08-23,4.4200,4.6300,4.2400,4.2500,22348400
2019-08-22,4.6700,4.7400,4.5100,4.5400,16596600
2019-08-21,4.6700,4.8300,4.5300,4.5800,17022300
2019-08-20,4.5800,4.6300,4.3200,4.5900,20561400
2019-08-19,4.3300,4.7000,4.3300,4.6100,29052100
2019-08-16,3.9000,4.2300,3.7600,4.2000,21668100
2019-08-15,3.9000,3.9200,3.7597,3.8600,25204300
2019-08-14,4.1300,4.1300,3.8900,3.9000,32289100
2019-08-13,4.2900,4.6000,4.2700,4.3000,24699200
2019-08-12,4.3000,4.3700,4.1200,4.3400,25994700
2019-08-09,4.6200,4.6300,4.3000,4.3300,25003800
2019-08-08,4.6900,4.7000,4.3300,4.5800,40430600
2019-08-07,4.6700,4.7500,4.4499,4.6500,29911800
2019-08-06,5.0900,5.1400,4.6400,4.8400,26261700
2019-08-05,5.1300,5.1300,4.7900,4.9500,26873100
2019-08-02,5.7500,5.8000,5.1599,5.2800,28754800
2019-08-01,5.9900,6.0000,5.5104,5.7400,23085200
2019-07-31,5.9600,6.2800,5.9400,6.0800,26687000
2019-07-30,5.3000,6.0500,5.2600,5.9800,33206300
2019-07-29,5.5398,5.5800,5.2800,5.3700,23337300
2019-07-26,5.7000,5.7400,5.5300,5.5900,13024500
2019-07-25,6.0500,6.0900,5.6100,5.6800,18345600
2019-07-24,5.9300,6.1300,5.9200,5.9600,10545600
2019-07-23,5.8500,5.9600,5.8000,5.9400,13983100
2019-07-22,5.8400,6.0400,5.7500,5.8500,14740200
2019-07-19,5.6500,5.8100,5.6300,5.8000,12845800
2019-07-18,5.7996,5.8000,5.5700,5.6300,19202200
