date,open,high,low,close,volume
2019-11-11,4.5100,4.6300,4.2800,4.2900,10906186
2019-11-08,4.4500,4.7263,4.3750,4.6700,8509622
2019-11-07,4.5800,4.7300,4.4300,4.5100,9054200
2019-11-06,4.5000,4.7800,4.4200,4.5400,12119000
2019-11-05,4.7500,5.0100,4.5300,4.5400,14161200
2019-11-04,4.4200,4.8200,4.4000,4.6800,15508500
2019-11-01,4.0600,4.3100,3.9700,4.2500,11061200
2019-10-31,4.1100,4.2000,3.9000,4.0300,9529600
2019-10-30,4.5500,4.6000,4.0000,4.0400,14567300
2019-10-29,4.2100,4.6000,4.1300,4.4800,12399400
2019-10-28,4.2700,4.4600,4.1700,4.1800,12933900
2019-10-25,3.7500,4.2600,3.7500,4.2200,20273600
2019-10-24,3.9500,3.9600,3.4900,3.8100,18459600
2019-10-23,3.7300,4.0000,3.6400,3.8400,11664300
2019-10-22,3.8000,3.8600,3.6100,3.7500,9983100
2019-10-21,3.7700,3.8400,3.5900,3.8100,9161100
2019-10-18,3.7800,3.9000,3.6400,3.6800,8912800
2019-10-17,3.6000,3.8100,3.4900,3.8000,7979900
2019-10-16,3.5200,3.7500,3.5200,3.5900,13558600
2019-10-15,3.4300,3.6800,3.3300,3.5000,8121900
2019-10-14,3.6000,3.6000,3.3200,3.4700,7671200
2019-10-11,3.5000,3.6700,3.5000,3.5900,8692600
2019-10-10,3.3900,3.4900,3.2800,3.4200,7627600
2019-10-09,3.3900,3.4600,3.2600,3.3300,8691300
2019-10-08,3.5700,3.5700,3.3200,3.3400,12926200
2019-10-07,3.6400,3.7400,3.5200,3.6300,8644600
2019-10-04,3.5200,3.7000,3.4200,3.6600,11544700
2019-10-03,3.4200,3.6700,3.3300,3.6200,14534700
2019-10-02,3.5200,3.7200,3.4000,3.4200,14789000
2019-10-01,3.8200,4.0000,3.4600,3.5200,15611600
2019-09-30,3.9200,4.0300,3.7400,3.8200,11748100
2019-09-27,4.0200,4.1400,3.8300,4.0200,13304300
2019-09-26,4.3500,4.4200,4.0000,4.1000,11008000
2019-09-25,4.2900,4.4700,4.2100,4.4400,7165400
2019-09-24,4.6200,4.6500,4.2900,4.4000,12761800
2019-09-23,4.6900,4.7900,4.4200,4.6500,14666800
2019-09-20,4.7000,4.8600,4.5700,4.7400,47868600
2019-09-19,5.0500,5.1700,4.6100,4.6600,17869500
2019-09-18,5.0900,5.2700,4.9600,5.0000,16588600
2019-09-17,5.0500,5.6100,4.8800,5.1800,25060200
2019-09-16,5.2600,5.7600,4.7500,5.1700,28607400
2019-09-13,4.4200,4.7000,4.2600,4.6300,12824600
2019-09-12,4.5400,4.7400,4.3600,4.3800,13359900
2019-09-11,4.5500,5.0800,4.5100,4.7200,17649000
