date,open,high,low,close,volume
2019-11-11,31.1600,31.5000,30.5000,31.0000,5339407
2019-11-08,30.9000,31.7200,30.7400,31.7000,3699957
2019-11-07,30.7400,31.2500,30.3200,30.9500,5430600
2019-11-06,30.3800,30.7800,30.2900,30.6500,2817100
2019-11-05,31.0000,31.1400,30.1500,30.5500,6256900
2019-11-04,30.0000,31.0000,29.9400,30.8900,3022400
2019-11-01,30.1200,30.1500,29.1100,29.9000,2548000
2019-10-31,29.7500,30.0000,29.0300,29.7600,1767300
2019-10-30,29.5000,29.8800,29.1100,29.7900,1302100
2019-10-29,29.7200,29.9000,28.6400,29.3500,3163700
2019-10-28,28.7300,29.3350,28.5200,29.1200,2135600
2019-10-25,28.1100,28.6300,27.5100,28.5000,3683300
2019-10-24,27.2200,28.3400,27.2100,28.0500,2754400
2019-10-23,26.7700,27.6500,26.6500,27.2600,3985000
2019-10-22,27.2300,27.9300,26.6600,26.7000,3681800
2019-10-21,26.9800,27.4300,26.4100,27.2300,4058300
2019-10-18,27.5600,27.7300,26.7200,26.9800,4361800
2019-10-17,28.5200,28.7800,27.7500,27.8300,2370200
2019-10-16,28.1000,28.4500,27.7700,28.0900,1521600
2019-10-15,27.5100,28.6400,27.5100,28.2800,5729800
2019-10-14,28.3000,28.4400,27.2900,27.5000,2232200
2019-10-11,28.5000,28.8400,27.9100,27.9200,3357900
2019-10-10,28.4400,28.5100,27.1300,27.8500,5211400
2019-10-09,28.2700,29.0000,28.2100,28.6200,5254900
2019-10-08,30.1500,30.3000,27.7800,27.8500,10536700
2019-10-07,30.9500,31.3400,29.9300,30.5400,3793300
2019-10-04,31.2200,31.3700,30.6200,31.0000,2600400
2019-10-03,30.0900,31.4600,30.0300,31.1500,3525200
2019-10-02,31.0200,31.1500,29.8600,30.0700,2512500
2019-10-01,31.0200,31.3900,30.9300,31.2900,1468400
2019-09-30,31.2100,31.5550,30.3600,30.9500,3625200
2019-09-27,32.4600,32.6800,29.9250,30.4200,5961000
2019-09-26,32.3000,32.9300,32.2000,32.4700,2036200
2019-09-25,30.9800,32.6300,30.7300,32.4400,4336400
2019-09-24,32.5800,32.7000,31.0100,31.2600,2666600
2019-09-23,32.2700,32.6350,31.7100,32.4400,2298900
2019-09-20,31.9400,32.6000,31.6300,32.2700,1993700
2019-09-19,31.1000,32.3900,31.0210,31.9500,2787500
2019-09-18,30.8800,31.2300,30.3700,31.1000,1188200
2019-09-17,31.1500,31.3900,30.8600,30.8700,1225100
2019-09-16,30.8900,31.4600,30.6900,30.9200,1226800
2019-09-13,31.3300,31.5800,30.6200,31.0300,1468800
2019-09-12,31.4400,33.0800,31.2400,31.3300,3518500
2019-09-11,30.3800,31.5500,29.9600,31.1800,4009300
2019-09-10,29.7200,30.6500,29.3300,30.3400,4283200
2019-09-09,31.5800,31.9500,29.7000,30.0400,6360000
2019-09-06,31.8400,32.5000,31.4900,31.6100,2387700
2019-09-05,32.5000,32.5000,30.9400,31.6000,5892800
2019-09-04,30.6400,32.6400,29.9200,31.9100,6396600
2019-09-03,31.9500,32.0300,30.5200,30.8800,3802900
2019-08-30,32.8800,32.8800,31.6700,32.1200,2280900
2019-08-29,32.9200,32.9700,32.1700,32.4200,1672900
2019-08-28,31.2600,32.6800,30.4400,32.2900,2930900
2019-08-27,31.8000,32.7950,31.5300,31.8900,2143100
2019-08-26,31.0500,32.1700,30.8400,31.7200,4696700
2019-08-23,31.7500,32.0000,30.7300,30.8700,4527300
2019-08-22,32.3900,32.4400,31.2900,32.2200,3978900
2019-08-21,33.3100,33.4800,31.8000,31.8900,5713200
2019-08-20,32.0000,33.9700,31.5000,33.0000,19614600
2019-08-19,36.4500,36.9000,35.7300,36.1000,6501500
2019-08-16,34.9200,35.7500,33.7000,35.4200,4846400
2019-08-15,33.7000,34.7100,33.7000,34.3900,3912900
2019-08-14,34.0200,34.2000,32.6300,33.3800,3119200
2019-08-13,34.3600,34.8400,33.6800,34.6200,1975500
2019-08-12,34.6500,34.8300,33.6050,34.0200,1638800
2019-08-09,35.1400,35.9900,34.5800,34.6900,2169900
2019-08-08,35.9600,36.1700,34.0000,35.5800,3268900
2019-08-07,33.6700,34.9000,33.4510,34.5200,2357400
2019-08-06,35.2500,35.5000,33.5600,33.9400,3174100
2019-08-05,35.1100,36.1800,33.0000,34.0200,6639100
2019-08-02,36.0100,37.9962,35.6100,37.7100,4901700
2019-08-01,35.4400,37.7600,35.1600,35.2900,5028100
2019-07-31,35.9500,36.2590,34.3500,35.1000,2219600
2019-07-30,36.2600,36.5300,35.4100,35.7100,2107100
2019-07-29,37.9900,38.0000,35.6100,36.7300,2375800
2019-07-26,36.5500,37.6900,36.5500,37.3900,3445900
2019-07-25,35.8200,36.9700,35.7000,36.3800,3476100
2019-07-24,35.2900,36.1100,34.7500,35.8200,2624800
2019-07-23,35.4600,35.7500,34.8000,35.0700,1435300
2019-07-22,34.7700,35.8230,34.4000,35.2500,3325700
2019-07-19,34.6500,35.3500,34.4382,34.6500,1828700
2019-07-18,34.1700,34.6600,33.8150,34.4200,2595100
2019-07-17,34.8200,35.0850,34.1300,34.3100,1858600
2019-07-16,35.4200,35.7000,34.7650,35.2100,1555500
2019-07-15,35.2500,35.5100,34.7600,35.1700,1353300
2019-07-12,36.2000,36.2000,35.0100,35.1700,1335600
2019-07-11,36.1400,36.1550,35.6524,36.0000,1069300
2019-07-10,36.2700,37.0000,35.5300,36.0800,3968500
2019-07-09,34.9600,36.3400,34.8300,35.5700,3640000
2019-07-08,35.4800,35.4800,33.9900,35.3600,2876100
2019-07-05,35.5200,35.9600,35.0900,35.7100,1746000
2019-07-03,35.5400,35.7200,34.9300,35.6900,1917100
2019-07-02,34.3200,35.2744,33.6900,35.1400,2697000
2019-07-01,33.9000,34.8500,33.8016,34.2700,3894600
2019-06-28,33.9600,34.0800,32.1500,33.2200,3354600
2019-06-27,34.0300,34.3000,33.3000,33.7700,1909700
2019-06-26,34.0000,34.1500,33.2800,33.8100,5671400
2019-06-25,34.4200,34.8400,33.1200,33.4200,2939900
2019-06-24,34.5000,34.6000,33.9400,34.1900,2972400
2019-06-21,32.3100,34.7500,32.3000,34.4500,7590900
2019-06-20,32.0100,32.3500,31.0800,32.3000,6072600
2019-06-19,31.5800,31.5900,30.5400,31.4900,4677800
2019-06-18,30.4500,31.8900,30.4000,31.2600,4281200
2019-06-17,29.9800,30.3003,29.6200,29.9500,2548300
2019-06-14,30.6100,30.7400,29.7770,29.9600,2859300
2019-06-13,32.4400,32.4400,30.5900,30.7600,2895100
2019-06-12,30.0100,31.4100,29.7800,31.2200,3704900
2019-06-11,31.0000,31.1000,29.4400,30.4900,3522200
2019-06-10,31.0800,31.1000,30.5600,30.8000,2040200
2019-06-07,29.9400,30.9900,29.8700,30.8500,2711700
2019-06-06,29.2500,29.8850,29.0000,29.7400,3227100
2019-06-05,28.9500,29.4700,28.1100,29.2300,2237100
2019-06-04,28.1900,28.7600,27.3800,28.7300,4153000
2019-06-03,28.4400,28.9860,27.5200,27.9700,2960800
2019-05-31,28.0200,28.7900,27.6994,28.4400,2254300
2019-05-30,28.4200,29.0400,27.9494,28.3700,3420000
2019-05-29,29.1000,29.1300,27.9500,28.3300,3241300
2019-05-28,29.9794,30.6200,29.1300,29.1900,3733600
2019-05-24,30.6100,31.4000,29.7200,29.9900,3713400
2019-05-23,31.1000,31.1000,29.9550,30.5900,6177500
2019-05-22,30.8700,32.0000,28.8000,31.5000,23992000
2019-05-21,26.2500,26.7500,25.2600,25.3900,6979500
2019-05-20,26.4119,26.4100,24.5900,25.8000,8024600
2019-05-17,26.9400,26.9400,26.3350,26.6700,5432800
2019-05-16,25.7500,27.2000,25.5998,26.9300,6364400
2019-05-15,24.7567,25.7400,24.6500,25.6000,3443500
2019-05-14,24.9000,25.0000,24.4500,24.9200,6061200
2019-05-13,25.0200,25.1800,23.4000,24.3800,6154100
2019-05-10,24.6100,25.8600,24.5600,25.6900,4227300
2019-05-09,24.3012,24.8250,23.9200,24.7400,1877000
2019-05-08,24.3200,25.1900,24.0000,24.5900,5405000
2019-05-07,24.9800,25.0781,23.9400,24.3000,4911200
2019-05-06,24.2600,25.2900,24.0600,25.1900,2790100
2019-05-03,25.0000,25.5697,24.7300,25.2000,2705100
2019-05-02,25.0000,25.2000,23.0600,24.7000,3958700
2019-05-01,25.1300,25.7900,24.8900,24.9700,3918800
2019-04-30,25.3000,25.4300,24.6690,24.8900,2142100
2019-04-29,25.5600,26.3000,25.2000,25.3600,8093700
2019-04-26,24.5300,25.7900,24.2800,25.5500,5907900
