date,open,high,low,close,volume
2019-11-11,8.7400,8.8900,8.7300,8.7400,1332181
2019-11-08,9.0600,9.0700,8.7900,8.8300,2257071
2019-11-07,8.9900,9.1500,8.9500,9.0600,2032800
2019-11-06,8.8500,9.0200,8.8000,8.9100,5908500
2019-11-05,8.8900,9.0700,8.8200,8.8700,3538900
2019-11-04,8.6600,8.8800,8.6100,8.8700,2335100
2019-11-01,8.5200,8.6500,8.5200,8.5900,1958400
2019-10-31,8.4100,8.5100,8.2300,8.4400,2998700
2019-10-30,8.6700,8.7000,8.4400,8.4800,1672900
2019-10-29,8.5000,8.7100,8.4900,8.7000,2907600
2019-10-28,8.7400,8.8500,8.5400,8.5600,3681400
2019-10-25,8.3500,8.6800,8.3400,8.6600,2736200
2019-10-24,9.1100,9.3500,7.9800,8.3600,9474900
2019-10-23,9.0700,9.1600,9.0100,9.0500,4023500
2019-10-22,9.0100,9.1600,8.9500,9.0500,2243800
2019-10-21,8.8800,9.0900,8.8500,9.0000,1808700
2019-10-18,8.6900,8.8600,8.6800,8.8100,2602800
2019-10-17,8.7000,8.8900,8.6400,8.7400,2198900
2019-10-16,8.7500,8.8000,8.6000,8.6600,1611100
2019-10-15,8.5800,8.8700,8.5200,8.7800,3355300
2019-10-14,8.5100,8.6200,8.4700,8.5900,1901800
2019-10-11,8.4000,8.6800,8.4000,8.5400,3990700
2019-10-10,8.2600,8.3400,8.1600,8.2700,1879300
2019-10-09,8.1800,8.2700,8.1500,8.2000,1533000
2019-10-08,8.1200,8.2400,8.0500,8.1100,3212100
2019-10-07,8.2300,8.3700,8.1800,8.1900,3200000
2019-10-04,8.3000,8.3700,8.1000,8.3200,3869000
2019-10-03,8.2500,8.3500,8.0500,8.2900,6958300
2019-10-02,8.4500,8.5700,8.1700,8.2900,4826400
2019-10-01,8.9100,8.9500,8.4000,8.5200,5205100
2019-09-30,9.0200,9.0600,8.8200,8.8200,3531900
2019-09-27,9.1300,9.2400,8.9800,9.0200,3123500
2019-09-26,9.4600,9.5100,9.0700,9.1100,3294800
2019-09-25,9.2800,9.5100,9.2700,9.4400,4023000
2019-09-24,9.7000,9.7400,9.3000,9.3100,5180300
2019-09-23,9.5500,9.7600,9.5100,9.7000,3414900
2019-09-20,9.6500,9.7600,9.5700,9.6400,7998200
2019-09-19,9.4600,9.6700,9.3800,9.6200,4180500
2019-09-18,9.3600,9.4800,9.2500,9.4700,3140600
2019-09-17,9.4400,9.5100,9.3100,9.3800,3751500
2019-09-16,9.2200,9.5500,9.2000,9.5000,4035300
2019-09-13,9.3500,9.4300,9.2500,9.3200,3257400
2019-09-12,9.1300,9.3000,9.0100,9.2600,2786900
2019-09-11,9.3500,9.3600,9.0100,9.1700,3494500
2019-09-10,9.0900,9.3400,9.0900,9.3000,4037800
2019-09-09,8.9000,9.0700,8.8100,9.0300,6192800
2019-09-06,8.7600,8.8200,8.7000,8.8100,2688100
2019-09-05,8.6400,8.8700,8.6100,8.7300,3467400
2019-09-04,8.5400,8.5800,8.4600,8.5300,2488100
2019-09-03,8.4300,8.4700,8.2300,8.4400,3933500
2019-08-30,8.4900,8.5200,8.3600,8.4400,2632000
2019-08-29,8.3800,8.4900,8.3600,8.4700,1766200
2019-08-28,8.0800,8.4400,8.0700,8.2700,3275500
2019-08-27,8.3500,8.4100,8.1300,8.1400,2315600
2019-08-26,8.4400,8.5600,8.2000,8.3300,2464600
2019-08-23,8.2500,8.3900,8.1600,8.1900,2844000
2019-08-22,8.4400,8.6000,8.2400,8.3000,2884600
2019-08-21,8.3300,8.3800,8.2200,8.2900,3717200
2019-08-20,8.2600,8.2800,8.1300,8.2000,2838500
2019-08-19,8.2400,8.3200,8.1100,8.2800,2596900
2019-08-16,7.8800,8.1600,7.8700,8.1100,3295100
2019-08-15,7.9600,8.0104,7.7600,7.8400,2740500
2019-08-14,8.0400,8.0700,7.8200,7.9000,3145700
2019-08-13,8.1500,8.3400,8.0600,8.2200,4610400
2019-08-12,8.3900,8.4600,8.1600,8.1900,3311100
2019-08-09,8.5300,8.5600,8.4100,8.4700,2036500
2019-08-08,8.4300,8.6450,8.3000,8.5700,3355900
2019-08-07,8.2700,8.4200,8.1250,8.3700,3322800
2019-08-06,8.4800,8.5300,8.2900,8.4100,2590300
2019-08-05,8.7000,8.9093,8.2600,8.4200,3011900
2019-08-02,8.9500,9.0400,8.7500,8.8500,2999100
2019-08-01,9.1100,9.1600,8.8500,8.9700,3842400
2019-07-31,9.2000,9.2500,9.0700,9.1100,2629000
2019-07-30,9.1100,9.2000,9.0800,9.1900,2487200
2019-07-29,9.2800,9.3300,9.1400,9.1800,4324500
2019-07-26,9.1000,9.4000,9.0100,9.2800,5794900
2019-07-25,9.6600,9.8600,9.0202,9.1600,8609200
2019-07-24,9.5500,10.1800,9.5400,10.1300,4487100
2019-07-23,9.3800,9.5900,9.3700,9.5700,3524700
2019-07-22,9.6100,9.7600,9.3000,9.3800,4023300
2019-07-19,9.7000,9.8100,9.6000,9.6100,1774700
2019-07-18,9.4300,9.8000,9.4300,9.7100,3856100
2019-07-17,9.6600,9.6891,9.4500,9.4700,4750400
2019-07-16,9.5800,9.7200,9.5300,9.6900,2363600
2019-07-15,9.6500,9.6500,9.4100,9.5500,3484200
2019-07-12,9.3700,9.6400,9.3700,9.6200,2781100
2019-07-11,9.4500,9.5100,9.3600,9.3800,3336400
2019-07-10,9.4903,9.5500,9.3500,9.4100,4838900
2019-07-09,9.4700,9.5600,9.4400,9.4600,3313800
2019-07-08,9.6500,9.7697,9.5200,9.5300,3063100
2019-07-05,9.7700,9.8600,9.6800,9.7400,969200
2019-07-03,9.7700,9.7800,9.6550,9.7500,1025400
2019-07-02,9.6400,9.7700,9.5810,9.7200,2358700
2019-07-01,9.8300,9.9400,9.5900,9.6600,1444200
2019-06-28,9.5000,9.7900,9.4900,9.7200,3898000
2019-06-27,9.1500,9.4700,9.1400,9.4600,2737300
2019-06-26,9.1600,9.2200,9.1100,9.1400,1971600
2019-06-25,9.0900,9.2650,9.0400,9.1400,3087800
2019-06-24,9.1900,9.3000,9.0900,9.1100,2478100
2019-06-21,9.2800,9.3500,9.1200,9.1900,5636700
2019-06-20,9.4800,9.5000,9.2000,9.2600,5269700
2019-06-19,9.5300,9.6600,9.4300,9.4500,1718700
2019-06-18,9.3700,9.5900,9.3700,9.5300,2211700
2019-06-17,9.4400,9.5800,9.3000,9.3200,1995900
2019-06-14,9.5700,9.5900,9.4250,9.5600,2477000
2019-06-13,9.6100,9.6800,9.4900,9.6000,2927900
2019-06-12,9.7500,9.7670,9.5200,9.5400,2631800
2019-06-11,9.7800,9.9000,9.7050,9.7800,2003800
2019-06-10,9.8700,9.9700,9.6600,9.6900,2088400
2019-06-07,9.9500,9.9900,9.7750,9.8300,1707800
2019-06-06,9.9300,10.0250,9.8900,9.9600,2180900
2019-06-05,9.9700,10.0600,9.9097,9.9800,3141500
2019-06-04,9.6700,9.9800,9.6700,9.9500,2133300
2019-06-03,9.5000,9.6500,9.4300,9.5500,2885300
2019-05-31,9.6900,9.6996,9.4900,9.5100,2852400
2019-05-30,9.8200,10.0050,9.7500,9.8000,2002300
2019-05-29,9.7400,9.8807,9.6400,9.8300,2517900
2019-05-28,9.7200,9.8950,9.6800,9.7800,2637100
2019-05-24,9.7100,9.8400,9.6900,9.7200,2049200
2019-05-23,9.8100,9.8800,9.6300,9.6900,2350100
2019-05-22,9.9900,10.0500,9.8900,9.9200,2824400
2019-05-21,9.9900,10.1000,9.9690,10.0100,2222700
2019-05-20,10.0196,10.1100,9.9000,9.9500,1803400
2019-05-17,9.9400,10.1850,9.9400,10.0700,1747400
2019-05-16,9.9900,10.1200,9.9650,10.0200,2471600
2019-05-15,9.9500,10.0900,9.8900,10.0200,1818400
2019-05-14,9.9600,10.1700,9.8902,10.0800,2444500
2019-05-13,10.1200,10.2000,9.9650,9.9900,2469000
2019-05-10,10.1900,10.3500,10.1100,10.3200,2605300
2019-05-09,10.0400,10.2400,9.9900,10.2300,1794000
2019-05-08,10.1900,10.3000,10.1500,10.1600,1802700
2019-05-07,10.2100,10.3900,10.1900,10.2500,2298900
2019-05-06,10.0600,10.4247,10.0000,10.3600,3583100
2019-05-03,10.1900,10.3000,10.1600,10.2100,5208000
2019-05-02,10.1100,10.2450,10.0300,10.1500,2611300
2019-05-01,10.1600,10.2300,10.0400,10.0900,2220300
2019-04-30,10.2000,10.3200,10.0400,10.1600,3229400
2019-04-29,10.3200,10.4300,10.2100,10.2100,2530100
2019-04-26,9.9700,10.3100,9.9590,10.3000,4238500
2019-04-25,10.0500,10.0800,9.8800,9.9600,2560100
2019-04-24,9.9200,10.1752,9.9200,10.0800,4401700
2019-04-23,9.8200,10.0500,9.8200,9.9300,5852400
2019-04-22,9.8504,9.9600,9.7900,9.8300,3257400
2019-04-18,10.2600,10.3900,9.7900,9.9000,7150900
2019-04-17,10.2800,10.3100,10.0207,10.0700,5581300
2019-04-16,10.3099,10.3300,10.1850,10.2200,3277600
2019-04-15,10.3300,10.3800,10.2350,10.3100,1424900
2019-04-12,10.3300,10.5100,10.2300,10.3000,3782700
2019-04-11,10.3200,10.4100,10.1700,10.2200,3427300
2019-04-10,10.2200,10.3150,10.1800,10.2600,3095900
2019-04-09,10.2800,10.4000,10.1600,10.1900,2457900
2019-04-08,10.2500,10.3800,10.2500,10.3100,1616000
2019-04-05,10.4200,10.5100,10.2812,10.3200,2326200
2019-04-04,10.1800,10.4050,10.0000,10.3800,3270700
2019-04-03,10.1100,10.2800,10.1100,10.1600,2721700
2019-04-02,10.1000,10.1600,9.9700,10.0200,2457700
2019-04-01,9.9800,10.1900,9.8300,10.0900,2374800
2019-03-29,10.0300,10.0400,9.8300,9.9100,3086500
2019-03-28,9.9300,10.0700,9.8950,9.9400,2406900
2019-03-27,9.9300,10.0050,9.8400,9.9300,1868300
2019-03-26,9.9300,10.0500,9.8700,9.9200,2835200
2019-03-25,9.9600,10.0305,9.7700,9.8900,2788000
2019-03-22,10.3300,10.3900,9.9500,9.9700,3417500
2019-03-21,10.3300,10.5500,10.2300,10.4400,3557000
2019-03-20,10.4400,10.5400,10.3200,10.3800,3880000
2019-03-19,10.7407,10.7500,10.4600,10.4800,3751200
2019-03-18,10.5500,10.7600,10.5500,10.6800,2631200
2019-03-15,10.5100,10.5700,10.4650,10.5300,6193300
2019-03-14,10.6200,10.6800,10.4750,10.5200,3091100
2019-03-13,10.6100,10.6900,10.5550,10.6000,5791200
2019-03-12,10.6400,10.7398,10.5300,10.5600,5109700
2019-03-11,10.6000,10.6900,10.5600,10.6200,2321300
2019-03-08,10.4801,10.6200,10.4750,10.5100,2408600
2019-03-07,10.6900,10.7500,10.5200,10.5700,3466100
2019-03-06,10.9200,10.9650,10.7000,10.7000,2390700
2019-03-05,11.1600,11.1700,10.9200,10.9400,2645000
2019-03-04,11.1500,11.3900,11.1500,11.1900,3523800
2019-03-01,11.1100,11.3200,11.1100,11.2000,3148800
2019-02-28,11.1200,11.1500,11.0400,11.0500,2818700
2019-02-27,11.1400,11.1600,11.0600,11.0900,2475200
2019-02-26,11.3900,11.4000,11.1300,11.1500,2448800
2019-02-25,11.4100,11.5300,11.4000,11.4300,2161100
2019-02-22,11.3700,11.4250,11.3200,11.3600,1937900
2019-02-21,11.4198,11.4400,11.2600,11.3600,2006200
2019-02-20,11.4100,11.4500,11.2600,11.3800,2885200
2019-02-19,11.3500,11.5200,11.3200,11.4200,2778300
2019-02-15,11.3800,11.4650,11.2800,11.3500,3196700
2019-02-14,11.2400,11.3550,11.0600,11.3000,4988200
2019-02-13,11.0600,11.3600,11.0600,11.2800,4481800
2019-02-12,10.8900,11.1500,10.8900,11.0800,3584300
2019-02-11,10.7500,10.8600,10.7100,10.8300,2134000
2019-02-08,10.8300,10.9500,10.6800,10.7100,3097300
2019-02-07,10.9000,10.9900,10.7900,10.9000,1996000
2019-02-06,10.7100,10.9600,10.7100,10.9400,3471100
2019-02-05,10.6300,10.8200,10.6300,10.7300,3093600
2019-02-04,10.7400,10.7400,10.4902,10.6300,4711800
2019-02-01,10.6700,10.8200,10.6400,10.7000,3366500
2019-01-31,10.7600,10.8500,10.6300,10.7100,2237400
2019-01-30,10.8000,10.8800,10.6900,10.8600,4052600
2019-01-29,10.8600,11.0100,10.7600,10.7600,2746100
2019-01-28,10.8798,10.9800,10.7750,10.8600,5002300
2019-01-25,11.0100,11.0900,10.8600,11.0200,8667000
2019-01-24,10.1500,10.8300,10.1200,10.7300,22033400
2019-01-23,9.4700,9.5200,9.3289,9.4900,4569000
2019-01-22,9.3100,9.3999,9.1900,9.3800,3486200
