date,open,high,low,close,volume
2019-11-11,36.9300,37.3000,36.8800,37.1550,393855
2019-11-08,36.7800,37.4600,36.4804,37.3100,1286702
2019-11-07,36.7300,37.3600,36.5800,36.8500,1386600
2019-11-06,36.0700,36.4600,35.7000,36.3300,1498900
2019-11-05,35.8900,36.5700,35.8900,36.2300,1460400
2019-11-04,35.1400,35.8200,35.0700,35.7100,1372400
2019-11-01,34.2800,34.8500,34.0700,34.7500,1790500
2019-10-31,34.1000,34.1000,33.2500,33.8700,949100
2019-10-30,34.7400,34.7400,34.1500,34.3600,788600
2019-10-29,34.4200,35.1400,34.3000,34.8900,1159300
2019-10-28,34.5000,34.7200,34.3000,34.6300,1328800
2019-10-25,33.9200,34.3900,33.9200,34.1800,1794200
2019-10-24,34.4800,34.5600,33.7500,34.0100,1235900
2019-10-23,33.5400,34.8600,33.5200,34.5100,1812800
2019-10-22,35.8900,35.8900,33.7300,34.1000,2861600
2019-10-21,35.7700,36.4300,35.6200,36.2500,1277000
2019-10-18,35.0100,35.4100,34.8900,35.2800,908200
2019-10-17,35.1200,35.2300,34.7000,35.0900,1133800
2019-10-16,35.1800,35.5000,34.6100,34.9000,835500
2019-10-15,34.8100,35.4400,34.6100,35.1100,664600
2019-10-14,34.4200,34.9300,34.2500,34.6800,669200
2019-10-11,34.5900,35.1500,34.4000,34.7000,1225900
2019-10-10,33.4300,34.0000,33.2800,33.7200,1173300
2019-10-09,33.3400,33.3400,32.8100,33.2000,1202100
2019-10-08,33.4600,33.5600,32.9200,33.0100,1117600
2019-10-07,34.2300,34.5400,33.9600,34.0200,1096500
2019-10-04,33.9100,34.5100,33.6400,34.4900,937100
2019-10-03,33.6900,34.0300,33.1700,33.9100,1169800
2019-10-02,34.0800,34.3700,33.7300,33.9200,1264600
2019-10-01,36.0500,36.3900,34.3700,34.5100,1231800
2019-09-30,35.7800,36.0400,35.4800,35.7600,869000
2019-09-27,35.9300,36.5000,35.4300,35.6500,895300
2019-09-26,35.7300,35.9400,35.3700,35.4600,885000
2019-09-25,35.1100,36.0500,35.0400,35.8900,1254600
2019-09-24,36.3000,36.3600,34.8700,35.0900,1724200
2019-09-23,35.8100,36.5200,35.8100,36.3200,1117900
2019-09-20,36.2300,36.6400,35.9700,36.1100,3454100
2019-09-19,37.1700,37.3600,36.1000,36.1800,1558100
2019-09-18,36.4100,37.3800,36.2100,37.2800,1682900
2019-09-17,37.4300,37.4400,36.6100,36.8200,1763200
2019-09-16,37.6100,38.1300,37.4300,37.7800,930500
