date,open,high,low,close,volume
2019-11-11,61.9900,62.5000,61.3000,61.5600,219587
2019-11-08,62.1900,62.4500,61.6100,62.3900,912594
2019-11-07,62.8200,63.0200,61.9200,62.3900,2547500
2019-11-06,61.2200,62.7900,61.2200,62.1700,1479000
2019-11-05,60.3000,61.6900,59.6000,61.2800,1046700
2019-11-04,58.8400,60.4100,57.6300,60.3000,1085700
2019-11-01,57.9700,58.9500,57.3600,58.6400,993000
2019-10-31,55.4700,59.7400,54.5900,57.6000,2043000
2019-10-30,53.3800,54.2600,53.1800,53.4900,1586500
2019-10-29,53.8400,54.1000,52.9100,53.4400,770900
2019-10-28,53.9100,54.7400,53.9100,54.1700,909000
2019-10-25,53.1400,53.8100,52.9300,53.7600,577800
2019-10-24,53.7400,53.7800,52.9200,53.0900,765700
2019-10-23,53.7200,53.9500,53.4300,53.6500,640600
2019-10-22,54.0800,54.4200,53.6400,53.7700,1083100
2019-10-21,54.2700,54.5900,53.7300,53.9600,391300
2019-10-18,53.2700,54.3700,53.0000,54.1400,666900
2019-10-17,52.2600,53.4500,52.1200,53.2500,677800
2019-10-16,51.0500,52.4500,50.7400,51.9400,438800
2019-10-15,50.9000,51.6500,50.4200,50.9800,459400
2019-10-14,50.7700,51.0000,50.0900,50.7900,370700
2019-10-11,50.2000,51.5000,50.1000,50.9900,493400
2019-10-10,48.9600,49.6100,48.6200,49.5000,539100
2019-10-09,48.6600,49.2900,48.5800,49.1900,621000
2019-10-08,48.5300,48.8900,47.7100,48.4700,752400
2019-10-07,49.5300,49.7700,48.9200,49.0100,475500
2019-10-04,49.4200,49.8100,48.5500,49.7900,422200
2019-10-03,49.5800,50.2100,49.0000,49.3700,652300
2019-10-02,48.8100,50.0200,47.0700,49.7300,1996000
2019-10-01,51.1700,51.4900,49.4700,49.5600,727700
2019-09-30,49.3400,51.2200,49.2200,50.9300,707700
2019-09-27,48.7600,49.5700,48.6900,49.1200,1133000
2019-09-26,48.4900,48.8200,47.5300,48.5300,583100
2019-09-25,48.8000,49.4200,48.4800,48.6700,620900
2019-09-24,49.9300,50.4800,48.3900,48.9900,648600
2019-09-23,49.9800,50.3900,49.6400,50.0700,555400
2019-09-20,49.8500,50.7300,49.7200,50.3300,1208600
2019-09-19,50.6500,51.2400,49.7500,49.8700,664600
2019-09-18,50.5800,50.9400,50.0700,50.6200,697500
2019-09-17,51.8100,52.0800,50.1200,50.6200,668400
2019-09-16,50.9300,52.3400,50.5400,52.1400,818100
2019-09-13,52.9500,53.1000,50.7100,50.9900,1099200
2019-09-12,51.0900,53.0300,50.7200,52.5100,1627100
2019-09-11,49.0600,51.2600,48.2600,51.1200,1386900
2019-09-10,47.2000,48.7900,46.7100,48.7700,877700
2019-09-09,46.0800,47.6700,45.9500,47.3400,1080000
2019-09-06,46.4500,47.0600,45.6800,45.9800,869500
2019-09-05,47.2100,47.2100,46.2700,46.3900,694500
2019-09-04,45.1700,46.7200,45.0700,46.6800,571200
2019-09-03,44.5200,45.0700,44.3600,44.5100,789800
2019-08-30,45.3800,45.7500,44.4400,44.8900,761700
2019-08-29,45.6200,46.0800,44.6700,44.9500,917300
2019-08-28,43.9500,45.2000,43.4800,45.1600,959300
2019-08-27,43.7900,44.1800,42.7800,44.0700,1841600
2019-08-26,43.1900,43.9300,42.8400,43.5400,902300
2019-08-23,44.3300,45.0000,42.7800,42.8400,1519500
2019-08-22,44.9900,45.2700,44.4700,44.5300,449300
2019-08-21,45.0000,45.7500,44.5400,44.8200,468000
2019-08-20,45.8000,45.8900,44.6100,44.6300,760800
2019-08-19,45.5500,46.2100,45.2800,45.8400,1101700
2019-08-16,43.9300,45.3700,43.6100,44.9900,784500
2019-08-15,43.5200,43.8700,43.2000,43.7100,935400
2019-08-14,42.8800,43.8510,42.7000,43.3400,1235100
2019-08-13,43.4100,45.4900,43.1040,43.7000,1461500
2019-08-12,44.6400,44.6400,42.5400,43.3600,1292300
2019-08-09,45.1300,45.3550,43.8800,44.7700,781400
2019-08-08,44.3300,45.4400,43.9900,45.3600,982800
2019-08-07,42.8200,44.1700,42.6200,44.0300,625100
2019-08-06,43.9500,44.2900,42.5000,43.5400,1289200
2019-08-05,44.6200,45.0000,42.8000,43.8600,1721000
2019-08-02,44.7500,46.1100,44.2600,45.4300,2124300
2019-08-01,40.1881,47.8200,40.0600,44.5100,4283100
2019-07-31,46.6700,47.2900,45.4600,45.9600,1448600
2019-07-30,45.4300,47.0500,45.3300,46.6600,959000
2019-07-29,46.8100,46.9500,45.4500,45.7000,964900
2019-07-26,46.0900,47.0000,45.7500,46.9300,539700
2019-07-25,47.1779,47.3900,45.8100,45.9400,709000
2019-07-24,46.4600,47.4200,46.2800,47.2400,470700
