date,open,high,low,close,volume
2019-11-11,2.2000,2.2200,2.1000,2.1150,8664565
2019-11-08,2.2800,2.3200,2.2200,2.2800,18466631
2019-11-07,2.3000,2.3700,2.2500,2.3000,18795300
2019-11-06,2.2800,2.3700,2.2400,2.2500,19718500
2019-11-05,2.3300,2.4500,2.2500,2.2900,19559800
2019-11-04,2.1800,2.3500,2.1800,2.3000,22213600
2019-11-01,2.0600,2.1500,2.0500,2.1100,18875700
2019-10-31,2.1200,2.1300,1.9900,2.0500,20237100
2019-10-30,2.2600,2.3000,2.0900,2.1000,19493100
2019-10-29,2.1100,2.3000,2.0900,2.2300,24669600
2019-10-28,2.1600,2.2500,2.1100,2.1500,21415200
2019-10-25,2.0100,2.1300,1.9400,2.1200,21175700
2019-10-24,2.1300,2.1300,1.9700,1.9900,16559200
2019-10-23,2.0300,2.1500,1.9700,2.0900,12104100
2019-10-22,2.0500,2.1100,1.9700,2.0300,11300600
2019-10-21,2.0100,2.0500,1.9200,2.0200,18924300
2019-10-18,2.1400,2.1700,2.0000,2.0100,20282600
2019-10-17,2.0400,2.1800,1.9900,2.1500,21043500
2019-10-16,2.0700,2.1500,2.0100,2.0200,16466500
2019-10-15,2.0000,2.1300,1.9700,2.0300,17632200
2019-10-14,1.9300,2.0200,1.8900,1.9800,17475000
2019-10-11,1.9200,2.0000,1.8600,1.9500,24488500
2019-10-10,1.8100,1.8800,1.7500,1.8500,15354900
2019-10-09,1.8300,1.8600,1.7600,1.7700,14491400
2019-10-08,1.8300,1.8800,1.7900,1.7900,16384300
2019-10-07,1.8500,1.9000,1.7900,1.8600,18308300
2019-10-04,1.8300,1.9100,1.7100,1.8800,20231600
2019-10-03,1.9000,1.9200,1.7600,1.8200,20794500
2019-10-02,1.8600,2.0100,1.8500,1.8900,24510200
2019-10-01,1.9500,2.0200,1.8700,1.8900,23750800
2019-09-30,2.0000,2.0100,1.8700,1.9300,20723600
2019-09-27,1.9600,2.0700,1.9500,2.0400,15751000
2019-09-26,2.0400,2.0600,1.9300,2.0100,25152200
2019-09-25,2.0200,2.0900,2.0000,2.0500,13834100
2019-09-24,2.0800,2.1000,2.0200,2.0600,15965000
2019-09-23,2.0600,2.1100,2.0100,2.0600,13715600
2019-09-20,2.0700,2.1000,2.0100,2.0900,26766900
2019-09-19,2.1600,2.3400,2.0000,2.0300,30959200
2019-09-18,2.1900,2.2300,2.0700,2.1300,17508300
2019-09-17,2.2500,2.3600,2.1000,2.2100,26780400
2019-09-16,2.4600,2.5000,2.2600,2.2800,47156700
2019-09-13,2.1600,2.2700,2.1100,2.2300,15793100
2019-09-12,2.2500,2.2600,2.0800,2.1400,23736300
2019-09-11,2.2400,2.4300,2.2100,2.3200,24465400
2019-09-10,2.3300,2.5800,2.1900,2.2100,43345300
2019-09-09,1.9900,2.2600,1.9800,2.2500,32606600
2019-09-06,1.9300,2.0000,1.8300,1.9300,23440500
2019-09-05,1.8600,2.0200,1.8100,1.9500,31712200
2019-09-04,1.6800,1.7900,1.6400,1.7700,22706700
2019-09-03,1.5700,1.6800,1.5600,1.6400,17602300
2019-08-30,1.7200,1.7400,1.5600,1.5800,19966100
2019-08-29,1.7000,1.7900,1.6800,1.7400,17974000
2019-08-28,1.6700,1.7400,1.6500,1.6800,17941800
2019-08-27,1.7200,1.7500,1.6400,1.6400,14387100
2019-08-26,1.7400,1.7700,1.6700,1.7100,18731400
2019-08-23,1.8000,1.8300,1.6800,1.6900,16442100
2019-08-22,1.8400,1.9000,1.8000,1.8300,14546800
2019-08-21,1.8900,1.9400,1.8100,1.8400,13983000
2019-08-20,1.9500,1.9500,1.8100,1.8500,12786300
2019-08-19,1.8300,1.9900,1.7900,1.9500,16882600
2019-08-16,1.7200,1.8000,1.6800,1.8000,16538600
