date,open,high,low,close,volume
2019-11-11,30.5000,31.1200,30.3000,31.0500,603380
2019-11-08,30.0600,30.5900,29.4400,30.2900,1580611
2019-11-07,28.3200,28.7400,28.2100,28.6000,1016700
2019-11-06,28.7500,28.9100,27.9000,27.9500,1017600
2019-11-05,29.7600,30.1000,28.6500,28.8400,949500
2019-11-04,29.1700,29.8200,28.7600,29.7600,1354400
2019-11-01,27.7600,28.6100,27.7600,28.6100,1734500
2019-10-31,25.4500,27.8200,25.0100,27.5500,2471100
2019-10-30,28.8100,29.0200,28.5200,28.8700,1042300
2019-10-29,28.8800,29.3800,28.4200,28.8200,1187900
2019-10-28,29.3600,29.8000,29.1100,29.2200,896200
2019-10-25,28.3900,29.3100,28.3900,29.0300,846800
2019-10-24,28.6600,28.7500,28.0100,28.3200,498400
2019-10-23,27.9500,28.5900,27.1100,28.3900,714800
2019-10-22,27.4300,28.2900,27.0300,28.0000,824300
2019-10-21,27.0400,27.3600,26.7600,27.2700,1473300
2019-10-18,26.1000,27.1100,25.9300,26.9500,1093200
2019-10-17,25.3900,26.3900,25.2500,26.3000,857500
2019-10-16,25.7700,26.3200,25.0900,25.1700,860600
2019-10-15,23.8000,25.8100,23.7200,25.7200,1090300
2019-10-14,24.6500,25.3600,24.5000,25.1300,636000
2019-10-11,23.3500,25.4000,23.3500,24.9300,1774800
2019-10-10,23.4300,24.0600,23.4100,23.8100,1860000
2019-10-09,23.6400,23.6400,23.2000,23.3700,753300
2019-10-08,23.5300,23.7000,23.2700,23.2800,974600
2019-10-07,24.4600,24.4700,23.9600,23.9900,742100
2019-10-04,24.1200,24.5400,23.8300,24.4700,858000
2019-10-03,23.7000,24.0100,22.8400,24.0000,1257300
2019-10-02,24.3100,24.3100,23.6400,23.9900,1130800
2019-10-01,26.2400,26.5500,24.5200,24.6600,684900
2019-09-30,25.5600,26.1500,25.4400,25.9700,1234600
2019-09-27,25.8300,26.1700,25.4600,25.4800,564700
2019-09-26,26.0100,26.0800,25.6800,25.6900,629000
2019-09-25,25.8400,26.1900,25.5000,26.0400,974200
2019-09-24,27.2800,27.4000,26.0500,26.2500,995700
2019-09-23,26.9700,27.5300,26.8200,27.2500,357600
2019-09-20,27.6500,28.1800,27.3400,27.3900,786000
2019-09-19,27.7500,28.2400,27.5900,27.7100,576700
2019-09-18,27.6400,27.9200,27.3000,27.6500,935700
2019-09-17,27.4000,27.8400,26.9500,27.8300,768200
2019-09-16,27.4700,28.0200,27.2800,27.9000,643200
2019-09-13,27.4300,27.7400,27.1600,27.6500,909500
2019-09-12,28.0200,28.0900,26.9000,26.9200,1140800
2019-09-11,27.4300,28.0900,26.8100,27.9900,975700
2019-09-10,26.2900,27.4500,26.2100,27.2800,836900
2019-09-09,25.3100,26.2400,25.3100,26.2200,656700
2019-09-06,25.3200,25.5800,25.0100,25.2000,505400
2019-09-05,24.4700,25.4300,24.4700,25.1700,826200
2019-09-04,24.2100,24.4100,23.9600,24.1000,330000
2019-09-03,24.5600,24.5600,23.6500,23.7600,848500
2019-08-30,24.9400,25.0400,24.6800,24.8300,465600
2019-08-29,23.9100,24.7200,23.8300,24.6200,535300
2019-08-28,23.1500,23.8500,22.9100,23.5100,520000
2019-08-27,23.8800,23.8800,23.0300,23.3000,840600
2019-08-26,23.8800,23.9900,23.5500,23.6500,616900
2019-08-23,24.6200,24.8900,23.3900,23.4800,748100
2019-08-22,25.2300,25.6200,25.0000,25.0200,1224800
2019-08-21,24.7600,25.2500,24.6900,25.0800,690000
2019-08-20,24.7900,24.9100,24.1800,24.2300,2416700
2019-08-19,25.0000,25.0500,24.6700,24.8000,733700
2019-08-16,23.4900,24.5192,23.1300,24.4600,1757600
2019-08-15,24.1400,24.3200,23.1300,23.3400,1431200
2019-08-14,24.9900,25.2021,23.9000,24.1500,1839400
2019-08-13,25.0318,26.0900,25.0300,25.5700,636000
2019-08-12,25.3900,25.5700,24.8900,25.1400,714700
2019-08-09,26.4700,26.7300,25.3979,25.6200,1156300
2019-08-08,26.6700,27.0800,26.6300,26.7800,945600
2019-08-07,26.4700,26.6800,25.8500,26.5500,1068800
2019-08-06,27.2600,27.5700,26.5500,26.9500,902400
2019-08-05,27.5700,27.7200,26.7700,27.0100,1602000
2019-08-02,28.4400,28.5700,27.8800,28.3900,1140300
2019-08-01,30.4700,30.6600,28.6000,28.6900,1783100
2019-07-31,32.3889,32.8400,30.1600,30.4500,1564100
2019-07-30,29.5000,32.8300,29.3400,32.3200,3065800
2019-07-29,33.0400,33.4905,32.7900,33.1400,1618100
2019-07-26,32.3900,33.0900,32.0900,33.0200,832800
2019-07-25,32.6400,32.6400,32.0800,32.3400,645100
2019-07-24,31.5200,32.8500,31.4986,32.8300,703400
2019-07-23,30.9000,31.9700,30.8300,31.9000,1014900
2019-07-22,30.8200,30.9700,30.5700,30.6800,724900
2019-07-19,29.8700,30.8100,29.8700,30.7000,1073000
2019-07-18,29.2300,30.0200,29.0500,29.8100,965100
2019-07-17,30.4700,30.5800,29.5400,29.5600,1014800
2019-07-16,30.4500,30.9389,30.1700,30.7000,777000
2019-07-15,30.7200,30.7400,30.2600,30.5600,918100
2019-07-12,29.2300,30.7000,29.1600,30.6400,812900
2019-07-11,29.3500,29.4900,29.0000,29.3100,595200
2019-07-10,29.6400,29.8000,29.1300,29.2400,557200
2019-07-09,28.9684,29.4600,28.7900,29.4600,1682600
2019-07-08,29.0500,29.4300,28.8600,29.1700,611300
2019-07-05,29.3200,29.3600,28.7800,29.0600,907200
2019-07-03,29.7485,29.8170,29.1900,29.5100,807700
2019-07-02,30.5500,30.5500,29.3800,29.6800,1262000
2019-07-01,32.0900,32.1300,30.0100,30.7200,1722000
2019-06-28,31.1500,31.7000,30.9900,31.4000,7869700
2019-06-27,30.8000,31.1800,30.8000,31.0600,1106800
2019-06-26,31.0000,31.1100,30.5100,30.7500,1187200
2019-06-25,30.7800,31.0800,30.5100,30.9800,1068200
2019-06-24,30.6800,31.0100,30.5700,30.6500,676200
2019-06-21,30.4400,30.7877,30.1560,30.5900,915900
2019-06-20,30.4200,30.5500,29.9000,30.4400,1051500
2019-06-19,29.2300,29.7300,29.1400,29.6600,970200
2019-06-18,28.8300,29.6550,28.7900,29.2300,903100
2019-06-17,28.3200,28.8900,28.3200,28.6200,599800
2019-06-14,29.0100,29.0950,28.0731,28.3300,616900
2019-06-13,28.3600,29.0500,28.2600,29.0500,733300
2019-06-12,27.8900,28.1200,27.5700,28.0800,770600
2019-06-11,27.9813,28.2500,27.6650,27.8400,1219400
2019-06-10,28.0600,28.4800,27.5700,27.5900,3382500
2019-06-07,27.8800,28.4900,27.8700,28.2700,778000
2019-06-06,28.2300,28.4700,27.4600,27.8000,774900
2019-06-05,28.0700,28.5300,27.7100,28.2200,1007800
2019-06-04,27.2000,28.0400,27.0900,27.9700,1245800
2019-06-03,26.6100,27.1800,26.5916,26.8000,1334100
2019-05-31,26.9400,27.3400,26.7200,26.7700,945500
2019-05-30,27.9100,28.2300,27.5700,27.7100,501800
2019-05-29,27.5000,27.8900,27.3700,27.8200,636900
2019-05-28,28.1500,28.2400,27.7500,27.7600,501400
2019-05-24,28.3100,28.4200,27.9900,28.1300,409200
2019-05-23,28.2700,28.4900,27.8600,28.0000,554600
2019-05-22,28.7000,28.9700,28.4600,28.6900,712300
2019-05-21,28.3700,28.7919,28.2900,28.7100,556400
2019-05-20,28.1100,28.5500,27.9600,28.1700,1436000
2019-05-17,29.2100,29.3000,28.4200,28.4500,688300
2019-05-16,29.9500,30.0700,29.5450,29.6500,486700
2019-05-15,29.2600,29.7400,29.2200,29.7200,728000
2019-05-14,29.4900,29.8800,29.3300,29.6400,1493500
2019-05-13,29.7000,29.7420,28.5100,29.1000,1153500
2019-05-10,30.9800,30.9800,29.3900,30.5000,1077500
2019-05-09,31.2300,31.3900,30.4900,31.0600,914400
2019-05-08,32.2100,32.2695,31.5600,31.6400,902200
2019-05-07,32.1900,32.3700,31.8600,32.2900,1010400
2019-05-06,31.5900,32.7200,31.1090,32.6800,1227500
2019-05-03,32.0000,32.6000,31.8502,32.5700,1234000
2019-05-02,32.0400,32.2400,31.4050,31.7900,1506500
2019-05-01,32.9864,33.0600,30.9600,32.1300,3582500
2019-04-30,33.2200,33.4200,32.6500,33.3300,1142400
2019-04-29,32.9771,33.3000,32.8500,33.1900,810900
2019-04-26,32.2100,32.9000,32.0450,32.8500,443400
2019-04-25,33.4300,33.4300,32.3200,32.3300,1341100
2019-04-24,33.6000,33.9400,33.2500,33.7700,787700
2019-04-23,33.4000,33.9700,33.3100,33.7100,1123900
2019-04-22,33.7200,34.1700,33.6900,34.0200,1316100
2019-04-18,34.1600,34.6700,33.7700,33.8300,741800
2019-04-17,33.8100,33.9300,33.4400,33.8800,1029700
2019-04-16,32.8100,33.6800,32.8000,33.6000,735500
2019-04-15,33.3200,33.5629,32.7500,32.8100,1613900
2019-04-12,33.4600,33.9600,33.1700,33.3300,589200
2019-04-11,32.7000,33.2900,32.6850,33.1300,557000
2019-04-10,32.5600,32.8398,32.4550,32.8100,1072900
