date,open,high,low,close,volume
2013-12-03,2.4400,2.4500,2.4400,2.4400,3510828
2013-12-02,2.4450,2.4500,2.4400,2.4400,2745380
2013-11-29,2.4500,2.4500,2.4400,2.4500,1300960
2013-11-27,2.4400,2.4500,2.4400,2.4400,1801456
2013-11-26,2.4400,2.4500,2.4400,2.4400,2018553
2013-11-25,2.4450,2.4500,2.4400,2.4400,4489598
2013-11-22,2.4500,2.4500,2.4400,2.4400,3068667
2013-11-21,2.4500,2.4500,2.4400,2.4500,4222163
2013-11-20,2.4400,2.4500,2.4400,2.4400,4442439
2013-11-19,2.4400,2.4500,2.4400,2.4400,1958721
2013-11-18,2.4400,2.4500,2.4400,2.4500,4230936
2013-11-15,2.4400,2.4500,2.4400,2.4450,4664000
2013-11-14,2.4400,2.4500,2.4300,2.4400,7360022
2013-11-13,2.4350,2.4400,2.4300,2.4350,8593610
2013-11-12,2.4400,2.4500,2.4300,2.4350,9992713
2013-11-11,2.4400,2.4450,2.4300,2.4400,10561227
2013-11-08,2.4400,2.4500,2.4400,2.4400,2746188
2013-11-07,2.4400,2.4500,2.4400,2.4500,3272179
2013-11-06,2.4400,2.4500,2.4400,2.4400,9338404
2013-11-05,2.4400,2.4500,2.4400,2.4400,2983098
2013-11-04,2.4400,2.4500,2.4400,2.4400,4297187
2013-11-01,2.4400,2.4500,2.4400,2.4500,3574333
2013-10-31,2.4400,2.4600,2.4350,2.4400,18490243
2013-10-30,2.4500,2.4500,2.4300,2.4300,4780522
2013-10-29,2.4500,2.4700,2.4300,2.4500,13335615
2013-10-28,2.4300,2.4700,2.4300,2.4600,13396176
2013-10-25,2.4500,2.4500,2.4300,2.4300,6149658
2013-10-24,2.4400,2.4575,2.4300,2.4400,13058396
2013-10-23,2.4400,2.4500,2.4300,2.4300,23142788
2013-10-22,2.4500,2.4600,2.4400,2.4400,27823281
2013-10-21,2.4700,2.4800,2.4300,2.4600,62815663
2013-10-18,2.3800,2.3900,2.3250,2.3500,2429710
