date,open,high,low,close,volume
2019-11-11,62.8500,62.8500,62.3400,62.3400,20881
2019-11-08,62.5300,62.7900,62.3500,62.3800,8500
2019-11-07,62.8600,62.8600,62.0800,62.5900,11700
2019-11-06,63.4500,63.6300,63.2200,63.5600,4200
2019-11-05,62.9200,63.2300,62.9200,63.2100,3700
2019-11-04,63.9800,64.0200,63.8400,63.9000,32000
2019-11-01,64.6100,64.8400,64.3600,64.5300,21400
2019-10-31,64.3400,64.8700,64.3400,64.7900,44000
2019-10-30,63.6900,64.0400,63.6300,63.9900,3900
2019-10-29,63.4500,63.4600,63.3400,63.4300,3600
2019-10-28,63.3400,63.3800,63.1900,63.3600,7000
2019-10-25,64.1500,64.1500,63.6600,63.7400,14300
2019-10-24,64.2100,64.3300,64.0300,64.0300,6600
2019-10-23,64.3200,64.3600,64.0700,64.0700,2900
2019-10-22,63.9700,64.0400,63.7700,64.0400,14700
2019-10-21,63.8800,64.0100,63.7000,63.7400,19500
2019-10-18,64.2100,64.4100,64.1400,64.2100,28000
2019-10-17,64.0500,64.3700,64.0500,64.1200,3400
2019-10-16,64.1400,64.2900,64.0500,64.2300,9200
2019-10-15,64.4700,64.4700,63.9200,63.9200,3000
2019-10-14,64.6100,64.6600,64.5000,64.6100,19100
2019-10-11,64.4800,64.5000,63.7200,64.2200,128500
2019-10-10,65.5900,68.2400,64.9900,65.0700,49000
2019-10-09,66.0600,66.1100,65.8100,65.9300,9600
2019-10-08,66.4900,66.4900,66.0800,66.3200,13600
2019-10-07,66.1900,66.2200,66.0100,66.0400,5500
2019-10-04,66.2000,66.4700,66.1800,66.4500,80900
2019-10-03,65.7100,66.5000,65.7100,66.2500,20900
2019-10-02,65.2500,65.7300,65.2500,65.5500,34800
2019-10-01,64.2400,65.3300,64.1800,65.1000,98000
2019-09-30,64.4300,64.7800,64.4100,64.7500,27900
2019-09-27,64.4700,64.7900,64.4700,64.6500,22700
2019-09-26,64.5200,64.6100,64.4200,64.4700,2600
2019-09-25,64.9400,65.0000,64.1500,64.1900,24200
