date,open,high,low,close,volume
2019-11-11,53.5100,53.6700,52.0600,53.4100,925331
2019-11-08,53.8100,55.5000,53.8100,54.6700,1989827
2019-11-07,53.1400,55.4300,52.4000,54.6500,2573200
2019-11-06,52.0100,52.1500,51.0500,51.6200,970400
2019-11-05,52.5600,53.1700,51.6100,52.3300,1134300
2019-11-04,52.7000,53.2900,51.6000,52.5400,2303800
2019-11-01,49.7900,50.8600,49.5700,50.7900,1126800
2019-10-31,49.0900,49.4700,48.7500,49.1900,837700
2019-10-30,49.3500,49.3500,48.0300,49.1600,651800
2019-10-29,49.5300,49.9100,48.6400,49.3600,1365800
2019-10-28,49.6100,50.9300,49.3100,50.0100,1096900
2019-10-25,48.2200,50.0600,48.2200,49.2100,1228700
2019-10-24,48.1300,48.7800,47.7500,48.3400,1784100
2019-10-23,48.2800,48.8800,47.1400,47.9700,1425400
2019-10-22,48.6200,49.2100,48.1800,48.6800,1073800
2019-10-21,48.2500,49.2000,48.0100,49.1100,1275300
2019-10-18,50.5400,51.0100,47.5000,47.5500,2761600
2019-10-17,51.1600,51.4900,50.0400,50.2500,1393000
2019-10-16,49.3500,52.5700,49.0400,50.9900,2937000
2019-10-15,48.9500,49.4100,48.5700,49.3200,970200
2019-10-14,48.1500,49.2000,48.1500,48.5700,836800
2019-10-11,48.5300,49.4900,48.1500,48.5200,1492500
2019-10-10,47.0800,48.2600,46.7300,47.7200,1245400
2019-10-09,46.7300,47.2000,46.3000,46.7900,1042600
2019-10-08,47.2500,48.0000,46.2700,46.2700,2353600
2019-10-07,47.5100,48.8500,47.2400,48.2000,1822700
2019-10-04,47.7300,48.0200,46.5000,47.5700,2132300
2019-10-03,44.2300,46.6700,43.7600,46.2000,1666300
2019-10-02,44.5200,44.5600,43.0900,43.9200,1185200
2019-10-01,44.8500,45.2200,43.4300,44.5600,977300
2019-09-30,45.5100,45.6900,44.7000,44.7500,1321300
2019-09-27,46.2100,46.4100,43.6300,44.5500,2695500
2019-09-26,46.8900,47.2000,45.5500,45.9800,1090700
2019-09-25,45.5800,46.9200,45.2100,46.7400,1309500
2019-09-24,47.7500,47.7500,45.0900,45.6100,1469600
2019-09-23,47.5300,47.9600,46.6000,47.5700,1273800
2019-09-20,49.5400,49.7800,47.7600,47.8300,1943800
2019-09-19,49.4000,51.5000,49.3500,49.4100,2358000
2019-09-18,49.5700,50.0000,48.1700,49.0100,1456700
2019-09-17,48.9900,49.8500,48.6400,49.7700,1188200
2019-09-16,49.8200,50.2600,49.3600,49.7900,1257300
2019-09-13,49.3800,50.6700,48.8600,50.1700,1533900
2019-09-12,49.8600,50.1000,48.4500,48.9700,1846200
2019-09-11,50.2000,50.4600,48.8500,49.8100,2091000
2019-09-10,48.9200,50.3800,48.6400,50.2100,2689500
2019-09-09,47.4600,50.4000,47.3200,49.6100,4795900
2019-09-06,46.1900,47.2100,46.0800,46.9000,1582700
2019-09-05,46.2300,46.7000,45.4900,46.2500,2401700
2019-09-04,43.7500,45.3300,43.6500,45.0000,4153600
2019-09-03,41.4000,44.1700,41.3200,43.4300,4692900
2019-08-30,42.0100,42.4800,40.9800,41.3700,1252500
2019-08-29,41.4500,42.7900,41.3200,41.6100,1816500
2019-08-28,40.2500,41.3900,39.6900,40.7600,1240800
2019-08-27,40.3600,41.1900,39.8000,40.3500,1450000
2019-08-26,40.2900,40.7800,40.0000,40.3100,1448500
2019-08-23,39.6200,41.0400,39.3300,39.6200,2095800
2019-08-22,41.2600,41.7800,40.1300,40.1900,1602500
2019-08-21,42.5000,42.7900,41.0200,41.4300,2079300
2019-08-20,42.0000,42.4900,40.9700,42.1900,3033300
2019-08-19,39.6600,42.9000,38.6500,42.3100,9914400
2019-08-16,35.7900,37.4800,35.6400,37.0800,3174000
2019-08-15,35.6800,35.8400,34.9800,35.3600,1419900
2019-08-14,35.7400,35.7400,34.4100,35.0100,2086600
2019-08-13,35.5672,37.6100,35.2200,36.4700,1679300
2019-08-12,35.0600,35.7809,34.6600,35.5300,1886200
2019-08-09,36.3000,36.4500,35.4100,35.5300,1016300
2019-08-08,36.5012,36.8050,36.1400,36.7500,1419900
2019-08-07,35.8000,36.7700,35.1300,36.0900,1633800
2019-08-06,35.7800,36.6600,35.4207,36.1400,3201100
2019-08-05,36.0000,36.2000,34.2600,34.8900,4121800
2019-08-02,36.9400,38.0900,36.4100,37.7600,2408600
2019-08-01,39.1300,39.3201,36.8500,37.3000,2693900
2019-07-31,39.9700,40.0369,38.8200,39.1700,1320900
2019-07-30,39.5900,40.1800,39.4200,39.9200,1060600
2019-07-29,40.0300,40.3900,39.6900,40.1600,1568800
2019-07-26,40.6300,40.6500,39.5700,40.0700,1447800
2019-07-25,41.3600,41.4000,40.0500,40.2400,1457800
2019-07-24,41.0500,41.3500,40.7100,41.2800,1419700
2019-07-23,40.0548,41.0600,39.8300,40.8900,2118800
2019-07-22,40.5000,40.5400,39.0100,39.7000,2467700
2019-07-19,39.9608,40.9700,39.7300,40.3900,2437500
2019-07-18,40.7500,40.7600,39.5000,39.8000,2800400
2019-07-17,41.1500,42.1000,40.8083,40.8600,1896300
2019-07-16,43.1186,43.2900,41.2200,41.5700,2998900
2019-07-15,42.5300,43.5100,42.3100,43.0500,1030600
2019-07-12,42.3200,42.6800,41.9900,42.3600,1488000
2019-07-11,42.4398,42.8000,41.7800,42.2300,1162600
2019-07-10,43.3600,43.8300,42.1100,42.3300,1805900
2019-07-09,42.0500,43.4600,41.7100,43.2100,1561500
2019-07-08,43.0300,43.3400,41.9601,42.4800,1631600
2019-07-05,43.7100,44.6060,43.0400,43.9200,1477900
2019-07-03,44.2000,44.3300,42.9400,44.2300,1399800
2019-07-02,44.0000,44.5100,43.6600,44.2600,1516100
2019-07-01,45.3400,46.1400,43.8400,43.9400,3890500
2019-06-28,43.9500,44.0800,42.9999,43.5500,1207400
2019-06-27,43.1400,43.9500,42.9100,43.9000,1708700
2019-06-26,42.2300,43.2100,42.2000,42.6200,1744600
2019-06-25,42.6900,42.9400,40.9200,41.5700,2323200
2019-06-24,43.5000,43.5000,42.4400,43.0200,1550700
2019-06-21,42.7400,43.4100,42.2000,43.2100,1688100
2019-06-20,43.5000,44.4200,42.9170,43.0200,3331400
2019-06-19,43.5000,44.0000,41.7500,42.2200,2580100
2019-06-18,42.2300,44.0800,42.1500,43.2400,2798700
2019-06-17,41.4700,41.9300,41.0200,41.6100,981900
2019-06-14,41.8500,41.9500,40.8500,41.4100,1147700
2019-06-13,42.9700,43.1500,41.9400,42.4300,1251900
2019-06-12,43.4000,43.8600,41.5900,42.4100,2293200
2019-06-11,43.9400,45.3913,43.7950,44.2000,2866300
2019-06-10,43.1400,44.0900,42.7800,42.9200,1999000
2019-06-07,41.7500,42.8200,41.6400,42.4000,2047400
2019-06-06,41.4776,41.8000,40.5900,41.2500,1370000
2019-06-05,43.0000,43.2500,40.3100,41.4300,2577200
2019-06-04,41.4500,43.3450,40.7394,42.8900,2604500
2019-06-03,41.2193,42.5900,40.6700,41.1100,1970200
2019-05-31,41.2800,42.3200,40.6100,41.5200,2235900
2019-05-30,43.1500,43.2700,41.6400,42.0200,1979900
2019-05-29,42.5500,43.6300,42.4100,42.9100,2272100
2019-05-28,43.3090,43.8500,42.2500,42.9500,3984800
2019-05-24,45.5400,45.7100,43.2546,43.6600,4021600
2019-05-23,45.0000,45.9000,42.7000,45.3900,10162000
2019-05-22,52.3000,52.4300,50.3950,51.1600,3153000
2019-05-21,51.6200,52.9950,51.0300,52.6200,2176800
2019-05-20,51.7200,51.7700,50.2100,50.5600,3576100
2019-05-17,56.2900,56.8500,53.0300,53.1000,5571500
2019-05-16,58.9700,59.6000,58.0800,59.0400,1263000
2019-05-15,58.5900,59.4000,57.4300,58.9900,1175300
2019-05-14,60.2000,60.2530,58.4300,59.2200,1213200
2019-05-13,58.4919,59.3500,57.5200,58.6300,2343100
2019-05-10,61.6400,62.3375,59.9700,61.4300,1165300
2019-05-09,60.3000,61.9750,59.5600,61.7900,1244800
2019-05-08,62.3900,62.8000,61.1200,61.9500,1422800
2019-05-07,64.6000,64.9100,61.6300,62.4400,2167300
2019-05-06,64.3100,65.6000,62.4900,65.2300,2401300
2019-05-03,68.2900,69.0300,67.7100,68.7900,955100
2019-05-02,68.4400,68.4400,65.8400,67.1100,982400
