date,open,high,low,close,volume
2019-11-11,13.3400,13.8100,13.1400,13.7000,7402959
2019-11-08,13.4000,13.6800,13.2200,13.5700,9098581
2019-11-07,13.2500,13.7300,13.0500,13.5600,16866700
2019-11-06,13.0000,13.3100,12.8300,12.8400,10888000
2019-11-05,13.4400,13.4800,13.0200,13.1000,13466000
2019-11-04,13.4100,13.6000,13.0000,13.3000,17245400
2019-11-01,12.3000,13.7800,12.2500,13.2100,46883900
2019-10-31,11.6900,11.9900,11.4300,11.5100,13396500
2019-10-30,12.1300,12.1800,11.7600,12.0100,10470100
2019-10-29,12.2300,12.4700,11.9800,12.2200,11160200
2019-10-28,11.8900,12.5600,11.8900,12.3100,18299600
2019-10-25,11.2500,11.8900,11.2400,11.7100,18322500
2019-10-24,11.2900,11.3300,10.8200,11.2700,13430900
2019-10-23,11.2500,11.5700,10.9700,11.1700,17706400
2019-10-22,10.7800,11.2400,10.3900,11.2200,18215400
2019-10-21,10.9000,11.1300,10.6100,10.6400,13302500
2019-10-18,10.5900,10.8800,10.5300,10.7200,13043300
2019-10-17,10.3900,10.6600,10.2800,10.6300,31249900
2019-10-16,11.0400,11.3900,10.4200,10.4800,36247700
2019-10-15,11.0700,11.7500,10.8200,11.4300,15778300
2019-10-14,11.1600,11.4000,11.0000,11.1600,11915800
2019-10-11,10.3200,11.5200,10.3200,11.3400,32951000
2019-10-10,10.2100,10.5900,10.0200,10.1400,25513900
2019-10-09,10.9100,10.9500,9.9300,10.0900,34023300
2019-10-08,10.7600,11.1800,10.7200,11.0300,10256700
2019-10-07,10.6900,11.2500,10.6600,10.9200,11415400
2019-10-04,10.8600,10.9400,10.4600,10.7700,10832300
2019-10-03,10.9100,11.1100,10.5500,10.7900,12055800
2019-10-02,11.5600,11.5900,10.7200,10.9400,22240600
2019-10-01,11.6100,12.6600,11.6000,11.9300,30795800
2019-09-30,11.3000,11.5800,11.0000,11.5500,10798300
2019-09-27,11.3200,11.6900,11.2200,11.3300,13102400
2019-09-26,11.3700,11.4500,10.9900,11.3000,11878100
2019-09-25,10.6700,11.5000,10.6500,11.4500,16778500
2019-09-24,11.0000,11.0800,10.4500,10.7100,13335500
2019-09-23,10.2700,11.1900,10.1700,11.0400,16770200
2019-09-20,11.0700,11.3000,10.7600,10.8100,19929200
2019-09-19,10.8600,11.3500,10.6300,11.0600,44305300
2019-09-18,12.8500,12.9400,12.1200,12.4500,11545100
2019-09-17,12.9000,13.0800,12.5600,12.9600,9782100
2019-09-16,12.8700,13.4300,12.8000,13.2900,7958100
2019-09-13,13.4700,13.6300,13.0200,13.1000,9467500
2019-09-12,13.2300,13.2300,12.7300,13.1300,13114100
2019-09-11,12.5200,13.2700,12.2100,13.2300,16629400
2019-09-10,12.3500,12.5600,12.0400,12.4200,11620900
2019-09-09,11.5400,12.2500,11.5200,12.2300,14181500
2019-09-06,11.6700,11.7600,11.3600,11.3900,7666100
2019-09-05,11.4900,11.9300,11.4700,11.6000,11424200
2019-09-04,10.9600,11.3400,10.9100,11.2600,11223500
2019-09-03,10.8400,10.8600,10.4800,10.6800,9012800
2019-08-30,11.1900,11.2800,10.8800,11.0700,8157100
2019-08-29,10.9100,11.1500,10.9000,11.0800,9538500
