date,open,high,low,close,volume
2019-02-27,0.0000,0.0000,0.0000,0.0000,0
2018-09-12,57.5900,57.5900,57.5900,57.5900,0
2018-09-11,57.5800,57.6000,57.5700,57.5900,8909001
2018-09-10,57.2000,57.2000,56.8500,57.0000,2555648
2018-09-07,57.1700,57.2700,57.1700,57.1800,1320565
2018-09-06,57.3400,57.3600,57.1300,57.1700,1967854
2018-09-05,57.3100,57.3800,57.3100,57.3700,1284656
2018-09-04,57.3000,57.4400,57.2600,57.3200,1823771
2018-08-31,57.1200,57.3900,57.1200,57.3900,3172030
2018-08-30,57.0800,57.2000,57.0600,57.1200,1221217
2018-08-29,57.1600,57.2400,57.0450,57.0600,1460857
2018-08-28,57.0600,57.1900,57.0600,57.1300,1031534
2018-08-27,57.0100,57.1000,56.9900,57.0900,564286
2018-08-24,57.0000,57.0500,56.9500,57.0400,1509523
2018-08-23,56.9600,57.0400,56.9200,56.9500,908825
2018-08-22,57.0000,57.0550,56.9000,57.0000,1283007
2018-08-21,56.9200,57.0900,56.9200,57.0800,1253516
2018-08-20,56.9700,56.9900,56.8300,56.9600,1463266
2018-08-17,56.8400,56.9600,56.8350,56.9400,1403532
2018-08-16,56.3600,57.0000,56.3600,56.8500,4677026
2018-08-15,56.3500,56.4500,56.3200,56.3900,1723197
2018-08-14,56.3500,56.4300,56.2800,56.3600,1148389
2018-08-13,56.1400,56.4500,56.1400,56.3400,1478945
2018-08-10,56.4100,56.4420,56.3000,56.3800,814500
2018-08-09,56.2000,56.4500,56.2000,56.4200,524281
2018-08-08,56.3300,56.4500,56.2500,56.3400,777009
2018-08-07,56.1100,56.4400,56.1000,56.3800,1123060
2018-08-06,56.2600,56.2600,56.2000,56.2100,485554
2018-08-03,56.3300,56.3500,56.2100,56.2700,714583
2018-08-02,56.3700,56.5000,56.2000,56.3300,1097595
2018-08-01,56.2100,56.4000,56.2100,56.3800,1404576
2018-07-31,56.2400,56.3000,56.2000,56.2300,1295567
2018-07-30,55.8900,56.2600,55.8900,56.2500,921443
2018-07-27,56.2000,56.2600,56.1700,56.2100,723827
2018-07-26,56.1700,56.2600,56.1300,56.1900,1028030
2018-07-25,56.1300,56.2000,56.0700,56.1100,1059948
2018-07-24,56.0500,56.2000,56.0150,56.1300,1922134
2018-07-23,56.2500,56.2500,55.9900,55.9900,1557950
2018-07-20,56.2500,56.3200,56.1700,56.2600,1935407
2018-07-19,56.4300,56.4700,56.2000,56.2900,1980591
2018-07-18,56.4000,56.5050,56.3800,56.4700,1622054
2018-07-17,56.4200,56.5010,56.3600,56.4900,1047422
2018-07-16,56.3500,56.4450,56.3500,56.4300,1106235
2018-07-13,56.3600,56.3700,56.2900,56.3600,1123789
2018-07-12,56.3800,56.4000,56.3400,56.3700,888733
2018-07-11,56.3100,56.4300,56.3100,56.3100,1077732
2018-07-10,56.3700,56.4200,56.2700,56.3400,515117
2018-07-09,56.4100,56.4500,56.3100,56.3600,865470
2018-07-06,56.1200,56.4700,56.1200,56.4100,1077965
2018-07-05,56.1400,56.2700,56.0000,56.1300,1155578
2018-07-03,56.0100,56.0600,55.9800,56.0000,603173
2018-07-02,56.0000,56.1200,55.9200,56.0100,3047990
2018-06-29,56.0300,56.1200,55.8400,55.9500,2905989
2018-06-28,56.0000,56.1750,55.9700,56.0700,949555
2018-06-27,56.1000,56.1150,55.9200,55.9400,2029459
2018-06-26,56.1200,56.2400,56.0800,56.0900,620788
2018-06-25,56.2100,56.2800,56.0800,56.1100,1255801
2018-06-22,56.2300,56.2700,56.1400,56.1500,1161163
2018-06-21,56.1700,56.2500,56.1300,56.2000,1497065
2018-06-20,56.1700,56.2500,56.1200,56.2100,612597
2018-06-19,56.1700,56.2300,56.1200,56.1900,973844
2018-06-18,56.0700,56.2000,56.0500,56.2000,715524
2018-06-15,56.1500,56.2350,56.0200,56.1800,2485539
2018-06-14,56.1900,56.2900,56.1400,56.2000,1932559
2018-06-13,56.4000,56.4900,56.2600,56.2700,2854395
2018-06-12,56.3500,56.4900,56.2500,56.3100,2708850
2018-06-11,56.3500,56.4950,56.2600,56.4000,2019800
2018-06-08,56.3000,56.3510,56.2000,56.3000,2137207
2018-06-07,56.1500,56.3100,56.0300,56.3000,2645788
2018-06-06,56.0000,56.1900,55.9400,56.1800,1892315
2018-06-05,55.8700,55.9800,55.7900,55.9600,1133333
2018-06-04,56.0000,56.0550,55.7500,55.9400,991473
2018-06-01,55.6000,56.0000,55.5550,55.9400,1862336
