Date, Open, High, Low, Close, Volume, Adj Close
2018-02-07,154.22,158.93,153.07,155.15,2918659,155.15
2018-02-06,150.29,155.18,149.43,154.69,4259634,154.69
2018-02-05,156.12,159.27,150.73,151.83,3733711,151.83
2018-02-02,159.98,160.27,156.63,156.9,2183611,156.9
2018-02-01,160.155,161.13,159.54,160.46,1692576,160.46
2018-01-31,160.09,160.945,159.73,160.7,1878301,160.7
2018-01-30,160.96,161.16,159.11,159.7,1699965,159.7
2018-01-29,162.33,162.6,160.97,161.19,1314847,161.19
2018-01-26,161.25,162.58,160.33,162.55,1950655,162.55
2018-01-25,161.12,161.75,160.615,160.79,1327113,160.79
2018-01-24,161.2,161.99,160.54,160.6,1951898,160.6
2018-01-23,161.29,162.05,160.64,160.88,1635846,160.88
2018-01-22,161.21,161.88,160.82,161.43,1719976,161.43
2018-01-19,161.6,162.498,160.2,161.75,2246733,161.75
2018-01-18,160.13,161.0823,159.82,160.94,1715458,160.94
2018-01-17,159.1,160.47,158.81,160.21,2143095,160.21
2018-01-16,160.25,160.37,157.91,157.96,2858729,157.96
2018-01-12,159.5,160.635,158.57,160.11,2048945,160.11
2018-01-11,158.9,159.4,158.051,159.11,1809390,159.11
2018-01-10,158.95,159.15,157.7308,158.9,1624075,158.9
2018-01-09,158.5,159.49,157.4535,159.46,3204962,159.46
2018-01-08,157.37,159.01,156.84,158.93,2616907,158.93
2018-01-05,156.61,157.72,156.13,157.67,1597608,157.67
2018-01-04,155.0,156.86,154.77,156.38,1777024,156.38
2018-01-03,152.985,154.99,152.985,154.55,2064185,154.55
2018-01-02,153.5,154.1,152.78,153.84,3061912,153.84
2017-12-29,154.43,154.58,153.07,153.09,1452063,153.09
2017-12-28,153.46,153.905,152.99,153.57,1124287,153.57
2017-12-27,153.24,153.765,152.83,153.32,1690434,153.32
2017-12-26,153.14,153.47,152.46,152.99,1514425,152.99
2017-12-22,155.49,156.0,153.8,153.89,1818619,153.89
2017-12-21,156.09,158.44,153.91,154.2,4563593,154.2
2017-12-20,152.43,152.87,151.62,151.75,3206177,151.75
2017-12-19,152.0,152.79,150.9901,152.22,2063928,152.22
2017-12-18,153.7,153.75,151.58,151.72,2277532,151.72
2017-12-15,151.56,152.9,150.66,152.66,3498820,152.66
2017-12-14,151.86,152.41,151.15,151.21,1612529,151.21
2017-12-13,151.81,152.75,150.41,151.42,1596836,151.42
2017-12-12,150.61,152.8,149.96,152.1,2318318,152.1
2017-12-11,150.55,151.14,150.13,150.69,1983301,150.69
2017-12-08,149.1,150.59,148.72,150.53,1735968,150.53
2017-12-07,148.0,148.66,147.24,148.6,1526446,148.6
2017-12-06,147.74,148.4799,147.27,148.27,1363413,148.27
2017-12-05,147.24,148.48,146.785,147.67,1398938,147.67
2017-12-04,147.5,147.97,146.08,147.15,2099765,147.15
2017-12-01,147.7,148.36,145.745,146.57,1971617,146.57
2017-11-30,147.0,148.6,146.8,148.01,2837114,148.01
2017-11-29,148.56,148.56,145.23,146.95,1972967,146.95
2017-11-28,148.01,148.49,146.6468,148.04,1925904,148.04
2017-11-27,148.0,148.1,147.43,147.5,1352108,147.5
2017-11-24,148.17,148.17,146.8,147.63,601818,147.63
2017-11-22,147.85,148.325,147.03,147.11,1263667,147.11
2017-11-21,147.0,148.47,146.41,148.01,1732024,148.01
2017-11-20,145.37,146.85,144.88,146.57,1602599,146.57
2017-11-17,146.39,146.79,144.75,145.45,2557132,145.45
2017-11-16,144.96,147.28,144.6,147.04,2040100,147.04
2017-11-15,144.41,145.0,143.675,144.26,1792821,144.26
2017-11-14,143.41,145.5,142.77,144.96,1811893,144.96
2017-11-13,143.61,144.28,143.16,143.92,1456203,143.92
2017-11-10,143.52,144.07,142.695,143.89,922497,143.89
2017-11-09,144.61,144.73,142.97,143.83,1288737,143.83
2017-11-08,143.76,145.0,143.0,144.89,1208312,144.89
2017-11-07,144.48,144.48,142.94,143.5,1284431,143.5
2017-11-06,143.12,144.21,142.29,143.93,1488755,143.93
2017-11-03,143.43,144.69,143.1001,144.04,1336018,144.04
2017-11-02,142.5,143.78,141.93,143.43,1585225,143.43
2017-11-01,142.26,143.19,141.47,142.96,2060109,142.96
2017-10-31,143.18,143.29,142.155,142.36,2255297,142.36
2017-10-30,143.39,143.78,142.13,143.29,2145253,143.29
2017-10-27,142.64,143.61,141.99,143.28,2367616,143.28
2017-10-26,141.58,142.91,141.34,141.97,1965835,141.97
2017-10-25,139.0,141.24,138.66,141.22,2046649,141.22
2017-10-24,139.34,139.43,138.05,138.91,1214963,138.91
2017-10-23,139.75,140.1705,139.05,139.33,1518189,139.33
2017-10-20,139.17,139.5,138.51,139.49,1368886,139.49
2017-10-19,137.45,138.67,136.84,138.62,1351693,138.62
2017-10-18,138.23,138.63,137.36,137.42,1585207,137.42
2017-10-17,138.91,139.28,138.28,138.65,1446708,138.65
2017-10-16,139.43,139.57,138.12,139.09,1453336,139.09
2017-10-13,139.58,140.0,138.2,139.2,1687180,139.2
2017-10-12,136.98,139.65,136.14,139.2,2872177,139.2
2017-10-11,137.19,137.52,136.41,136.91,2648228,136.91
2017-10-10,137.0,138.0,136.845,137.52,1804091,137.52
2017-10-09,136.25,137.0,136.03,136.99,1012134,136.99
2017-10-06,136.16,136.97,135.7201,136.25,1275809,136.25
2017-10-05,135.5,136.37,135.27,136.22,1666067,136.22
2017-10-04,134.52,135.68,134.4594,135.16,2192962,135.16
2017-10-03,134.84,135.97,133.66,134.25,2535494,134.25
2017-10-02,135.23,135.84,134.62,135.44,2667457,135.44
2017-09-29,136.91,137.57,134.84,135.07,3311992,135.07
2017-09-28,132.79,137.68,132.27,136.32,4246392,136.32
2017-09-27,137.32,137.54,136.12,136.64,3885524,136.64
2017-09-26,138.5,138.7,136.75,136.84,2911496,136.84
2017-09-25,137.94,138.27,137.26,138.16,2463249,138.16
2017-09-22,136.68,138.0,136.5,137.9,1918509,137.9
2017-09-21,137.95,138.12,136.57,136.66,2006962,136.66
2017-09-20,136.01,138.15,136.01,138.01,1997716,138.01
2017-09-19,137.0,137.79,136.71,136.71,2379555,136.71
2017-09-18,135.49,137.35,135.49,136.94,2496531,136.94
2017-09-15,135.0,135.65,134.04,135.35,3713509,135.35
2017-09-14,134.5,135.24,134.0,134.86,3290489,134.86
2017-09-13,135.91,136.17,134.21,134.78,3078644,134.78
2017-09-12,136.56,136.95,136.01,136.22,1658753,136.22
2017-09-11,134.62,136.26,133.61,136.23,1667247,136.23
2017-09-08,134.41,134.97,133.645,133.72,2178797,133.72
2017-09-07,131.5,134.83,131.36,134.24,2094810,134.24
2017-09-06,130.21,131.38,130.05,131.12,1549927,131.12
2017-09-05,130.1,130.39,129.1,129.77,2443236,129.77
2017-09-01,130.95,130.95,129.87,130.1,1528282,130.1
2017-08-31,130.0,130.92,129.83,130.76,2003487,130.76
2017-08-30,129.65,129.96,129.09,129.79,1149129,129.79
2017-08-29,128.47,129.985,128.29,129.66,1170831,129.66
2017-08-28,129.71,129.9,129.02,129.24,999874,129.24
2017-08-25,129.32,129.78,129.18,129.39,1252413,129.39
2017-08-24,128.47,129.985,128.29,129.65,984907,129.65
2017-08-23,128.68,129.14,128.28,128.36,1543279,128.36
2017-08-22,128.56,129.47,127.99,129.31,959492,129.31
2017-08-21,127.49,128.31,127.26,128.17,1284472,128.17
2017-08-18,127.73,128.29,127.27,127.44,1263534,127.44
2017-08-17,129.88,130.03,127.56,127.59,1567187,127.59
2017-08-16,129.66,130.49,129.4,130.03,1935454,130.03
2017-08-15,129.41,129.8,128.74,129.38,1152464,129.38
2017-08-14,128.88,129.87,128.63,129.69,1421557,129.69
2017-08-11,128.67,128.71,128.12,128.2,1105546,128.2
2017-08-10,129.22,129.78,128.19,128.24,1800865,128.24
2017-08-09,129.01,129.78,128.92,129.62,1216883,129.62
2017-08-08,129.32,129.89,128.9401,129.13,1099492,129.13
2017-08-07,129.83,130.35,129.38,129.68,952917,129.68
2017-08-04,130.06,130.67,129.54,130.2,1283185,130.2
2017-08-03,129.22,130.28,127.99,130.02,3560416,130.02
2017-08-02,129.7,129.84,128.53,128.62,1318478,128.62
2017-08-01,130.06,130.67,129.54,130.2,1283185,130.2
2017-07-31,128.5,129.16,128.19,128.82,1584354,128.82
2017-07-28,127.98,128.53,127.31,128.4,1133850,128.4
2017-07-27,129.7,129.7,127.42,128.16,2096970,128.16
2017-07-26,129.0,129.61,128.735,129.51,1615311,129.51
2017-07-25,128.25,129.31,127.68,128.95,1599954,128.95
2017-07-24,128.27,128.5,127.59,128.01,1763242,128.01
2017-07-21,128.54,128.955,128.01,128.85,1765383,128.85
2017-07-20,127.9,128.7599,127.65,128.54,1655339,128.54
