Date, Open, High, Low, Close, Volume, Adj Close
2018-02-07,86.75,87.95,85.29,85.35,4555784,85.35
2018-02-06,84.2,88.71,82.76,88.54,5440793,88.54
2018-02-05,88.75,89.61,85.33,85.4,3817435,85.4
2018-02-02,90.74,91.29,89.06,89.11,2922619,89.11
2018-02-01,91.25,92.58,91.25,91.65,2312175,91.65
2018-01-31,91.89,92.55,91.42,91.88,3462002,91.88
2018-01-30,92.77,93.39,91.365,91.55,3684942,91.55
2018-01-29,93.2,94.44,92.41,93.78,3078148,93.78
2018-01-26,93.09,94.17,92.58,93.84,4752279,93.84
2018-01-25,96.19,96.99,91.93,91.98,3655853,91.98
2018-01-24,94.38,96.6353,93.21,95.34,6258394,95.34
2018-01-23,96.69,97.12,95.89,96.47,3247107,96.47
2018-01-22,96.39,97.0,95.77,96.65,4442387,96.65
2018-01-19,97.64,97.9399,96.14,96.14,2762390,96.14
2018-01-18,95.58,98.38,95.33,97.24,5285179,97.24
2018-01-17,94.0,95.955,93.61,95.57,4011289,95.57
2018-01-16,92.38,93.7,92.35,93.1,3373675,93.1
2018-01-12,91.06,92.59,90.565,92.02,3175716,92.02
2018-01-11,90.4,91.26,89.94,91.19,1924204,91.19
2018-01-10,91.08,91.15,89.79,90.11,2654440,90.11
2018-01-09,91.8,92.33,91.42,91.64,2780187,91.64
2018-01-08,91.81,92.21,91.36,91.83,1907387,91.83
2018-01-05,91.52,92.2699,90.83,91.67,1799107,91.67
2018-01-04,91.87,92.28,91.25,91.3,1879594,91.3
2018-01-03,90.28,91.61,90.05,91.4,2009600,91.4
2018-01-02,89.24,90.65,88.93,90.28,2343204,90.28
2017-12-29,89.36,89.68,88.77,89.03,3414815,89.03
2017-12-28,89.3,89.86,88.7,89.38,1973056,89.38
2017-12-27,88.89,89.58,88.57,89.1,1827388,89.1
2017-12-26,88.28,88.85,87.68,88.63,1379370,88.63
2017-12-22,88.5,88.87,88.26,88.85,1680412,88.85
2017-12-21,89.0,89.14,88.42,88.65,1917206,88.65
2017-12-20,88.12,88.93,87.8404,88.65,2093655,88.65
2017-12-19,87.78,88.47,87.41,87.95,2098577,87.95
2017-12-18,87.21,88.35,87.2,88.09,2743112,88.09
2017-12-15,86.07,87.205,85.29,86.69,3765981,86.69
2017-12-14,85.17,85.97,84.82,85.44,2288059,85.44
2017-12-13,85.82,85.925,85.13,85.18,2067998,85.18
2017-12-12,85.75,85.98,84.91,85.48,2248856,85.48
2017-12-11,85.49,86.36,85.29,85.8,2322676,85.8
2017-12-08,86.45,86.92,84.91,85.52,3411413,85.52
2017-12-07,85.61,86.51,85.17,86.11,3914204,86.11
2017-12-06,84.26,85.48,84.03,85.41,2805087,85.41
2017-12-05,84.53,85.7,84.16,84.83,2340774,84.83
2017-12-04,85.56,85.6386,83.85,84.79,3723596,84.79
2017-12-01,85.51,85.77,83.5901,85.4,3545012,85.4
2017-11-30,85.82,86.27,84.99,86.11,3866597,86.11
2017-11-29,87.08,87.29,83.8953,85.66,6130300,85.66
2017-11-28,87.08,87.44,86.389,87.07,3843143,87.07
2017-11-27,88.49,88.83,87.4,87.45,2890664,87.45
2017-11-24,88.67,89.25,88.01,89.15,1623905,89.15
2017-11-22,89.61,90.74,88.43,88.65,4028510,88.65
2017-11-21,92.62,92.83,88.88,90.19,6028669,90.19
2017-11-20,90.97,93.99,90.73,93.07,6529634,93.07
2017-11-17,91.0,91.05,90.24,90.42,2342924,90.42
2017-11-16,89.79,90.75,89.41,90.48,2297938,90.48
2017-11-15,89.58,89.95,88.67,89.16,2250494,89.16
2017-11-14,89.79,90.49,89.3963,90.44,2172550,90.44
2017-11-13,89.36,90.21,89.0,90.03,2428812,90.03
2017-11-10,89.54,90.03,88.88,89.59,2736363,89.59
2017-11-09,91.67,91.69,87.98,89.7,3143571,89.7
2017-11-08,91.9,92.4462,91.04,92.0,1617599,92.0
2017-11-07,92.08,92.57,91.7,91.9,1416911,91.9
2017-11-06,92.42,92.96,91.65,92.28,1531256,92.28
2017-11-03,90.97,91.83,90.191,91.81,1367407,91.81
2017-11-02,90.85,91.47,90.26,90.79,1448167,90.79
2017-11-01,91.85,92.1104,90.59,90.99,2373950,90.99
2017-10-31,91.47,91.74,90.75,91.3,1530506,91.3
