Date, Open, High, Low, Close, Volume, Adj Close
2018-02-07,156.23,157.95,154.58,155.03,444206,155.03
2018-02-06,152.84,157.65,151.79,157.1,589594,157.1
2018-02-05,160.11,161.64,156.0,156.02,618978,156.02
2018-02-02,162.29,163.4,160.22,160.29,379979,160.29
2018-02-01,160.97,163.71,160.825,163.4,641201,163.4
2018-01-31,162.34,164.52,161.06,161.65,831863,161.65
2018-01-30,163.75,164.21,160.36,161.68,692747,161.68
2018-01-29,163.55,164.9,162.4,162.75,322748,162.75
2018-01-26,160.98,164.14,160.34,163.96,456805,163.96
2018-01-25,162.56,163.07,159.67,159.93,390973,159.93
2018-01-24,162.01,162.96,161.1332,161.54,480815,161.54
2018-01-23,163.22,163.22,161.63,161.85,361765,161.85
2018-01-22,161.53,163.18,160.6,163.13,566051,163.13
2018-01-19,159.09,161.95,158.32,161.54,512282,161.54
2018-01-18,155.97,158.73,155.97,158.34,459697,158.34
2018-01-17,154.71,156.31,152.96,155.75,528702,155.75
2018-01-16,154.86,155.67,152.44,153.39,459114,153.39
2018-01-12,152.06,154.45,151.7,154.22,479520,154.22
2018-01-11,152.76,153.885,151.93,152.21,438414,152.21
2018-01-10,154.4,154.465,151.6,152.11,617860,152.11
2018-01-09,153.39,156.14,153.39,155.14,436802,155.14
2018-01-08,152.27,154.01,151.655,153.71,423207,153.71
2018-01-05,152.5,153.42,151.92,152.45,472416,152.45
2018-01-04,151.77,154.015,151.55,151.82,582519,151.82
2018-01-03,148.53,152.39,148.355,151.42,533178,151.42
2018-01-02,148.15,148.67,147.025,148.55,390369,148.55
2017-12-29,147.9,149.18,147.52,147.59,372442,147.59
2017-12-28,146.84,147.92,146.12,147.65,259565,147.65
2017-12-27,146.59,147.15,145.81,146.66,199917,146.66
2017-12-26,146.26,146.66,145.14,146.39,251123,146.39
2017-12-22,147.23,147.23,145.03,146.66,193270,146.66
2017-12-21,147.91,148.26,146.9,147.23,359197,147.23
2017-12-20,147.57,148.07,145.655,147.35,408317,147.35
2017-12-19,147.81,148.3,146.82,147.63,260025,147.63
2017-12-18,148.0,148.92,146.875,147.59,475276,147.59
2017-12-15,144.84,148.45,144.56,148.03,1109048,148.03
2017-12-14,144.97,146.065,144.38,144.51,246795,144.51
2017-12-13,145.78,146.34,144.06,144.76,346309,144.76
2017-12-12,146.09,146.75,144.85,145.33,440058,145.33
2017-12-11,146.01,146.98,145.37,146.39,392728,146.39
2017-12-08,146.82,147.68,145.6,146.13,416882,146.13
2017-12-07,144.46,146.58,144.255,146.31,339810,146.31
2017-12-06,143.6,144.8499,143.455,144.72,300317,144.72
2017-12-05,143.515,144.48,141.93,143.44,378805,143.44
2017-12-04,147.68,147.89,141.91,142.01,526432,142.01
2017-12-01,148.45,148.81,143.94,146.54,631697,146.54
2017-11-30,146.73,148.84,145.985,148.19,1243858,148.19
2017-11-29,149.71,150.43,145.78,146.58,674219,146.58
2017-11-28,151.24,152.28,149.62,150.27,586046,150.27
2017-11-27,151.91,152.44,150.14,150.88,593706,150.88
2017-11-24,150.59,152.64,149.41,151.91,571787,151.91
2017-11-22,153.8,153.8,150.0701,150.48,746588,150.48
2017-11-21,151.63,154.43,150.87,153.4,626976,153.4
2017-11-20,150.83,151.82,150.44,151.21,353708,151.21
2017-11-17,151.18,151.92,150.05,150.57,364922,150.57
2017-11-16,149.5,152.02,149.1,151.46,315255,151.46
2017-11-15,149.4,151.34,148.95,149.32,535993,149.32
2017-11-14,150.25,150.7,149.18,149.43,552394,149.43
2017-11-13,150.0,151.74,149.37,150.87,316750,150.87
2017-11-10,150.14,150.54,149.205,150.28,315743,150.28
2017-11-09,150.75,151.34,149.0,150.47,368790,150.47
2017-11-08,151.36,152.72,149.7,151.48,487800,151.48
2017-11-07,150.72,152.4955,149.69,151.93,528899,151.93
2017-11-06,149.3,152.22,147.39,151.2,745030,151.2
2017-11-03,148.93,150.68,147.7,149.1,747601,149.1
2017-11-02,143.98,155.14,143.27,148.68,1511774,148.68
2017-11-01,137.55,138.39,135.28,135.6,494834,135.6
2017-10-31,136.02,137.05,134.45,136.71,438009,136.71
2017-10-30,135.33,135.92,134.67,135.8,296194,135.8
2017-10-27,134.05,135.96,132.95,135.78,262671,135.78
2017-10-26,133.51,133.99,132.53,133.84,319403,133.84
2017-10-25,131.61,133.4,131.38,132.85,348402,132.85
2017-10-24,131.31,132.14,130.47,132.11,223440,132.11
2017-10-23,131.44,132.47,131.08,131.22,261563,131.22
2017-10-20,130.26,131.04,129.505,130.94,416154,130.94
2017-10-19,129.36,129.92,127.68,129.89,445384,129.89
2017-10-18,130.22,130.31,129.39,129.56,370741,129.56
2017-10-17,131.24,131.86,129.1,129.69,463035,129.69
2017-10-16,130.15,131.48,129.8,131.31,439031,131.31
2017-10-13,129.82,130.22,129.34,129.94,274019,129.94
2017-10-12,127.11,129.78,126.88,129.24,510544,129.24
2017-10-11,126.3,127.27,125.93,127.14,320738,127.14
2017-10-10,126.66,126.81,125.775,126.18,291400,126.18
2017-10-09,125.95,126.37,125.19,126.11,198879,126.11
2017-10-06,125.12,126.21,124.13,126.06,442758,126.06
2017-10-05,125.21,125.28,124.3,125.24,358845,125.24
2017-10-04,124.31,124.69,124.0,124.55,461477,124.55
2017-10-03,123.73,124.87,123.62,124.65,340582,124.65
2017-10-02,123.16,124.59,123.16,123.78,388681,123.78
2017-09-29,121.67,122.83,121.3408,122.73,469322,122.73
2017-09-28,120.38,121.95,120.38,121.63,578995,121.63
2017-09-27,121.0,121.45,119.78,120.94,574797,120.94
2017-09-26,121.0,121.15,119.2,120.67,411906,120.67
2017-09-25,121.82,122.13,119.49,120.74,523773,120.74
2017-09-22,120.3,122.26,120.08,122.05,511331,122.05
2017-09-21,123.0,123.21,120.33,120.82,673377,120.82
2017-09-20,123.5,124.37,122.52,122.99,743524,122.99
2017-09-19,123.3,123.84,122.31,123.44,820101,123.44
2017-09-18,121.78,123.83,121.37,123.59,636585,123.59
