Date, Open, High, Low, Close, Volume, Adj Close
2018-02-07,60.76,61.23,57.67,58.72,12011935,58.72
2018-02-06,55.95,57.56,53.97,57.49,8742165,57.49
2018-02-05,58.13,59.5,56.53,56.85,8064603,56.85
2018-02-02,60.59,60.81,58.88,59.11,8902338,59.11
2018-02-01,60.58,61.5,60.05,61.37,4614176,61.37
2018-01-31,59.75,60.36,59.44,60.05,3910249,60.05
2018-01-30,60.18,60.48,58.96,59.75,5362427,59.75
2018-01-29,61.44,62.35,60.855,60.96,3379968,60.96
2018-01-26,61.62,62.51,61.3,61.84,5981721,61.84
2018-01-25,61.48,61.84,60.98,61.49,7888249,61.49
2018-01-24,61.25,61.78,60.73,61.43,5828912,61.43
2018-01-23,60.85,61.37,60.2001,60.94,6338221,60.94
2018-01-22,58.3,60.73,58.2,60.72,6220088,60.72
2018-01-19,58.03,58.47,57.88,58.2,6056385,58.2
2018-01-18,58.73,59.15,58.07,58.29,4229556,58.29
2018-01-17,58.75,59.525,57.9086,58.97,4472747,58.97
2018-01-16,58.94,59.72,58.51,58.55,6092529,58.55
2018-01-12,58.82,59.17,58.19,58.98,4907195,58.98
2018-01-11,55.78,59.04,55.58,58.5,11122228,58.5
2018-01-10,55.61,56.52,55.37,55.41,4625033,55.41
2018-01-09,55.66,55.92,55.245,55.52,4637033,55.52
2018-01-08,54.97,55.56,54.65,55.39,4765018,55.39
2018-01-05,55.4,55.73,54.565,55.02,3920786,55.02
2018-01-04,54.94,55.67,54.26,55.65,4500777,55.65
2018-01-03,54.7,55.46,54.65,54.77,4328261,54.77
2018-01-02,54.13,54.85,54.0,54.77,3829887,54.77
2017-12-29,53.98,54.12,53.43,53.64,2546284,53.64
2017-12-28,53.78,54.06,53.53,53.76,2665423,53.76
2017-12-27,54.1,54.255,53.75,53.78,3869314,53.78
2017-12-26,53.2,54.45,53.1455,54.1,5258956,54.1
2017-12-22,51.975,53.46,51.94,52.93,5371727,52.93
2017-12-21,50.78,52.88,50.52,51.96,7677844,51.96
2017-12-20,49.585,51.14,49.4,50.73,7822096,50.73
2017-12-19,48.94,50.13,48.67,49.39,5714929,49.39
2017-12-18,47.71,48.93,47.54,48.53,4737974,48.53
2017-12-15,48.18,48.37,47.39,47.52,9229380,47.52
2017-12-14,48.0,48.25,47.37,47.89,5013628,47.89
2017-12-13,48.57,48.675,47.93,48.26,4412721,48.26
2017-12-12,48.53,49.35,48.07,48.54,6886759,48.54
2017-12-11,48.12,48.55,47.95,48.3,4074639,48.3
2017-12-08,47.75,48.22,47.425,47.92,6163289,47.92
2017-12-07,47.0,47.43,46.8,47.32,4665320,47.32
2017-12-06,47.93,48.04,46.84,47.11,7328234,47.11
2017-12-05,48.47,48.6328,47.78,48.26,2884900,48.26
2017-12-04,48.58,49.34,48.3264,48.59,4468546,48.59
2017-12-01,48.6,49.83,48.435,48.72,8414455,48.72
2017-11-30,48.34,49.0298,47.8044,48.09,9469498,48.09
2017-11-29,47.7,48.48,47.5157,47.88,3802652,47.88
2017-11-28,47.76,47.9,47.38,47.77,2813368,47.77
2017-11-27,47.96,47.96,47.355,47.69,4839841,47.69
2017-11-24,48.64,48.7,47.95,48.11,2079081,48.11
2017-11-22,48.39,48.57,48.13,48.35,5948708,48.35
2017-11-21,48.46,48.5613,47.725,48.02,5259763,48.02
2017-11-20,47.86,48.57,47.42,48.31,3632411,48.31
2017-11-17,47.89,48.33,47.735,48.15,6102798,48.15
2017-11-16,47.59,48.13,47.01,47.5,5820373,47.5
2017-11-15,47.71,48.08,47.02,47.62,7143900,47.62
2017-11-14,49.71,49.84,47.88,48.05,8113178,48.05
2017-11-13,51.05,51.55,49.87,50.23,11018139,50.23
2017-11-10,51.22,51.47,50.35,51.11,5004669,51.11
2017-11-09,51.02,51.83,50.845,51.4,4221999,51.4
2017-11-08,51.0,51.59,50.35,51.16,4630144,51.16
2017-11-07,52.01,52.17,50.6,51.08,6931558,51.08
2017-11-06,49.8,51.84,49.56,51.83,7401170,51.83
2017-11-03,49.32,49.88,49.14,49.51,6537127,49.51
2017-11-02,49.86,50.36,48.82,49.39,6414901,49.39
2017-11-01,49.64,51.02,49.16,50.14,9065661,50.14
2017-10-31,48.23,49.49,48.01,49.37,6857218,49.37
2017-10-30,49.07,49.4255,48.52,48.69,5775314,48.69
2017-10-27,47.29,48.83,47.06,48.81,6509190,48.81
2017-10-26,47.68,48.0,46.745,47.69,5328859,47.69
2017-10-25,47.84,48.13,47.35,47.7,4910022,47.7
2017-10-24,48.41,48.88,47.77,48.05,6989114,48.05
2017-10-23,49.2,49.39,48.08,48.1,5488806,48.1
2017-10-20,48.88,49.16,48.63,49.01,4590624,49.01
2017-10-19,48.55,49.73,48.52,48.67,5751045,48.67
2017-10-18,48.73,49.515,48.41,48.77,5619338,48.77
2017-10-17,48.34,48.91,47.9536,48.9,4374837,48.9
2017-10-16,48.06,48.54,47.84,48.45,4361538,48.45
2017-10-13,48.18,48.51,47.66,47.79,4035239,47.79
2017-10-12,47.86,48.26,47.39,47.73,4954186,47.73
2017-10-11,48.43,48.72,48.02,48.39,3757956,48.39
2017-10-10,49.28,49.81,48.33,48.41,4937334,48.41
2017-10-09,48.64,48.98,48.35,48.86,5050998,48.86
2017-10-06,48.82,49.18,48.33,48.64,6587592,48.64
2017-10-05,49.47,49.8,48.97,49.05,6112984,49.05
