Date, Open, High, Low, Close, Volume, Adj Close
2018-02-07,155.72,159.46,155.49,156.6,664085,156.6
2018-02-06,154.42,157.305,151.92,156.35,1057131,156.35
2018-02-05,162.31,163.38,156.43,156.46,764655,156.46
2018-02-02,164.38,164.97,161.67,161.82,446660,161.82
2018-02-01,167.87,168.33,164.0,165.18,607018,165.18
2018-01-31,166.3,169.96,166.26,168.45,1032524,168.45
2018-01-30,166.13,166.98,165.11,165.82,436957,165.82
2018-01-29,167.36,167.575,165.57,166.0,483731,166.0
2018-01-26,166.83,167.8,166.0208,167.77,372405,167.77
2018-01-25,165.91,167.56,165.8,166.58,496791,166.58
2018-01-24,165.34,165.81,164.64,164.98,394957,164.98
2018-01-23,164.89,165.28,163.46,164.9,419100,164.9
2018-01-22,164.0,165.2,163.22,165.14,473982,165.14
2018-01-19,161.94,164.17,161.27,164.06,447386,164.06
2018-01-18,160.89,162.97,160.0,161.8,578172,161.8
2018-01-17,161.33,163.05,161.33,162.67,777339,162.67
2018-01-16,161.11,162.11,160.81,161.22,760926,161.22
2018-01-12,161.81,162.25,160.06,160.46,449058,160.46
2018-01-11,160.3,162.24,159.85,162.05,529892,162.05
2018-01-10,160.98,161.32,159.79,160.33,403080,160.33
2018-01-09,162.0,162.2237,161.15,161.22,449191,161.22
2018-01-08,161.38,162.58,159.83,161.9,652241,161.9
2018-01-05,161.32,161.77,160.67,161.64,587798,161.64
2018-01-04,158.69,161.29,158.42,161.17,568294,161.17
2018-01-03,156.21,158.67,156.21,158.42,529829,158.42
2018-01-02,157.26,157.53,155.94,156.85,478051,156.85
2017-12-29,156.99,157.1,155.81,155.83,416881,155.83
2017-12-28,155.98,156.72,154.81,156.62,440792,156.62
2017-12-27,155.96,156.48,155.262,156.02,381820,156.02
2017-12-26,156.54,157.64,155.41,155.52,502922,155.52
2017-12-22,162.0,163.45,153.01,156.85,2266886,156.85
2017-12-21,160.53,160.585,157.665,159.65,936362,159.65
2017-12-20,159.33,160.05,158.89,159.09,512803,159.09
2017-12-19,161.0,161.0,158.4,158.99,670629,158.99
2017-12-18,159.0,160.21,158.59,159.88,859730,159.88
2017-12-15,157.89,158.9199,156.7,158.0,1188283,158.0
2017-12-14,158.02,158.11,156.9,157.18,512630,157.18
2017-12-13,157.6,158.86,157.03,157.29,506824,157.29
2017-12-12,158.31,158.39,156.96,157.19,317822,157.19
2017-12-11,158.98,159.83,157.95,158.33,460345,158.33
2017-12-08,158.54,159.21,157.845,159.18,327101,159.18
2017-12-07,156.04,158.86,155.99,158.0,396355,158.0
2017-12-06,156.88,157.6,156.14,156.5,370485,156.5
2017-12-05,158.88,159.53,156.1,156.28,612149,156.28
2017-12-04,158.41,159.68,157.54,158.71,797215,158.71
2017-12-01,157.19,158.43,155.03,157.5,749595,157.5
2017-11-30,153.35,157.81,153.01,157.44,2193181,157.44
2017-11-29,151.98,153.87,151.54,153.73,706188,153.73
2017-11-28,148.19,152.18,147.78,152.03,575023,152.03
2017-11-27,147.91,149.1,147.61,147.96,524665,147.96
2017-11-24,147.93,148.22,147.49,147.71,273495,147.71
2017-11-22,147.56,147.71,146.56,147.36,427596,147.36
2017-11-21,148.77,148.86,147.21,147.58,584965,147.58
2017-11-20,148.74,149.16,148.05,148.25,480278,148.25
2017-11-17,149.78,150.08,148.33,148.92,380799,148.92
2017-11-16,149.53,150.62,149.25,150.11,524010,150.11
2017-11-15,148.4,149.65,147.631,149.5,702539,149.5
2017-11-14,146.57,149.46,146.57,149.2,603160,149.2
2017-11-13,145.87,147.77,145.745,147.35,659505,147.35
2017-11-10,144.82,146.14,144.82,146.1,415177,146.1
2017-11-09,147.48,147.72,144.4,145.43,532904,145.43
2017-11-08,147.43,149.66,147.32,149.61,404159,149.61
2017-11-07,148.06,148.44,147.32,147.87,335912,147.87
2017-11-06,148.05,148.36,146.96,147.57,579562,147.57
2017-11-03,147.61,148.51,147.09,148.37,375887,148.37
2017-11-02,147.06,148.34,146.13,147.55,510442,147.55
2017-11-01,148.85,149.05,145.5775,147.12,695150,147.12
2017-10-31,149.94,150.25,148.92,149.04,476140,149.04
2017-10-30,151.24,151.24,149.175,149.22,307137,149.22
2017-10-27,150.84,151.66,150.11,151.56,375886,151.56
2017-10-26,150.87,151.7,150.64,151.55,384775,151.55
2017-10-25,150.68,151.08,149.5,150.16,471105,150.16
2017-10-24,151.53,151.9299,150.4,150.85,393557,150.85
2017-10-23,152.11,152.2,151.36,151.49,261999,151.49
2017-10-20,151.79,152.83,151.04,152.2,467532,152.2
2017-10-19,150.5,150.97,149.435,150.95,704506,150.95
2017-10-18,151.4,151.82,151.07,151.16,430734,151.16
2017-10-17,151.75,152.4068,150.33,151.05,400093,151.05
2017-10-16,152.5,152.5,150.86,151.22,368410,151.22
2017-10-13,151.87,152.48,151.41,151.94,522463,151.94
2017-10-12,150.5,151.75,150.49,151.51,597786,151.51
2017-10-11,150.02,150.72,149.61,150.67,408404,150.67
2017-10-10,149.53,150.43,149.527,150.24,576138,150.24
2017-10-09,149.29,149.96,149.08,149.6,400176,149.6
2017-10-06,148.0,149.48,147.46,149.08,614730,149.08
