Date, Open, High, Low, Close, Volume, Adj Close
2018-02-07,17.01,17.39,16.97,17.06,8378711,17.06
2018-02-06,16.66,17.17,16.31,17.07,13200720,17.07
2018-02-05,17.64,17.8,16.79,16.8,14652824,16.8
2018-02-02,17.81,18.28,17.7,17.73,13646270,17.73
2018-02-01,17.8,18.04,17.76,17.95,7577694,17.95
2018-01-31,17.9,17.9991,17.57,17.81,8633046,17.81
2018-01-30,17.98,18.09,17.66,17.81,7989103,17.81
2018-01-29,18.1,18.29,17.79,18.03,11251566,18.03
2018-01-26,17.88,18.25,17.78,18.22,15751273,18.22
2018-01-25,17.92,17.97,17.63,17.78,8406744,17.78
2018-01-24,17.45,17.6364,17.32,17.39,6835339,17.39
2018-01-23,17.74,17.77,17.13,17.33,8956417,17.33
2018-01-22,17.26,17.69,17.157,17.67,8877472,17.67
2018-01-19,17.35,17.37,16.75,17.31,18159645,17.31
2018-01-18,17.44,17.54,17.29,17.34,10271713,17.34
2018-01-17,17.43,17.53,17.18,17.43,10445756,17.43
2018-01-16,17.37,17.57,17.095,17.34,11858069,17.34
2018-01-12,17.5,17.52,17.16,17.36,11531292,17.36
2018-01-11,17.49,17.77,17.31,17.47,10567962,17.47
2018-01-10,16.67,17.54,16.515,17.48,25504893,17.48
2018-01-09,17.27,17.46,16.53,16.54,13793399,16.54
2018-01-08,17.32,17.36,17.01,17.23,9754556,17.23
2018-01-05,17.0,17.07,16.81,17.0,10034102,17.0
2018-01-04,17.11,17.12,16.35,16.97,14462482,16.97
2018-01-03,17.37,17.44,17.04,17.08,10097516,17.08
2018-01-02,16.85,17.42,16.65,17.41,12444363,17.41
2017-12-29,17.06,17.16,16.68,16.68,10043254,16.68
2017-12-28,17.01,17.145,16.76,17.12,8100307,17.12
2017-12-27,17.3,17.31,16.93,17.07,7561128,17.07
2017-12-26,17.24,17.6,17.19,17.36,6009943,17.36
2017-12-22,17.37,17.49,17.17,17.24,9591824,17.24
2017-12-21,17.095,17.54,16.7189,17.47,10164875,17.47
2017-12-20,17.505,17.82,17.15,17.15,14526637,17.15
2017-12-19,17.66,17.95,17.15,17.4,26780342,17.4
2017-12-18,17.24,17.85,17.09,17.75,26297774,17.75
2017-12-15,16.82,17.12,16.56,16.99,28773845,16.99
2017-12-14,16.61,16.76,16.43,16.47,15243002,16.47
2017-12-13,16.07,16.96,16.0,16.75,25127766,16.75
2017-12-12,16.01,16.12,15.61,15.7,15525361,15.7
2017-12-11,15.23,16.09,15.15,15.87,37220057,15.87
2017-12-08,14.17,14.73,14.09,14.67,15068619,14.67
2017-12-07,14.03,14.31,13.84,14.1,46283929,14.1
2017-12-06,14.34,14.34,13.81,13.84,11822532,13.84
2017-12-05,14.8,14.84,14.34,14.39,13894774,14.39
2017-12-04,14.4,14.86,14.35,14.81,15703293,14.81
2017-12-01,14.54,14.62,13.971,14.3,15649019,14.3
2017-11-30,14.58,14.905,14.26,14.59,21244767,14.59
2017-11-29,13.69,14.69,13.66,14.54,17780242,14.54
2017-11-28,13.58,13.7,13.161,13.69,19888391,13.69
2017-11-27,13.85,14.05,13.56,13.62,13763783,13.62
2017-11-24,13.79,14.09,13.68,13.84,7332967,13.84
2017-11-22,14.51,14.555,14.18,14.34,19944052,14.34
2017-11-21,14.83,14.84,14.44,14.53,16833346,14.53
2017-11-20,14.82,14.92,14.64,14.8,12077047,14.8
2017-11-17,14.71,14.93,14.7,14.8,12881325,14.8
2017-11-16,14.68,15.06,14.6,14.75,13027617,14.75
2017-11-15,14.38,14.9,14.06,14.78,17215711,14.78
2017-11-14,15.22,15.24,14.31,14.4,20764860,14.4
2017-11-13,15.46,15.48,15.21,15.33,16401212,15.33
2017-11-10,15.43,15.6,14.98,15.48,19339326,15.48
2017-11-09,14.8,16.43,14.6,15.48,39219505,15.48
2017-11-08,16.15,16.49,16.07,16.26,13936861,16.26
2017-11-07,16.63,16.72,16.14,16.22,12042532,16.22
2017-11-06,16.35,16.75,16.04,16.67,15566021,16.67
2017-11-03,17.5,17.5,16.31,16.37,16921372,16.37
2017-11-02,17.7,18.095,17.45,17.46,20923781,17.46
2017-11-01,19.04,19.05,17.52,17.85,20064078,17.85
2017-10-31,18.56,19.0,18.38,18.99,17495149,18.99
2017-10-30,17.49,18.42,17.065,18.4,27086545,18.4
2017-10-27,18.46,18.5,17.4,17.48,22824839,17.48
2017-10-26,18.59,18.68,18.4,18.51,13090035,18.51
2017-10-25,18.62,18.7,18.45,18.515,9115813,18.515
2017-10-24,18.9,19.08,18.7,18.74,7015078,18.74
2017-10-23,19.1,19.26,18.63,18.8,12494352,18.8
2017-10-20,18.6,19.18,18.46,19.04,15848796,19.04
2017-10-19,18.8,18.94,18.26,18.49,15583181,18.49
2017-10-18,19.03,19.08,18.58,18.65,24761689,18.65
2017-10-17,19.69,19.95,18.93,19.02,18804110,19.02
2017-10-16,20.23,20.23,19.68,19.76,8728079,19.76
2017-10-13,20.39,20.55,20.07,20.25,12950021,20.25
2017-10-12,20.15,20.39,19.97,20.35,37121189,20.35
2017-10-11,20.31,20.51,20.18,20.27,11331174,20.27
2017-10-10,20.11,20.34,20.01,20.32,7630745,20.32
2017-10-09,20.04,20.1944,19.92,20.1,5955112,20.1
2017-10-06,19.97,20.02,19.55,20.0,9356432,20.0
2017-10-05,20.14,20.41,19.91,20.02,10218403,20.02
2017-10-04,20.0,20.41,19.95,20.09,9199494,20.09
2017-10-03,19.66,20.22,19.06,20.18,12100085,20.18
2017-10-02,18.89,19.39,18.785,19.32,8468529,19.32
2017-09-29,19.3,19.3,18.81,18.9,7310919,18.9
2017-09-28,19.27,19.43,19.04,19.21,5666490,19.21
2017-09-27,19.36,19.7254,19.22,19.31,5172169,19.31
2017-09-26,19.34,19.47,19.18,19.36,6263301,19.36
2017-09-25,18.54,19.4,18.53,19.34,8135973,19.34
2017-09-22,18.5,18.56,18.315,18.54,7013532,18.54
2017-09-21,18.6,18.66,18.35,18.49,5885854,18.49
2017-09-20,18.54,18.92,18.42,18.67,7279118,18.67
2017-09-19,18.35,18.71,18.24,18.53,8224583,18.53
2017-09-18,19.02,19.03,18.17,18.32,11246073,18.32
2017-09-15,18.92,19.1,18.73,18.98,13886792,18.98
2017-09-14,18.71,18.92,18.54,18.7,5727863,18.7
2017-09-13,19.11,19.58,18.67,18.75,15857355,18.75
2017-09-12,18.42,19.3,18.35,19.11,11881680,19.11
2017-09-11,18.6,18.7,18.21,18.34,12430918,18.34
2017-09-08,18.65,19.19,18.19,18.54,16154259,18.54
2017-09-07,19.07,19.2,18.47,18.66,12493088,18.66
2017-09-06,19.57,19.72,18.99,19.0,11540943,19.0
2017-09-05,20.08,20.08,19.48,19.52,7772533,19.52
2017-09-01,19.84,20.21,19.84,20.04,6877751,20.04
2017-08-31,19.94,19.94,19.53,19.72,7348360,19.72
2017-08-30,20.57,20.7,20.33,20.41,10934913,20.41
2017-08-29,20.61,20.84,20.56,20.63,7801763,20.63
2017-08-28,20.25,20.79,20.17,20.74,8732269,20.74
2017-08-25,20.17,20.43,19.96,20.23,6529342,20.23
2017-08-24,20.5,20.56,20.02,20.06,7861927,20.06
2017-08-23,19.76,20.63,19.75,20.38,15849682,20.38
2017-08-22,19.22,19.93,19.14,19.9,11628754,19.9
2017-08-21,19.16,19.33,18.75,19.2,9557701,19.2
2017-08-18,19.4,19.54,18.41,19.16,23703171,19.16
2017-08-17,20.89,20.97,19.33,19.38,23469177,19.38
2017-08-16,20.51,21.27,20.441,20.89,10626556,20.89
2017-08-15,21.89,21.94,20.53,20.54,15674735,20.54
2017-08-14,21.84,22.03,21.73,21.96,4432422,21.96
2017-08-11,21.6,21.9554,21.56,21.66,6811316,21.66
2017-08-10,21.8,21.945,21.65,21.68,13464072,21.68
2017-08-09,21.78,22.06,21.61,21.82,7893566,21.82
2017-08-08,22.25,22.37,21.77,21.87,11592367,21.87
2017-08-07,22.4,22.635,22.22,22.34,8039971,22.34
2017-08-04,22.49,23.0799,22.42,22.47,11062201,22.47
2017-08-03,23.36,23.41,21.62,22.44,23962906,22.44
2017-08-02,23.37,23.78,23.32,23.74,7106269,23.74
2017-08-01,23.34,23.42,23.19,23.36,5653146,23.36
2017-07-31,23.28,23.415,23.16,23.27,4902742,23.27
2017-07-28,23.52,23.53,23.09,23.28,6969815,23.28
2017-07-27,22.95,23.62,22.91,23.6,8949882,23.6
