Date, Open, High, Low, Close, Volume, Adj Close
2018-02-07,51.98,52.64,51.42,51.55,2645886,51.55
2018-02-06,48.86,52.67,48.25,52.28,6042799,52.28
2018-02-05,51.8,53.29,49.87,50.35,3644048,50.35
2018-02-02,53.85,54.31,52.385,52.57,2166744,52.57
2018-02-01,52.38,54.16,52.36,54.1,2991179,54.1
2018-01-31,52.5,53.19,52.27,52.7,2455956,52.7
2018-01-30,52.55,53.0,52.17,52.35,2181218,52.35
2018-01-29,53.57,54.07,52.51,52.62,3510681,52.62
2018-01-26,52.3,53.6,51.51,53.49,4442137,53.49
2018-01-25,54.88,55.355,53.655,54.21,4274775,54.21
2018-01-24,55.32,55.51,54.26,55.19,2612700,55.19
2018-01-23,55.09,56.0,54.53,54.96,2984347,54.96
2018-01-22,54.15,55.01,53.95,54.98,1690052,54.98
2018-01-19,53.76,54.29,53.65,54.28,2206964,54.28
2018-01-18,54.15,54.19,53.59,53.65,2552091,53.65
2018-01-17,53.96,54.23,53.28,54.0,1439938,54.0
2018-01-16,54.41,54.97,53.38,53.67,1817853,53.67
2018-01-12,53.35,54.0,53.105,53.94,1672483,53.94
2018-01-11,53.0,53.145,52.28,52.96,1519676,52.96
2018-01-10,52.57,53.65,52.52,52.69,2061178,52.69
2018-01-09,51.95,52.795,51.79,52.47,1786438,52.47
2018-01-08,51.48,51.945,51.38,51.77,1579536,51.77
2018-01-05,51.46,51.72,50.96,51.47,2309077,51.47
2018-01-04,51.01,52.185,51.01,51.3,2819667,51.3
2018-01-03,50.75,51.21,50.25,50.62,3124287,50.62
2018-01-02,50.16,50.16,49.4105,49.82,2150848,49.82
2017-12-29,49.71,49.93,49.44,49.57,1590023,49.57
2017-12-28,49.58,49.73,49.31,49.68,1209320,49.68
2017-12-27,49.5,49.62,49.195,49.49,1239036,49.49
2017-12-26,49.66,49.88,49.28,49.5,942130,49.5
2017-12-22,50.07,50.14,49.3735,49.71,1094366,49.71
2017-12-21,49.88,50.73,49.77,49.96,2660960,49.96
2017-12-20,49.64,49.95,49.16,49.54,1678670,49.54
2017-12-19,50.06,50.45,49.55,49.57,2627537,49.57
2017-12-18,50.36,51.039,49.51,49.78,2806392,49.78
2017-12-15,48.57,49.94,48.4,49.88,5274063,49.88
2017-12-14,49.17,49.38,47.95,48.43,3313899,48.43
2017-12-13,49.66,49.76,48.66,48.7,4020315,48.7
2017-12-12,49.73,50.29,49.58,49.84,2625313,49.84
2017-12-11,50.28,50.5,49.465,49.64,1653700,49.64
